term,est,se,t,p,spec,n
tbin_maxb24_30,-0.0205899791045271,0.0150143290550231,-1.37135525863799,0.183496497182813,R3_tmax,48000
tbin_maxgt30,-0.0258860182186828,0.015580493587678,-1.66143762217873,0.110197509076899,R3_tmax,48000
tbinb12_18,0.0132679472962405,0.00723873022214095,1.83291086821528,0.0797931462269292,R4_woyFE,47998
tbinb24_30,0.00948003317979204,0.0122578907279261,0.773382092417782,0.447172606786919,R4_woyFE,47998
tbinb6_12,0.00876878418857554,0.00787364325963031,1.1136882761167,0.276916703205721,R4_woyFE,47998
tbingt30,-8.11430959315713e-05,0.0107793947716993,-0.00752761148933961,0.994058804139342,R4_woyFE,47998
tbinle0,-0.0183619774869137,0.0116767366755611,-1.57252646840488,0.129484991961966,R4_woyFE,47998
tbinref18_24,0.0148327000939364,0.0087428907562658,1.6965441416852,0.103277514230302,R4_woyFE,47998
tbinb12_18,0.00866815531697609,0.00624706460707726,1.38755653449718,0.178570321200395,R4_ihs,48000
tbinb24_30,0.00552520465957805,0.0116601293109488,0.473854492710462,0.64007095148438,R4_ihs,48000
tbinb6_12,0.00139488842594945,0.00610387901016656,0.228524914013882,0.821257822312096,R4_ihs,48000
tbingt30,-0.00305960103620838,0.00919609816058635,-0.332706435140238,0.742369396451155,R4_ihs,48000
tbinle0,0.0174548564093741,0.00885667701127747,1.9708132505169,0.0608964019662896,R4_ihs,48000
tbinref18_24,0.00493281343553769,0.00777744023110628,0.634246395852538,0.532178258275005,R4_ihs,48000
tbin_lagb0_6,-0.00202799557514084,0.00916649442468325,-0.221240038032415,0.826857921172082,R5_placebo,47824
tbin_lagb6_12,-0.0155590029105992,0.011211477482929,-1.38777453143797,0.178504758827797,R5_placebo,47824
tbin_lagb12_18,-0.0208436180397694,0.0119630262662631,-1.74233656065359,0.0948077992306978,R5_placebo,47824
tbin_lagref18_24,-0.0255736278550917,0.013016081529807,-1.96477164010748,0.0616334049838051,R5_placebo,47824
tbin_lagb24_30,-0.030776013686732,0.0111267691051791,-2.7659434105096,0.0109960124657682,R5_placebo,47824
tbin_laggt30,-0.0332646708336498,0.0126529806754938,-2.62899878588107,0.0150016159944816,R5_placebo,47824
tbinb12_18,0.0100595318523466,0.00579078559193426,1.73716185699538,0.0957342164768151,R5_placebo,47824
tbinb24_30,0.0081813156543307,0.0112385018977374,0.72797208460478,0.473977312466496,R5_placebo,47824
tbinb6_12,0.00167912189113712,0.0058465715533091,0.287197697971686,0.776532548153624,R5_placebo,47824
tbingt30,0.000167918518470311,0.00871055769433629,0.0192775852434218,0.984785926234309,R5_placebo,47824
tbinle0,0.0171626435848087,0.00967659590527703,1.77362408772792,0.0893681321469661,R5_placebo,47824
tbinref18_24,0.00690269971195806,0.00729317834458649,0.946459744410575,0.353752458197161,R5_placebo,47824
tbinb12_18,0.033285406180252,0.00981501690250215,3.39127344465057,0.00251105151990939,R6_2021,15884
tbinb24_30,0.0327673369438904,0.0141306983210894,2.31887598187463,0.0296399243566847,R6_2021,15884
tbinb6_12,0.0118897793318767,0.00819418405829233,1.45100222881185,0.160282496068652,R6_2021,15884
tbingt30,0.0150847383494819,0.0265575385866467,0.568002124905754,0.575537254777035,R6_2021,15884
tbinle0,-0.00258853586852535,0.0130718530593607,-0.198023635728656,0.844766378525251,R6_2021,15884
tbinref18_24,0.0223043573875054,0.0100316117253601,2.22340716508392,0.0362943096676106,R6_2021,15884
