term,est,se,t,p,spec
tbinb12_18:factor(inc_ter)high,-4.0351432766188e-05,0.000758405558033217,-0.0532056131957048,0.958027518694074,inc_ter
tbinb24_30:factor(inc_ter)high,-0.000420380104794635,0.000837014752982767,-0.502237389838802,0.620275138320245,inc_ter
tbinb6_12:factor(inc_ter)high,8.03564767046963e-05,0.000887613291404646,0.0905309524799165,0.928649103668192,inc_ter
tbingt30:factor(inc_ter)high,-0.00280979274783145,0.00137886842838895,-2.03775261655267,0.0532374644926012,inc_ter
tbinle0:factor(inc_ter)high,0.00148298376799812,0.00107888684958974,1.37454985994318,0.182516735732206,inc_ter
tbinref18_24:factor(inc_ter)high,-9.44624188513084e-05,0.000787012802582872,-0.120026533928413,0.905504439272235,inc_ter
tbinb12_18,-0.000881662095160464,0.00116972061433438,-0.753737332108289,0.458654285507262,CityTier
tbinb24_30,-0.000165715619764935,0.00137120830941709,-0.120853716117999,0.904856497022215,CityTier
tbinb6_12,-0.000378394023393985,0.00103762641008241,-0.364672698880066,0.718687351369626,CityTier
tbingt30,-0.00122127134909957,0.00144485358168544,-0.845256131541673,0.406675350035517,CityTier
tbinle0,0.00127908844231247,0.00136403001584114,0.937727489467095,0.358127922388191,CityTier
tbinref18_24,-0.000632130513082828,0.00151648570953819,-0.416839083353664,0.680660890144884,CityTier
tbinb12_18:factor(CityTier)B,0.00210274569422511,0.00136456693101388,1.54096193190228,0.136972981569619,CityTier
tbinb24_30:factor(CityTier)B,-0.000842768233861968,0.00152214994146931,-0.553669655598092,0.585147887958833,CityTier
tbinb6_12:factor(CityTier)B,-0.00102295204014298,0.000928156439810482,-1.10213321404294,0.281803587621722,CityTier
tbingt30:factor(CityTier)B,-1.3975788241285e-05,0.00179319016695038,-0.00779381266910087,0.993848708213804,CityTier
tbinle0:factor(CityTier)B,-0.00341720701383143,0.00171970313544632,-1.98709122719867,0.058949283910056,CityTier
tbinref18_24:factor(CityTier)B,0.000685461372245016,0.00135276609234947,0.506710935557612,0.617181113244251,CityTier
tbinb12_18:factor(CityTier)C,0.000121706885527616,0.00159189238635469,0.076454216736544,0.939718906582651,CityTier
tbinb24_30:factor(CityTier)C,-0.00158822193467384,0.00177863189469284,-0.892945830676285,0.381134337091636,CityTier
tbinb6_12:factor(CityTier)C,-0.0009295845568047,0.000991183264652082,-0.937853361689875,0.358064594813274,CityTier
tbingt30:factor(CityTier)C,-0.0026924661753502,0.00199645919669061,-1.34862068797265,0.190589403474379,CityTier
tbinle0:factor(CityTier)C,-0.00230107688004298,0.00219386016234142,-1.04887126332935,0.305134524460337,CityTier
tbinref18_24:factor(CityTier)C,-0.000146423085104873,0.00147890483319625,-0.0990077804995869,0.921989960736849,CityTier
tbinb12_18:factor(CityTier)D,0.00213562992503559,0.00162413148090059,1.31493659851441,0.201491756729352,CityTier
tbinb24_30:factor(CityTier)D,0.00172120824096062,0.00200444791835102,0.858694419147886,0.399370113724898,CityTier
tbinb6_12:factor(CityTier)D,-0.000189574017282426,0.00117555213742845,-0.161263810635506,0.873293800908507,CityTier
tbingt30:factor(CityTier)D,0.000921453056863516,0.0032593417836144,0.282711393292938,0.779926791694731,CityTier
tbinle0:factor(CityTier)D,-0.00231586701175628,0.00180364589538282,-1.28399206168168,0.211929171151903,CityTier
tbinref18_24:factor(CityTier)D,0.00229614069352924,0.00175089568969017,1.31140918733746,0.202660979482678,CityTier
tbinb12_18:factor(CityTier)E,0.00693562346668119,0.00693919775319821,0.999484913581636,0.32795981861246,CityTier
tbinb24_30:factor(CityTier)E,0.0206552702090154,0.006326752133332,3.26475097707634,0.00340705385218982,CityTier
tbinb6_12:factor(CityTier)E,-0.00747074319448899,0.00683223247209391,-1.09345564938006,0.285514317483469,CityTier
tbingt30:factor(CityTier)E,0.0187042125408506,0.00871549169202754,2.14608804664,0.0426486364525267,CityTier
tbinle0:factor(CityTier)E,0.00121078163694344,0.0130753121983472,0.0926005909898266,0.927022746482558,CityTier
tbinref18_24:factor(CityTier)E,0.0138223688203628,0.00811072162046854,1.70420949789228,0.101816526131173,CityTier
