term,est,se,t,p,tau,outcome
tbinle0,-0.00130659239433145,0.00634793570878742,-0.205829493912918,0.838735095604894,,n_cat
tbinref18_24,0.00552690194397234,0.00727862173984445,0.759333585604141,0.455365629205082,,n_cat
pbinp0_10,0.000978699223539905,0.00166566421183186,0.587572943326645,0.562543781470373,,n_cat
pbinp10_25,0.00864825377929535,0.00340125792981527,2.5426633197927,0.0181928719006571,,n_cat
pbinp25_50,0.0208141644734643,0.00523938562259283,3.97263457450264,0.000602086327287413,,n_cat
pbinp50p,0.0521767573342326,0.00883684800418512,5.90445341025689,5.10310296230498e-06,,n_cat
holiday_flag,0.03110008324489,0.00658285102589,4.72440939686696,9.25186384923003e-05,,n_cat
spring_festival_window_7,0.0622340188992205,0.0143004933971384,4.35187913947598,0.000234223558922297,,n_cat
lockdown,0.00202532127484231,0.0328940847381673,0.0615709873359787,0.951436404900265,,n_cat
ln_covid,-0.000786195608811979,0.00143593129249212,-0.54751617498878,0.589298376454216,,n_cat
