year,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,fiscal,fiscal_lo,fiscal_hi,soy_area,total_area,scenario,param_set
2027,0.4969242424242424,0.17704545454545456,0.8,0.22227891850876566,0.08512132926815603,0.39031768953475365,2678850.7664735722,1380002.3291525762,4270136.355297726,6378.564746889611,28696.22,S4_豆价+10%,main
2028,0.5023636363636363,0.1815909090909091,0.8090909090909091,0.22866253275999837,0.0896429204257416,0.3982613115718085,2739302.0141265807,1422820.6787732595,4345360.490736544,6561.750345838122,28696.22,S4_豆价+10%,main
2029,0.5170303030303031,0.19545454545454546,0.8004545454545456,0.2387949972528934,0.09533113262166823,0.41799704199522925,2835253.94610258,1476686.6410049875,4532252.975226635,6852.513776068424,28696.22,S4_豆价+10%,main
2030,0.5264696969696969,0.1906818181818182,0.8143181818181819,0.24402417799410928,0.0982112347607168,0.43677288349036764,2884772.9940225794,1503960.495724509,4710055.549042408,7002.571497038117,28696.22,S4_豆价+10%,main
2025,0.34877272727272723,0.15,0.6047727272727272,0.1565931756453835,0.08698404839928257,0.2472185850251656,2056823.0322101275,1397641.8184876326,2915023.238310384,4493.632218818569,28696.22,S4_豆价+10%,wooldridge
2026,0.4102727272727273,0.15886363636363637,0.7272727272727273,0.19027369768541025,0.08860431241691344,0.3194530999791123,2375769.243368028,1412985.3178812785,3599066.224105258,5460.135888994023,28696.22,S4_豆价+10%,wooldridge
2027,0.4546515151515152,0.16818181818181818,0.7911363636363636,0.2111011175076549,0.09317649316120613,0.3514380884184376,2572999.756381021,1456282.7383722141,3901956.1515395306,6057.804110245517,28696.22,S4_豆价+10%,wooldridge
2028,0.46631818181818185,0.17250000000000001,0.7956818181818182,0.2194076399102639,0.09428153336177857,0.39800286566525217,2651660.4685000856,1466747.1956846896,4342913.071940972,6296.169904545714,28696.22,S4_豆价+10%,wooldridge
2029,0.4846060606060606,0.1815909090909091,0.8181818181818182,0.22956058345803002,0.09593059364375287,0.4126292191822082,2747806.332059197,1482363.3885774724,4481421.021186689,6587.52100623999,28696.22,S4_豆价+10%,wooldridge
2030,0.49559090909090914,0.18181818181818182,0.8272727272727273,0.23499645348023848,0.09381779237882042,0.44204859749996034,2799282.6763352673,1462355.6833055953,4760015.255501606,6743.509928288688,28696.22,S4_豆价+10%,wooldridge
2025,0.3573787878787879,0.12727272727272726,0.6136363636363636,0.1514692676226665,0.0699328172129397,0.2560977890073775,1521308.3994286202,702382.6277868066,2572163.4732042486,4346.595426938914,28696.22,S5_取消玉米补贴,main
2026,0.42427272727272725,0.1318181818181818,0.7093181818181818,0.18172050430791994,0.06704368507372342,0.3179245868015539,1825142.0495458564,673365.1177701991,3193131.8601932703,5214.691570131018,28696.22,S5_取消玉米补贴,main
2027,0.4650151515151515,0.14977272727272728,0.7688636363636365,0.2004520867546126,0.07208952772438598,0.3740540803807446,2013276.0133393074,724043.9315462778,3756878.363876236,5752.21718096945,28696.22,S5_取消玉米补贴,main
2028,0.4670000000000001,0.15431818181818183,0.7911363636363636,0.2048224992560046,0.074750389931514,0.37368776872478415,2057171.0248600508,750768.7720961787,3753199.2479224335,5877.631499600145,28696.22,S5_取消玉米补贴,main
2029,0.48090909090909095,0.16772727272727272,0.7818181818181819,0.21403029306364074,0.08137399811775392,0.3869636510965296,2149651.131746548,817294.153293329,3886537.922354238,6141.860376418709,28696.22,S5_取消玉米补贴,main
