crop,province,year,check,rel,detail,status
wheat,宁夏,2005,fert_purity_eq,0.0,折纯26.68 vs 化肥用量26.68,ok
wheat,安徽,2005,total_cost,0.0,生产281.08+土地40.42 vs 总321.5,ok
wheat,安徽,2005,msf_sum,0.0,分项和197.39 vs 197.39 (n=18),ok
wheat,安徽,2005,fert_purity_eq,0.0,折纯21.6 vs 化肥用量21.6,ok
wheat,山东,2005,total_cost,0.0,生产378.23+土地34.48 vs 总412.71,ok
wheat,山东,2005,msf_sum,0.0,分项和258.35 vs 258.35 (n=17),ok
wheat,山东,2005,fert_purity_eq,0.0,折纯25.0 vs 化肥用量25.0,ok
wheat,山西,2005,total_cost,0.0,生产292.92+土地70.88 vs 总363.8,ok
wheat,山西,2005,msf_sum,0.0,分项和204.64 vs 204.64 (n=12),ok
wheat,山西,2005,fert_purity_eq,0.0,折纯17.53 vs 化肥用量17.53,ok
wheat,新疆,2005,total_cost,0.0,生产355.14+土地69.5 vs 总424.64,ok
wheat,新疆,2005,msf_sum,0.0,分项和258.53 vs 258.53 (n=17),ok
wheat,新疆,2005,fert_purity_eq,0.0,折纯21.15 vs 化肥用量21.15,ok
wheat,江苏,2005,total_cost,0.0,生产299.18+土地67.97 vs 总367.15,ok
wheat,江苏,2005,msf_sum,0.0,分项和225.30 vs 225.3 (n=16),ok
wheat,江苏,2005,fert_purity_eq,0.0,折纯23.3 vs 化肥用量23.3,ok
wheat,河南,2005,total_cost,0.0,生产310.62+土地61.52 vs 总372.14,ok
wheat,河南,2005,msf_sum,0.0,分项和205.66 vs 205.66 (n=12),ok
wheat,河南,2005,fert_purity_eq,0.0,折纯21.58 vs 化肥用量21.58,ok
wheat,湖北,2005,total_cost,0.0,生产254.77+土地40.41 vs 总295.18,ok
wheat,湖北,2005,msf_sum,0.0,分项和158.44 vs 158.44 (n=15),ok
wheat,湖北,2005,fert_purity_eq,0.0,折纯17.03 vs 化肥用量17.03,ok
wheat,甘肃,2005,total_cost,0.0,生产413.71+土地51.67 vs 总465.38,ok
wheat,甘肃,2005,msf_sum,0.0,分项和228.25 vs 228.25 (n=13),ok
wheat,甘肃,2005,fert_purity_eq,0.0,折纯18.43 vs 化肥用量18.43,ok
wheat,贵州,2005,total_cost,0.0,生产298.24+土地27.71 vs 总325.95,ok
wheat,贵州,2005,msf_sum,0.0,分项和101.69 vs 101.69 (n=15),ok
wheat,贵州,2005,fert_purity_eq,0.0,折纯7.48 vs 化肥用量7.48,ok
wheat,重庆,2005,total_cost,0.0,生产325.91+土地20.33 vs 总346.24,ok
wheat,重庆,2005,msf_sum,0.0,分项和69.36 vs 69.36 (n=14),ok
wheat,重庆,2005,fert_purity_eq,0.0,折纯9.4 vs 化肥用量9.4,ok
wheat,陕西,2005,total_cost,0.0,生产397.31+土地54.77 vs 总452.08,ok
wheat,陕西,2005,msf_sum,0.0,分项和231.26 vs 231.26 (n=14),ok
wheat,陕西,2005,fert_purity_eq,0.0,折纯29.05 vs 化肥用量29.05,ok
wheat,青海,2005,total_cost,0.0,生产432.14+土地12.92 vs 总445.06,ok
wheat,青海,2005,msf_sum,0.0,分项和165.10 vs 165.1 (n=14),ok
wheat,青海,2005,fert_purity_eq,0.0,折纯10.99 vs 化肥用量10.99,ok
wheat,黑龙江,2005,total_cost,0.0,生产176.64+土地86.03 vs 总262.67,ok
wheat,黑龙江,2005,msf_sum,0.0,分项和146.94 vs 146.94 (n=13),ok
wheat,黑龙江,2005,fert_purity_eq,0.0,折纯10.33 vs 化肥用量10.33,ok
