crop,province,year,variable,value_base,value_pdf,ref_source
corn,黑龙江,2019,家庭用工折价,803.85,203.34,pdf_patch:2020.pdf
corn,黑龙江,2019,工具材料费,6.02,1.79,pdf_patch:2020.pdf
corn,黑龙江,2019,每亩化肥用量,23.82,22.08,pdf_patch:2020.pdf
peanut,安徽,2004,人工成本,256.46,150.95,md_patch:2005.md
peanut,安徽,2004,修理维护费,2.21,1.0,md_patch:2005.md
peanut,安徽,2004,农家肥费,9.9,8.08,md_patch:2005.md
peanut,安徽,2004,化肥费,47.05,37.77,md_patch:2005.md
peanut,安徽,2004,固定资产折旧,4.81,3.72,md_patch:2005.md
peanut,安徽,2004,家庭用工天数,18.72,10.76,md_patch:2005.md
peanut,安徽,2004,家庭用工折价,256.46,147.41,md_patch:2005.md
peanut,安徽,2004,工具材料费,1.7,1.65,md_patch:2005.md
peanut,安徽,2004,平均出售价格,192.77,162.05,md_patch:2005.md
peanut,安徽,2004,总成本,432.26,360.56,md_patch:2005.md
peanut,安徽,2004,每亩化肥折纯用量,15.03,11.4,md_patch:2005.md
peanut,安徽,2004,每亩化肥用量,15.03,11.4,md_patch:2005.md
peanut,安徽,2004,每亩用工数量,18.72,10.95,md_patch:2005.md
peanut,安徽,2004,流转地租金,1.95,0.9,md_patch:2005.md
peanut,安徽,2004,生产成本,411.54,321.24,md_patch:2005.md
peanut,安徽,2004,畜力费,3.46,0.4,md_patch:2005.md
peanut,安徽,2004,雇工工价,22.5,18.63,md_patch:2005.md
peanut,山东,2004,修理维护费,4.85,2.52,md_patch:2005.md
peanut,山东,2004,农家肥费,18.18,8.13,md_patch:2005.md
peanut,山东,2004,平均出售价格,186.55,172.49,md_patch:2005.md
peanut,山东,2004,流转地租金,9.76,0.71,md_patch:2005.md
peanut,山东,2004,畜力费,20.95,2.42,md_patch:2005.md
peanut,山东,2004,销售费,4.74,1.76,md_patch:2005.md
peanut,江苏,2004,人工成本,202.35,189.6,md_patch:2005.md
peanut,江苏,2004,其他直接费用,0.92,0.54,md_patch:2005.md
peanut,江苏,2004,农家肥费,8.43,7.36,md_patch:2005.md
peanut,江苏,2004,家庭用工天数,14.77,12.13,md_patch:2005.md
peanut,江苏,2004,家庭用工折价,202.35,166.18,md_patch:2005.md
peanut,江苏,2004,工具材料费,3.79,1.95,md_patch:2005.md
peanut,江苏,2004,平均出售价格,198.4,182.63,md_patch:2005.md
peanut,江苏,2004,每亩用工数量,14.77,13.4,md_patch:2005.md
peanut,江苏,2004,畜力费,8.71,1.27,md_patch:2005.md
peanut,江苏,2004,销售费,0.76,0.65,md_patch:2005.md
peanut,江苏,2004,雇工工价,19.0,18.44,md_patch:2005.md
peanut,河北,2004,人工成本,167.08,148.36,md_patch:2005.md
peanut,河北,2004,修理维护费,1.18,0.75,md_patch:2005.md
peanut,河北,2004,农家肥费,20.7,11.6,md_patch:2005.md
peanut,河北,2004,农药费,13.54,10.48,md_patch:2005.md
peanut,河北,2004,化肥费,76.95,62.79,md_patch:2005.md
peanut,河北,2004,土地成本,68.84,53.44,md_patch:2005.md
peanut,河北,2004,家庭用工天数,11.59,10.68,md_patch:2005.md
peanut,河北,2004,家庭用工折价,158.78,146.32,md_patch:2005.md
peanut,河北,2004,工具材料费,6.83,0.69,md_patch:2005.md
peanut,河北,2004,平均出售价格,182.18,185.04,md_patch:2005.md
peanut,河北,2004,总成本,482.51,450.88,md_patch:2005.md
peanut,河北,2004,技术服务费,0.6,0.11,md_patch:2005.md
peanut,河北,2004,每亩化肥折纯用量,19.02,14.97,md_patch:2005.md
peanut,河北,2004,每亩化肥用量,19.02,14.97,md_patch:2005.md
peanut,河北,2004,每亩用工数量,12.01,10.81,md_patch:2005.md
peanut,河北,2004,流转地租金,8.67,4.78,md_patch:2005.md
peanut,河北,2004,生产成本,413.67,397.44,md_patch:2005.md
peanut,河北,2004,畜力费,25.56,4.53,md_patch:2005.md
peanut,河北,2004,自营地折租,60.17,48.66,md_patch:2005.md
peanut,河北,2004,销售费,3.88,0.82,md_patch:2005.md
peanut,河北,2004,雇工天数,0.42,0.13,md_patch:2005.md
peanut,河北,2004,雇工工价,19.76,15.69,md_patch:2005.md
peanut,河北,2004,雇工费用,8.3,2.04,md_patch:2005.md
peanut,河南,2004,主产品产值,793.86,664.35,md_patch:2005.md
peanut,河南,2004,主产品产量,228.7,199.3,md_patch:2005.md
peanut,河南,2004,产值合计,809.99,689.39,md_patch:2005.md
peanut,河南,2004,化肥费,95.22,45.22,md_patch:2005.md
peanut,河南,2004,土地成本,56.47,41.98,md_patch:2005.md
peanut,河南,2004,工具材料费,0.32,0.11,md_patch:2005.md
peanut,河南,2004,平均出售价格,170.115,166.67,md_patch:2005.md
peanut,河南,2004,总成本,459.91,408.69,md_patch:2005.md
peanut,河南,2004,排灌费,42.65,3.72,md_patch:2005.md
peanut,河南,2004,机械作业费,34.62,14.63,md_patch:2005.md
peanut,河南,2004,每亩化肥折纯用量,29.02,10.94,md_patch:2005.md
peanut,河南,2004,每亩化肥用量,29.02,10.94,md_patch:2005.md
peanut,河南,2004,流转地租金,4.09,3.25,md_patch:2005.md
peanut,河南,2004,物质与服务费用,295.41,188.34,md_patch:2005.md
peanut,河南,2004,生产成本,403.44,366.71,md_patch:2005.md
peanut,河南,2004,自营地折租,52.38,38.73,md_patch:2005.md
peanut,河南,2004,雇工工价,16.06,15.43,md_patch:2005.md
peanut,福建,2004,平均出售价格,188.4,179.95,md_patch:2005.md
peanut,福建,2004,排灌费,11.62,4.93,md_patch:2005.md
peanut,福建,2004,管理费,2.14,0.94,md_patch:2005.md
peanut,辽宁,2004,主产品产值,640.66,604.92,md_patch:2005.md
peanut,辽宁,2004,产值合计,665.98,618.18,md_patch:2005.md
peanut,辽宁,2004,人工成本,159.22,147.26,md_patch:2005.md
peanut,辽宁,2004,农家肥费,43.38,1.88,md_patch:2005.md
peanut,辽宁,2004,农药费,11.15,9.6,md_patch:2005.md
peanut,辽宁,2004,固定资产折旧,2.71,2.4,md_patch:2005.md
peanut,辽宁,2004,家庭用工天数,9.97,9.51,md_patch:2005.md
peanut,辽宁,2004,家庭用工折价,136.59,130.29,md_patch:2005.md
peanut,辽宁,2004,平均出售价格,185.91,167.01,md_patch:2005.md
peanut,辽宁,2004,机械作业费,22.84,17.76,md_patch:2005.md
peanut,辽宁,2004,每亩用工数量,11.48,10.34,md_patch:2005.md
peanut,辽宁,2004,流转地租金,8.98,6.28,md_patch:2005.md
peanut,辽宁,2004,生产成本,382.47,379.72,md_patch:2005.md
peanut,辽宁,2004,畜力费,34.01,19.21,md_patch:2005.md
peanut,辽宁,2004,雇工天数,1.51,0.83,md_patch:2005.md
peanut,辽宁,2004,雇工费用,22.63,16.97,md_patch:2005.md
peanut,吉林,2019,主产品产值,1806.4,1197.44,pdf_patch:2020.pdf
peanut,吉林,2019,产值合计,1811.2,1219.9,pdf_patch:2020.pdf
peanut,吉林,2019,人工成本,758.85,187.44,pdf_patch:2020.pdf
peanut,吉林,2019,农药费,44.28,32.57,pdf_patch:2020.pdf
peanut,吉林,2019,化肥费,131.89,105.5,pdf_patch:2020.pdf
peanut,吉林,2019,家庭用工天数,8.79,2.17,pdf_patch:2020.pdf
peanut,吉林,2019,家庭用工折价,758.85,187.44,pdf_patch:2020.pdf
peanut,吉林,2019,工具材料费,9.42,2.29,pdf_patch:2020.pdf
peanut,吉林,2019,平均出售价格,404.925,322.79,pdf_patch:2020.pdf
peanut,吉林,2019,总成本,1451.82,769.33,pdf_patch:2020.pdf
peanut,吉林,2019,每亩化肥折纯用量,17.0,16.27,pdf_patch:2020.pdf
peanut,吉林,2019,每亩化肥用量,17.0,16.27,pdf_patch:2020.pdf
peanut,吉林,2019,每亩用工数量,8.79,2.17,pdf_patch:2020.pdf
peanut,吉林,2019,每亩种子用量,10.96,9.41,pdf_patch:2020.pdf
peanut,吉林,2019,流转地租金,19.97,13.61,pdf_patch:2020.pdf
peanut,吉林,2019,物质与服务费用,503.64,381.89,pdf_patch:2020.pdf
peanut,吉林,2019,生产成本,1262.49,569.33,pdf_patch:2020.pdf
peanut,吉林,2019,种子费,171.76,86.25,pdf_patch:2020.pdf
peanut,安徽,2019,主产品产值,1843.69,1825.03,pdf_patch:2020.pdf
peanut,安徽,2019,产值合计,1860.31,1837.9,pdf_patch:2020.pdf
peanut,安徽,2019,人工成本,857.1,440.92,pdf_patch:2020.pdf
peanut,安徽,2019,修理维护费,2.89,0.14,pdf_patch:2020.pdf
peanut,安徽,2019,农家肥费,12.09,5.5,pdf_patch:2020.pdf
peanut,安徽,2019,化肥费,175.99,135.45,pdf_patch:2020.pdf
peanut,安徽,2019,固定资产折旧,5.59,0.61,pdf_patch:2020.pdf
peanut,安徽,2019,家庭用工天数,9.91,5.05,pdf_patch:2020.pdf
peanut,安徽,2019,家庭用工折价,855.68,436.39,pdf_patch:2020.pdf
peanut,安徽,2019,工具材料费,4.51,3.05,pdf_patch:2020.pdf
peanut,安徽,2019,平均出售价格,404.475,312.11,pdf_patch:2020.pdf
peanut,安徽,2019,总成本,1561.95,1213.04,pdf_patch:2020.pdf
peanut,安徽,2019,机械作业费,110.79,85.73,pdf_patch:2020.pdf
peanut,安徽,2019,每亩用工数量,9.92,5.1,pdf_patch:2020.pdf
peanut,安徽,2019,燃料动力费,1.85,0.94,pdf_patch:2020.pdf
peanut,安徽,2019,物质与服务费用,515.94,468.12,pdf_patch:2020.pdf
peanut,安徽,2019,生产成本,1373.04,909.04,pdf_patch:2020.pdf
peanut,安徽,2019,雇工工价,141.5,90.56,pdf_patch:2020.pdf
peanut,江西,2019,人工成本,934.03,828.03,pdf_patch:2020.pdf
peanut,江西,2019,家庭用工天数,10.81,7.39,pdf_patch:2020.pdf
peanut,江西,2019,家庭用工折价,934.03,638.52,pdf_patch:2020.pdf
peanut,江西,2019,平均出售价格,405.08,347.19,pdf_patch:2020.pdf
peanut,江西,2019,每亩用工数量,10.81,8.97,pdf_patch:2020.pdf
peanut,江西,2019,每亩种子用量,18.01,15.85,pdf_patch:2020.pdf
peanut,江西,2019,种子费,217.2,211.25,pdf_patch:2020.pdf
peanut,河北,2019,农家肥费,10.24,6.31,pdf_patch:2020.pdf
peanut,河北,2019,农药费,65.2,20.86,pdf_patch:2020.pdf
peanut,河北,2019,化肥费,150.2,112.64,pdf_patch:2020.pdf
peanut,河北,2019,土地成本,355.06,225.85,pdf_patch:2020.pdf
peanut,河北,2019,工具材料费,3.45,2.38,pdf_patch:2020.pdf
peanut,河北,2019,平均出售价格,299.73,305.97,pdf_patch:2020.pdf
peanut,河北,2019,每亩化肥折纯用量,23.45,18.35,pdf_patch:2020.pdf
peanut,河北,2019,每亩化肥用量,23.45,18.35,pdf_patch:2020.pdf
peanut,河北,2019,每亩种子用量,18.29,17.72,pdf_patch:2020.pdf
peanut,河北,2019,流转地租金,51.65,12.33,pdf_patch:2020.pdf
peanut,河北,2019,物质与服务费用,513.58,506.39,pdf_patch:2020.pdf
peanut,河北,2019,自营地折租,303.41,213.52,pdf_patch:2020.pdf
peanut,河北,2019,雇工工价,85.39,80.22,pdf_patch:2020.pdf
peanut,福建,2019,农家肥费,26.92,8.6,pdf_patch:2020.pdf
peanut,福建,2019,化肥费,133.24,83.01,pdf_patch:2020.pdf
peanut,福建,2019,固定资产折旧,3.78,2.04,pdf_patch:2020.pdf
peanut,福建,2019,平均出售价格,506.985,615.96,pdf_patch:2020.pdf
peanut,福建,2019,排灌费,3.58,1.06,pdf_patch:2020.pdf
peanut,福建,2019,机械作业费,152.07,38.36,pdf_patch:2020.pdf
peanut,福建,2019,每亩化肥折纯用量,15.38,12.41,pdf_patch:2020.pdf
peanut,福建,2019,每亩化肥用量,15.38,12.41,pdf_patch:2020.pdf
peanut,福建,2019,每亩种子用量,13.81,10.89,pdf_patch:2020.pdf
peanut,福建,2019,物质与服务费用,541.54,482.85,pdf_patch:2020.pdf
peanut,辽宁,2019,主产品产值,5271.05,1291.19,pdf_patch:2020.pdf
peanut,辽宁,2019,主产品产量,298.39,208.9,pdf_patch:2020.pdf
peanut,辽宁,2019,产值合计,5281.05,1333.17,pdf_patch:2020.pdf
peanut,辽宁,2019,人工成本,911.64,364.05,pdf_patch:2020.pdf
peanut,辽宁,2019,修理维护费,2.15,1.98,pdf_patch:2020.pdf
peanut,辽宁,2019,固定资产折旧,3.95,3.24,pdf_patch:2020.pdf
peanut,辽宁,2019,家庭用工天数,9.78,4.21,pdf_patch:2020.pdf
peanut,辽宁,2019,家庭用工折价,844.36,363.23,pdf_patch:2020.pdf
peanut,辽宁,2019,工具材料费,4.28,2.51,pdf_patch:2020.pdf
peanut,辽宁,2019,平均出售价格,596.145,309.04,pdf_patch:2020.pdf
peanut,辽宁,2019,总成本,1667.17,1096.86,pdf_patch:2020.pdf
peanut,辽宁,2019,机械作业费,161.04,114.06,pdf_patch:2020.pdf
peanut,辽宁,2019,每亩用工数量,10.19,4.22,pdf_patch:2020.pdf
peanut,辽宁,2019,流转地租金,39.04,32.5,pdf_patch:2020.pdf
peanut,辽宁,2019,物质与服务费用,594.23,457.1,pdf_patch:2020.pdf
peanut,辽宁,2019,生产成本,1505.87,821.15,pdf_patch:2020.pdf
peanut,辽宁,2019,种子费,267.07,145.66,pdf_patch:2020.pdf
peanut,辽宁,2019,雇工天数,0.41,0.01,pdf_patch:2020.pdf
peanut,辽宁,2019,雇工工价,164.09,82.7,pdf_patch:2020.pdf
peanut,辽宁,2019,雇工费用,67.28,0.83,pdf_patch:2020.pdf
peanut,吉林,2020,人工成本,915.15,193.19,pdf_patch:2021.pdf
peanut,吉林,2020,修理维护费,2.25,0.12,pdf_patch:2021.pdf
peanut,吉林,2020,固定资产折旧,3.43,0.9,pdf_patch:2021.pdf
peanut,吉林,2020,家庭用工天数,9.15,2.15,pdf_patch:2021.pdf
peanut,吉林,2020,家庭用工折价,821.4,193.19,pdf_patch:2021.pdf
peanut,吉林,2020,工具材料费,3.7,2.26,pdf_patch:2021.pdf
peanut,吉林,2020,机械作业费,175.0,146.54,pdf_patch:2021.pdf
peanut,吉林,2020,每亩种子用量,10.25,9.4,pdf_patch:2021.pdf
peanut,吉林,2020,物质与服务费用,561.68,369.84,pdf_patch:2021.pdf
peanut,吉林,2020,种子费,234.3,85.41,pdf_patch:2021.pdf
peanut,吉林,2020,雇工工价,148.81,146.42,pdf_patch:2021.pdf
peanut,安徽,2020,人工成本,772.58,415.71,pdf_patch:2021.pdf
peanut,安徽,2020,修理维护费,0.94,0.17,pdf_patch:2021.pdf
peanut,安徽,2020,农家肥费,6.7,5.45,pdf_patch:2021.pdf
peanut,安徽,2020,农药费,51.23,41.79,pdf_patch:2021.pdf
peanut,安徽,2020,固定资产折旧,1.27,0.75,pdf_patch:2021.pdf
peanut,安徽,2020,家庭用工天数,8.58,4.57,pdf_patch:2021.pdf
peanut,安徽,2020,家庭用工折价,769.96,410.43,pdf_patch:2021.pdf
peanut,安徽,2020,工具材料费,9.96,2.89,pdf_patch:2021.pdf
peanut,安徽,2020,机械作业费,115.89,89.31,pdf_patch:2021.pdf
peanut,安徽,2020,物质与服务费用,515.18,488.26,pdf_patch:2021.pdf
peanut,江西,2020,人工成本,971.67,731.09,pdf_patch:2021.pdf
peanut,江西,2020,农家肥费,13.38,9.76,pdf_patch:2021.pdf
peanut,江西,2020,家庭用工天数,10.82,8.14,pdf_patch:2021.pdf
peanut,江西,2020,家庭用工折价,971.67,731.09,pdf_patch:2021.pdf
peanut,河北,2020,农家肥费,10.17,5.2,pdf_patch:2021.pdf
peanut,河北,2020,农药费,70.47,26.67,pdf_patch:2021.pdf
peanut,河北,2020,化肥费,148.92,116.84,pdf_patch:2021.pdf
peanut,河北,2020,工具材料费,3.37,1.87,pdf_patch:2021.pdf
peanut,河北,2020,每亩化肥折纯用量,25.14,18.55,pdf_patch:2021.pdf
peanut,河北,2020,每亩化肥用量,25.14,18.55,pdf_patch:2021.pdf
peanut,河北,2020,物质与服务费用,544.93,530.41,pdf_patch:2021.pdf
peanut,福建,2020,农家肥费,10.4,9.7,pdf_patch:2021.pdf
peanut,福建,2020,农药费,50.15,45.8,pdf_patch:2021.pdf
peanut,福建,2020,化肥费,180.57,99.34,pdf_patch:2021.pdf
peanut,福建,2020,固定资产折旧,5.7,3.03,pdf_patch:2021.pdf
peanut,福建,2020,机械作业费,119.62,30.29,pdf_patch:2021.pdf
peanut,福建,2020,每亩化肥折纯用量,23.17,13.36,pdf_patch:2021.pdf
peanut,福建,2020,每亩化肥用量,23.17,13.36,pdf_patch:2021.pdf
peanut,福建,2020,物质与服务费用,554.83,541.4,pdf_patch:2021.pdf
peanut,辽宁,2020,人工成本,778.66,366.56,pdf_patch:2021.pdf
peanut,辽宁,2020,农膜费,13.86,0.76,pdf_patch:2021.pdf
peanut,辽宁,2020,固定资产折旧,4.69,3.36,pdf_patch:2021.pdf
peanut,辽宁,2020,家庭用工天数,8.67,4.0,pdf_patch:2021.pdf
peanut,辽宁,2020,家庭用工折价,778.66,358.63,pdf_patch:2021.pdf
peanut,辽宁,2020,每亩农膜用量,0.98,0.07,pdf_patch:2021.pdf
peanut,辽宁,2020,每亩种子用量,15.45,13.14,pdf_patch:2021.pdf
peanut,辽宁,2020,燃料动力费,6.56,0.15,pdf_patch:2021.pdf
peanut,辽宁,2020,种子费,183.11,161.3,pdf_patch:2021.pdf
rice_early_indica,安徽,2005,主产品产值,609.82,488.43,md_patch:2006.md
rice_early_indica,安徽,2005,主产品产量,373.4,358.6,md_patch:2006.md
rice_early_indica,安徽,2005,产值合计,627.05,497.86,md_patch:2006.md
rice_early_indica,安徽,2005,人工成本,161.1,153.63,md_patch:2006.md
rice_early_indica,安徽,2005,农家肥费,6.32,3.08,md_patch:2006.md
rice_early_indica,安徽,2005,农膜费,3.17,1.94,md_patch:2006.md
rice_early_indica,安徽,2005,农药费,21.29,6.74,md_patch:2006.md
rice_early_indica,安徽,2005,化肥费,102.22,60.5,md_patch:2006.md
rice_early_indica,安徽,2005,土地成本,97.31,41.84,md_patch:2006.md
rice_early_indica,安徽,2005,家庭用工天数,9.89,9.22,md_patch:2006.md
rice_early_indica,安徽,2005,家庭用工折价,151.32,141.07,md_patch:2006.md
rice_early_indica,安徽,2005,平均出售价格,74.88,68.1,md_patch:2006.md
rice_early_indica,安徽,2005,总成本,498.22,382.85,md_patch:2006.md
rice_early_indica,安徽,2005,机械作业费,48.93,31.56,md_patch:2006.md
rice_early_indica,安徽,2005,每亩农膜用量,0.29,0.18,md_patch:2006.md
rice_early_indica,安徽,2005,每亩化肥折纯用量,23.42,14.03,md_patch:2006.md
rice_early_indica,安徽,2005,每亩化肥用量,23.42,14.03,md_patch:2006.md
rice_early_indica,安徽,2005,每亩用工数量,10.23,9.63,md_patch:2006.md
rice_early_indica,安徽,2005,流转地租金,18.01,1.06,md_patch:2006.md
rice_early_indica,安徽,2005,燃料动力费,0.77,0.19,md_patch:2006.md
rice_early_indica,安徽,2005,物质与服务费用,239.81,187.38,md_patch:2006.md
rice_early_indica,安徽,2005,生产成本,400.91,341.01,md_patch:2006.md
rice_early_indica,安徽,2005,种子费,20.02,13.77,md_patch:2006.md
rice_early_indica,安徽,2005,自营地折租,79.3,40.78,md_patch:2006.md
rice_early_indica,安徽,2005,销售费,0.51,0.21,md_patch:2006.md
rice_early_indica,江西,2005,主产品产值,537.57,517.45,md_patch:2006.md
rice_early_indica,江西,2005,工具材料费,3.6,3.44,md_patch:2006.md
rice_early_indica,江西,2005,平均出售价格,75.75,69.18,md_patch:2006.md
rice_early_indica,江西,2005,排灌费,9.22,9.09,md_patch:2006.md
rice_early_indica,江西,2005,燃料动力费,2.65,0.39,md_patch:2006.md
rice_early_indica,江西,2005,种子费,21.02,16.71,md_patch:2006.md
rice_early_indica,浙江,2005,人工成本,181.09,104.86,md_patch:2006.md
rice_early_indica,浙江,2005,修理维护费,3.13,1.28,md_patch:2006.md
rice_early_indica,浙江,2005,农家肥费,9.86,4.7,md_patch:2006.md
rice_early_indica,浙江,2005,农膜费,5.61,3.08,md_patch:2006.md
rice_early_indica,浙江,2005,化肥费,70.03,64.53,md_patch:2006.md
rice_early_indica,浙江,2005,固定资产折旧,10.53,6.23,md_patch:2006.md
rice_early_indica,浙江,2005,家庭用工天数,10.04,5.53,md_patch:2006.md
rice_early_indica,浙江,2005,家庭用工折价,153.61,84.61,md_patch:2006.md
rice_early_indica,浙江,2005,工具材料费,3.75,2.36,md_patch:2006.md
rice_early_indica,浙江,2005,平均出售价格,73.945,79.35,md_patch:2006.md
rice_early_indica,浙江,2005,总成本,432.57,415.44,md_patch:2006.md
rice_early_indica,浙江,2005,排灌费,8.9,8.48,md_patch:2006.md
rice_early_indica,浙江,2005,每亩农膜用量,0.66,0.24,md_patch:2006.md
rice_early_indica,浙江,2005,每亩化肥折纯用量,20.48,16.59,md_patch:2006.md
rice_early_indica,浙江,2005,每亩化肥用量,20.48,16.59,md_patch:2006.md
rice_early_indica,浙江,2005,每亩用工数量,10.91,6.08,md_patch:2006.md
rice_early_indica,浙江,2005,燃料动力费,2.09,0.46,md_patch:2006.md
rice_early_indica,浙江,2005,生产成本,400.83,325.13,md_patch:2006.md
rice_early_indica,浙江,2005,畜力费,30.08,10.43,md_patch:2006.md
rice_early_indica,浙江,2005,种子费,16.61,13.36,md_patch:2006.md
rice_early_indica,浙江,2005,销售费,1.83,0.39,md_patch:2006.md
rice_early_indica,浙江,2005,雇工天数,0.87,0.55,md_patch:2006.md
rice_early_indica,浙江,2005,雇工费用,27.48,20.25,md_patch:2006.md
rice_early_indica,福建,2005,其他直接费用,5.06,1.39,md_patch:2006.md
rice_early_indica,福建,2005,农家肥费,20.41,6.82,md_patch:2006.md
rice_early_indica,福建,2005,农膜费,7.12,5.68,md_patch:2006.md
rice_early_indica,福建,2005,化肥费,93.89,90.45,md_patch:2006.md
rice_early_indica,福建,2005,土地成本,78.81,52.39,md_patch:2006.md
rice_early_indica,福建,2005,工具材料费,5.82,3.8,md_patch:2006.md
rice_early_indica,福建,2005,平均出售价格,73.63,74.21,md_patch:2006.md
rice_early_indica,福建,2005,总成本,553.82,494.5,md_patch:2006.md
rice_early_indica,福建,2005,排灌费,7.97,6.1,md_patch:2006.md
rice_early_indica,福建,2005,机械作业费,44.81,18.19,md_patch:2006.md
rice_early_indica,福建,2005,每亩农膜用量,0.8,0.54,md_patch:2006.md
rice_early_indica,福建,2005,物质与服务费用,257.52,219.96,md_patch:2006.md
rice_early_indica,福建,2005,生产成本,475.01,442.11,md_patch:2006.md
rice_early_indica,福建,2005,种子费,23.26,14.57,md_patch:2006.md
rice_early_indica,福建,2005,管理费,0.27,0.22,md_patch:2006.md
rice_early_indica,福建,2005,自营地折租,71.9,42.87,md_patch:2006.md
rice_early_indica,福建,2005,销售费,2.85,2.23,md_patch:2006.md
rice_early_indica,安徽,2019,主产品产值,1130.92,992.72,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,产值合计,1142.23,1006.18,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,人工成本,531.86,279.26,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,农膜费,4.67,0.33,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,农药费,59.9,42.55,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,化肥费,168.85,126.95,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,土地成本,209.11,195.2,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,家庭用工天数,5.77,2.71,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,家庭用工折价,498.41,233.83,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,工具材料费,12.17,2.41,pdf_patch:2020.pdf
