crop,period,f_n,f_m,S_n,eps,allen,morishima
corn,2004-2008,seed,mach,0.0730714735534386,0.0915587311786676,0.692700120352373,1.08438451379383
corn,2004-2008,seed,fert,0.0730714735534386,0.221147779447103,0.884844497180556,0.688805639902688
corn,2004-2008,seed,seed,0.0730714735534386,-0.466028683724542,-6.37771022071597,0
corn,2004-2008,seed,other,0.0730714735534386,-0.00635862180482943,-0.0936615511628688,0.902193320471235
corn,2004-2008,other,labor,0.0678893497479277,0.264022413785807,0.553582486905379,0.593781248903241
corn,2004-2008,other,mach,0.0678893497479277,0.21552215891466,1.63056241056311,1.20834794152982
corn,2004-2008,other,fert,0.0678893497479277,0.435851357134369,1.7439048038973,0.903509217589954
corn,2004-2008,other,seed,0.0678893497479277,-0.00684398755877161,-0.0936615511628688,0.45918469616577
corn,2004-2008,other,other,0.0678893497479277,-0.908551942276064,-13.382834651525,0
corn,2009-2014,labor,labor,0.530443852481757,-0.295749427593422,-0.557550862753364,0
corn,2009-2014,labor,mach,0.530443852481757,0.181256433528017,1.26578036462347,1.15344093980448
corn,2009-2014,labor,fert,0.530443852481757,0.0579468271397245,0.291395763664078,0.504147239335482
corn,2009-2014,labor,seed,0.530443852481757,0.0258347358361019,0.371519230455208,0.471977437018836
corn,2009-2014,labor,other,0.530443852481757,0.0307114310895788,0.529862417670615,0.945156191992459
corn,2009-2014,mach,labor,0.143197381310252,0.671425413006635,1.26578036462347,0.967174840600057
corn,2009-2014,mach,mach,0.143197381310252,-0.972184506276468,-6.78912210112368,0
corn,2009-2014,mach,fert,0.143197381310252,0.154472710493549,0.776793064631317,0.600673122689307
corn,2009-2014,mach,seed,0.143197381310252,0.0488114079037688,0.701937763826567,0.494954109086503
corn,2009-2014,mach,other,0.143197381310252,0.0974749748725148,1.68172970180666,1.01191973577539
corn,2009-2014,fert,labor,0.198859538694344,0.154569091474837,0.291395763664078,0.450318519068259
corn,2009-2014,fert,mach,0.198859538694344,0.11123473267517,0.776793064631317,1.08341923895164
corn,2009-2014,fert,fert,0.198859538694344,-0.446200412195757,-2.24379687856758,0
corn,2009-2014,fert,seed,0.198859538694344,0.0589625642602794,0.84791757262845,0.505105265443013
corn,2009-2014,fert,other,0.198859538694344,0.121434023785471,2.09509368816987,1.03587878468835
corn,2009-2014,seed,labor,0.0695380850257674,0.197070091873719,0.371519230455208,0.49281951946714
corn,2009-2014,seed,mach,0.0695380850257674,0.100515649622739,0.701937763826567,1.07270015589921
corn,2009-2014,seed,fert,0.0695380850257674,0.168616497343721,0.84791757262845,0.614816909539479
corn,2009-2014,seed,seed,0.0695380850257674,-0.446142701182734,-6.41580367100152,0
corn,2009-2014,seed,other,0.0695380850257674,-0.0200595376574448,-0.346085960290372,0.894385223245435
corn,2009-2014,other,labor,0.0579611424878794,0.281062262114499,0.529862417670615,0.576811689707921
corn,2009-2014,other,mach,0.0579611424878794,0.240819289370385,1.68172970180666,1.21300379564685
corn,2009-2014,other,fert,0.0579611424878794,0.416629364350892,2.09509368816987,0.86282977654665
corn,2009-2014,other,seed,0.0579611424878794,-0.0240661549328962,-0.346085960290372,0.422076546249838
corn,2009-2014,other,other,0.0579611424878794,-0.91444476090288,-15.7768587997399,0
corn,2015-2019,labor,labor,0.563134246719254,-0.27314865271147,-0.485050686053633,0
corn,2015-2019,labor,mach,0.563134246719254,0.19069392006263,1.23152102337393,1.14255295640477
corn,2015-2019,labor,fert,0.563134246719254,0.0331682027363588,0.199927902952325,0.441813097307201
corn,2015-2019,labor,seed,0.563134246719254,0.0257957773461711,0.385229445996505,0.455883121826438
corn,2015-2019,labor,other,0.563134246719254,0.0234907525663101,0.477856454298594,0.941796943970443
corn,2015-2019,mach,labor,0.154844226321201,0.693511663816601,1.23152102337393,0.966660316528071
corn,2015-2019,mach,mach,0.154844226321201,-0.951859036342135,-6.1472039284671,0
corn,2015-2019,mach,fert,0.154844226321201,0.124852613362142,0.752573823972919,0.533497507932984
corn,2015-2019,mach,seed,0.154844226321201,0.0477944236559672,0.713753227888027,0.477881768136234
corn,2015-2019,mach,other,0.154844226321201,0.0857003355074246,1.74334382613654,1.00400652691156
corn,2015-2019,fert,labor,0.165900818477889,0.112586249027218,0.199927902952325,0.385734901738688
corn,2015-2019,fert,mach,0.165900818477889,0.116531711522674,0.752573823972919,1.06839074786481
corn,2015-2019,fert,fert,0.165900818477889,-0.408644894570842,-2.46318793553936,0
corn,2015-2019,fert,seed,0.165900818477889,0.0542856033247804,0.810691324155626,0.484372947805047
corn,2015-2019,fert,other,0.165900818477889,0.125241330696169,2.54769948511316,1.0435475221003
corn,2015-2019,seed,labor,0.0669621120977475,0.216935893885317,0.385229445996505,0.490084546596787
corn,2015-2019,seed,mach,0.0669621120977475,0.110520566356581,0.713753227888027,1.06237960269872
corn,2015-2019,seed,fert,0.0669621120977475,0.134494354210342,0.810691324155626,0.543139248781184
corn,2015-2019,seed,seed,0.0669621120977475,-0.430087344480266,-6.42284615892117,0
corn,2015-2019,seed,other,0.0669621120977475,-0.0318634699719743,-0.648176968340059,0.886442721432158
corn,2015-2019,other,labor,0.0491585963839084,0.269097334431372,0.477856454298594,0.542245987142842
corn,2015-2019,other,mach,0.0491585963839084,0.269946725969955,1.74334382613654,1.22180576231209
corn,2015-2019,other,fert,0.0491585963839084,0.422665429815971,2.54769948511317,0.831310324386813
corn,2015-2019,other,seed,0.0491585963839084,-0.0434032988131652,-0.648176968340059,0.386684045667101
corn,2015-2019,other,other,0.0491585963839084,-0.918306191404132,-18.6804803016046,0
corn,2020-2024,labor,labor,0.538813202816632,-0.290079805702472,-0.538368035872335,0
corn,2020-2024,labor,mach,0.538813202816632,0.194750190093962,1.23822058717022,1.1425171067449
corn,2020-2024,labor,fert,0.538813202816632,0.0461681118899289,0.249703086281125,0.479522399213925
corn,2020-2024,labor,seed,0.538813202816632,0.0244741934533378,0.362587619559594,0.458023216196352
corn,2020-2024,labor,other,0.538813202816632,0.0246873102652433,0.479237261986032,0.942125821737567
corn,2020-2024,mach,labor,0.157282306651867,0.667169600366678,1.23822058717022,0.95724940606915
corn,2020-2024,mach,mach,0.157282306651867,-0.947766916650937,-6.02589659845687,0
corn,2020-2024,mach,fert,0.157282306651867,0.144480130942172,0.781429716869822,0.577834418266168
corn,2020-2024,mach,seed,0.157282306651867,0.0486281370311588,0.720430705239069,0.482177159774173
corn,2020-2024,mach,other,0.157282306651867,0.0874890483109294,1.69836290449685,1.00492755978325
corn,2020-2024,fert,labor,0.184892035487103,0.134543319672331,0.249703086281125,0.424623125374803
corn,2020-2024,fert,mach,0.184892035487103,0.122905068355601,0.781429716869822,1.07067198500654
corn,2020-2024,fert,fert,0.184892035487103,-0.433354287323996,-2.34382344367789,0
corn,2020-2024,fert,seed,0.184892035487103,0.0561242623617334,0.831486550438443,0.489673285104747
corn,2020-2024,fert,other,0.184892035487103,0.119781636934331,2.32523604652999,1.03722014840666
corn,2020-2024,seed,labor,0.0674987013706224,0.195366996596563,0.362587619559594,0.485446802299035
corn,2020-2024,seed,mach,0.0674987013706224,0.113311003102832,0.720430705239069,1.06107791975377
corn,2020-2024,seed,fert,0.0674987013706224,0.153735240790713,0.831486550438443,0.587089528114709
corn,2020-2024,seed,seed,0.0674987013706224,-0.433549022743014,-6.4230720582679,0
corn,2020-2024,seed,other,0.0674987013706224,-0.0288642177470944,-0.560320607383503,0.88857429372523
corn,2020-2024,other,labor,0.0515137536737761,0.258219364039767,0.479237261986032,0.548299169742239
corn,2020-2024,other,mach,0.0515137536737761,0.267122435151229,1.69836290449685,1.21488935180217
corn,2020-2024,other,fert,0.0515137536737761,0.429917625630913,2.32523604652999,0.863271912954909
corn,2020-2024,other,seed,0.0515137536737761,-0.0378209133495848,-0.560320607383503,0.395728109393429
corn,2020-2024,other,other,0.0515137536737761,-0.917438511472324,-17.8095837721754,0
