province,data_year,crop,cash_income,labor_cost,land_cost,main_revenue,material_cost,net_profit,price_yuan_50kg,prod_cost,revenue,total_cost,yield_kg_mu
吉林省,2021,大豆,505.63,262.13,330.95,887.27,252.35,55.75,296.63,514.48,901.18,845.43,149.56
吉林省,2022,大豆,420.18,257.71,393.52,853.56,296.96,-80.86,285.19,554.67,867.33,948.19,149.65
吉林省,2023,大豆,231.96,267.17,587.03,712.83,306.07,-433.2,246.98,573.24,727.07,1160.27,144.31
四川,2024,大豆,518.09,512.09,118.41,601.03,82.43,-110.38,248.34,594.52,602.55,712.93,121.01
四川省,2021,大豆,746.25,485.16,106.71,814.44,68.1,156.07,300.29,553.26,816.04,659.97,135.61
安徽,2006,大豆,257.14,117.55,25.65,316.8,83.29,115.47,120.73,200.84,341.96,226.49,131.2
安徽,2007,大豆,386.62,106.22,32.69,459.89,87.7,248.97,189.57,193.92,475.58,226.61,121.3
安徽,2008,大豆,404.32,110.36,50.03,516.46,129.79,246.95,186.45,240.15,537.13,290.18,138.5
安徽,2009,大豆,361.12,121.52,77.06,454.14,109.95,166.04,168.78,231.47,474.57,308.53,134.54
安徽,2010,大豆,396.47,141.69,96.5,511.35,131.82,163.04,198.97,273.51,533.05,370.01,128.5
安徽,2011,大豆,413.03,138.36,126.84,540.74,134.73,153.5,201.03,273.09,553.43,399.93,134.49
安徽,2012,大豆,568.24,186.87,146.92,732.65,163.02,246.15,243.6,349.89,742.96,496.81,150.38
安徽,2013,大豆,456.82,225.83,164.24,635.71,164.11,88.45,249.77,389.94,642.63,554.18,127.26
安徽,2014,大豆,358.31,272.69,203.88,544.41,169.65,-94.31,237.28,442.34,551.91,646.22,114.72
安徽,2015,大豆,422.73,232.42,208.36,620.03,183.38,9.64,204.59,415.8,633.8,624.16,151.53
安徽,2016,大豆,285.45,242.641,223.17,491.49,178.49,-135.601,193.85,421.131,508.7,644.301,126.77
安徽,2017,大豆,298.83,252.8005,226.73,497.86,178.92,-145.9505,199.67,431.7205,512.5,658.4505,124.67
安徽,2018,大豆,200.68,253.31176,227.74,403.11,178.68,-241.97176,188.05,431.99176,417.76,659.73176,107.18
安徽,2024,大豆,279.08,219.05,331.82,608.3,244.26,-163.61,199.77,463.31,631.52,795.13,152.25
安徽省,2021,大豆,624.7,209.17,269.43,868.67,207.42,205.71,303.92,416.59,891.73,686.02,142.91
山东,2006,大豆,357.79,94.98,36.11,444.59,93.43,228.29,141.23,188.41,452.81,224.52,157.4
山东,2007,大豆,631.46,106.61,56.12,713.97,97.61,470.86,231.81,204.22,731.2,260.34,154.0
山东,2008,大豆,556.8,120.74,67.24,665.8,124.53,369.83,196.4,245.27,682.34,312.51,169.5
山东,2009,大豆,578.39,139.97,70.37,682.81,114.13,368.38,205.68,254.1,692.85,324.47,165.99
山东,2010,大豆,688.4,171.43,88.01,791.78,117.25,429.76,247.49,288.68,806.45,376.69,159.96
山东,2011,大豆,669.51,221.36,102.38,783.33,126.5,346.27,235.46,347.86,796.51,450.24,166.34
山东,2012,大豆,819.21,315.39,130.54,949.1,142.57,374.05,273.22,457.96,962.55,588.5,173.69
山东,2013,大豆,771.04,369.24,138.24,903.32,145.37,263.62,264.19,514.61,916.47,652.85,170.96
山东,2014,大豆,829.48,388.0,141.53,952.98,136.48,299.95,275.24,524.48,965.96,666.01,173.12
山东,2015,大豆,688.62,452.56,145.52,833.63,157.09,90.54,250.58,609.65,845.71,755.17,166.34
山东,2016,大豆,742.82,434.5132,148.05,890.36,160.82,160.2568,257.9,595.3332,903.64,743.3832,172.62
山东,2017,大豆,747.39,447.9921,154.84,910.89,177.73,144.5579,246.11,625.7221,925.12,780.5621,185.06
山东,2018,大豆,656.71,448.89832,163.61,815.94,173.76,44.20168,233.31,622.65832,830.47,786.26832,174.86
山东,2024,大豆,700.53,395.1,226.09,953.31,264.48,87.42,264.73,659.58,973.09,885.67,180.05
山东省,2021,大豆,855.93,424.67,209.34,1042.58,196.73,231.31,308.55,621.4,1062.05,830.74,168.95
山西,2006,大豆,306.27,118.98,53.11,424.65,116.23,137.72,133.62,235.21,426.04,288.32,158.9
山西,2007,大豆,453.82,160.82,56.63,605.72,148.75,240.61,205.05,309.57,606.81,366.2,147.7
山西,2008,大豆,390.94,181.66,62.95,568.67,177.53,147.55,195.82,359.19,569.69,422.14,145.2
山西,2009,大豆,324.7,177.67,80.72,497.14,167.0,72.67,215.53,344.67,498.06,425.39,115.33
山西,2010,大豆,432.27,234.31,102.27,655.57,215.66,103.33,212.43,449.97,655.57,552.24,154.3
山西,2011,大豆,453.12,284.24,111.55,688.42,226.73,65.9,218.62,510.97,688.42,622.52,157.45
山西,2012,大豆,475.03,377.72,97.5,741.31,259.11,6.98,220.39,636.83,741.31,734.33,168.18
山西,2013,大豆,333.84,446.76,97.91,587.7,247.82,-204.79,231.25,694.58,587.7,792.49,127.07
山西,2014,大豆,380.71,471.4,108.97,636.29,249.02,-193.1,229.51,720.42,636.29,829.39,138.62
山西,2015,大豆,305.43,475.72,115.0,567.79,255.23,-278.16,216.07,730.95,567.79,845.95,131.39
山西,2016,大豆,402.78,473.6666,118.15,695.02,287.19,-183.9866,213.48,760.8566,695.02,879.0066,162.78
山西,2017,大豆,395.91,463.698,121.47,677.68,276.27,-183.758,222.45,739.968,677.68,861.438,152.32
山西,2018,大豆,329.31,477.42136,116.02,613.64,279.64,-259.44136,219.63,757.06136,613.64,873.08136,139.7
山西,2024,大豆,247.68,571.64,149.5,568.26,310.36,-463.24,289.78,882.0,568.26,1031.5,98.05
山西省,2019,大豆,263.86,466.11,162.97,531.52,258.38,-355.94,228.49,724.49,531.52,887.46,116.31
山西省,2020,大豆,423.87,527.04,181.01,705.6,270.47,-272.92,248.82,797.51,705.6,978.52,141.79
山西省,2021,大豆,474.34,587.31,190.46,770.99,283.62,-290.4,262.46,870.93,770.99,1061.39,146.88
山西省,2022,大豆,470.7,614.49,195.31,808.18,318.94,-320.56,283.41,933.43,808.18,1128.74,142.58
山西省,2023,大豆,391.86,597.31,151.63,742.17,339.5,-346.27,296.28,936.81,742.17,1088.44,125.25
江苏,2024,大豆,442.94,617.03,273.18,672.93,192.01,-396.93,237.21,809.04,685.29,1082.22,141.84
江苏省,2021,大豆,666.14,523.57,275.1,878.16,166.81,-74.67,294.47,690.38,890.81,965.48,149.11
河北,2006,大豆,373.55,84.16,76.55,478.71,105.24,214.36,151.88,189.4,480.31,265.95,157.6
河北,2007,大豆,675.02,99.3,95.71,811.8,137.09,480.82,251.96,236.39,812.92,332.1,161.1
河北,2008,大豆,409.81,109.51,115.29,577.02,166.64,186.71,183.76,276.15,578.15,391.44,157.0
河北,2009,大豆,511.95,124.79,110.13,673.71,161.97,278.1,207.68,286.76,674.99,396.89,162.2
河北,2010,大豆,674.04,144.48,122.51,830.24,156.2,407.05,252.06,300.68,830.24,423.19,164.69
河北,2011,大豆,517.99,162.8,141.51,670.7,156.14,213.68,220.31,318.94,674.13,460.45,152.22
河北,2012,大豆,620.78,218.01,244.44,787.22,170.25,158.33,261.74,388.26,791.03,632.7,150.38
河北,2013,大豆,670.57,270.57,251.57,855.14,188.31,148.43,250.13,458.88,858.88,710.45,170.94
河北,2014,大豆,586.94,420.06,188.8,807.68,220.74,-21.92,219.86,640.8,807.68,829.6,183.68
河北,2015,大豆,527.78,416.36,175.74,772.65,244.87,-64.32,200.36,661.23,772.65,836.97,192.82
河北,2016,大豆,671.26,461.8636,191.77,928.57,246.87,28.0664,251.96,708.7336,928.57,900.5036,184.27
河北,2017,大豆,681.77,429.0453,185.79,936.28,251.32,70.1247,244.57,680.3653,936.28,866.1553,191.41
河北,2018,大豆,573.53,427.59093,197.33,796.8,223.27,-51.39093,254.8,650.86093,796.8,848.19093,156.36
河北,2024,大豆,733.75,372.5,373.82,1027.85,294.1,-12.57,270.15,666.6,1027.85,1040.42,190.24
河北省,2019,大豆,480.52,415.32,198.86,699.79,219.27,-133.66,206.78,634.59,699.79,833.45,169.21
河北省,2020,大豆,743.88,382.96,209.21,1020.79,276.91,151.71,266.11,659.87,1020.79,869.08,191.8
河北省,2021,大豆,824.54,380.51,214.06,1128.0,303.46,229.97,286.12,683.97,1128.0,898.03,197.12
河北省,2022,大豆,914.77,398.45,211.9,1190.53,275.76,304.42,294.16,674.21,1190.53,886.11,202.36
河北省,2023,大豆,834.3,375.1,280.04,1145.85,311.55,179.16,290.41,686.65,1145.85,966.69,197.28
河南,2006,大豆,267.15,94.13,61.12,329.1,75.29,112.28,129.06,169.42,342.82,230.54,127.5
河南,2007,大豆,398.33,83.76,79.46,472.69,82.62,239.65,204.81,166.38,485.49,245.84,115.4
河南,2008,大豆,427.79,111.67,92.47,526.73,102.79,224.94,202.9,214.46,531.87,306.93,129.8
河南,2009,大豆,405.7,112.87,118.95,506.1,99.19,180.88,179.65,212.06,511.89,331.01,140.86
河南,2010,大豆,434.71,182.67,131.67,538.93,97.93,138.91,191.38,280.6,551.18,412.27,140.8
河南,2011,大豆,442.81,178.53,137.85,550.52,97.53,149.26,202.13,276.06,563.17,413.91,136.18
河南,2012,大豆,424.13,260.97,154.13,612.2,148.58,60.66,239.35,409.55,624.34,563.68,127.89
河南,2013,大豆,497.39,284.18,188.74,669.87,128.99,70.96,252.15,413.17,672.87,601.91,132.83
河南,2014,大豆,299.75,301.47,272.87,515.21,166.2,-221.75,245.55,467.67,518.79,740.54,104.91
河南,2015,大豆,407.34,295.23,312.01,605.68,129.1,-127.11,204.07,424.33,609.23,736.34,148.4
河南,2016,大豆,248.11,264.4046,309.87,479.57,153.36,-242.8746,180.36,417.7646,484.76,727.6346,132.95
河南,2017,大豆,249.3,252.7886,326.56,485.54,152.03,-240.6986,189.63,404.8186,490.68,731.3786,128.02
河南,2018,大豆,262.26,262.56477,289.46,485.97,159.7,-220.04477,180.19,422.26477,491.68,711.72477,134.85
河南,2024,大豆,212.17,278.73,365.53,573.71,250.61,-305.95,206.77,529.34,588.92,894.87,138.73
河南省,2021,大豆,496.53,261.45,308.52,778.89,179.41,35.77,278.45,440.86,785.15,749.38,139.86
湖北,2006,大豆,415.0,74.7,30.0,504.41,117.39,310.3,152.85,192.09,532.39,222.09,165.0
湖北,2024,大豆,218.01,273.48,100.73,524.7,307.83,-147.76,215.96,581.31,534.28,682.04,121.48
湖北省,2021,大豆,400.49,217.22,100.54,641.89,242.0,91.12,287.53,459.22,650.88,559.76,111.62
辽宁,2006,大豆,288.03,110.76,118.59,429.23,125.19,94.57,143.56,235.95,449.11,354.54,149.5
辽宁,2007,大豆,541.86,115.93,152.09,692.88,138.18,302.46,227.02,254.11,708.66,406.2,152.6
辽宁,2008,大豆,457.24,117.15,164.38,651.53,184.58,201.43,179.58,301.73,667.54,466.11,181.4
辽宁,2009,大豆,377.0,130.51,179.01,567.07,177.66,96.86,204.31,308.17,584.04,487.18,138.78
辽宁,2010,大豆,491.49,151.85,193.57,695.59,185.18,183.45,208.79,337.03,714.05,530.6,166.58
辽宁,2011,大豆,558.16,177.21,216.74,777.91,207.1,194.88,213.17,384.31,795.93,601.05,182.46
辽宁,2012,大豆,759.39,243.3,243.27,994.98,222.11,304.93,258.54,465.41,1013.61,708.68,192.42
辽宁,2013,大豆,649.94,290.58,256.31,935.89,249.37,158.47,250.33,539.95,954.73,796.26,186.93
辽宁,2014,大豆,385.48,259.05,254.0,668.66,270.13,-96.33,236.01,529.18,686.85,783.18,141.66
辽宁,2015,大豆,244.66,249.1,265.63,521.73,254.21,-231.32,221.77,503.31,537.62,768.94,117.63
辽宁,2016,大豆,360.48,252.8996,255.13,645.0,261.98,-109.5596,203.16,514.8796,660.45,770.0096,158.74
辽宁,2017,大豆,350.58,236.9558,222.85,610.5,243.27,-77.5658,202.9,480.2258,625.51,703.0758,150.44
辽宁,2018,大豆,281.13,213.57503,212.61,548.16,254.43,-116.66503,193.76,468.00503,563.95,680.61503,141.45
辽宁,2024,大豆,289.8,269.78,295.0,629.23,322.4,-244.04,202.79,592.18,643.14,887.18,155.14
辽宁省,2019,大豆,338.29,206.92,207.01,611.62,257.72,-44.1,183.35,464.64,627.55,671.65,166.79
辽宁省,2020,大豆,429.6,208.43,218.85,722.98,278.36,32.84,246.43,486.79,738.48,705.64,146.69
辽宁省,2021,大豆,750.24,264.18,246.79,1071.82,287.91,288.42,286.78,552.09,1087.3,798.88,186.87
辽宁省,2022,大豆,723.64,270.0,257.56,1077.3,332.29,232.2,292.73,602.29,1092.05,859.85,184.01
辽宁省,2023,大豆,612.47,262.78,273.47,975.2,342.58,110.76,264.18,605.36,989.59,878.83,184.57
重庆,2006,大豆,320.94,225.27,22.81,385.32,69.66,79.3,195.4,294.93,397.04,317.74,98.6
重庆,2007,大豆,402.9,240.67,26.79,458.1,66.69,138.31,231.36,307.36,472.46,334.15,99.0
重庆,2008,大豆,425.7,257.51,27.92,493.49,73.94,144.27,234.55,331.45,503.64,359.37,105.2
重庆,2009,大豆,488.79,296.04,45.31,563.39,77.29,155.26,246.73,373.33,573.9,418.64,114.17
重庆,2010,大豆,503.99,366.27,117.33,583.27,82.7,30.75,245.73,448.97,597.05,566.3,118.68
重庆,2011,大豆,508.51,469.04,123.52,594.92,88.47,-73.35,255.64,557.51,607.68,681.03,116.36
重庆,2012,大豆,541.01,636.66,125.27,630.24,91.05,-209.97,258.57,727.71,643.01,852.98,121.87
重庆,2013,大豆,571.91,741.81,115.02,669.46,92.95,-264.56,271.54,834.76,685.22,949.78,123.27
重庆,2014,大豆,510.77,784.08,85.44,582.71,89.44,-356.54,265.76,873.52,602.42,958.96,109.63
重庆,2015,大豆,510.64,801.06,99.19,579.53,88.34,-389.61,261.73,889.4,598.98,988.59,110.71
重庆,2016,大豆,520.13,806.0228,96.91,598.98,97.05,-382.8028,271.82,903.0728,617.18,999.9828,110.18
重庆,2017,大豆,468.91,808.1475,96.39,541.14,89.19,-435.6275,257.24,897.3375,558.1,993.7275,105.18
重庆,2018,大豆,442.71,799.40913,96.11,500.69,72.95,-452.80913,250.75,872.35913,515.66,968.46913,99.84
陕西,2006,大豆,156.25,113.65,46.77,244.38,90.67,2.92,133.83,204.32,254.01,251.09,91.3
陕西,2007,大豆,276.28,123.32,69.2,370.4,99.55,89.46,183.55,222.87,381.53,292.07,100.9
陕西,2008,大豆,361.92,138.71,71.04,476.25,116.08,160.63,214.33,254.79,486.46,325.83,111.1
陕西,2009,大豆,337.98,150.54,70.97,444.84,114.22,119.82,180.89,264.76,455.55,335.73,122.96
陕西,2010,大豆,394.56,188.81,71.11,511.52,123.23,139.59,198.34,312.04,522.74,383.15,128.95
陕西,2011,大豆,376.48,236.19,72.81,506.36,138.89,72.95,202.4,375.08,520.84,447.89,125.09
陕西,2012,大豆,424.86,331.89,73.51,561.12,145.75,25.82,215.1,477.64,576.97,551.15,130.43
陕西,2013,大豆,443.59,402.6,73.69,593.9,153.56,-18.86,221.6,556.16,610.99,629.85,134.0
陕西,2014,大豆,396.92,445.16,74.28,551.97,167.17,-116.92,228.71,612.33,569.69,686.61,120.67
陕西,2015,大豆,442.01,466.34,74.36,594.92,164.25,-91.61,228.06,630.59,613.34,704.95,130.43
陕西,2016,大豆,385.68,490.8668,75.5,544.58,167.52,-170.6468,223.37,658.3868,563.24,733.8868,121.9
陕西,2017,大豆,366.39,497.4086,75.84,524.63,169.98,-199.4086,219.88,667.3886,543.82,743.2286,119.3
陕西,2018,大豆,363.26,477.33409,79.9,528.95,181.19,-190.41409,214.88,658.52409,548.01,738.42409,123.08
陕西,2024,大豆,557.26,616.11,99.84,753.11,215.46,-158.19,287.84,831.57,773.22,931.41,130.82
陕西省,2021,大豆,457.13,546.29,86.79,642.26,204.75,-175.35,265.16,751.04,662.48,837.83,121.11
黑龙江,2006,大豆,165.78,53.6,94.88,302.56,116.2,47.68,116.82,169.8,312.36,264.68,129.5
黑龙江,2007,大豆,257.16,59.72,100.19,399.84,126.48,122.92,201.53,186.2,409.31,286.39,99.2
黑龙江,2008,大豆,305.81,60.42,126.23,497.51,167.69,153.63,177.81,228.11,507.97,354.34,139.9
黑龙江,2009,大豆,270.4,80.18,148.17,460.09,156.46,85.06,180.85,236.64,469.87,384.81,127.2
黑龙江,2010,大豆,310.06,83.58,174.65,544.64,175.7,122.11,185.28,259.28,556.04,433.93,146.98
黑龙江,2011,大豆,323.52,101.19,207.7,597.24,195.16,105.81,199.49,296.35,609.86,504.05,149.69
黑龙江,2012,大豆,341.41,129.21,238.16,656.56,218.25,84.06,233.29,347.46,669.68,585.62,140.72
黑龙江,2013,大豆,266.35,139.29,272.56,594.7,220.79,-25.31,226.12,360.08,607.33,632.64,131.5
黑龙江,2014,大豆,330.48,139.74,295.18,669.37,215.28,30.98,209.7,355.02,681.18,650.2,159.6
黑龙江,2015,大豆,165.7,140.39,312.67,519.67,214.53,-137.71,186.5,354.92,529.88,667.59,139.32
黑龙江,2016,大豆,33.5,146.39,313.1,401.35,210.96,-259.97,173.59,357.35,410.48,670.45,115.6
黑龙江,2017,大豆,158.93,152.468,294.08,517.91,210.7,-130.518,174.51,363.168,526.73,657.248,148.39
黑龙江,2018,大豆,84.97,158.60653,305.09,469.8,213.45,-198.29653,173.87,372.05653,478.85,677.14653,135.1
黑龙江,2024,大豆,43.78,166.83,678.13,595.65,259.75,-497.85,184.85,426.58,606.86,1104.71,161.12
黑龙江省,2019,大豆,111.83,175.34,351.82,452.8,198.67,-263.55,174.69,374.01,462.28,725.83,129.6
黑龙江省,2020,大豆,202.48,193.36,365.82,635.21,224.23,-137.92,231.64,417.59,645.49,783.41,137.11
黑龙江省,2021,大豆,386.65,172.37,461.04,819.41,230.88,-34.96,287.29,403.25,829.33,864.29,142.61
黑龙江省,2022,大豆,329.38,174.16,574.75,826.59,258.69,-171.21,278.71,432.85,836.39,1007.6,148.29
黑龙江省,2023,大豆,205.08,179.44,646.55,714.91,255.53,-356.59,240.19,434.97,724.93,1081.52,148.82
云南,2006,玉米,274.5,293.66,65.79,476.82,208.03,-67.72,65.9,501.69,499.76,567.48,361.8
云南,2007,玉米,323.12,314.51,65.24,531.49,214.27,-37.16,74.44,528.78,556.86,594.02,357.0
云南,2008,玉米,421.6,356.14,78.24,683.0,268.1,10.25,87.43,624.24,712.73,702.48,390.6
云南,2009,玉米,455.19,383.95,83.05,718.46,273.93,8.04,93.41,657.88,748.97,740.93,384.58
云南,2010,玉米,550.62,481.65,91.93,842.01,297.3,4.3,107.89,778.95,875.18,870.88,390.23
云南,2011,玉米,449.33,554.28,105.2,787.36,338.73,-179.78,110.24,893.01,818.43,998.21,357.12
云南,2012,玉米,653.97,783.75,117.26,1019.55,370.81,-216.08,128.36,1154.56,1055.74,1271.82,397.15
云南,2013,玉米,650.76,912.05,126.87,1028.61,374.83,-347.74,124.32,1286.88,1066.01,1413.75,413.69
云南,2014,玉米,653.97,961.32,134.09,1003.51,370.62,-422.41,120.45,1331.94,1043.62,1466.03,416.56
云南,2015,玉米,598.06,987.54,134.72,960.94,378.31,-499.65,114.34,1365.85,1000.92,1500.57,420.2
云南,2016,玉米,562.09,1030.1174,145.93,923.15,389.76,-596.5374,103.32,1419.8774,969.27,1565.8074,446.75
云南,2017,玉米,573.59,951.4352,156.07,953.61,388.78,-503.5552,105.42,1340.2152,992.73,1496.2852,452.3
云南,2018,玉米,603.68,946.23398,161.34,1003.62,406.05,-471.27398,109.26,1352.28398,1042.35,1513.62398,459.26
云南,2024,玉米,681.15,924.26,206.5,1203.39,515.08,-398.56,131.84,1439.34,1247.28,1645.84,456.37
云南省,2019,玉米,618.77,950.54,165.84,1036.33,414.65,-458.21,114.93,1365.19,1072.82,1531.03,450.87
云南省,2020,玉米,724.72,957.7,183.37,1142.98,415.16,-375.96,130.47,1372.86,1180.27,1556.23,438.04
云南省,2021,玉米,1040.71,982.27,184.49,1452.54,427.29,-99.76,148.49,1409.56,1494.29,1594.05,489.11
云南省,2022,玉米,1019.47,994.99,190.56,1532.46,504.43,-116.1,157.71,1499.42,1573.88,1689.98,485.86
云南省,2023,玉米,906.03,935.25,195.92,1414.35,509.3,-180.49,157.44,1444.55,1459.98,1640.47,449.18
全国平均,2006,玉米,353.25,149.94,73.45,536.88,188.38,144.76,63.39,338.32,556.53,411.77,423.5
全国平均,2007,玉米,433.45,159.78,91.18,631.55,198.74,200.82,74.76,358.52,650.52,449.7,422.4
全国平均,2008,玉米,416.76,176.98,103.16,662.75,243.31,159.22,72.48,420.29,682.67,523.45,457.2
全国平均,2009,玉米,462.11,192.61,117.44,705.17,241.05,175.37,82.01,433.66,726.47,551.1,429.94
全国平均,2010,玉米,584.42,235.1,136.95,847.75,260.54,239.69,93.62,495.64,872.28,632.59,452.74
全国平均,2011,玉米,686.04,295.49,160.29,1001.85,308.45,263.09,106.07,603.94,1027.32,764.23,472.24
全国平均,2012,玉米,730.79,398.4,181.24,1094.76,344.58,197.68,111.13,742.98,1121.9,924.22,492.55
全国平均,2013,玉米,680.69,455.37,196.96,1062.04,359.71,77.52,108.81,815.08,1089.56,1012.04,488.01
全国平均,2014,玉米,728.59,474.68,224.41,1118.01,364.8,81.82,111.85,839.48,1145.71,1063.89,499.79
全国平均,2015,玉米,522.95,468.72,238.78,921.25,376.22,-134.18,94.23,844.94,949.54,1083.72,488.81
全国平均,2016,玉米,341.21,458.0994,237.94,739.53,369.55,-299.6994,76.99,827.6494,765.89,1065.5894,480.29
全国平均,2017,玉米,425.66,441.2006,210.3,824.14,374.98,-175.7906,82.16,816.1806,850.69,1026.4806,501.53
全国平均,2018,玉米,446.35,433.52139,227.54,855.2,383.76,-163.34139,87.8,817.28139,881.48,1044.82139,487.02
全国平均,2024,玉米,495.03,423.34,405.64,1064.89,487.72,-222.76,100.93,911.06,1093.94,1316.7,527.56
