进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2023-10,10079000,其他食用高粱,2774652.0,8925000.0,千克,阿根廷,保税监管场所进出境货物,usd,江苏省,0.0,—
进口,2023-10,10079000,其他食用高粱,18108039.0,57636900.0,千克,美国,一般贸易,usd,北京市,0.0,—
进口,2023-10,10079000,其他食用高粱,160902.0,510285.0,千克,美国,一般贸易,usd,江苏省,0.0,—
进口,2023-10,10079000,其他食用高粱,330930.0,1043380.0,千克,美国,一般贸易,usd,安徽省,0.0,—
进口,2023-10,10079000,其他食用高粱,73509868.0,228577000.0,千克,美国,一般贸易,usd,福建省,0.0,—
进口,2023-10,10079000,其他食用高粱,20291229.0,64616000.0,千克,美国,一般贸易,usd,广东省,0.0,—
进口,2023-10,10079000,其他食用高粱,266612.0,859288.0,千克,美国,一般贸易,usd,甘肃省,0.0,—
进口,2023-10,10079000,其他食用高粱,306205.0,934380.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—
进口,2023-10,10079000,其他食用高粱,277362.0,858820.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—
进口,2023-10,10079000,其他食用高粱,1013707.0,3052600.0,千克,澳大利亚,一般贸易,usd,辽宁省,0.0,—
进口,2023-10,10079000,其他食用高粱,1163199.0,3477540.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—
进口,2023-10,10079000,其他食用高粱,4910768.0,14709600.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—
进口,2023-10,10079000,其他食用高粱,1132661.0,3589380.0,千克,澳大利亚,一般贸易,usd,安徽省,0.0,—
进口,2023-10,10079000,其他食用高粱,1217489.0,3467920.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—
进口,2023-10,10079000,其他食用高粱,1647162.0,4960700.0,千克,澳大利亚,一般贸易,usd,山东省,0.0,—
进口,2023-10,10079000,其他食用高粱,11721483.0,33000000.0,千克,澳大利亚,一般贸易,usd,湖南省,0.0,—
进口,2023-10,10079000,其他食用高粱,42969020.0,124321000.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—
进口,2023-10,10079000,其他食用高粱,507022.0,1477740.0,千克,澳大利亚,一般贸易,usd,四川省,0.0,—
进口,2023-10,10079000,其他食用高粱,12968478.0,38847000.0,千克,澳大利亚,一般贸易,usd,甘肃省,0.0,—
进口,2023-10,23033000,酿造及蒸馏过程中的糟粕及残渣,6907498.0,23377900.0,千克,美国,进料加工贸易,usd,山东省,0.0,—
进口,2023-11,07141020,木薯干,31364.0,95000.0,千克,老挝,一般贸易,usd,重庆市,0.0,—
进口,2023-11,07141020,木薯干,3119029.0,10677600.0,千克,泰国,一般贸易,usd,江苏省,0.0,—
进口,2023-11,07141020,木薯干,16434.0,56000.0,千克,泰国,一般贸易,usd,安徽省,0.0,—
进口,2023-11,07141020,木薯干,32775347.0,113895000.0,千克,泰国,一般贸易,usd,山东省,0.0,—
进口,2023-11,07141020,木薯干,145224.0,530000.0,千克,泰国,一般贸易,usd,湖南省,0.0,—
进口,2023-11,07141020,木薯干,2022943.0,7068560.0,千克,越南,一般贸易,usd,北京市,0.0,—
进口,2023-11,07141020,木薯干,2383445.0,8425100.0,千克,越南,一般贸易,usd,江苏省,0.0,—
进口,2023-11,07141020,木薯干,326820.0,1122840.0,千克,越南,一般贸易,usd,山东省,0.0,—
进口,2023-11,07141020,木薯干,4477649.0,15903500.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—
进口,2023-11,07141020,木薯干,57719.0,236740.0,千克,越南,一般贸易,usd,云南省,0.0,—
进口,2023-11,07141020,木薯干,16539.0,62480.0,千克,越南,边境小额贸易,usd,广西壮族自治区,0.0,—
进口,2023-11,07141020,木薯干,44880.0,184080.0,千克,越南,边境小额贸易,usd,云南省,0.0,—
进口,2023-11,07141020,木薯干,12628.0,42270.0,千克,尼日利亚,一般贸易,usd,山东省,0.0,—
进口,2023-11,07141020,木薯干,5880.0,28000.0,千克,尼日利亚,一般贸易,usd,湖南省,0.0,—
进口,2023-11,10031000,种用大麦,43.0,20.0,千克,法国,一般贸易,usd,黑龙江省,0.0,—
进口,2023-11,10039000,其他大麦,1513592.0,6845000.0,千克,哈萨克斯坦,一般贸易,usd,北京市,0.0,—
进口,2023-11,10039000,其他大麦,382937.0,1872000.0,千克,哈萨克斯坦,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10039000,其他大麦,950228.0,4524000.0,千克,哈萨克斯坦,一般贸易,usd,浙江省,0.0,—
进口,2023-11,10039000,其他大麦,334873.0,1560000.0,千克,哈萨克斯坦,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,2055969.0,7720790.0,千克,哈萨克斯坦,一般贸易,usd,山东省,0.0,—
进口,2023-11,10039000,其他大麦,296587.0,1400000.0,千克,哈萨克斯坦,一般贸易,usd,河南省,0.0,—
进口,2023-11,10039000,其他大麦,2000515.0,9474930.0,千克,哈萨克斯坦,一般贸易,usd,湖北省,0.0,—
进口,2023-11,10039000,其他大麦,2002453.0,8475800.0,千克,哈萨克斯坦,一般贸易,usd,湖南省,0.0,—
进口,2023-11,10039000,其他大麦,680155.0,3224000.0,千克,哈萨克斯坦,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,391770.0,1612000.0,千克,哈萨克斯坦,一般贸易,usd,四川省,0.0,—
