进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,公司,贸易方式,运输方式,贸易伙伴名称,商品1996编码,货币
进口,2015.0,10051000,种用玉米,325000.0,6500.0,千克,广西壮族自治区种子公司,一般贸易,航空运输,印度,hs100510,usd
进口,2015.0,07141020,木薯干,427478.0,1635686.0,千克,广州化工进出口公司,一般贸易,其它运输代码修正,印度尼西亚,hs071410,usd
进口,2015.0,07141020,木薯干,11181745.0,48566250.0,千克,群星集团公司,一般贸易,其它运输代码修正,柬埔寨,hs071410,usd
进口,2015.0,07141020,木薯干,20426.0,77926.0,千克,日照中瑞物产有限公司,一般贸易,其它运输代码修正,印度尼西亚,hs071410,usd
进口,2015.0,10071000,种用食用高梁,82.0,1.0,千克,山东金种子农业发展有限公司,一般贸易,航空运输,日本,hs100700,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2044.0,60.0,千克,佛山科勒有限公司,一般贸易,其它运输代码修正,日本,hs230330,usd
进口,2015.0,10059000,玉米，种用除外,177885.0,566700.0,千克,云南农垦云橡投资有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,763280.0,2400000.0,千克,云南富跃达经贸有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,650216.0,2050000.0,千克,昆明永兴行商贸有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,900830.0,2869900.0,千克,普洱景美经贸有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,3328636.0,10632200.0,千克,西双版纳莎喱嘎进出口有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,2256489.0,7200000.0,千克,云南绿航生物科技发展有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,625371.0,2000000.0,千克,云南昌胜达投资有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,3272165.0,10437850.0,千克,云南强胜农业技术开发有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,344642.0,1100000.0,千克,云南辉祥宏生物科技工程有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,4389864.0,13888120.0,千克,西双版纳顺源边贸有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,07141020,木薯干,7016491.0,29979529.0,千克,中国轻工业对外经济技术合作公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,9701403.0,39086580.0,千克,吴江市外贸集团上威进出口有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,19705629.0,86530028.0,千克,山东浩宇国际贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,7740052.0,32717582.0,千克,湛江市锋耀贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,263126.0,1017470.0,千克,中山市华士达化工有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,48037495.0,209676557.0,千克,中粮饲料有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,6317229.0,25658764.0,千克,上海开伦造纸印刷集团有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,17892752.0,78701551.0,千克,江苏汇鸿国际集团土产进出口股份,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,1564483.0,6491060.0,千克,江苏海外集团国际技术工程有限公,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,47900695.0,210845489.0,千克,泰兴金江化学工业有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,94181982.0,407503196.0,千克,中粮生物化学（安徽）股份有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,6390746.0,27517333.0,千克,福州市达瑞斯科技有限责任公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,12087099.0,51202376.0,千克,日照雨顺木薯有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,18350078.0,77403604.0,千克,日照中泰国际贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,46663114.0,210857834.0,千克,日照昆达进出口有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,18668800.0,82135130.0,千克,山东雅禾农业有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,1196140.0,5479047.0,千克,成都通威实业有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,831006.0,3732070.0,千克,中国轻工业对外经济技术合作公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1294804.0,5883250.0,千克,镇江长兴酒精有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,18149464.0,79826760.0,千克,江苏国泰华博进出口有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1751556.0,7539070.0,千克,江苏兆宇化工有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,963823.0,4142475.0,千克,太仓新太酒精有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,3349609.0,14826680.0,千克,山东交运港口物流有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,26905599.0,120098440.0,千克,山东振龙生物化工集团有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,60036.0,300000.0,千克,文山天保生物科技有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,5082895.0,22366150.0,千克,中粮饲料有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1953972.0,8726750.0,千克,江苏海外集团国际技术工程有限公,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,3118294.0,13300700.0,千克,,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1867916.0,8276790.0,千克,泰兴金江化学工业有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,24332115.0,107514627.0,千克,山东大丰商贸有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,10138762.0,45972070.0,千克,日照昆达进出口有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,33879573.0,146068138.0,千克,日照昌久国际贸易有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,18071466.0,80346484.0,千克,江苏腾峰进出口贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,26151663.0,108610539.0,千克,江苏兆宇化工有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,42308307.0,179261263.0,千克,太仓新太酒精有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,34899894.0,154822997.0,千克,安徽丰原国际货运有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,13857958.0,59858511.0,千克,,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,4120341.0,17085576.0,千克,山东万宝贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,5395491.0,23588933.0,千克,日照中瑞物产有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141010,鲜木薯,381349.0,5901340.0,千克,文山天保生物科技有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,505021.0,2083950.0,千克,大成万达(天津)有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,6788446.0,27848150.0,千克,,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,4539052.0,19562720.0,千克,山东雅禾农业有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,360232.0,1644170.0,千克,,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1402179.0,6117620.0,千克,,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,8381305.0,37442480.0,千克,龙口振龙瑞明酒精有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1018683.0,4267160.0,千克,佛山市顺德区广顺饲料有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,55782471.0,244818360.0,千克,广西金源生物化工实业有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,160247051.0,717258132.0,千克,徐州花厅商贸有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,48858384.0,208011735.0,千克,江苏联海生物科技有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,22290321.0,98570246.0,千克,宿州市皖神面制品有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,4495416.0,21099410.0,千克,福建省榕江进出口公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,4841214.0,21889221.0,千克,临沂羲之企业有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,18948475.0,83804184.0,千克,湖北联乐集团嘉鱼县富民对外贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,39364010.0,167636950.0,千克,广西中粮生物质能源有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,10059000,玉米，种用除外,1769115.0,5619000.0,千克,云南土产进出口有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1474896.0,4676000.0,千克,江城县物资有限责任公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1569683.0,4992600.0,千克,西双版纳益农农业发展有限公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1018731.0,3205300.0,千克,云南雷林橡胶有限责任公司,一般贸易,其它运输代码修正,老挝,hs100590,usd
进口,2015.0,07141010,鲜木薯,13244.0,235313.0,千克,玉溪方圆商贸有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1834292.0,8147880.0,千克,江苏联海生物科技有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,3456368.0,15560670.0,千克,浙江省粮食集团有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,4211944.0,18149960.0,千克,福建省榕江进出口公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,3810742.0,16880270.0,千克,日照中瑞物产有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,6000825.0,27281640.0,千克,日照天桥贸易有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,12882543.0,53394880.0,千克,河南天冠企业集团有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,5442558.0,23808621.0,千克,广西北投升龙进出口贸易有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,10039000,其他大麦,5472734.0,17296420.0,千克,广州麦芽有限公司,一般贸易,其它运输代码修正,丹麦,hs100300,usd
进口,2015.0,07141020,木薯干,49980.0,249900.0,千克,湛江市成中贸易有限公司,一般贸易,其它运输代码修正,马达加斯加,hs071410,usd
进口,2015.0,07141020,木薯干,21692039.0,92716668.0,千克,大连农垦北大荒国际贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,14356752.0,64214763.0,千克,安徽安特生物化学有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,40420777.0,174414672.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,3407761.0,14938103.0,千克,日照昌久国际贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,39503765.0,164536552.0,千克,莒县中瑞实业有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,111171257.0,464478598.0,千克,河南天冠企业集团有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,7606390.0,32740152.0,千克,中航国际新能源发展有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,18187291.0,84137385.0,千克,江苏金茂源生物化工有限责任公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,11198251.0,47590546.0,千克,安徽省碧绿春酿酒有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,24545848.0,106845697.0,千克,日照凯航贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,13817929.0,59435803.0,千克,山东振龙生物化工集团有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,6700244.0,28633520.0,千克,河北恒业进出口服务有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,6927953.0,31255140.0,千克,,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,37847533.0,173979667.0,千克,镇江长兴酒精有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,78286900.0,346224588.0,千克,日照宏伟贸易有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,118554917.0,525624788.0,千克,金沂蒙集团有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,52264821.0,229147292.0,千克,山东泓达生物科技有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,55235249.0,246809957.0,千克,山东昆达生物科技有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,10239419.0,45751239.0,千克,龙口振龙瑞明酒精有限公司,一般贸易,其它运输代码修正,泰国,hs071410,usd
进口,2015.0,07141020,木薯干,2678879.0,10801930.0,千克,安徽安特生物化学有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,2364280.0,10499790.0,千克,山东汇能燃料发展有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,12378303.0,53950610.0,千克,山东嘉良贸易有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,5449877.0,24017520.0,千克,湛江市锋耀贸易有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,15.0,0.0,千克,,一般贸易,航空运输,加纳,hs071410,usd
进口,2015.0,10051000,种用玉米,1776075.0,10000.0,千克,黑龙江垦丰种业有限公司,一般贸易,航空运输,德国,hs100510,usd
进口,2015.0,10051000,种用玉米,1776075.0,174439.0,千克,黑龙江垦丰种业有限公司,一般贸易,其它运输代码修正,德国,hs100510,usd
进口,2015.0,07141010,鲜木薯,509210.0,7800000.0,千克,,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,809743.0,3229280.0,千克,大成食品(大连)有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,2149902.0,9258680.0,千克,南通化工轻工股份有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,6878236.0,30012970.0,千克,日照浩瀚国际能源有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,7721029.0,35006950.0,千克,金沂蒙集团有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,11273876.0,51899740.0,千克,山东泓达生物科技有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1227305.0,5377000.0,千克,广西明阳生化科技股份有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,1222809.0,5335060.0,千克,桂林力源粮油食品集团有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,07141020,木薯干,11399914.0,50127910.0,千克,安徽省碧绿春酿酒有限公司,一般贸易,其它运输代码修正,越南,hs071410,usd
进口,2015.0,10039000,其他大麦,62571297.0,256134865.0,千克,中国国投国际贸易有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,18239977.0,65225000.0,千克,大连兴泽制麦有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,14181270.0,63000000.0,千克,上海上实国际贸易(集团)有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,8089279.0,33000000.0,千克,江苏辉丰农化股份有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,1394255.0,5100678.0,千克,永顺泰(昌乐)麦芽有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,2833916.0,11000000.0,千克,郑州雏鹰进出口贸易有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10051000,种用玉米,3180.0,300.0,千克,哈尔滨市益农种业有限公司,一般贸易,航空运输,法国,hs100510,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,417.0,2550.0,千克,杭州荣御进出口有限公司,一般贸易,其它运输代码修正,台澎金马关税区,hs230330,usd
进口,2015.0,10039000,其他大麦,550121.0,2007406.0,千克,永顺泰（秦皇岛）麦芽有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,1904233.0,7251043.0,千克,欧麦(保定)麦芽有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,12107260.0,44000000.0,千克,江苏省农垦麦芽有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,70005806.0,285163015.0,千克,厦门建发原材料贸易有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,60712492.0,258894728.0,千克,肇庆市福加德面粉有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10051000,种用玉米,2046.0,653.0,千克,北京金色谷雨种业科技有限公司,一般贸易,航空运输,法国,hs100510,usd
进口,2015.0,10039000,其他大麦,14926380.0,63000000.0,千克,中粮饲料有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,19185916.0,62895169.0,千克,中粮麦芽(大连)有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,20212346.0,68427776.0,千克,中粮麦芽(江阴)有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,51219185.0,196278275.0,千克,山东新希望六和集团有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,32902099.0,129630000.0,千克,山东中慧国际贸易有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,5022352.0,21000000.0,千克,日照中瑞物产有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,13395649.0,50551215.0,千克,莱芜市鲁中啤酒原料有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,79942512.0,345198000.0,千克,广东俊杰农产品有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10051000,种用玉米,967.0,50.0,千克,山东省种子有限责任公司,一般贸易,航空运输,法国,hs100510,usd
进口,2015.0,10041000,种用燕麦,500.0,48.0,千克,张家口雪川农业发展有限公司,一般贸易,航空运输,芬兰,hs100400,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,693156.0,774652.0,千克,杭州天草科技有限公司,一般贸易,其它运输代码修正,法国,hs230330,usd
进口,2015.0,10039000,其他大麦,24103342.0,101000980.0,千克,上海良友(集团)有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,37108289.0,161080080.0,千克,邦吉(上海)管理有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,47903307.0,195551958.0,千克,厦门象屿股份有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,3312698.0,11000000.0,千克,烟台市海越麦芽有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,33424383.0,127768910.0,千克,山东雅禾农业有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10039000,其他大麦,2058222.0,8400000.0,千克,广东新粮实业有限公司,一般贸易,其它运输代码修正,法国,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,207370.0,996669.0,千克,延边卫峰国际经贸有限公司,一般贸易,其它运输代码修正,俄罗斯联邦,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,2860245.0,16988256.0,千克,黑龙江华宇工贸(集团)有限责任公司,一般贸易,其它运输代码修正,俄罗斯联邦,hs100590,usd
进口,2015.0,10039000,其他大麦,52267185.0,217310694.0,千克,中服嘉远贸易公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10039000,其他大麦,13437180.0,62186800.0,千克,山东新希望六和集团有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,10058837.0,50000000.0,千克,中国机械工业成套工程总公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,186390314.0,776434854.0,千克,厦门建发原材料贸易有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,29514183.0,121776910.0,千克,广州市华壬谷物贸易有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10039000,其他大麦,78761.0,314100.0,千克,永顺泰(宝应)麦芽有限公司,一般贸易,其它运输代码修正,阿根廷,hs100300,usd
进口,2015.0,10079000,其他食用高梁,812658.0,2953140.0,千克,安徽安粮国际发展有限公司,一般贸易,其它运输代码修正,阿根廷,hs100700,usd
进口,2015.0,10039000,其他大麦,27669480.0,75331640.0,千克,中粮麦芽(大连)有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10049000,其他燕麦,153253.0,559525.0,千克,,一般贸易,其它运输代码修正,芬兰,hs100400,usd
进口,2015.0,10049000,其他燕麦,284524.0,1016160.0,千克,深圳市粤茂进出口贸易有限公司,一般贸易,其它运输代码修正,芬兰,hs100400,usd
进口,2015.0,10049000,其他燕麦,202040.0,590068.0,千克,广西贺州西麦生物食品有限公司,一般贸易,其它运输代码修正,芬兰,hs100400,usd
进口,2015.0,10039000,其他大麦,149669.0,562510.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,美国,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,483090.0,563359.0,千克,北京鼎泰盈丰供应链管理有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,764603.0,3157017.0,千克,大成农牧(营口)有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,245495.0,355028.0,千克,深圳市瑞宏进出口贸易有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
