进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2022-11,10051000,种用玉米,976,23,千克,阿根廷,其他,usd,北京市,0,—
进口,2022-11,10051000,种用玉米,615,10,千克,智利,其他,usd,上海市,0,—
进口,2022-11,10051000,种用玉米,10587,506,千克,秘鲁,其他,usd,北京市,0,—
进口,2022-11,10059000,玉米，种用除外,160935,500000,千克,缅甸,一般贸易,usd,湖北省,0,—
进口,2022-11,10059000,玉米，种用除外,6238733,19064600,千克,缅甸,一般贸易,usd,云南省,0,—
进口,2022-11,10059000,玉米，种用除外,45588,128000,千克,缅甸,进料加工贸易,usd,云南省,0,—
进口,2022-11,10059000,玉米，种用除外,1942516,5802200,千克,老挝,一般贸易,usd,云南省,0,—
进口,2022-11,10059000,玉米，种用除外,983300,4000000,千克,俄罗斯联邦,一般贸易,usd,黑龙江省,0,—
进口,2022-11,10059000,玉米，种用除外,155642,468000,千克,俄罗斯联邦,一般贸易,usd,福建省,0,—
进口,2022-11,10059000,玉米，种用除外,443230,1383640,千克,俄罗斯联邦,一般贸易,usd,山东省,0,—
进口,2022-11,10059000,玉米，种用除外,1599515,4824450,千克,俄罗斯联邦,进料加工贸易,usd,山东省,0,—
进口,2022-11,10059000,玉米，种用除外,190196,1365000,千克,俄罗斯联邦,边境小额贸易,usd,黑龙江省,0,—
进口,2022-11,10059000,玉米，种用除外,363528,995440,千克,乌克兰,一般贸易,usd,安徽省,0,—
进口,2022-11,10059000,玉米，种用除外,167366,460840,千克,乌克兰,一般贸易,usd,福建省,0,—
进口,2022-11,10059000,玉米，种用除外,10068749,32070900,千克,乌克兰,保税监管场所进出境货物,usd,广东省,0,—
进口,2022-11,10059000,玉米，种用除外,284242888,667871000,千克,美国,一般贸易,usd,北京市,0,—
进口,2022-11,10059000,玉米，种用除外,783977,2382930,千克,美国,一般贸易,usd,福建省,0,—
进口,2022-11,10079000,其他食用高粱,82313,382000,千克,缅甸,一般贸易,usd,云南省,0,—
进口,2022-11,10079000,其他食用高粱,99545,458000,千克,缅甸,边境小额贸易,usd,云南省,0,—
进口,2022-11,10079000,其他食用高粱,15363704,40333300,千克,阿根廷,一般贸易,usd,北京市,0,—
进口,2022-11,10079000,其他食用高粱,28456201,79107000,千克,阿根廷,一般贸易,usd,福建省,0,—
进口,2022-11,10079000,其他食用高粱,12953672,40765400,千克,阿根廷,一般贸易,usd,海南省,0,—
进口,2022-11,10079000,其他食用高粱,13815772,40599000,千克,阿根廷,保税监管场所进出境货物,usd,广东省,0,—
进口,2022-11,10079000,其他食用高粱,9613,26027,千克,美国,一般贸易,usd,福建省,0,—
进口,2022-11,10079000,其他食用高粱,6593970,18325800,千克,澳大利亚,一般贸易,usd,北京市,0,—
进口,2022-11,10079000,其他食用高粱,635352,1852300,千克,澳大利亚,一般贸易,usd,天津市,0,—
进口,2022-11,10079000,其他食用高粱,3037619,8238460,千克,澳大利亚,一般贸易,usd,河北省,0,—
进口,2022-11,10079000,其他食用高粱,685631,1947060,千克,澳大利亚,一般贸易,usd,辽宁省,0,—
进口,2022-11,10079000,其他食用高粱,359673,998440,千克,澳大利亚,一般贸易,usd,黑龙江省,0,—
进口,2022-11,10079000,其他食用高粱,2052162,5822740,千克,澳大利亚,一般贸易,usd,上海市,0,—
进口,2022-11,10079000,其他食用高粱,5424244,14704200,千克,澳大利亚,一般贸易,usd,江苏省,0,—
进口,2022-11,10079000,其他食用高粱,8528132,23120200,千克,澳大利亚,一般贸易,usd,安徽省,0,—
进口,2022-11,10079000,其他食用高粱,12522811,35173300,千克,澳大利亚,一般贸易,usd,福建省,0,—
进口,2022-11,10079000,其他食用高粱,3390258,9906080,千克,澳大利亚,一般贸易,usd,山东省,0,—
进口,2022-11,10079000,其他食用高粱,1376489,3839540,千克,澳大利亚,一般贸易,usd,广东省,0,—
进口,2022-11,10079000,其他食用高粱,1300337,3483380,千克,澳大利亚,一般贸易,usd,四川省,0,—
进口,2022-11,10079000,其他食用高粱,1311912,3396170,千克,澳大利亚,一般贸易,usd,甘肃省,0,—
进口,2022-11,10079000,其他食用高粱,42388838,110000000,千克,澳大利亚,保税监管场所进出境货物,usd,广东省,0,—
进口,2022-11,10079000,其他食用高粱,24014030,58884000,千克,澳大利亚,保税监管场所进出境货物,usd,海南省,0,—
进口,2022-11,23033000,酿造及蒸馏过程中的糟粕及残渣,74495,234591,千克,美国,海关特殊监管区域物流货物,usd,福建省,0,—
进口,2022-12,07141020,木薯干,174803,628584,千克,老挝,一般贸易,usd,云南省,0,—
进口,2022-12,07141020,木薯干,5087892,19186900,千克,泰国,一般贸易,usd,北京市,0,—
进口,2022-12,07141020,木薯干,18372986,65760200,千克,泰国,一般贸易,usd,江苏省,0,—
进口,2022-12,07141020,木薯干,6240622,22017100,千克,泰国,一般贸易,usd,浙江省,0,—
进口,2022-12,07141020,木薯干,16992736,65229000,千克,泰国,一般贸易,usd,安徽省,0,—
进口,2022-12,07141020,木薯干,20063754,71682000,千克,泰国,一般贸易,usd,山东省,0,—
进口,2022-12,07141020,木薯干,6082432,23260800,千克,泰国,一般贸易,usd,广西壮族自治区,0,—
进口,2022-12,07141020,木薯干,13887656,53630800,千克,泰国,一般贸易,usd,海南省,0,—
进口,2022-12,07141020,木薯干,8333734,32022900,千克,泰国,保税监管场所进出境货物,usd,广东省,0,—
进口,2022-12,07141020,木薯干,1798195,6512200,千克,越南,一般贸易,usd,江苏省,0,—
进口,2022-12,07141020,木薯干,1768323,7070180,千克,越南,一般贸易,usd,江西省,0,—
进口,2022-12,07141020,木薯干,289908,1017000,千克,越南,一般贸易,usd,山东省,0,—
进口,2022-12,07141020,木薯干,2297572,8644150,千克,越南,一般贸易,usd,广西壮族自治区,0,—
进口,2022-12,07141020,木薯干,402816,1825700,千克,越南,一般贸易,usd,云南省,0,—
进口,2022-12,07141020,木薯干,1242461,5149620,千克,越南,边境小额贸易,usd,云南省,0,—
进口,2022-12,07141020,木薯干,5383,28200,千克,坦桑尼亚,一般贸易,usd,河南省,0,—
进口,2022-12,10039000,其他大麦,735454,2600000,千克,哈萨克斯坦,一般贸易,usd,北京市,0,—
进口,2022-12,10039000,其他大麦,352950,1086000,千克,哈萨克斯坦,一般贸易,usd,江苏省,0,—
进口,2022-12,10039000,其他大麦,2107628,7748000,千克,哈萨克斯坦,一般贸易,usd,浙江省,0,—
进口,2022-12,10039000,其他大麦,1003005,3692000,千克,哈萨克斯坦,一般贸易,usd,山东省,0,—
进口,2022-12,10039000,其他大麦,362275,1300000,千克,哈萨克斯坦,一般贸易,usd,湖南省,0,—
进口,2022-12,10039000,其他大麦,120679,410200,千克,哈萨克斯坦,一般贸易,usd,海南省,0,—
进口,2022-12,10039000,其他大麦,333670,1300000,千克,哈萨克斯坦,一般贸易,usd,云南省,0,—
进口,2022-12,10039000,其他大麦,387082,1376500,千克,哈萨克斯坦,一般贸易,usd,甘肃省,0,—
进口,2022-12,10039000,其他大麦,2092445,8685320,千克,哈萨克斯坦,一般贸易,usd,新疆维吾尔自治区,0,—
进口,2022-12,10039000,其他大麦,159744,676000,千克,哈萨克斯坦,进料加工贸易,usd,新疆维吾尔自治区,0,—
进口,2022-12,10039000,其他大麦,34609,130000,千克,哈萨克斯坦,边境小额贸易,usd,新疆维吾尔自治区,0,—
进口,2022-12,10039000,其他大麦,84240,312000,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,新疆维吾尔自治区,0,—
进口,2022-12,10039000,其他大麦,1109092,2011410,千克,丹麦,一般贸易,usd,河北省,0,—
进口,2022-12,10039000,其他大麦,16600195,31337700,千克,法国,一般贸易,usd,浙江省,0,—
进口,2022-12,10039000,其他大麦,18345184,34662300,千克,法国,一般贸易,usd,广东省,0,—
进口,2022-12,10039000,其他大麦,822615,2787840,千克,俄罗斯联邦,一般贸易,usd,内蒙古自治区,0,—
进口,2022-12,10039000,其他大麦,386815,1303350,千克,俄罗斯联邦,一般贸易,usd,江苏省,0,—
进口,2022-12,10039000,其他大麦,320545,1536950,千克,俄罗斯联邦,一般贸易,usd,山东省,0,—
进口,2022-12,10039000,其他大麦,362410,1095150,千克,俄罗斯联邦,一般贸易,usd,广东省,0,—
进口,2022-12,10039000,其他大麦,408615,1303350,千克,俄罗斯联邦,一般贸易,usd,四川省,0,—
进口,2022-12,10039000,其他大麦,11989474,36850000,千克,乌克兰,一般贸易,usd,福建省,0,—
进口,2022-12,10039000,其他大麦,9907793,26922000,千克,阿根廷,一般贸易,usd,辽宁省,0,—
进口,2022-12,10039000,其他大麦,3359053,9900000,千克,加拿大,一般贸易,usd,上海市,0,—
进口,2022-12,10039000,其他大麦,13603397,26400000,千克,加拿大,一般贸易,usd,江苏省,0,—
进口,2022-12,10039000,其他大麦,9818045,20868600,千克,加拿大,一般贸易,usd,浙江省,0,—
进口,2022-12,10039000,其他大麦,24925060,64092100,千克,加拿大,一般贸易,usd,安徽省,0,—
进口,2022-12,10039000,其他大麦,7520063,19219300,千克,加拿大,一般贸易,usd,福建省,0,—
进口,2022-12,10039000,其他大麦,3612644,9354620,千克,加拿大,一般贸易,usd,山东省,0,—
进口,2022-12,10039000,其他大麦,22128872,48499800,千克,加拿大,一般贸易,usd,广东省,0,—
进口,2022-12,10039000,其他大麦,20405095,39600000,千克,加拿大,保税监管场所进出境货物,usd,江苏省,0,—
进口,2022-12,10039000,其他大麦,3931100,9354620,千克,加拿大,保税监管场所进出境货物,usd,福建省,0,—
进口,2022-12,10039000,其他大麦,19673056,59896100,千克,加拿大,保税监管场所进出境货物,usd,广东省,0,—
进口,2022-12,10041000,种用燕麦,241555,250000,千克,加拿大,一般贸易,usd,北京市,0,—
进口,2022-12,10049000,其他燕麦,871098,3420000,千克,俄罗斯联邦,一般贸易,usd,北京市,0,—
进口,2022-12,10049000,其他燕麦,430908,1817300,千克,俄罗斯联邦,一般贸易,usd,内蒙古自治区,0,—
进口,2022-12,10049000,其他燕麦,140314,642390,千克,俄罗斯联邦,一般贸易,usd,黑龙江省,0,—
进口,2022-12,10049000,其他燕麦,312787,1952040,千克,俄罗斯联邦,一般贸易,usd,山东省,0,—
进口,2022-12,10049000,其他燕麦,99550,401383,千克,俄罗斯联邦,一般贸易,usd,广东省,0,—
进口,2022-12,10049000,其他燕麦,610618,2646870,千克,俄罗斯联邦,边境小额贸易,usd,内蒙古自治区,0,—
进口,2022-12,10049000,其他燕麦,331988,1016650,千克,澳大利亚,一般贸易,usd,北京市,0,—
进口,2022-12,10049000,其他燕麦,499868,1390870,千克,澳大利亚,一般贸易,usd,天津市,0,—
进口,2022-12,10049000,其他燕麦,2413387,6913560,千克,澳大利亚,一般贸易,usd,河北省,0,—
进口,2022-12,10049000,其他燕麦,902936,2572180,千克,澳大利亚,一般贸易,usd,江苏省,0,—
进口,2022-12,10049000,其他燕麦,677121,2017880,千克,澳大利亚,一般贸易,usd,安徽省,0,—
进口,2022-12,10049000,其他燕麦,1264500,3303410,千克,澳大利亚,一般贸易,usd,广东省,0,—
进口,2022-12,10049000,其他燕麦,289842,758900,千克,澳大利亚,一般贸易,usd,广西壮族自治区,0,—
进口,2022-12,10049000,其他燕麦,612789,1862580,千克,澳大利亚,一般贸易,usd,甘肃省,0,—
进口,2022-12,10051000,种用玉米,3521,780,千克,印度,一般贸易,usd,上海市,0,—
进口,2022-12,10051000,种用玉米,5672,174,千克,日本,一般贸易,usd,上海市,0,—
进口,2022-12,10051000,种用玉米,5051,763,千克,德国,其他,usd,北京市,0,—
进口,2022-12,10051000,种用玉米,337075,58520,千克,智利,一般贸易,usd,北京市,0,—
进口,2022-12,10051000,种用玉米,1371,31,千克,智利,其他,usd,北京市,0,—
进口,2022-12,10059000,玉米，种用除外,1056698,3300000,千克,缅甸,一般贸易,usd,辽宁省,0,—
进口,2022-12,10059000,玉米，种用除外,1745162,5272000,千克,缅甸,一般贸易,usd,福建省,0,—
进口,2022-12,10059000,玉米，种用除外,227370,689000,千克,缅甸,一般贸易,usd,山东省,0,—
进口,2022-12,10059000,玉米，种用除外,159164,494500,千克,缅甸,一般贸易,usd,湖北省,0,—
进口,2022-12,10059000,玉米，种用除外,83805,250000,千克,缅甸,一般贸易,usd,广东省,0,—
进口,2022-12,10059000,玉米，种用除外,36562586,108977000,千克,缅甸,一般贸易,usd,云南省,0,—
进口,2022-12,10059000,玉米，种用除外,251293,700000,千克,缅甸,进料加工贸易,usd,云南省,0,—
进口,2022-12,10059000,玉米，种用除外,68424,200000,千克,缅甸,海关特殊监管区域物流货物,usd,湖北省,0,—
进口,2022-12,10059000,玉米，种用除外,81024,245000,千克,缅甸,海关特殊监管区域物流货物,usd,云南省,0,—
进口,2022-12,10059000,玉米，种用除外,6964969,19325300,千克,老挝,一般贸易,usd,云南省,0,—
进口,2022-12,10059000,玉米，种用除外,101134,130410,千克,南非,一般贸易,usd,北京市,0,—
