进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,10039000,其他大麦,2774539.0,加拿大,一般贸易,欧麦(保定)麦芽有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,207221.0,澳大利亚,一般贸易,上海尊融国际贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1067921.0,美国,一般贸易,北大荒(上海)国际贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,306340.0,美国,一般贸易,中粮集团有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,5948971.0,澳大利亚,一般贸易,天津服装进出口股份有限公司,hs100300,usd
进口,2016.0,10071000,种用食用高梁,721.0,澳大利亚,一般贸易,北京金色谷雨种业科技有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,10835655.0,美国,一般贸易,厦门国贸集团股份有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1008857.0,美国,一般贸易,青岛致中和工贸有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,1811039.0,俄罗斯联邦,一般贸易,东宁富海经贸有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,1034.0,智利,除一般贸易及加工贸易外合计（代码修正）,哈尔滨兴环贸易有限公司,hs100510,usd
进口,2016.0,10039000,其他大麦,11348871.0,法国,一般贸易,广州麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,202711.0,保加利亚,一般贸易,天津农垦龙呈嘉益国际贸易有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,590471.0,老挝,一般贸易,勐腊县嘉创橡胶商贸有限责任公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,1445558.0,澳大利亚,一般贸易,唐人神集团股份有限公司,hs100700,usd
进口,2016.0,10039000,其他大麦,13433618.0,法国,一般贸易,中粮麦芽(大连)有限公司,hs100300,usd
进口,2016.0,07141010,鲜木薯,19496.0,越南,除一般贸易及加工贸易外合计（代码修正）,麻栗坡萍新边贸有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,28392756.0,澳大利亚,一般贸易,中国国投国际贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,1256669.0,老挝,一般贸易,云南土产进出口有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,13610001.0,澳大利亚,一般贸易,永顺泰（秦皇岛）麦芽有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,15885137.0,美国,一般贸易,新谷(上海)贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,4725179.0,美国,加工贸易（代码修正）,湖南海益通生物科技有限公司,hs100590,usd
进口,2016.0,07141010,鲜木薯,119152.0,越南,除一般贸易及加工贸易外合计（代码修正）,金平祥源边贸有限责任公司,hs071410,usd
进口,2016.0,10039000,其他大麦,32493926.0,加拿大,一般贸易,大连兴泽制麦有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1452990.0,美国,一般贸易,宁波贯华进出口有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,20984764.0,美国,一般贸易,广东俊杰农产品有限公司,hs100590,usd
进口,2016.0,07141010,鲜木薯,826004.0,越南,一般贸易,元阳县申红新能源有限责任公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,106714.0,美国,一般贸易,广州东凌贸易有限公司,hs100700,usd
进口,2016.0,10051000,种用玉米,207.0,奥地利,除一般贸易及加工贸易外合计（代码修正）,北大荒垦丰种业股份有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,562259.0,俄罗斯联邦,除一般贸易及加工贸易外合计（代码修正）,绥芬河良运农产品开发有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,27427520.0,泰国,一般贸易,连云港金长林酒业有限公司,hs071410,usd
进口,2016.0,07141020,木薯干,16184910.0,泰国,一般贸易,日照天桥贸易有限公司,hs071410,usd
进口,2016.0,10041000,种用燕麦,70000.0,加拿大,一般贸易,北京猛犸种业有限公司,hs100400,usd
进口,2016.0,10079000,其他食用高梁,872345.0,美国,一般贸易,青岛星芒贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,16268130.0,乌克兰,一般贸易,天成玉米开发有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,90165107.0,乌克兰,一般贸易,厦门建发原材料贸易有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,1195674.0,德国,一般贸易,北大荒垦丰种业股份有限公司,hs100510,usd
进口,2016.0,07141020,木薯干,49705884.0,泰国,一般贸易,莒县中瑞实业有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,14751863.0,美国,一般贸易,青岛祥农进出口有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,15620130.0,乌克兰,一般贸易,厦门建发农产品有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,27684778.0,澳大利亚,一般贸易,中粮麦芽(江阴)有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,32845565.0,泰国,一般贸易,大连农垦北大荒国际贸易有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,512381.0,俄罗斯联邦,一般贸易,东宁宏达高蛋白饲料有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,15515093.0,美国,一般贸易,厦门建发农产品有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,6722608.0,乌克兰,加工贸易（代码修正）,内蒙古阜丰生物科技有限公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,144000253.0,美国,一般贸易,厦门建发原材料贸易有限公司,hs100700,usd
进口,2016.0,10079000,其他食用高梁,1122945.0,澳大利亚,一般贸易,烟台双塔食品股份有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,4003677.0,老挝,一般贸易,西双版纳莎喱嘎进出口有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,6517377.0,澳大利亚,一般贸易,青岛啤酒股份有限公司,hs100300,usd
进口,2016.0,10041000,种用燕麦,329307.0,美国,一般贸易,北京百斯特草业有限公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5567535.0,美国,一般贸易,安徽安粮国际发展有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,3762825.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口百世贸易有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,7405419.0,美国,一般贸易,中工资源贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,3121019.0,越南,除一般贸易及加工贸易外合计（代码修正）,马关正一生物产业有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2583072.0,美国,一般贸易,湛江峰海源贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,641823.0,美国,一般贸易,邦吉(上海)管理有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,3880715.0,澳大利亚,一般贸易,四川澳瑞佳国际贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1278098.0,美国,一般贸易,江西喜盈盈农牧贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2400152.0,美国,一般贸易,日照登祥贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,609594.0,柬埔寨,一般贸易,中航国际新能源发展有限公司,hs071410,usd
进口,2016.0,07141020,木薯干,10948376.0,越南,一般贸易,山东振龙生物化工集团有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,13561751.0,美国,一般贸易,江苏民康油脂有限公司,hs100700,usd
进口,2016.0,10051000,种用玉米,422.0,捷克,除一般贸易及加工贸易外合计（代码修正）,湖北省种子集团有限公司,hs100510,usd
进口,2016.0,10051000,种用玉米,2096.0,德国,除一般贸易及加工贸易外合计（代码修正）,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,1367682.0,美国,除一般贸易及加工贸易外合计（代码修正）,上海同华储运有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,3764360.0,泰国,一般贸易,上海枣矿新能源有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,506784.0,美国,除一般贸易及加工贸易外合计（代码修正）,福建海富特生物科技股份有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,545320.0,美国,一般贸易,南通裕丰粮油发展有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,502159.0,美国,一般贸易,湖南正虹科技发展股份有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,9183163.0,加拿大,一般贸易,宁波麦芽有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,1280308.0,澳大利亚,一般贸易,江苏钰丰麦芽制造有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,20029424.0,美国,一般贸易,广东海大集团股份有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,17108817.0,泰国,一般贸易,日照宏伟贸易有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,335794.0,美国,一般贸易,浙江省粮油食品进出口股份有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,43428.0,老挝,一般贸易,西双版纳精谷边贸有限责任公司,hs100590,usd
进口,2016.0,10039000,其他大麦,30728409.0,加拿大,一般贸易,中粮麦芽(江阴)有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,550087.0,缅甸,一般贸易,云南金晨投资有限公司,hs100590,usd
进口,2016.0,07141010,鲜木薯,1682197.0,越南,除一般贸易及加工贸易外合计（代码修正）,云南科维生物产业有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,352293.0,美国,一般贸易,淄博农昌生物技术有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,4597697.0,乌克兰,除一般贸易及加工贸易外合计（代码修正）,深圳赤湾港航股份有限公司,hs100590,usd
进口,2016.0,10049000,其他燕麦,57.0,美国,一般贸易,广东省丝丽国际集团兆丰物流有限责任公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5157612.0,美国,一般贸易,中纺油脂有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,20263258.0,泰国,一般贸易,安徽丰原国际货运有限公司,hs071410,usd
进口,2016.0,10049000,其他燕麦,5275912.0,澳大利亚,一般贸易,广西贺州西麦生物食品有限公司,hs100400,usd
进口,2016.0,07141010,鲜木薯,41787.0,越南,一般贸易,金平祥源边贸有限责任公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,113666.0,美国,一般贸易,潍坊中基集团有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1538802.0,美国,一般贸易,日照大水国际贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,12963861.0,泰国,一般贸易,湛江市锋耀贸易有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,410047.0,美国,一般贸易,厦门明萱饲料有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,1710659.0,老挝,一般贸易,云南绿航生物科技发展有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,67725.0,德国,一般贸易,北京金色谷雨种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,356102.0,老挝,除一般贸易及加工贸易外合计（代码修正）,勐腊县嘉创橡胶商贸有限责任公司,hs100590,usd
进口,2016.0,10039000,其他大麦,15559233.0,法国,加工贸易（代码修正）,广州麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,146340.0,俄罗斯联邦,一般贸易,黑龙江华宇工贸(集团)有限责任公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,205747.0,澳大利亚,一般贸易,日照宏达进出口有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,762458.0,美国,一般贸易,深圳市瑞宏进出口贸易有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,6844469.0,泰国,一般贸易,河南天冠企业集团有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,147378.0,缅甸,一般贸易,耿马县嘉伟进出口有限公司,hs100590,usd
进口,2016.0,10071000,种用食用高梁,100.0,美国,一般贸易,山东金种子农业发展有限公司,hs100700,usd
进口,2016.0,10031000,种用大麦,4081.0,美国,一般贸易,中国种子集团有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,2122636.0,缅甸,一般贸易,瑞丽市畹町经济开发区盈益商号,hs100590,usd
进口,2016.0,10051000,种用玉米,517.0,意大利,除一般贸易及加工贸易外合计（代码修正）,北大荒垦丰种业股份有限公司,hs100510,usd
进口,2016.0,10039000,其他大麦,15106087.0,澳大利亚,一般贸易,肇庆市福加德面粉有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,10295860.0,澳大利亚,一般贸易,湖北劲牌保健酒业有限公司,hs100700,usd
进口,2016.0,10039000,其他大麦,7160874.0,澳大利亚,一般贸易,永顺泰(昌乐)麦芽有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,717633.0,丹麦,一般贸易,欧麦(保定)麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,690601.0,缅甸,一般贸易,云南博奥国际贸易有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,10430125.0,澳大利亚,一般贸易,永顺泰(宝应)麦芽有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,23126821.0,美国,一般贸易,中国牧工商(集团)总公司,hs230330,usd
进口,2016.0,10039000,其他大麦,4788246.0,澳大利亚,除一般贸易及加工贸易外合计（代码修正）,厦门市明穗粮油贸易有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,209588.0,澳大利亚,一般贸易,湖南正虹科技发展股份有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,6147588.0,乌克兰,一般贸易,山东中慧国际贸易有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,689385.0,乌克兰,一般贸易,中国国投国际贸易有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,13137716.0,美国,一般贸易,上海和润实业有限公司,hs100700,usd
进口,2016.0,10049000,其他燕麦,136328.0,芬兰,一般贸易,广西贺州西麦生物食品有限公司,hs100400,usd
进口,2016.0,10071000,种用食用高梁,213.0,法国,一般贸易,北京金色谷雨种业科技有限公司,hs100700,usd
进口,2016.0,10051000,种用玉米,351244.0,法国,一般贸易,北京金色谷雨种业科技有限公司,hs100510,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,922829.0,美国,一般贸易,青岛柏尊贸易有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,914316.0,澳大利亚,一般贸易,中牧（天津）国际贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,7644229.0,乌克兰,加工贸易（代码修正）,莱芜泰禾生化有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,179553.0,老挝,一般贸易,昆明元奎经贸有限公司,hs100590,usd
进口,2016.0,10049000,其他燕麦,9.0,美国,一般贸易,广东省丝丽国际集团泓泰有限责任公司,hs100400,usd
进口,2016.0,10079000,其他食用高梁,21445216.0,美国,一般贸易,杭州中耀粮油有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,741714.0,缅甸,一般贸易,西双版纳蕊鑫贸易有限公司,hs100590,usd
进口,2016.0,10049000,其他燕麦,649465.0,澳大利亚,一般贸易,广东茂原粮油贸易有限公司,hs100400,usd
进口,2016.0,10051000,种用玉米,263.0,圭亚那,一般贸易,上海种业(集团)有限公司,hs100510,usd
进口,2016.0,07141020,木薯干,197129.0,泰国,一般贸易,日照雨顺木薯有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,182967.0,缅甸,一般贸易,腾冲市森鑫木业有限责任公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,2003528.0,澳大利亚,一般贸易,日照润裕贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,180633.0,美国,一般贸易,青岛锦曦晨国际贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,188952.0,美国,一般贸易,上海澎进贸易有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,5348143.0,澳大利亚,一般贸易,山东海越麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,14282014.0,美国,一般贸易,辽宁盛和沣贸易有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,19819.0,巴西,一般贸易,北京爱地科技有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,6183484.0,加拿大,加工贸易（代码修正）,广州麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,716225.0,缅甸,一般贸易,云南金瑞种业有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,118334.0,缅甸,除一般贸易及加工贸易外合计（代码修正）,瑞丽市鑫和源工贸有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,3716735.0,泰国,一般贸易,日照浩瀚国际能源有限公司,hs071410,usd
进口,2016.0,10051000,种用玉米,440.0,菲律宾,除一般贸易及加工贸易外合计（代码修正）,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,07141020,木薯干,12709934.0,泰国,一般贸易,江苏国泰华博进出口有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,11652878.0,加拿大,一般贸易,山东海越麦芽有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,11543862.0,澳大利亚,一般贸易,厦门象屿物流集团有限责任公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,657933.0,美国,一般贸易,天津市贵和缘贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,907299.0,老挝,除一般贸易及加工贸易外合计（代码修正）,西双版纳顺源边贸有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,454337.0,美国,一般贸易,日照市大海水产有限公司,hs230330,usd
进口,2016.0,10051000,种用玉米,254.0,巴西,除一般贸易及加工贸易外合计（代码修正）,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,10084453.0,乌克兰,一般贸易,广东海大集团股份有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,609156.0,美国,一般贸易,安徽丰原国际贸易有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,2579194.0,澳大利亚,一般贸易,广州市华壬谷物贸易有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,23485484.0,泰国,一般贸易,日照中泰国际贸易有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,482554.0,缅甸,一般贸易,保山市隆阳区粮食收储有限责任公司,hs100590,usd
进口,2016.0,10039000,其他大麦,16100537.0,加拿大,一般贸易,上海上实国际贸易(集团)有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,5388867.0,乌克兰,一般贸易,厦门建发农产品有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,43778085.0,越南,一般贸易,广西金源生物化工实业有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,1273250.0,缅甸,一般贸易,普洱市兴银商贸有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,516.0,台澎金马关税区,一般贸易,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,10041000,种用燕麦,474600.0,加拿大,一般贸易,北京佰青源畜牧业科技发展有限公司,hs100400,usd
进口,2016.0,10041000,种用燕麦,816064.0,美国,一般贸易,北京猛犸种业有限公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,7035114.0,美国,一般贸易,广东福百盛股份有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,31553325.0,澳大利亚,一般贸易,宁波麦芽有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,20263097.0,澳大利亚,一般贸易,厦门建发农产品有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,641099.0,澳大利亚,一般贸易,上海英联食品饮料有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,14179644.0,澳大利亚,一般贸易,厦门建发原材料贸易有限公司,hs100300,usd
进口,2016.0,07141010,鲜木薯,772174.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口云双农资有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1663019.0,美国,一般贸易,建发物流（青岛）有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,1478589.0,澳大利亚,一般贸易,瓮福国际贸易股份有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,2207.0,美国,一般贸易,上海加州阳光食品有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,262778.0,澳大利亚,一般贸易,江苏汇鸿国际集团土产进出口股份有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,32394699.0,泰国,一般贸易,日照昆达进出口有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,9942927.0,美国,一般贸易,中国国投国际贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,28311507.0,乌克兰,加工贸易（代码修正）,呼伦贝尔东北阜丰生物科技有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,6200.0,印度,除一般贸易及加工贸易外合计（代码修正）,大连集装箱码头物流有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,2735938.0,加拿大,一般贸易,江苏省农垦麦芽有限公司,hs100300,usd
进口,2016.0,10049000,其他燕麦,17542494.0,澳大利亚,一般贸易,百事食品(中国)有限公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3483486.0,美国,一般贸易,青岛麦泽商贸有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,31222668.0,泰国,一般贸易,泰兴金江化学工业有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,5420510.0,澳大利亚,一般贸易,欧麦(保定)麦芽有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,6953047.0,泰国,一般贸易,日照东六工贸有限公司,hs071410,usd
进口,2016.0,10051000,种用玉米,547.0,以色列,除一般贸易及加工贸易外合计（代码修正）,河北大禹种业有限公司,hs100510,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,331221.0,美国,一般贸易,陕西石羊进出口有限责任公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,6646010.0,澳大利亚,一般贸易,深圳市福加德谷物有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,251124.0,缅甸,一般贸易,云南威凯实业有限公司,hs100590,usd
进口,2016.0,10071000,种用食用高梁,53.0,日本,一般贸易,山东金种子农业发展有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,7888252.0,泰国,一般贸易,龙口振龙瑞明酒精有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,38049784.0,美国,一般贸易,北大荒粮食集团广州仁亿贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,173663.0,美国,一般贸易,浙江农资集团金鸿进出口有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,1410685.0,越南,一般贸易,金平祥源边贸有限责任公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1550084.0,美国,一般贸易,日照润裕贸易有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,6990055.0,澳大利亚,一般贸易,浙江省粮食集团有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,926396.0,柬埔寨,一般贸易,中粮集团有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,7770214.0,美国,一般贸易,广东金禾面粉有限公司,hs100700,usd
进口,2016.0,10079000,其他食用高梁,41642043.0,美国,一般贸易,北大荒粮食集团广州仁亿贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,812278.0,缅甸,除一般贸易及加工贸易外合计（代码修正）,腾冲市森鑫木业有限责任公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,320925.0,老挝,除一般贸易及加工贸易外合计（代码修正）,云南雷林橡胶有限责任公司,hs100590,usd
进口,2016.0,10039000,其他大麦,7661763.0,澳大利亚,一般贸易,莱芜市鲁中啤酒原料有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,38326168.0,澳大利亚,一般贸易,大连兴泽制麦有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,263088.0,美国,一般贸易,辽宁爱普特贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,10044094.0,美国,一般贸易,山东鼎慧进出口有限公司,hs230330,usd
进口,2016.0,10049000,其他燕麦,81487.0,英国,加工贸易（代码修正）,东莞市日隆食品有限公司,hs100400,usd
进口,2016.0,07141020,木薯干,8818049.0,泰国,一般贸易,广西中粮生物质能源有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,467829.0,美国,一般贸易,德丰贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,3725159.0,泰国,一般贸易,江苏雅仕贸易有限公司,hs071410,usd
进口,2016.0,07141020,木薯干,209556.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口云双农资有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,607535.0,美国,一般贸易,中国化纤总公司,hs230330,usd
进口,2016.0,07141010,鲜木薯,434648.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口中云映辉化工有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,21115966.0,乌克兰,一般贸易,广州市华壬谷物贸易有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,33369248.0,泰国,一般贸易,山东浮来春商贸有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,28723.0,老挝,除一般贸易及加工贸易外合计（代码修正）,昆明永兴行商贸有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,281907.0,俄罗斯联邦,除一般贸易及加工贸易外合计（代码修正）,黑龙江省牡丹江农垦新友谊农业经济开发有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,875476.0,老挝,一般贸易,云南农垦云橡投资有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,1579616.0,缅甸,一般贸易,瑞丽市坤龙贸易有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,37128485.0,泰国,一般贸易,太仓新太酒精有限公司,hs071410,usd
进口,2016.0,07141020,木薯干,55178.0,越南,除一般贸易及加工贸易外合计（代码修正）,元阳县申红新能源有限责任公司,hs071410,usd
进口,2016.0,07141020,木薯干,578615.0,越南,一般贸易,南京红太阳股份有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,60741331.0,美国,一般贸易,中粮贸易有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,13050836.0,澳大利亚,一般贸易,盐城海越麦芽有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,204996.0,老挝,一般贸易,昆明大林橡胶有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,8211.0,智利,一般贸易,上海惠和种业有限公司,hs100510,usd
进口,2016.0,10049000,其他燕麦,858829.0,澳大利亚,一般贸易,澳尤威(上海)贸易有限公司,hs100400,usd
