进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,9171148.0,美国,一般贸易,托福国际贸易(上海)有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,259927.0,美国,一般贸易,淄博居安商贸有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,7975673.0,乌克兰,一般贸易,厦门象屿速传供应链发展股份有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2607924.0,美国,一般贸易,青岛瑞谷国际贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3477965.0,美国,一般贸易,广东恒兴饲料实业股份有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5681156.0,美国,一般贸易,厦门汇沣实业有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,86597.0,美国,一般贸易,厦门百拓粮油食品有限公司,hs230330,usd
进口,2016.0,10049000,其他燕麦,821146.0,澳大利亚,一般贸易,江苏舜天瑞隆贸易有限公司,hs100400,usd
进口,2016.0,10039000,其他大麦,752332.0,澳大利亚,一般贸易,湖南正虹科技发展股份有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,213990.0,澳大利亚,一般贸易,中国华粮物流集团北良有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,34132684.0,泰国,一般贸易,嘉兴良友进出口集团股份有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,437132.0,澳大利亚,一般贸易,澳尤威(上海)贸易有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1397676.0,美国,一般贸易,青岛海之达国际商务有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,40704102.0,泰国,一般贸易,江苏联海生物科技有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1229208.0,美国,一般贸易,唐人神集团股份有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,9080577.0,越南,一般贸易,日照浩瀚国际能源有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,4265879.0,澳大利亚,一般贸易,中航国际粮油贸易有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3822869.0,美国,一般贸易,淄博润和饲料销售有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,7165121.0,越南,除一般贸易及加工贸易外合计（代码修正）,北海新中利贸易有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,85949.0,乌克兰,一般贸易,建发物流(天津)实业有限责任公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,266.0,希腊,一般贸易,北京金色谷雨种业科技有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,57773.0,阿根廷,一般贸易,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,545760.0,俄罗斯联邦,一般贸易,东宁华信经济贸易有限责任公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,705419.0,老挝,一般贸易,云南雷林橡胶有限责任公司,hs100590,usd
进口,2016.0,07141020,木薯干,918106.0,越南,除一般贸易及加工贸易外合计（代码修正）,云南科维生物产业有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,56742792.0,澳大利亚,一般贸易,中粮麦芽(大连)有限公司,hs100300,usd
