进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位,商品1996编码
进口,2021-01,10039000,其他大麦,5818725.0,20405300.0,千克,加拿大,一般贸易,usd,安徽省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,41470572.0,192435000.0,千克,加拿大,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,6255932.0,27000000.0,千克,加拿大,一般贸易,usd,广东省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,4839707.0,22073200.0,千克,加拿大,保税监管场所进出境货物,usd,福建省,0.0,—,hs100300
进口,2021-01,10041000,种用燕麦,49500.0,75000.0,千克,加拿大,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-01,10041000,种用燕麦,491.0,10.0,千克,美国,一般贸易,usd,甘肃省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,803.0,48.0,千克,中国台湾,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,37.0,1.0,千克,中国台湾,一般贸易,usd,天津市,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,17.0,6.0,千克,德国,一般贸易,usd,湖北省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,162.0,7.0,千克,德国,一般贸易,usd,广东省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,449644.0,1596840.0,千克,俄罗斯联邦,一般贸易,usd,内蒙古自治区,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,67.0,2.0,千克,美国,一般贸易,usd,天津市,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,693846.0,2385530.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,591701.0,1867090.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,311046.0,1017940.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,1118545.0,3429790.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—,hs100400
进口,2021-01,10049000,其他燕麦,733040.0,2101860.0,千克,澳大利亚,一般贸易,usd,广西壮族自治区,0.0,—,hs100400
进口,2021-01,10051000,种用玉米,3052.0,104.0,千克,马来西亚,一般贸易,usd,北京市,0.0,—,hs100510
进口,2021-01,10051000,种用玉米,1025.0,329.0,千克,德国,一般贸易,usd,黑龙江省,0.0,—,hs100510
进口,2021-01,10051000,种用玉米,98.0,5.0,千克,法国,其他,usd,北京市,0.0,—,hs100510
进口,2021-01,10051000,种用玉米,410.0,16.0,千克,巴西,一般贸易,usd,黑龙江省,0.0,—,hs100510
进口,2021-01,10059000,"玉米,种用除外",367980.0,1123750.0,千克,缅甸,一般贸易,usd,云南省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",5069.0,14500.0,千克,老挝,一般贸易,usd,云南省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",1139408.0,4945540.0,千克,俄罗斯联邦,一般贸易,usd,北京市,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",248530.0,1247000.0,千克,俄罗斯联邦,一般贸易,usd,辽宁省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",175536.0,1380000.0,千克,俄罗斯联邦,一般贸易,usd,黑龙江省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",1878953.0,7875430.0,千克,俄罗斯联邦,一般贸易,usd,福建省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",1367227.0,4880000.0,千克,俄罗斯联邦,进料加工贸易,usd,山东省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",1879.0,27000.0,千克,俄罗斯联邦,边境小额贸易,usd,黑龙江省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",208643256.0,912029000.0,千克,乌克兰,一般贸易,usd,北京市,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",2906317.0,14200400.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",6045579.0,22864000.0,千克,乌克兰,一般贸易,usd,广东省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",13096170.0,56831500.0,千克,乌克兰,进料加工贸易,usd,内蒙古自治区,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",14037270.0,60000000.0,千克,乌克兰,进料加工贸易,usd,浙江省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",44605208.0,204313000.0,千克,乌克兰,进料加工贸易,usd,山东省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",437974.0,1645500.0,千克,乌克兰,保税监管场所进出境货物,usd,广东省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",1140874.0,4000000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,福建省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",31328889.0,106028000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,山东省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",19509556.0,93788900.0,千克,乌克兰,海关特殊监管区域物流货物,usd,湖南省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",12656308.0,45114900.0,千克,乌克兰,海关特殊监管区域物流货物,usd,广西壮族自治区,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",6780000.0,25000000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,甘肃省,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",348960715.0,1444760000.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100590
进口,2021-01,10059000,"玉米,种用除外",706106.0,2497270.0,千克,美国,海关特殊监管区域物流货物,usd,广西壮族自治区,0.0,—,hs100590
进口,2021-01,10079000,其他食用高梁,570986.0,3520950.0,千克,缅甸,一般贸易,usd,云南省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,6484443.0,27108000.0,千克,阿根廷,一般贸易,usd,广东省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,8170428.0,30351300.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,72910393.0,269699000.0,千克,美国,一般贸易,usd,上海市,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,650719.0,1913240.0,千克,美国,一般贸易,usd,江苏省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,56033529.0,225851000.0,千克,美国,一般贸易,usd,福建省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,4282699.0,14856000.0,千克,美国,一般贸易,usd,广东省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,211657.0,825072.0,千克,美国,一般贸易,usd,四川省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,17534275.0,50000000.0,千克,美国,保税监管场所进出境货物,usd,福建省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,9819367.0,39030000.0,千克,美国,保税监管场所进出境货物,usd,广东省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,881895.0,2477420.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,872790.0,2476540.0,千克,澳大利亚,一般贸易,usd,辽宁省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,312244.0,1000340.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,244745.0,753600.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,308266.0,1003680.0,千克,澳大利亚,一般贸易,usd,浙江省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,501072.0,1394610.0,千克,澳大利亚,一般贸易,usd,安徽省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,1020551.0,3505380.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,1034236.0,2905540.0,千克,澳大利亚,一般贸易,usd,湖南省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,2846415.0,9482480.0,千克,澳大利亚,一般贸易,usd,四川省,0.0,—,hs100700
进口,2021-01,10079000,其他食用高梁,379902.0,1241380.0,千克,澳大利亚,一般贸易,usd,甘肃省,0.0,—,hs100700
进口,2021-01,23033000,酿造及蒸馏过程中的糟粕及残渣,2187174.0,7795920.0,千克,美国,进料加工贸易,usd,浙江省,0.0,—,hs230330
进口,2021-01,23033000,酿造及蒸馏过程中的糟粕及残渣,2659391.0,9989430.0,千克,美国,进料加工贸易,usd,山东省,0.0,—,hs230330
进口,2021-01,23033000,酿造及蒸馏过程中的糟粕及残渣,196892.0,756874.0,千克,美国,海关特殊监管区域物流货物,usd,福建省,0.0,—,hs230330
进口,2021-01,23033000,酿造及蒸馏过程中的糟粕及残渣,1839958.0,6318720.0,千克,美国,海关特殊监管区域物流货物,usd,广西壮族自治区,0.0,—,hs230330
进口,2021-02,07141020,木薯干,348732.0,1340680.0,千克,印度尼西亚,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,456229.0,1830340.0,千克,印度尼西亚,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,35368635.0,131059000.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,12592321.0,45560900.0,千克,泰国,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,54759861.0,208649000.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,6989076.0,27073200.0,千克,泰国,一般贸易,usd,湖北省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,1878764.0,6602690.0,千克,越南,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,6914584.0,26775500.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,787014.0,2934860.0,千克,越南,一般贸易,usd,广东省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,8829257.0,33239000.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2021-02,07141020,木薯干,264183.0,1178960.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2021-02,07141020,木薯干,1061885.0,4511450.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2021-02,10039000,其他大麦,506555.0,2132000.0,千克,哈萨克斯坦,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,2076418.0,10546200.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,新疆维吾尔自治区,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,267613.0,1014500.0,千克,丹麦,一般贸易,usd,河北省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,15159207.0,54319000.0,千克,法国,一般贸易,usd,北京市,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,34170986.0,129610000.0,千克,法国,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,362030.0,1713000.0,千克,俄罗斯联邦,边境小额贸易,usd,内蒙古自治区,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,279752.0,1009320.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,1743771.0,6503000.0,千克,阿根廷,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,7546789.0,29100400.0,千克,加拿大,一般贸易,usd,北京市,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,11821621.0,44369100.0,千克,加拿大,一般贸易,usd,河北省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,5673578.0,20672500.0,千克,加拿大,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,9569375.0,32908700.0,千克,加拿大,一般贸易,usd,浙江省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,19629920.0,83520900.0,千克,加拿大,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,27011578.0,102015000.0,千克,加拿大,一般贸易,usd,山东省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,11239475.0,54000000.0,千克,加拿大,一般贸易,usd,广东省,0.0,—,hs100300
进口,2021-02,10039000,其他大麦,4268662.0,18000000.0,千克,加拿大,保税监管场所进出境货物,usd,福建省,0.0,—,hs100300
进口,2021-02,10041000,种用燕麦,467250.0,750000.0,千克,加拿大,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-02,10041000,种用燕麦,77536.0,134307.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-02,10041000,种用燕麦,35000.0,49896.0,千克,美国,一般贸易,usd,甘肃省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,912.0,53.0,千克,中国台湾,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,20.0,8.0,千克,德国,一般贸易,usd,湖北省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,152.0,7.0,千克,德国,一般贸易,usd,广东省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,73670.0,278000.0,千克,俄罗斯联邦,一般贸易,usd,北京市,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,348356.0,1164380.0,千克,俄罗斯联邦,一般贸易,usd,青海省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,70.0,2.0,千克,美国,一般贸易,usd,天津市,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,389257.0,1300900.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,633367.0,2089300.0,千克,澳大利亚,一般贸易,usd,内蒙古自治区,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,382630.0,1242870.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,443219.0,1510400.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,565943.0,2046450.0,千克,澳大利亚,一般贸易,usd,浙江省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,618857.0,2075700.0,千克,澳大利亚,一般贸易,usd,湖南省,0.0,—,hs100400
进口,2021-02,10049000,其他燕麦,295324.0,1007920.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—,hs100400
进口,2021-02,10051000,种用玉米,391.0,40.0,千克,菲律宾,其他,usd,北京市,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,174.0,6.0,千克,科特迪瓦,一般贸易,usd,黑龙江省,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,523.0,160.0,千克,德国,一般贸易,usd,北京市,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,13813.0,2552.0,千克,德国,一般贸易,usd,黑龙江省,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,880.0,244.0,千克,德国,其他,usd,北京市,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,388.0,36.0,千克,法国,一般贸易,usd,北京市,0.0,—,hs100510
进口,2021-02,10051000,种用玉米,88917.0,2814.0,千克,智利,一般贸易,usd,北京市,0.0,—,hs100510
进口,2021-02,10059000,"玉米,种用除外",84034.0,258000.0,千克,缅甸,一般贸易,usd,云南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",572126.0,1762950.0,千克,缅甸,保税监管场所进出境货物,usd,云南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",125097.0,370400.0,千克,老挝,一般贸易,usd,云南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",311292.0,875800.0,千克,老挝,保税监管场所进出境货物,usd,云南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",30780.0,240000.0,千克,俄罗斯联邦,一般贸易,usd,黑龙江省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",117939.0,500000.0,千克,俄罗斯联邦,一般贸易,usd,福建省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",55301856.0,235972000.0,千克,乌克兰,一般贸易,usd,北京市,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",105473.0,476000.0,千克,乌克兰,一般贸易,usd,上海市,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",495991.0,1736620.0,千克,乌克兰,一般贸易,usd,安徽省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",32832978.0,136754000.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",114440.0,486980.0,千克,乌克兰,一般贸易,usd,山东省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",107669.0,476000.0,千克,乌克兰,一般贸易,usd,广东省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",13182732.0,56998500.0,千克,乌克兰,进料加工贸易,usd,内蒙古自治区,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",343203.0,1258000.0,千克,乌克兰,进料加工贸易,usd,黑龙江省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",32355267.0,120988000.0,千克,乌克兰,进料加工贸易,usd,山东省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",128513.0,484640.0,千克,乌克兰,进料加工贸易,usd,湖南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",4830314.0,15000000.0,千克,乌克兰,保税监管场所进出境货物,usd,福建省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",30069474.0,106118000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,山东省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",4370729.0,19200000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,湖南省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",33583666.0,112498000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,广西壮族自治区,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",2710000.0,10000000.0,千克,乌克兰,海关特殊监管区域物流货物,usd,甘肃省,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",213146899.0,881564000.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100590
进口,2021-02,10059000,"玉米,种用除外",22484828.0,76989500.0,千克,美国,海关特殊监管区域物流货物,usd,山东省,0.0,—,hs100590
进口,2021-02,10079000,其他食用高梁,174023.0,1064250.0,千克,缅甸,一般贸易,usd,云南省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,5846631.0,23444000.0,千克,阿根廷,一般贸易,usd,福建省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,11095929.0,34808300.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,263916.0,758290.0,千克,美国,一般贸易,usd,河北省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,834582.0,3384610.0,千克,美国,一般贸易,usd,上海市,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,171246.0,671332.0,千克,美国,一般贸易,usd,江苏省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,101452267.0,326292000.0,千克,美国,一般贸易,usd,福建省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,57652920.0,233409000.0,千克,美国,一般贸易,usd,广东省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,75114.0,292055.0,千克,美国,一般贸易,usd,四川省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,21943462.0,82760000.0,千克,美国,保税监管场所进出境货物,usd,广东省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,110032.0,297220.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,326225.0,925200.0,千克,澳大利亚,一般贸易,usd,辽宁省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,153742.0,500040.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,162966.0,499180.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,293387.0,1002420.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,148050.0,448340.0,千克,澳大利亚,一般贸易,usd,湖南省,0.0,—,hs100700
进口,2021-02,10079000,其他食用高梁,1364437.0,4472530.0,千克,澳大利亚,一般贸易,usd,四川省,0.0,—,hs100700
进口,2021-02,23033000,酿造及蒸馏过程中的糟粕及残渣,353955.0,1204790.0,千克,美国,进料加工贸易,usd,浙江省,0.0,—,hs230330
进口,2021-02,23033000,酿造及蒸馏过程中的糟粕及残渣,409324.0,1482340.0,千克,美国,进料加工贸易,usd,山东省,0.0,—,hs230330
进口,2021-02,23033000,酿造及蒸馏过程中的糟粕及残渣,2235394.0,7704450.0,千克,美国,海关特殊监管区域物流货物,usd,福建省,0.0,—,hs230330
进口,2021-02,23033000,酿造及蒸馏过程中的糟粕及残渣,1572030.0,4432550.0,千克,美国,海关特殊监管区域物流货物,usd,广西壮族自治区,0.0,—,hs230330
进口,2021-02,23033000,酿造及蒸馏过程中的糟粕及残渣,34.0,0.0,千克,国(地)别不详,其他,usd,上海市,0.0,—,hs230330
进口,2021-03,07141020,木薯干,138016.0,556460.0,千克,印度尼西亚,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,5295717.0,20777300.0,千克,泰国,一般贸易,usd,北京市,0.0,—,hs071410
进口,2021-03,07141020,木薯干,47029977.0,178356000.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,13146278.0,50510400.0,千克,泰国,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,2528369.0,9682280.0,千克,泰国,一般贸易,usd,福建省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,88394401.0,324333000.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,20129342.0,75777700.0,千克,泰国,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2021-03,07141020,木薯干,5042909.0,17459000.0,千克,越南,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,3638603.0,13755300.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,18271777.0,66442800.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2021-03,07141020,木薯干,1942884.0,8115220.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2021-03,07141020,木薯干,1153798.0,4753180.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2021-03,10039000,其他大麦,56192.0,184680.0,千克,加拿大,一般贸易,usd,浙江省,0.0,—,hs100300
进口,2021-03,10039000,其他大麦,32132883.0,127882000.0,千克,加拿大,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-03,10039000,其他大麦,14367952.0,49354000.0,千克,加拿大,一般贸易,usd,广东省,0.0,—,hs100300
进口,2021-03,10041000,种用燕麦,877110.0,1406000.0,千克,加拿大,一般贸易,usd,北京市,0.0,—,hs100400
