wave,t1,qliangshi,qdaogu,qxiaomai,qyumi,qdoulei,qshulei,qyouliao,qshuiguo
1996,45,1509.3,1258.4,3.3,151,37.6,55,51.6,239.929
1996,32,3476.4,1870.2,1014.3,259.9,79.4,95.9,147.5,123.29
1996,11,237.4,16,93.9,119.7,3,2.6,2.9,49.463
1996,13,2789.5,92.2,1139.1,1168.4,89.9,142.6,120.7,503.199
1996,22,2326.6,347.4,20.6,1753.4,74.9,39.8,21.7,31.061
1996,31,226.3,163.4,27,5.2,3.3,0.6,16.2,26.827
1996,63,123.8,,76.7,,13,13.8,17.1,2.906
1996,35,952.2,743.3,17.9,8,23.2,151.2,23,283.813
1996,46,197.7,154.9,,3.9,1.9,36.4,8,36.164
1996,53,1246.2,536.1,146.7,369.2,78.1,84.8,18.8,59.006
1996,62,820.6,5,351,215.2,53.3,76.5,43.1,90.895
1996,43,2701.5,2449.9,30.4,47.7,44.9,116.4,118.1,105.01
1996,14,1077.1,3.2,300.7,457.5,50.6,92.3,37.3,121.004
1996,61,1217.3,104.7,405.7,472.3,58,110.1,37.4,362.147
1996,21,1660.1,338.9,59.4,969.5,43.4,40.9,17,248.034
1996,42,2484.4,1721.8,378.8,165.8,58.4,137.3,181.8,129.7
1997,33,1493.5,1238,72.1,14.1,34.6,79.6,48.9,269.375
1997,54,77.3,0.5,28.3,1.4,1.5,,3.4,0.774
1997,41,3894.7,342.9,2372.4,807.7,107.3,225.8,276.7,269.26
1997,64,256.6,59.9,82.2,83.2,6.9,13.7,6.2,16.235
1997,65,830,55.3,437.6,294.3,12.3,4.7,30,123.673
1997,34,2802.7,1290.2,941.2,229.1,100.4,212.2,205,74.361
1997,50,1157.7,546.4,128.4,208.9,21.9,242.2,23.3,60.724
1997,15,1421,70.6,307.9,677.9,118.7,114.3,73.1,19.954
1997,51,3461.3,1664.6,611.1,580.7,75.8,390,134.2,185.131
1997,52,1025.9,462,107.9,263.6,33.4,147,59,25.141
1997,37,3852.2,112.1,2241.3,1106,85.8,264.5,240.9,786.57
1997,36,1767.7,1636,10.7,8.4,39,70,105.6,67.638
1997,23,3104.5,860.9,328.4,1165.9,588.7,80.9,18.2,15.495
1997,12,206.2,51.1,77.4,65.5,4.6,1.1,3,23.784
1997,44,1897.7,1582.5,5.6,51.1,23.1,228.4,75.5,414.478
1997,45,1544.8,1269.3,4.8,165.5,40.6,60.4,55.5,315.522
1997,32,3563.8,1931.2,1064.7,243.7,92.1,100.2,141.9,140.396
1997,11,237.5,15.8,96.4,118.9,2.8,2.4,2.7,50.679
1997,13,2746.7,102.4,1330.7,1009.5,68,124.6,118,556.121
1997,22,1808.3,376.2,13,1260.3,73.7,27.4,15.9,37.495
1997,31,230.2,165.9,34.3,4.8,2.1,0.7,10.7,23.919
1997,63,127.6,,78.3,,13.2,14,18.4,2.718
1997,35,961.8,739.3,17.2,8.9,25.3,161.9,24.4,334.339
1997,46,213.9,168.3,,4.2,2.3,37.9,8.4,39.889
1997,53,1271.9,530.2,165,363.2,80,84.6,17.4,66.02
1997,62,766.2,4.8,328.3,166.9,9.4,70.6,35.6,100.246
1997,43,2801.9,2495.8,29.1,76.5,56,132.1,129.3,153.21
1997,14,901.4,3.8,348.6,350.1,37.8,66.3,28.1,146.441
1997,61,1044.4,93.4,562.7,271.4,26.7,63.3,36.7,326.553
1997,21,1313.5,385.7,56.5,668.3,37.2,39.3,16.1,264.106
1997,42,2634.4,1818.5,446.8,161,54.3,132.3,195.5,179.076
1998,33,1435.2,1207.8,61.2,14.9,35.7,81.9,35.5,206.416
1998,54,85,0.5,29.1,1.3,3.4,0.1,3,0.632
1998,41,4009.6,369.7,2073.5,1096.3,127.6,294.3,312.1,312.598
1998,64,294.9,62.9,93.8,99.9,9.1,20.4,8.6,15.627
1998,65,836.6,56.3,456.6,274.8,15.5,6.6,37.5,121.479
1998,34,2591,1390.2,599.1,226.5,103.5,212.8,176.5,82.503
1998,50,1122.5,515.8,130.6,190.8,21.5,249.8,25.1,74.098
1998,15,1575.4,60.3,282.7,839.8,128.5,127,90.3,20.118
1998,51,3519.7,1643.7,601.1,623.1,74.4,439.4,146.4,212.916
1998,52,1100,476.4,108.9,309,36.6,160.8,62.2,27.497
1998,37,4264.8,138.9,2024.5,1553.6,141.6,345.9,335.6,839.699
1998,36,1555.5,1425.6,9.2,8.7,38.1,70.8,84.3,45.463
1998,23,3008.5,925.8,285.2,1199.7,458.6,66.5,16.9,18.492
1998,12,210.1,45.2,76.1,75.5,5.5,1.1,3.8,25.065
1998,44,1947.6,1614.1,5.1,59.8,24.2,237.2,79.3,453.122
1998,45,1557.1,1290.9,3.5,156.2,40.1,63.9,54.4,324.733
1998,32,3415.1,2089.2,759.7,286.2,93.5,103.6,115.6,144.365
1998,11,239.2,13.3,96.7,122.6,3,2.3,2.8,54.106
1998,13,2917.5,99.2,1253.6,1187.2,95,142.2,138.8,629.689
1998,22,2506,385.5,10.6,1924.7,88.1,49.3,21.3,45.54
1998,31,212.6,163,31.1,4.9,2.2,,6.8,20.133
1998,63,128.2,,79.9,1.8,13.6,14.9,21,2.477
1998,35,958.1,728.8,15.4,9.8,26.8,168.6,24.6,343.043
1998,46,210.8,162.4,,5.2,2.6,40.3,9.5,53.268
1998,53,1319.5,537.5,151.3,418.1,76.5,87,17.5,68.07
1998,62,872,5.8,412.6,258,41.6,88.3,45.5,113.172
1998,43,2647.9,2345,25.7,82.1,50.2,134.1,120.7,109.066
1998,14,1081.5,4,320.9,476.1,61,89.5,42.5,177.312
1998,61,1303.1,101.3,504.2,481.1,61.7,99,35.5,430.77
1998,21,1828.9,378.9,61.4,1120.9,52.2,46.3,23.4,298.551
1998,42,2475.8,1633.2,409.3,186.7,68.8,160.4,216.7,182.837
1999,33,1393,1132.5,72.3,16.8,38.9,91.7,54.1,
1999,54,92.2,0.6,31.2,1.4,3.3,0.1,4.1,
1999,41,4253.3,333,2291.5,1156.6,130.1,294.6,349.3,
1999,64,293.3,65.7,78.2,107.6,9.3,24.9,10.4,
1999,65,799.3,42.9,430.9,286,15.9,8.7,60.5,
1999,34,2771.2,1300.6,852.5,213.3,115.3,231,268.1,
1999,50,1111.6,531.8,105.8,191.2,21.9,247.2,24.1,
1999,15,1428.5,68.8,273.1,771.4,107.2,110.7,100.9,
1999,51,3551.4,1687.8,543,640,78.9,473.8,151.6,
1999,52,1125.2,457.7,107.6,334.8,38.5,173.9,67.3,
1999,37,4269,131.3,2117.7,1551.4,100.4,330.3,320.5,
1999,36,1732.7,1619.3,9.6,7.5,33.3,60.6,94.4,
1999,23,3074.6,944.3,284.2,1228.4,474.1,75.7,39.3,
1999,12,174.9,40.2,71.6,56.3,2.9,0.7,2.3,
1999,44,1967.1,1615.5,4.4,72.5,25.3,242.4,74.5,
1999,45,1575,1284.7,2.6,171.6,43.3,67.4,54.7,
1999,32,3559,1937.3,1070.8,264.8,95,96.6,184,
1999,11,201,12.9,95.5,86.7,2.5,2.4,2.8,
1999,13,2746.3,93.1,1280.5,1088,68.6,125.6,129.5,
1999,22,2305.6,405.9,16.1,1692.6,74.2,47.2,31.4,
1999,31,208.1,154.3,38.4,4.9,2,0.5,13.4,
1999,63,103.6,,59.4,2.2,11,14.8,28.5,
1999,35,942.2,712.3,14.4,10.9,27.8,169.1,25.8,
1999,46,217,169,,4.9,2.7,38.9,9.6,
1999,53,1399.3,551.7,158.4,459.5,74.7,98.3,20.6,
1999,62,814.9,5.5,320.3,255.2,44.4,106.8,43.8,
1999,43,2725.4,2360.6,22.1,126.8,57.8,149,130.2,
1999,14,821.7,3.3,266.5,375.4,43.7,54.3,25.5,
1999,61,1081.6,86.1,405.5,440.4,41.4,80.1,31.9,
1999,21,1648.8,414.6,59.2,985.4,41.5,50.7,19.8,
1999,42,2451.9,1685.6,304.7,204.1,68.2,172.7,228.3,
2000,33,1217.7,990.2,55.1,20.3,45.4,78.4,57.9,170.369
2000,54,96.2,0.6,30.7,1.4,3,0.1,4,0.742
2000,41,4101.5,318.8,2236,1075,140.1,291.6,392.6,364.728
2000,64,252.7,62.4,74.5,82,4.8,17.6,7,19.316
2000,65,783.7,60.4,399.5,268.5,25.7,11.4,60.1,151.873
2000,34,2472.1,1221.6,707.1,219,103.6,194,285.1,110.607
2000,50,1106.9,532.9,101.3,197.5,24.2,239.3,31.1,81.684
2000,15,1241.9,72.2,181.8,629.2,109.7,184.3,116.4,21.446
2000,51,3372,1634.3,532.1,547.4,92.7,447.8,193,252.565
2000,52,1161.3,477.4,103.5,342.2,39.5,186.4,74.3,31.099
2000,37,3837.7,110.8,1860,1467.5,108.2,262.2,356.9,966.628
2000,36,1614.6,1491.9,7.9,8.5,35.5,68.5,96.7,42.34
2000,23,2545.5,1042.2,95.8,790.8,489.6,81.8,43.8,19.208
2000,12,124.1,14.5,59.5,41,4.3,0.7,3.3,28.28
2000,44,1760.1,1423.4,3.9,76.1,26.1,223.8,78.8,643.517
2000,45,1528.5,1226.5,2.7,184.2,45,67.6,58.6,360.142
2000,32,3106.6,1801.3,796.4,236.8,105.3,94.2,225.6,176.437
2000,11,144.2,9.4,66.9,58.7,5,3,3.8,58.591
2000,13,2551.1,65.8,1208,994.5,74.5,121,147,677.307
2000,22,1638,374.8,16.3,993.2,140.6,49.1,39,48.559
2000,31,174,137.2,24.7,3.7,2.7,0.8,16.4,22.541
2000,63,82.7,,43.9,1.2,6.6,14.9,19.4,2.242
2000,35,854.7,632.8,11,11.1,27.6,165.9,25.8,356.436
2000,46,199.6,150.2,,5.2,2.9,39.8,10.1,105.521
2000,53,1467.8,568.2,152.4,473.3,40.2,145.5,27,76.954
2000,62,713.5,6.2,266.1,210.5,37.7,105,41.7,121.592
2000,43,2767.9,2392.5,23.3,125.1,59.4,156.2,139.3,150.503
2000,14,853.4,3.3,215.2,354.8,57.8,92.6,44.8,204.486
2000,61,1089.1,94.7,418.6,413.7,31,96.1,38.8,493.791
2000,21,1140,377.1,35.8,551.1,50.2,60.7,29.6,249.966
2000,42,2218.5,1497.2,233.7,216.7,71.1,184.8,287.2,215.679
2001,33,1072.7,875.6,37.1,21.1,45.4,75.2,58.2,250.6
2001,54,98.3,0.6,28.5,1.7,3.2,0.1,4.4,0.7
2001,41,4119.9,202.7,2299.7,1151.4,122.5,272.7,362.6,399.1
2001,64,274.8,61.7,83.6,94.8,5.9,19.9,7.3,16.9
2001,65,780,56.8,370.8,293.8,28.5,12,42.6,154.2
2001,34,2500.3,1174.3,741.9,279.9,105.7,147.1,298.8,147.1
2001,50,1023.5,472.8,92,180.6,16.2,241.2,30,82.6
2001,15,1239.1,56.7,127.1,757,113.8,108.8,80.6,19.5
2001,51,2926.5,1428.6,448.7,452.3,97.1,429.5,181,272.9
2001,52,1100.3,459.8,87.7,319.4,37.2,184.9,71.3,36.4
2001,37,3720.6,110.1,1655.2,1532.4,94.4,303.2,377.3,971.4
2001,36,1600,1491.4,5.9,6.2,32.7,62,90.5,57.7
2001,23,2651.7,1016.3,93.8,819.5,537.5,125.1,36.3,21.3
2001,12,143.3,7.4,45.1,75.2,8.5,0.8,3.9,29.3
2001,44,1600.1,1298.3,3.1,65.2,25.1,201.9,80.9,686.2
2001,45,1511.4,1231.2,2.2,168.5,42.5,64.6,57.2,406.3
2001,32,2942.1,1693.2,703.9,259.9,104.5,92.5,232.5,195.3
2001,11,104.9,4.3,36.6,53.9,5.2,3.5,4.3,61.8
2001,13,2491.8,47.2,1122.7,1059.5,67.1,115.7,153.8,669.8
2001,22,1953.4,371.2,11.6,1328.4,134.2,43.7,34.3,34.7
2001,31,151.4,127.4,12.5,3.7,2.8,0.6,12.8,26.7
2001,63,103.2,,51.3,1.2,9.3,23.9,23,1.7
2001,35,817.3,606.8,8.7,10.8,26.5,159.2,26.1,401.2
2001,46,195.8,150.8,,4.9,2.7,36.1,10.3,143.6
2001,53,1486.3,595.9,137.9,477.3,90.7,149,27.7,98.4
2001,62,753.2,6.6,296.1,199,38.3,146.5,38.4,121.7
2001,43,2700.3,2328.9,21.4,115.1,61.3,162.8,137.4,185.1
2001,14,692.1,2.3,227.4,309.9,34.2,55.8,18.1,196.6
2001,61,976.6,92.1,406.6,352.8,28.7,82,37.5,493.7
2001,21,1394.4,335.2,15.5,818.7,57.4,53.7,46.3,241.7
2001,42,2138.5,1451.9,213,194.9,73.8,189.2,279.4,233.6
2002,33,942.3,779.6,25.4,22.3,41.9,58.1,47,251.2
2002,54,98.3,0.6,27.8,1.7,3.4,0.2,4.5,0.6
2002,41,4210,336.5,2248.4,1189.8,115.4,266.9,420.7,427
2002,64,301.9,66.7,96.1,104.3,10,16.2,10.9,16.9
2002,65,835.6,59.3,382.7,332.9,26.4,11.5,44.4,198.2
2002,34,2765,1327.5,683.7,356.8,147.4,185.3,282.3,173.9
2002,50,1082.4,490.2,93.2,197.4,27.8,264.1,35,91
2002,15,1406.1,56,121.5,821.5,139.9,168.5,108.9,17.7
2002,51,3132.4,1503.7,459.1,525.1,106.7,468.3,201.5,306.7
2002,52,1034.2,347.8,87,343.2,40.8,204.5,72.5,39.7
2002,37,3292.7,109.4,1547.1,1316,76.4,221.9,340.4,864.2
2002,36,1549.5,1451.6,4.3,5.5,29.9,56.7,82.4,65.2
2002,23,2941.2,921,89.4,1070.5,610.7,135,52.8,32
2002,12,137.8,11.2,44.1,71.1,5.7,0.9,3.4,29.9
2002,44,1478.9,1202.8,3.2,53.5,24,186.7,76.4,698.9
2002,45,1486.8,1219.3,1.8,161,40.3,62.2,56,455.8
2002,32,2907.1,1709.9,644.5,261.7,105.9,98.5,217,194.6
2002,11,82.3,2.9,24.3,46.1,4,3.7,4.6,66.9
2002,13,2435.8,55.7,1099.5,1035,60.6,119,151.3,748.5
2002,22,2214.8,370,7.9,1540,185,41.7,46.1,80.3
2002,31,130.5,109.2,10.4,3,3.5,0.5,9.9,27.7
2002,63,91.3,,45.2,1.2,10.9,24.4,23.4,1.6
2002,35,763.2,557.5,6.7,11.2,26.4,156.6,25.9,424.9
2002,46,188.6,139.3,,5.1,3.2,40,10,139.1
2002,53,1424.7,543.2,134.1,461.5,93.6,153.9,27.5,85.6
2002,62,782.7,5.6,312.1,219.2,38.6,141.6,41.9,137
2002,43,2501.3,2119.2,18.3,119.2,61.2,171.7,119.3,183.2
2002,14,925.5,2,243.2,435.3,49.4,99.9,38.4,221.3
2002,61,1005.6,80.3,405.3,374.5,30.7,87.5,41.1,514.7
2002,21,1510.4,406.2,11.5,858,56.9,61,56.5,234.4
2002,42,2047,1469.8,151.2,187.4,64.7,159.1,245.3,223.1
2003,33,793.4,646.9,20.8,21.5,41.7,51.1,43.8,568.4
2003,54,96.6,0.6,27.2,1.6,3.4,0.2,4.9,1.1
2003,41,3569.5,240.2,2292.5,766.3,72.7,141.5,309.9,1318.5
2003,64,270.2,37,75.6,119.9,8.6,22.6,13.2,71.2
2003,65,775.5,50.7,344.1,317.3,27,14.3,50.1,408.3
2003,34,2214.8,963.7,642.8,260.6,120.4,148.2,231.4,609.1
2003,50,1087.1,497.1,83.8,207,32.2,255.7,38.3,128.6
2003,15,1360.7,45,79,888.7,93.9,174.5,102.3,123.3
2003,51,3054.1,1471.9,426.2,517.3,113.9,457.4,217.1,464.9
2003,52,1104.3,459.3,74.6,319.9,39.3,200.8,72.3,78.8
2003,37,3435.5,77.9,1565,1411,82.3,277.8,361.8,2526
2003,36,1450.3,1360.5,2.9,6.3,26.8,52.5,76,273.2
2003,23,2512.3,842.8,39.7,830.9,616.1,104.2,44.7,356.7
2003,12,119.3,5.7,35.9,64.8,6.2,1,3.1,84.3
2003,44,1430.4,1170.5,1.6,53.1,21.8,177.1,81.9,836.9
2003,45,1465.1,1202.7,1.7,159.7,39.2,59.9,55.7,641.2
2003,32,2471.9,1404.6,608.7,197.3,95.3,74.3,199.5,601.9
2003,11,58,1,18.4,32.2,3.1,2.9,3.3,114.2
2003,13,2387.8,41.1,1018.8,1073.6,60.6,121.3,163.1,1270.7
2003,22,2259.6,318.2,6,1615.3,191.1,52.9,57.1,253.2
2003,31,98.8,82.2,7.4,3.2,2.2,0.5,6.4,114.5
2003,63,86.8,,36.8,,8.9,28.2,26.2,2.4
2003,35,713.2,523.4,2.8,11.6,25.2,147.5,26,522
2003,46,204.6,143.4,,6.1,3.3,50.9,9.6,193.5
2003,53,1471,635.9,124.4,399.9,85.8,172.3,29.7,126.2
2003,62,789.3,3.6,272.5,244.4,39,150.1,46,247.7
2003,43,2442.7,2070.2,16.5,128.6,56.1,161,125.7,512.4
2003,14,958.9,1.2,256,477,48.7,103.1,36.4,328.8
2003,61,968.4,75.5,395.5,373.2,24.6,80.5,41.3,730.9
2003,21,1498.3,351.4,6.2,907.2,71,67.2,61.4,396.9
2003,42,1921,1341.3,165.4,167.5,67.1,161.8,272.7,611.6
2004,33,834.9,686.94,19.04,22.48,41.01,54.63,48.771,632.072
2004,54,96,0.55,26.06,1.64,3.09,3.38,5.399,0.89
2004,41,4260,358.22,2480.93,1049.95,118.01,203.99,408.746,1638.59
2004,64,290.49,52.46,80.42,117.69,8.32,26.42,13.801,68.565
2004,65,796.5,39.31,352.7,361.46,20.47,9.47,44.54,450.837
2004,34,2742.96,1292.14,790.1,320.79,119.3,156.37,299.659,719.571
2004,50,1144.5,509.5,78.4,227.8,38.1,278.2,41.75,137.225
2004,15,1505.3,54.5,110.5,948,135.1,189.8,103.676,129.344
2004,51,3146.7,1519.7,415.7,557.4,121.6,462.1,226.254,494.831
2004,52,1149.58,477.01,76.8,333.9,40.6,210.26,82.711,87.168
2004,37,3516.7,90.59,1584.5,1499.21,76.19,245.92,369.708,2478.52
2004,36,1663,1579.4,2.93,4.8,23.77,50.91,74.528,290.99
2004,23,3001,1130,83,939.5,693.5,105,45.988,315.579
2004,12,122.774,11.094,37.811,68.21,4.594,0.656,1.553,69.049
2004,44,1390,1123.13,1.71,56.056,23.982,180.281,77.514,908.956
2004,45,1398.5,1123.4,1.9,176.1,37.4,58.2,58.322,702.333
2004,32,2829.06,1673.16,687.7,216.565,93.77,69.29,238.381,619.994
2004,11,70.18,0.5,20.26,43.51,3.18,2.21,2.895,113.356
2004,13,2480.07,47.27,1053.2,1157.58,57.56,103.12,154.315,1346.34
2004,22,2510,437.62,3.37,1810,166.91,57.73,38.105,214.996
2004,31,106.29,89.46,7.95,2.56,2.65,0.82,7.394,111.44
2004,63,88.47,,37.11,1.17,10.75,29.03,28.89,2.799
2004,35,736.45,545.62,1.92,12.65,24.66,149.24,27.817,552.909
2004,46,190.105,147.16,,4.67,2.88,35.3,9.088,190.637
2004,53,1509.5,639.4,121.67,425.66,61.3,191.39,33.413,145.058
2004,62,805.8,3.87,272.32,245.03,38.02,170.8,48.504,245.65
2004,43,2640,2285.51,14.56,126.63,56.38,146.74,139.608,499.352
2004,14,1062,1.069,237.12,631.867,48.8,77.486,28.204,342.857
2004,61,1040,87,410.3,407,38.8,83.2,46.063,858.145
2004,21,1720,401.5,8.9,1079.7,55.6,44.5,45.93,430.146
2004,42,2100.12,1501.68,176.3,179.13,65.77,161.23,314.383,542.686
2005,33,814.7,644.78,21.81,25.93,47.4,62.03,50.137,577.964
2005,54,93.4,0.55,25.55,1.65,3.24,0.57,6.132,0.888
2005,41,4582,359.77,2577.69,1298,74.44,230.08,449.6,1842.17
2005,64,299.81,61.06,79.41,121.41,6.03,27.53,12.209,69.611
2005,65,876.6,53.79,396.23,376.72,25.43,8.17,38.939,511.914
2005,34,2605.3,1250.8,808.1,264.9,95.5,124,270.675,711.591
2005,50,1168.21,521.5,78.64,233.13,42.16,280.26,42.712,154.627
2005,15,1662.15,62.15,143.56,1066.2,164.05,156,122.169,178.788
2005,51,3211.1,1505.7,427.4,580.8,131.5,498.2,232.34,527.157
2005,52,1152.06,472.8,73,344.29,37.76,213.14,84.889,95.964
2005,37,3917.38,95.8,1800.53,1735.41,68.15,199.09,363.857,2546.83
2005,36,1757,1667.2,2.73,6.25,24.87,54.58,76.123,325.434
2005,23,3092,1121.5,94,1042.9,680,87.3,60.593,352.558
2005,12,137.5,12.18,47.42,73.16,3.87,0.58,1.294,68.242
2005,44,1394.97,1116.99,1.853,61.515,24.378,185.481,77.012,946.464
2005,45,1487.3,1169.1,1.8,212,40.3,62.1,63.185,766.837
2005,32,2834.59,1706.71,728.52,174.79,82.42,55.29,215.991,606.351
2005,11,94.93,0.46,26.74,62.58,2.4,2.1,2.492,111.879
2005,13,2598.58,51.56,1150.33,1193.83,51.24,94.47,152.727,1397.88
2005,22,2581.21,473.29,2.68,1800.72,152.83,75.89,54.45,235.327
2005,31,105.36,85.45,9.92,2.83,3.17,0.91,6.935,101.034
2005,63,93.26,,39.32,0.89,11.75,32.45,31.85,2.602
2005,35,715.18,526.57,1.95,13.18,24.69,146.47,27.424,559.081
2005,46,153,110.561,,5.395,2.184,34.776,8.53,220.362
2005,53,1514.93,646.34,106.86,449.31,77.18,178.6,36.223,169.693
2005,62,836.89,4.11,264.84,248.51,41.65,189.87,50.306,280.705
2005,43,2678.6,2296.2,13.4,134,56.7,169.2,140.984,519.491
2005,14,978,0.9,202.28,616.13,36.67,59.27,21.262,314.449
2005,61,1043,89.2,401.2,459.7,37.1,42,45.355,906.141
2005,21,1745.8,416.5,7.9,1135.5,43.6,41.9,36.841,451.293
2005,42,2177.38,1535.32,208.85,194.91,65.01,156.2,293.9,566.769
2006,33,883.99,706.62,24.54,27.98,48.47,62.03,47.354,650.035
2006,54,92.37,0.59,26.53,1.7,3.16,0.71,5.46,0.894
2006,41,5010,426.69,2822.69,1445.11,76.43,196.36,479.992,2005.6
2006,64,310.94,70.94,75.72,121.54,5.22,32.46,10.433,114.248
2006,65,902.2,60.27,401.39,376.37,24.78,15.16,32.821,580.427
2006,34,2860.7,1307,966.8,297.9,132.2,124.43,261.647,733.587
2006,50,910.5,381.25,75.44,206.1,35.39,202.21,40.327,145.745
2006,15,1704.94,65.63,145.71,1091.69,143.15,180.63,116.843,220.477
2006,51,2893.4,1335.9,439,511.2,98.3,460.6,217.266,535.325
2006,52,1122.78,447.2,74.5,338.95,38.4,212.03,89.48,109.188
2006,37,4048.77,106.61,1889.79,1761.28,65.61,209.14,358.239,2513.4
2006,36,1854.5,1766.9,2.04,6.09,26.82,51.68,77.977,356.879
2006,23,3346.4,1205.5,93,1223,652,82.2,63.086,413.757
2006,12,143.52,12.41,52.04,75.75,2.66,0.35,1.201,66.963
2006,44,1387.6,1104.3,1.717,62.873,24.966,189.06,77.567,1001.08
2006,45,1463.2,1162.6,1.8,198,39.5,59.6,64.154,812.043
2006,32,3041.44,1792.72,817.82,197.2,87.25,53.36,218.181,628.452
2006,11,109.17,0.43,30.01,72.91,2.68,2.58,2.166,114.817
2006,13,2702.8,53.23,1149.54,1280.52,52.91,112.05,150.296,1453.07
2006,22,2720,493,3.018,1984,150,39,58.367,223.828
2006,31,111.3,89.7,11.34,2.68,3.1,1,5.306,108.261
2006,63,88.3,0,38.51,0.75,10.2,30.89,26.5,2.37
2006,35,701.53,508.84,1.85,13.07,24.44,151.15,26.939,570.772
2006,46,185.61,144.386,0,5.604,2.159,33.362,8.962,247.23
2006,53,1542.21,651.17,110.13,452.06,68.4,204.91,39.008,201.862
2006,62,808.05,4.02,260.7,218.6,39.46,187.95,48.994,332.771
2006,43,2706.2,2319.7,13.1,137.2,60,166.5,149.411,586.244
2006,14,1073.33,0.83,252.61,647.61,40.25,61.67,19.185,353.75
2006,61,1087,86.3,415.7,443.5,48.01,80.14,44.357,1053.17
2006,21,1725,427.6,6.5,1138.7,36.1,48.7,38.125,478.413
2006,42,2210.14,1524.85,243.2,208.25,62.45,154.2,279.752,625.248
2007,33,728.64,636.89,18.38,9.99,28.2,21.94,33.001,701.486
2007,54,93.86,0.55,26.48,1.66,3.19,0.5,5.226,1.089
2007,41,5245.22,436.5,2980.21,1582.53,91.8,130,483.982,2088.59
2007,64,323.52,60.54,61.57,146.56,1.91,41.4,7.747,153.827
2007,65,867.04,62.52,341.27,393.68,20.69,20.27,26.898,672.547
2007,34,2901.4,1356.35,1111.32,250,121.5,48.22,199.199,749.511
2007,50,1088,491.59,61.05,234.18,35.12,262.2,30.677,175.894
2007,15,1810.69,60.18,175.63,1155.31,156.17,153.92,79.437,208.061
2007,51,3027,1419.73,451.697,602.808,105.8,397.67,204.263,591.988
2007,52,1100.86,449.837,47.859,357.104,36.019,198.999,69.663,112.864
