wave,q_liangshi,q_guwu,q_shiyongyou,q_zhiwuyou,q_shucai,q_roulei,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,T1
2015,123.1,112,14.9,14.4,117.3,27.8,22.4,1.6,0.6,5.5,14.9,8.5,8,33.4,0.9,42
2015,148.4,139.8,12.4,9.5,102,30,25.9,1.5,0.5,9.7,11.5,7.2,5.8,50.5,1.8,43
2015,118.3,110.5,9.1,8.6,98.9,36.5,29.7,1.8,0.6,18.6,22,6.9,8.3,36,1.5,44
2015,143.4,136.8,8.2,6.8,93,31.6,27.9,1.3,0.4,18.6,10.2,5.7,5.7,37.3,1.4,45
2015,100.9,96.6,7.6,6.4,88.3,28.9,25.2,1.5,0.6,18.9,26.8,4.8,4.3,27.7,1,46
2015,149.8,134.3,14.4,13.3,132.9,39.3,33.7,1.3,0.5,10.2,9.9,10.1,14.6,39.6,2.9,50
2015,160.7,149.7,13,11.9,130.2,39.3,34.9,1.2,0.4,10.7,6.8,8.7,10.7,33.8,1.8,51
2015,135.8,124.8,8.7,7.1,90.9,32.5,29.8,1.2,0.3,5.1,2.2,4.4,5.3,27.8,1.1,52
2015,134.5,124.8,7.5,5.8,98.5,29.6,25.9,1.6,0.4,7.4,3.7,5,5.5,26.8,1.3,53
2015,276.9,269.6,15.2,10,24.7,39.1,6.7,26.4,5.8,0.9,0.5,3.1,21.4,6.1,3.2,54
2015,132.7,122.7,10.9,10.8,77.6,14,10.4,0.6,1,2.3,2.1,7.6,12.6,40.1,0.9,61
2015,159.9,148.6,9.8,9.7,73.8,18,12.6,1.4,2.4,4,2,7.6,13.4,49,1.7,62
2015,117.6,110.4,9.5,9.1,62.7,23.2,10.3,4.5,6.9,3.2,2.1,4.3,17.4,27.9,1.3,63
2015,131.1,123.9,8.7,8.6,87.6,17.1,7.1,3.5,5.4,6,2.6,6,15.5,64.9,1.2,64
2015,181.9,178.3,13.9,13.8,103.5,23.2,4.2,4.6,13.2,5.2,3.2,6.8,19.5,58.2,1.2,65
2016,83.8,74.4,9.7,9.7,95.4,24.2,13.1,2.9,3.1,5.7,8.5,12,23.2,63.2,1.2,11
2016,126.9,115.7,11,10.9,127.5,26.3,16.1,2.8,3.3,5.6,16.9,17.8,17,80.8,1.3,12
2016,130.6,120.8,10.1,10,94.4,19.2,12.1,1.4,1.5,4.4,6,13.3,15.2,59.3,1.2,13
2016,134.6,119.9,7.9,7.9,78.4,13.4,9,0.7,1.5,2.1,2.2,10,14.1,47.2,0.9,14
2016,156.1,143,9.5,9.3,99.8,34.2,16.5,4.3,9.9,5.9,5.2,9.3,22.7,55.3,1.5,15
2016,134.7,119.9,11.8,11.6,119.3,27,18.3,2.6,1.8,5.3,14.8,13.3,14.8,65.7,1.3,21
2016,137.6,126.2,11.8,11.7,101.3,19.8,14.2,2.1,1,4.8,7.4,10.3,9.5,50.8,1.2,22
2016,142.6,128.1,14.3,14.2,89.7,21.2,14.2,1.8,1.5,5.5,8.3,9.9,9.8,57.4,1.8,23
2016,105.4,93.4,9,8.9,102.8,29.1,20.2,2.8,1.1,13.3,25.7,11.1,21,54.8,1.4,31
2016,116.9,104.7,12.1,12,104.8,25.9,19.1,1.8,1,11.1,17.9,10.3,15.8,43.7,1.1,32
2016,135.6,122.3,12,11.5,94.9,26.6,21.5,1.8,0.7,10.6,23.3,8.1,12,48.5,1.5,33
2016,140.9,128.6,9.9,9.2,97.6,22.9,17.8,1.8,1,11.9,11.2,11.3,10.5,43.5,1,34
2016,128.4,118.7,9.8,8.7,91.7,31.7,25.8,1.9,0.8,12.2,26.6,8.8,11,40.1,1.7,35
2016,146.2,137.1,13.1,12.5,112.2,24.8,19.9,1.8,0.3,8.5,12.2,6.8,10.1,38.2,1,36
2016,125.7,115.8,8.7,8.7,94.4,20.7,12.8,1.1,1.3,6.3,11.7,16.7,17.7,68.3,1,37
2016,125.1,115.2,8.3,8.2,86.3,15.9,10.8,1.2,1.1,5.7,4.1,12.8,11,55,1.3,41
2016,115.3,103.3,14.1,13.7,119.7,26.5,20.8,1.6,0.8,6.1,15.8,8.4,7.6,37.6,0.9,42
2016,144.4,136,11.9,9.3,101.4,29.5,25.1,1.8,0.6,10.7,12.3,7.6,5.4,52.2,1.4,43
2016,118.1,109.9,9.6,9.2,98.7,36.2,29.1,1.8,0.8,20.1,22,7,7.5,38.1,1.5,44
2016,139,131.9,7.5,6.2,88.9,31.4,27,1.6,0.7,19.5,10.5,5.3,5.6,39.7,1.4,45
2016,99.4,94.3,7.3,6,95.3,31.4,27,1.9,0.7,21.5,26.7,5,4.4,30,1.1,46
2016,151.1,136,14.2,12.9,139.2,39.7,33.6,1.4,0.8,11.3,10,9.9,16.6,41.5,2.8,50
2016,155.8,143,12.9,11.6,130,37.6,33,1.3,0.6,11.3,7.3,8.6,11.1,37.6,1.9,51
2016,129.5,117.9,8.6,7,89.2,30.9,28,1.2,0.3,5.4,2.4,4.3,5.5,31.4,1,52
2016,135.1,125.3,8.1,5.8,98.6,30.1,26.2,1.8,0.5,7.9,3.9,4.8,5.3,29.1,1.3,53
2016,283.3,276.9,19.6,14.2,27.4,41.2,9.3,21.8,9.6,0.9,0.4,2.9,20.4,6.8,3.5,54
2016,131.1,119.6,10.6,10.5,81.9,13.3,10,0.6,1.2,2.8,2.2,7,13.4,44.9,0.9,61
2016,157.4,145.2,9.1,9,79.4,17.7,11.9,1.4,2.8,4.2,2.1,7.1,13.8,56,1.8,62
2016,123.8,114.6,9.3,8.9,65.3,26.6,12.3,5,8,3.2,2,4.6,18.2,30.9,1.3,63
2016,123.1,115.3,8.3,8.2,89.4,16.6,6.7,3.5,5.3,6.1,2.8,5.5,14.4,72,1.4,64
2016,168.1,164.3,14.6,14.5,105.4,23,3.8,4.8,13.1,5.8,3.5,6.6,20.5,63.6,1.2,65
2017,75.7,67.1,8.3,8.3,91.9,22.9,12.7,2.9,2.8,5.5,8.6,12.1,22.5,63.9,1.1,11
2017,120.1,109.6,10.9,10.8,116.3,26.5,15.8,3,3.2,5.6,16.9,18.3,17.2,85.3,1.4,12
2017,124.8,115.2,9.3,9.2,87.4,19.4,12.3,1.4,1.4,4.1,5.7,14,14.4,60.8,1.1,13
2017,135.7,120.6,8.1,8,77.4,13.9,9.4,0.8,1.3,2.3,2.4,10.9,15,51.2,1,14
2017,152.3,139.9,8.3,8.1,87.5,33.8,17,4.3,8.9,5.3,4.9,9.1,22.7,56.2,1.5,15
2017,128.6,114.3,11.6,11.4,113.8,27.3,18.5,2.6,1.5,5.2,14.5,13.6,15,65.1,1.3,21
2017,142.2,130.5,12.2,12.1,109.4,21.4,15.7,2.2,0.8,5,7.3,10.9,9.7,50.9,1.3,22
2017,141.2,127.6,14.4,14.3,92.5,22.8,15.4,1.9,1.4,5.7,8.2,11.1,10.4,60.2,1.8,23
2017,98.1,87,8.7,8.6,99.8,28.1,19.5,2.9,0.9,12.8,25.1,10.7,20.8,56.3,1.3,31
2017,114.8,103.1,12.2,12,108.2,26.6,19.5,1.9,0.8,10.3,18.1,10.7,15.6,46.2,1.1,32
2017,134.1,120.7,12.1,11.7,96.5,27.2,21.9,2,0.6,10.6,23.7,8.5,12,50.7,1.5,33
2017,137.3,125.6,10,9.4,99.8,23.6,18.4,1.9,0.9,10.2,10.8,11.6,11,48.2,1,34
2017,122,113,9.1,8.1,89.5,31.8,25.9,1.9,0.8,11.8,25.8,8.7,10.8,41.2,1.8,35
2017,140.4,131.6,13.2,12.7,110,26.4,20.6,2.1,0.4,8.4,12.6,7,11.1,39.4,1.1,36
2017,122.8,113.3,8.1,8,93.6,20.9,13,1.2,1.1,5.9,11.6,17.2,17.3,69.8,1,37
2017,124.5,115,8.3,8.2,84.4,16.2,10.9,1.2,1.1,5.3,3.8,14.3,11.5,57.6,1.2,41
2017,112.2,101.3,12.4,12,116.6,26.5,20.7,1.7,0.6,5.4,15.1,7.6,6.9,40.3,0.9,42
2017,146.6,138.1,12.4,9.7,104.9,31.8,27.1,1.9,0.7,10.7,11.8,8,5.7,53,1.4,43
2017,116.8,108.9,9.2,8.8,100.8,36.5,29.1,2,0.7,20.6,22.8,7.3,7.7,40.1,1.5,44
2017,133.9,126.9,8.4,6.9,87.5,32.1,27.6,1.8,0.8,19.6,10.6,5.6,5.6,40.2,1.3,45
2017,96,91.5,8.8,7.4,93,29.3,24.9,1.8,0.8,20.4,25.6,4.5,4.2,29.3,1,46
2017,152.6,137.8,14.8,12.9,142.8,39.9,33.9,1.4,0.8,11.6,10.5,9.8,17.2,42.7,2.7,50
2017,160.2,147.3,12.7,11.6,132.5,41.1,36.2,1.5,0.5,10.9,7.6,8.9,12.3,40.7,2,51
2017,121.1,109.9,8.2,6.8,85.1,30.5,27.6,1.2,0.3,5,2.4,4.2,5.4,32.3,1,52
2017,126.8,116.9,7.7,6,90.4,30.9,26.9,1.7,0.5,7.6,3.7,4.5,5.3,29.4,1.4,53
2017,284.5,277.4,20.9,14.5,32.1,29.8,7.6,13.9,7.9,1.4,0.7,3.7,22.5,10.1,1.1,54
2017,132.4,119.9,10.9,10.7,86.1,14.1,10.2,0.7,1.2,2.7,2.5,8,14.6,51.4,1,61
2017,151,138.9,8.5,8.4,75,17.2,11.4,1.4,2.4,4.4,2.2,7.3,13.9,54.9,1.9,62
2017,116.8,108.2,9.4,9.2,61.8,25.1,11.4,5.3,7.1,3.5,2,4.8,17.9,30,1.3,63
2017,111.2,104.4,7.7,7.6,87.2,15.7,6.3,3.6,4.7,6,2.6,5.5,13.4,71.2,1.3,64
2017,159.1,155.6,14.2,14.1,98.2,21.6,3.9,4.6,11.7,6,3.3,6.5,21,59.7,1.2,65
2018,91.9,81.7,7.2,7.1,106.3,25.9,16.3,3.3,2.7,5.8,8.9,14.6,26,74.7,1.1,11
2018,118.3,107.9,9.9,9.8,116.8,26.9,16.8,2.9,2.7,5.7,16.7,17.7,18.6,86.2,1.4,12
2018,130.8,119.6,7.6,7.3,95.5,23,15.8,1.5,1.4,4.9,5.9,13.7,14.4,66.8,1.1,13
2018,137.6,121.3,7.5,7.2,83.7,15.3,10.8,0.7,1.1,2.4,2.6,11.3,15.7,55.9,1,14
2018,153,140,7.6,7.4,94,34.3,20,3.3,7.5,5.6,5.2,9.2,22.2,58,1.4,15
2018,127.8,113.3,10.3,10.1,107.7,27,19,2.6,1.3,5.1,13.7,12.1,14.9,61.8,1.2,21
2018,132.6,119,10.8,10.6,92.3,24.8,18.9,2.3,0.7,4.9,8,10.1,10,53.9,1.3,22
2018,139.9,126.5,12.9,12.8,95.8,25.7,18.5,2,1.1,5.3,9,10.9,10.4,64.3,1.8,23
2018,110.5,98.1,8,7.5,103.6,31.4,22.4,3,1.1,12.3,24.5,12,20.8,63.5,1.5,31
2018,121.9,108.9,9.1,8.8,100.1,28.6,21.2,2.1,0.9,10.7,17.8,10.5,15.1,45.1,1.1,32
2018,132.9,119.6,11.6,10.9,91.7,29.8,23.7,2.5,0.7,10.7,22.9,8.4,13.2,52.6,1.5,33
2018,139.5,126.1,9.5,8.5,95.3,28.3,22.1,2.2,0.9,12,12,11.3,11.7,52.6,1,34
2018,125.1,115.9,9.1,7.9,90.8,34.7,29.1,1.9,0.7,11.5,23.9,8.6,11.7,47.2,1.7,35
2018,134.5,124.9,13.6,12.9,97,30.6,25.5,2.2,0.4,8.7,12.7,7.2,10.8,41.5,1.1,36
2018,117.2,107.1,7.6,7.5,92.8,23.9,15.9,1.2,1,6,12.1,16,16.4,74.2,0.9,37
2018,123.4,113,8.4,8.3,84.7,18.5,12.9,1.2,1.1,6,4,12.8,12.5,56,1.3,41
2018,110.9,100.3,10.5,10.1,111.4,28.4,22.9,1.9,0.6,5.6,15.4,7.1,6.8,43.7,0.8,42
2018,137.6,128.4,11.8,9,94.4,34.5,29.8,1.9,0.6,10.8,11.9,7.8,6.7,57.5,1.3,43
2018,108.7,101.1,9.2,8.6,100.6,41,34,2.2,0.7,21.1,22,7.4,8.6,39.4,1.6,44
2018,128.3,121.8,8.1,6.7,85.2,35.7,31.3,1.9,0.7,18.5,9.9,5.5,5.6,39,1.2,45
2018,94.8,89.8,8.8,7.4,90.7,33.9,29.2,2.1,1,18.8,27,4.8,4.7,28.4,1.1,46
2018,135.7,121.2,13.8,11.7,132,43.9,38.8,1.3,0.6,10,9.9,9.8,12.6,43.7,2.8,50
2018,146.6,134.2,12.1,10.8,120.7,45.4,38.9,1.7,0.5,10.4,7.2,8.4,12.5,40.6,1.9,51
2018,111.3,100.1,6.6,5.1,75.2,31.7,29.1,1,0.2,4.6,2.2,3.4,4.4,33.2,0.8,52
2018,117.3,108.6,7.1,5.4,83.8,31.9,27.5,2,0.4,6.7,3.5,4.3,5.1,29.6,1.1,53
2018,208.9,201.7,15.9,9.9,42.7,29.5,6.7,17.9,4.5,1.5,0.5,3.6,14.3,6,4.3,54
2018,131.7,118.9,10.7,10.4,83.5,16.2,11.8,1,1.1,2.9,2.8,7.8,13.8,46.6,1,61
2018,151.8,139.3,9.4,9.3,79.9,20.2,14.3,1.2,2.4,4.8,2.4,8.7,13.6,75.6,1.9,62
2018,113.2,107.8,9.3,8.9,52.3,27,9.8,9.4,6.6,2.9,1.7,3.7,17.6,24.8,1.4,63
2018,112.1,105.4,7.2,7.1,87.5,16.3,7,4.1,4.1,6.8,2.5,5.9,13.5,78.7,1.4,64
2018,156.2,153.1,14.1,13.8,91.8,24.4,3.7,5.1,14,4.9,2.9,5.6,19.9,52.3,1.2,65
2019,97.3,86.2,6.9,6.7,114.9,25.7,14.6,3.6,2.6,6.5,10.1,14.5,28.9,85.5,1.1,11
2019,105.2,94.6,8.7,8.6,114.1,24.7,15,2.8,2.6,6.1,17.4,18.5,17,90.1,1.1,12
2019,143.9,130.5,7.6,7.4,97.7,20.7,13.7,1.5,1.3,5.4,7.4,15.7,14.5,76.2,1.2,13
2019,139.4,121.8,7.4,7.2,93.6,14.7,10.2,0.7,1.1,2.9,3,13.4,16.8,62.4,1,14
2019,169.8,153.3,6.7,6.4,100.3,32.7,19.5,3.5,6.4,6.5,6.7,11,24,69.1,1.3,15
2019,127.9,112.2,9.6,9.4,110.3,25.7,17.9,2.7,1.1,5.6,15.4,13.1,16,67.4,1.2,21
2019,140.6,124.2,10.4,10.2,95.9,23.1,16.7,2.5,0.6,5.6,9.9,11.1,10.8,63.7,1.4,22
2019,138.8,124.1,12.5,12.4,96.1,21.5,15.1,1.9,1.1,6,10.3,12.2,9.8,67.3,1.6,23
2019,105.3,92.8,8.5,8.2,102.4,29,19.8,3.5,1,13.1,27.2,12.3,20.8,61.1,1.4,31
2019,120.3,106.9,9.2,9,101.4,25.3,17.8,2.3,0.8,12.4,19.6,11.3,14.7,45.7,1,32
2019,132.9,119,11.3,10.8,95.4,28.3,22,2.7,0.7,11.9,25.9,9.2,13.5,55.6,1.6,33
2019,147.3,131.5,8.8,8.1,102.7,27.1,20.6,2.3,0.9,14.7,15.2,12.5,12,63.7,1,34
2019,120.2,110.8,8.8,7.9,86.4,27.8,22.3,2.2,0.7,13,25.3,9.1,10.7,44.8,1.6,35
2019,134,123.1,12.9,12.4,90.4,28.2,23.5,2.5,0.3,10.6,15.5,7.7,11,45.9,1,36
2019,117.6,106.5,8.2,8.1,94.2,21.6,14.6,1.1,1,6.5,13.8,17.5,16.9,78.1,0.8,37
2019,132.2,120.1,7.8,7.8,89.3,17.6,12,1.4,1,6.9,4.7,14.6,13.1,62.5,1.2,41
2019,117.7,106,11.9,11.4,104.9,26.1,20.4,2.3,0.6,7,17.6,7.6,7.4,43.1,0.7,42
2019,144.1,134.2,11.7,9.5,97.9,30.3,25.7,2.2,0.6,13.7,14.8,8.7,6.9,60.6,1.2,43
2019,115.9,106.7,9,8.5,109.4,38.7,30.7,3.1,0.7,25.9,28.6,8.4,8.8,47.2,1.5,44
2019,133.6,126.1,8.3,7.3,86.1,29.3,25,2,0.6,24.8,13.4,6.3,5,40.6,1.2,45
2019,99.9,90.5,8.4,7.5,95.9,25,20.3,2.4,0.9,24.7,31.6,4.9,4.5,30.9,0.9,46
2019,138.1,123.7,14.7,12.8,132.4,38.9,33.7,1.7,0.5,11.9,12.1,10.3,13.3,46,2.6,50
2019,142.7,129.3,11.3,10.3,122.6,39.4,33.4,1.9,0.4,13.2,9.4,9,11.6,46,1.8,51
2019,108.9,97.4,6.6,5.4,73.6,28.6,26,1,0.2,5.6,2.8,3.7,4.6,35.1,0.7,52
2019,124,113.4,6.5,4.9,82.5,32.2,27.7,2.1,0.4,7.9,4.5,4.5,5.8,34.2,1.2,53
2019,187.6,182.7,16.1,12.1,52.4,27.9,5.7,17.5,3.7,1.7,0.6,3.2,11.6,8.8,5.2,54
2019,132.2,118,10.4,10,89.3,15.6,10.9,1.2,1.4,3.5,3.3,8.9,14.5,51.5,1,61
2019,158,144.9,8.5,8.4,83.4,19.5,13.6,1.5,2.2,5.6,3.1,8.1,15.9,60.5,1.7,62
2019,108.1,102.2,9.7,9.2,54.7,24.3,8.7,9,5.5,3.4,2,4.2,18.8,28,1.5,63
2019,106.7,99.7,7.6,7.5,88.8,16.3,6.3,4.8,4.1,7.7,3,6.2,14.6,79.2,1.4,64
2019,133.6,130.3,12.6,12.5,88.2,22.4,3.1,5,12.2,5.3,3.2,6.4,21.1,57.8,1.8,65
2020,107.2,95,7.5,7.4,122.7,27.3,15.3,3.9,3.1,7.9,9.5,16.9,30.1,81.9,1.2,11
2020,111.1,100.2,9.6,9.5,117.2,23.8,14.1,2.9,2.7,7,16.8,21.5,16.8,85.8,1.2,12
2020,161.8,146,8.8,8.5,108.3,20.6,12.9,1.7,1.6,7.2,7.6,18.7,16.5,79.1,1.3,13
2020,159.3,139.5,8.6,8.5,98.9,14.7,9.7,0.8,1.3,4.1,3.1,16.3,17.9,63,1.1,14
2020,173.1,155.8,7.7,7.3,100.9,31.9,18.3,3.9,6.4,8,6.5,14.3,24.8,67.3,1.3,15
2020,145.9,128.8,10.4,10.3,117.1,25.1,16.5,3.1,1.4,7.1,15.1,16.6,17.7,69.6,1.2,21
2020,157.5,140.6,11.2,11.1,105.6,20.6,14.2,2.7,0.8,7.1,10.2,14,11.6,64,1.4,22
2020,167.1,150.2,16.2,16.1,108,22.2,15,2.3,1.4,8.2,10.3,16.4,10.6,70.2,1.8,23
2020,111.4,98.6,9.2,8.9,105.3,29.1,19.1,4.2,1,14,27.1,13.9,23.1,60.2,1.5,31
2020,122.1,108.5,10.2,9.9,104.5,25,18.1,2.2,0.8,13.2,19.5,13.2,15.4,44.2,1.1,32
2020,137.3,123,11.5,11,96.9,26.3,20,2.9,0.6,13,25.9,10.6,14.7,56,1.6,33
2020,148.3,132.4,9,8.3,104.8,24.1,18.1,2.3,0.9,15.7,14.6,14.2,11.3,55.9,0.9,34
2020,124.4,114.9,9.6,8.9,89.6,24.6,19.3,2.1,0.6,15.7,26.4,10.7,11.7,45,1.6,35
2020,154,141.4,15.6,15.2,105.5,29.7,24.9,2.6,0.3,12.8,15.7,9.5,11.2,46.7,1,36
2020,124,112.5,7.7,7.7,95.9,18.6,12.4,1.1,1,8.2,15.7,20.1,17.6,81.1,0.7,37
2020,150.9,137.3,8.9,8.8,94.1,15.9,10.3,1.5,1.1,8.7,5.2,18.9,13.5,62.7,1.2,41
2020,132.9,119.1,13.3,12.8,126.8,25.2,19.4,2.5,0.7,7.7,18.1,9.7,7.7,42.5,0.8,42
2020,157.2,146.6,12.5,10.6,104.5,27.1,22.7,2.2,0.6,15.8,14.6,10.3,7.4,57,1.2,43
2020,128.2,118.4,9.9,9.5,113,33.6,26,3.2,0.6,31.1,30,9.9,9.6,47.5,1.6,44
2020,141.8,134.1,9.1,8.2,89.7,24.4,20.7,1.9,0.5,30.7,13.5,7.6,5.6,39.2,1.2,45
2020,107.7,102.4,9.5,8.7,99.4,21.2,16.8,2.4,0.8,30.4,30.8,5.6,4.9,30.2,1,46
2020,149.5,133.5,15.3,13.4,130.3,35.3,29.9,1.9,0.5,13.6,12.5,11.8,14,46.5,2.7,50
2020,146.9,133.6,11.7,10.5,119.6,33.6,28,1.9,0.4,14.5,9.2,9.9,10,45.8,1.7,51
2020,119.3,106.6,8.1,6.7,79.4,24.7,22.3,1,0.2,6.6,3,4.8,5.1,34.1,0.8,52
2020,139.1,126.4,7.4,5.8,90,28.8,24.7,1.7,0.3,9.6,4.8,5.4,6.2,38.2,1.4,53
2020,193.6,189.8,15.3,10.5,55.7,30.4,6.7,17.4,5.5,1.2,0.4,2.4,8.5,11.2,4,54
2020,142.3,126.9,11.5,11.3,90,15.2,10.5,1.2,1.3,4,3.1,10.3,14.7,50.4,1,61
2020,159,144.7,9.6,9.5,82.5,17.6,11.9,1.6,1.8,6.3,2.8,9.3,15.7,59.8,1.7,62
2020,112.2,105.9,8.8,8.4,58.4,23.8,8.1,10,4.7,3.7,1.9,5.2,16.7,29.1,1.6,63
2020,115.6,107.9,8.5,8.4,88.8,16.3,5.8,4.9,4.4,8.4,2.9,7.4,13.5,73.3,1.5,64
2020,156,151.8,13.7,13.6,106.2,23.7,3.4,5.3,12.7,6.9,3.1,8.5,18.7,58.6,1.3,65
2021,109.9,97.6,6.9,6.8,119,31.8,18.5,4,3.4,7.6,10,16.2,29.8,77.2,1.1,11
2021,107.2,96,8.5,8.4,116.3,27.5,17.6,2.6,2.7,6.7,17.3,20,17.2,85.5,1.1,12
2021,173.8,156.8,9.7,9.4,123.7,28.8,20,1.5,1.6,8.1,8.4,20.2,17.6,86.5,1.5,13
2021,154.9,134.1,8.9,8.8,108.2,18.3,12.7,0.8,1.5,4,2.9,17.1,19.2,70.2,1.1,14
2021,158.7,143.2,7.6,7.2,105.1,41.8,26.8,4.1,7.1,7.4,6.4,13.7,23.8,67.5,1.3,15
2021,161.3,144.7,11,10.8,128.1,36.8,26.3,3.8,1.6,7.5,17.1,17.5,19.3,78.7,1.1,21
2021,156.1,140.6,12.4,12,109.4,30.4,22.8,2.9,0.8,7.2,9.9,14.4,11.3,67,1.5,22
2021,169.7,153.3,16.4,16.2,121.3,33.3,24.4,2.5,1.6,8.6,10.7,16.7,12.4,79.5,2,23
2021,117.1,104.7,10,9.8,110.2,34.1,23.1,4.4,1.2,14.2,27.9,14,24,60.6,1.5,31
2021,134.1,119.8,10.1,9.8,121.6,33.9,25.1,2.6,1.1,14,22.1,14.1,15,53.3,1.2,32
2021,152.1,135.4,11.8,11.1,109.9,37.2,29.4,3.5,0.8,143,30.5,12.4,16.9,68.3,1.8,33
2021,151.6,135.6,10,9.2,112.6,31.6,24,2.6,1.1,15.5,15.1,13.8,13.3,57.3,0.9,34
2021,129.2,120,10.7,9.6,94.5,34.1,27.7,2.4,0.8,15,26.8,11.4,13.4,48.6,1.6,35
2021,174.3,158.8,15.5,14.9,123.8,37.7,31.3,3,0.5,13.7,18.4,11.2,12.4,58,1.2,36
2021,133.9,123,8.3,8.2,98.1,27.9,20.4,1.1,1.1,9.3,11.9,21.3,17.1,80.6,0.8,37
2021,146.7,132.7,8.7,8.5,103.2,25.5,18.2,1.9,1.4,9.5,5.9,20,16,73,1.1,41
2021,134.9,120.1,14.1,13.7,133.8,34.9,28.1,2.5,0.7,8.5,19.5,9.6,10.9,49.2,0.8,42
2021,161.5,151.2,14,11.1,104.4,36.9,32,2.2,0.7,15.3,14.6,10.9,8.9,61.9,1.1,43
2021,111.6,103.8,10.3,9.8,97.9,37.6,29.6,3,0.7,24.6,27.5,8.4,12.9,44.8,1.1,44
2021,146.7,139.4,9.6,8.4,96.6,34.6,30.4,1.8,0.5,26.1,12.8,6.4,6.3,41.4,1.1,45
2021,114.3,109,10.1,9,107.4,34,28.4,2.9,1.1,28.2,33.6,5.8,5.7,33.3,0.8,46
2021,161,144.3,16.2,14.4,147.4,46.9,39.6,2.3,0.7,14.6,14.9,14.2,17.5,54.9,2.3,50
2021,147.4,134.2,12.2,10.9,123.3,42.4,36.3,1.9,0.5,13.1,9.9,10,11.5,49.4,1.7,51
2021,132.8,119.2,8.4,7.1,88.9,31.2,28.2,1.1,0.2,6.9,3.5,4.8,6.4,41.9,0.9,52
2021,141,127.1,7.8,6,96.8,35.7,30.8,1.9,0.4,10.2,5.2,6,7.2,42.1,1.4,53
2021,161,157.4,13.6,4.9,52.2,35.6,6.2,21.9,6.6,1.2,0.5,2.7,9.3,11.6,3.5,54
2021,153.5,137.3,12.1,12,100.9,19.6,14.5,1.2,1.2,4.1,3.2,11.4,15.4,55.7,0.9,61
2021,165.3,151.2,10.6,10.5,93.3,22.8,16.8,1.6,1.8,6.5,2.8,10.4,17.4,63.9,1.8,62
2021,122.4,115.6,9.8,9.3,66,29.4,13,10.2,5.1,3.9,1.8,5.6,17,31.1,1.5,63
2021,121,113.4,9.4,9.4,97.7,20,8,5.7,5,9.2,2.8,7.6,15.4,80.6,1.6,64
2021,132,128.3,12.3,12.2,96.4,25.7,5,5.4,13.3,6.5,2.9,8.4,18.4,61.4,1.2,65
2022,94.5,82.5,6,6,109.9,29.3,17.5,3.8,2.9,6.9,9.4,16.3,22,62.9,0.9,11
2022,101.2,90.3,8.3,8.2,113.5,28.4,18.3,2.8,2.9,6.5,17.2,20.2,14.7,75.2,1,12
2022,181.4,162.2,8.8,8.7,137.8,30.7,21.6,1.5,1.6,8.1,8.8,22.1,15.8,77.3,1.6,13
2022,133.4,115.1,7.9,7.8,98.5,19.9,14.6,0.8,1.3,3.7,3.1,16.5,17.3,57.3,1.1,14
