wave,t1,qshuichan
2021,21,482.406
2021,64,16.5999
2021,42,483.208
2021,23,71.8514
2021,43,266.106
2021,44,884.516
2021,62,1.4205
2021,63,1.8285
2021,54,0.0828
2021,34,236.503
2021,52,26.2061
2021,14,5.0863
2021,15,10.6834
2021,13,108.101
2021,11,16.622
2021,53,65.7743
2021,31,22.7851
2021,22,24.9498
2021,45,354.807
2021,35,853.073
2021,50,54.5343
2021,37,854.425
2021,51,166.489
2021,33,599.051
2021,36,269.512
2021,41,94.3224
2021,61,17.07
2021,32,493.806
2021,12,27.3282
2021,65,17.0539
2021,46,164.092
2022,62,1.438
2022,44,894.029
2022,43,272.594
2022,65,17.3
2022,21,489.234
2022,64,17.0448
2022,23,73.5001
2022,52,26.8433
2022,34,245.503
2022,13,112.437
2022,54,0.0125
2022,42,500.421
2022,22,25.1246
2022,61,17.35
2022,33,621.715
2022,31,25.4657
2022,41,94.2473
2022,53,67.8824
2022,37,881.274
2022,14,5.3081
2022,15,10.8696
2022,32,504.857
2022,11,22.0641
2022,35,861.394
2022,50,56.6303
2022,36,283.238
2022,46,170.311
2022,63,1.8881
2022,12,28.1198
2022,51,172.146
2022,45,365.671
2023,62,1.4883
2023,23,77.5427
2023,54,0.0224
2023,42,522.789
2023,63,1.8899
2023,44,924.023
2023,21,508.118
2023,22,25.531
2023,37,913.946
2023,52,28.1547
2023,34,254.042
2023,35,890.196
2023,14,5.5455
2023,15,11.234
2023,53,70.1723
2023,33,647.926
2023,31,22.728
2023,13,114.739
2023,11,19.0064
2023,51,178.864
2023,45,378.59
2023,50,58.8903
2023,61,18.0409
2023,32,522.053
2023,36,296.676
2023,41,97.9498
2023,43,285.896
2023,12,29.1197
2023,65,18.3999
2023,64,17.4974
2023,46,175.169
2024,50,61.1565
2024,41,100.436
2024,23,81.3796
2024,34,261.217
2024,33,649.512
2024,14,5.8211
2024,12,29.9459
2024,36,303.285
2024,15,11.5563
2024,53,72.023
2024,54,0.0598
2024,31,22.0473
2024,44,966.366
2024,52,29.525
2024,46,181.361
2024,61,18.655
2024,32,536.109
2024,43,299.102
2024,65,19.2524
2024,45,388.674
2024,62,1.6741
2024,13,118.024
2024,21,535.873
2024,11,7.0657
2024,35,924.684
2024,37,952.703
2024,42,546.43
2024,64,17.8801
2024,63,1.9212
2024,51,187.245
2024,22,26.604
