wave,t1,qroulei,qzhurou,qniurou,qyangrou,qnailei,qqindan
2002,65,100.2,14.9,25.9,42.6,101.1,22.6
2002,31,51.6,25.1,0.1,0.9,28,16.6
2002,36,195.5,149.9,6,1.1,7.9,35.4
2002,37,627,314.8,76.1,30.2,116.8,399.4
2002,44,348.5,225.8,5,0.5,11.1,32.8
2002,12,44.8,26.1,4.6,2.8,33.6,24.5
2002,22,204.3,75.6,37,3.5,18.9,84
2002,43,472.5,396.9,15.9,8.1,3,62.7
2002,64,18.9,8.8,2.9,4.5,30.8,9
2002,15,145.8,74.9,19.5,33.8,168.9,27.7
2002,32,349.4,217.4,5.3,17.2,45.5,187.3
2002,62,70.1,46,9.5,9.3,17.3,12.4
2002,11,70.7,33.8,4.9,4.2,55.1,15.2
2002,21,253.9,132.4,29.7,4.4,30.8,159.8
2002,34,317,201.2,35.3,11.9,7.4,115.3
2002,45,248.5,190.8,11.6,2.6,3.1,15
2002,52,138.6,115.2,9,4.5,2.5,7.9
2002,54,17.2,0.9,9.4,6.9,24.3,0.3
2002,42,278.2,218.8,14.6,4.3,10.1,112.1
2002,46,39.7,23.3,2.6,1.2,0.04,3.1
2002,50,153,126.9,5,2.4,8.1,31.6
2002,51,568,458.9,23.6,16.8,39.3,121.1
2002,53,235.8,195.9,15.7,7.2,19,13.2
2002,63,22.8,7.2,7,8,23.5,1.4
2003,53,253.7,208.8,17.6,8.2,23.4,14.4
2003,22,218.5,84.5,40.3,3.8,23.3,90
2003,42,301.1,238.6,14.9,4.9,11.1,117.4
2003,43,503.8,419.3,16.1,9.4,5.3,64.6
2003,51,581.8,461.6,25.6,17.4,45.8,133.6
2003,52,152.5,126.9,10.1,4.5,3.4,9.1
2003,37,662.1,332.6,79.7,32.9,148.4,424.7
2003,32,354.8,221.2,5.6,17.6,50,188.2
2003,34,329.6,209.7,34.9,15.1,9,119.8
2003,36,195.2,142.7,7,1.4,10.9,37.1
2003,50,160.6,132.1,5.3,2.7,9.1,35.4
2003,12,53.4,32.2,5.4,3.1,43.2,24.2
2003,23,151.5,85.6,29.9,6.7,303.9,90.3
