scenario,indicator,coef_source,region,commodity,year,value
BS,co2_faostat,faostat_wld,E15,RIC,2035,1.56995
BS,water_green,,E15,RIC,2035,1.91482
BS,water_blue,,E15,RIC,2035,0.569767
BS,water_grey,,E15,RIC,2035,0.312453
BS,nitrogen_total,crop_nfert,E15,RIC,2035,0.0434426
BS,land_harvested,ahv_physical,E15,RIC,2035,0.38599
BS,land_prod,pn_land,E15,RIC,2035,0.467844
BS,co2_faostat,faostat_wld,E15,RIC,2040,1.66796
BS,water_green,,E15,RIC,2040,2.03436
BS,water_blue,,E15,RIC,2040,0.605336
BS,water_grey,,E15,RIC,2040,0.331959
BS,nitrogen_total,crop_nfert,E15,RIC,2040,0.0461547
BS,land_harvested,ahv_physical,E15,RIC,2040,0.398415
BS,land_prod,pn_land,E15,RIC,2040,0.49705
BS,co2_faostat,faostat_wld,E15,RIC,2045,1.77521
BS,water_green,,E15,RIC,2045,2.16516
BS,water_blue,,E15,RIC,2045,0.644258
BS,water_grey,,E15,RIC,2045,0.353303
BS,nitrogen_total,crop_nfert,E15,RIC,2045,0.0491223
BS,land_harvested,ahv_physical,E15,RIC,2045,0.41148
BS,land_prod,pn_land,E15,RIC,2045,0.52901
BS,co2_faostat,faostat_wld,E15,RIC,2050,1.89299
BS,water_green,,E15,RIC,2050,2.30882
BS,water_blue,,E15,RIC,2050,0.687006
BS,water_grey,,E15,RIC,2050,0.376745
BS,nitrogen_total,crop_nfert,E15,RIC,2050,0.0523817
BS,land_harvested,ahv_physical,E15,RIC,2050,0.425251
BS,land_prod,pn_land,E15,RIC,2050,0.56411
BS,co2_faostat,faostat_wld,IND,RIC,2024,125.121
BS,water_green,,IND,RIC,2024,152.606
BS,water_blue,,IND,RIC,2024,45.4089
BS,water_grey,,IND,RIC,2024,24.9017
BS,nitrogen_total,crop_nfert,IND,RIC,2024,3.46226
BS,land_harvested,ahv_physical,IND,RIC,2024,47.1282
BS,land_prod,pn_land,IND,RIC,2024,37.2859
BS,co2_faostat,faostat_wld,IND,RIC,2030,135.328
BS,water_green,,IND,RIC,2030,165.055
BS,water_blue,,IND,RIC,2030,49.1132
BS,water_grey,,IND,RIC,2030,26.933
BS,nitrogen_total,crop_nfert,IND,RIC,2030,3.7447
BS,land_harvested,ahv_physical,IND,RIC,2030,48.8364
BS,land_prod,pn_land,IND,RIC,2030,40.3276
BS,co2_faostat,faostat_wld,IND,RIC,2035,143.141
BS,water_green,,IND,RIC,2035,174.585
BS,water_blue,,IND,RIC,2035,51.949
BS,water_grey,,IND,RIC,2035,28.4881
BS,nitrogen_total,crop_nfert,IND,RIC,2035,3.96092
BS,land_harvested,ahv_physical,IND,RIC,2035,50.11
BS,land_prod,pn_land,IND,RIC,2035,42.656
BS,co2_faostat,faostat_wld,IND,RIC,2040,152.373
BS,water_green,,IND,RIC,2040,185.845
BS,water_blue,,IND,RIC,2040,55.2993
BS,water_grey,,IND,RIC,2040,30.3254
BS,nitrogen_total,crop_nfert,IND,RIC,2040,4.21637
BS,land_harvested,ahv_physical,IND,RIC,2040,51.47
BS,land_prod,pn_land,IND,RIC,2040,45.407
BS,co2_faostat,faostat_wld,IND,RIC,2045,162.431
BS,water_green,,IND,RIC,2045,198.112
BS,water_blue,,IND,RIC,2045,58.9497
BS,water_grey,,IND,RIC,2045,32.3273
BS,nitrogen_total,crop_nfert,IND,RIC,2045,4.4947
BS,land_harvested,ahv_physical,IND,RIC,2045,52.8745
BS,land_prod,pn_land,IND,RIC,2045,48.4044
BS,co2_faostat,faostat_wld,IND,RIC,2050,173.413
BS,water_green,,IND,RIC,2050,211.506
BS,water_blue,,IND,RIC,2050,62.935
BS,water_grey,,IND,RIC,2050,34.5127
BS,nitrogen_total,crop_nfert,IND,RIC,2050,4.79856
BS,land_harvested,ahv_physical,IND,RIC,2050,54.3283
BS,land_prod,pn_land,IND,RIC,2050,51.6768
BS,co2_faostat,faostat_wld,JPN,RIC,2024,7.11167
BS,water_green,,JPN,RIC,2024,8.67388
BS,water_blue,,JPN,RIC,2024,2.58097
BS,water_grey,,JPN,RIC,2024,1.41537
BS,nitrogen_total,crop_nfert,JPN,RIC,2024,0.19679
BS,land_harvested,ahv_physical,JPN,RIC,2024,1.37796
BS,land_prod,pn_land,JPN,RIC,2024,2.11927
BS,co2_faostat,faostat_wld,JPN,RIC,2030,7.45526
BS,water_green,,JPN,RIC,2030,9.09294
BS,water_blue,,JPN,RIC,2030,2.70566
BS,water_grey,,JPN,RIC,2030,1.48375
BS,nitrogen_total,crop_nfert,JPN,RIC,2030,0.206297
BS,land_harvested,ahv_physical,JPN,RIC,2030,1.42286
BS,land_prod,pn_land,JPN,RIC,2030,2.22166
BS,co2_faostat,faostat_wld,JPN,RIC,2035,8.12966
BS,water_green,,JPN,RIC,2035,9.91549
BS,water_blue,,JPN,RIC,2035,2.95042
BS,water_grey,,JPN,RIC,2035,1.61797
BS,nitrogen_total,crop_nfert,JPN,RIC,2035,0.224959
BS,land_harvested,ahv_physical,JPN,RIC,2035,1.5082
BS,land_prod,pn_land,JPN,RIC,2035,2.42263
BS,co2_faostat,faostat_wld,JPN,RIC,2040,8.89959
BS,water_green,,JPN,RIC,2040,10.8545
BS,water_blue,,JPN,RIC,2040,3.22984
BS,water_grey,,JPN,RIC,2040,1.7712
BS,nitrogen_total,crop_nfert,JPN,RIC,2040,0.246264
BS,land_harvested,ahv_physical,JPN,RIC,2040,1.6025
BS,land_prod,pn_land,JPN,RIC,2040,2.65207
BS,co2_faostat,faostat_wld,JPN,RIC,2045,9.76921
BS,water_green,,JPN,RIC,2045,11.9152
BS,water_blue,,JPN,RIC,2045,3.54545
BS,water_grey,,JPN,RIC,2045,1.94428
BS,nitrogen_total,crop_nfert,JPN,RIC,2045,0.270327
BS,land_harvested,ahv_physical,JPN,RIC,2045,1.70568
BS,land_prod,pn_land,JPN,RIC,2045,2.91122
BS,co2_faostat,faostat_wld,JPN,RIC,2050,10.7564
BS,water_green,,JPN,RIC,2050,13.1192
BS,water_blue,,JPN,RIC,2050,3.9037
BS,water_grey,,JPN,RIC,2050,2.14074
BS,nitrogen_total,crop_nfert,JPN,RIC,2050,0.297643
BS,land_harvested,ahv_physical,JPN,RIC,2050,1.81904
BS,land_prod,pn_land,JPN,RIC,2050,3.20538
BS,co2_faostat,faostat_wld,KOR,RIC,2024,3.50353
