account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2039,Mt N,5.16641,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2039,km3,71.9592,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2040,Mt CO2e,190.385,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2040,Mha,29.0908,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2040,Mt N,5.16652,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2040,km3,71.9747,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2041,Mt CO2e,190.415,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2041,Mha,29.0908,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2041,Mt N,5.16653,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2041,km3,71.9861,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2042,Mt CO2e,190.435,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2042,Mha,29.0904,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2042,Mt N,5.16646,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2042,km3,71.9937,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2043,Mt CO2e,190.446,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2043,Mha,29.0897,model_area,area,
