food_group10,omitted_province,own_price_intensive,n
G03_蔬菜,陕西省,-0.522175350553159,470847
G03_蔬菜,黑龙江省,-0.498580329597439,470654
G04_水果,上海市,-0.6500939557467,467167
G04_水果,云南省,-0.701039377137124,472126
G04_水果,北京市,-0.723375759838601,463725
G04_水果,吉林省,-0.702824221150308,477842
G04_水果,四川省,-0.67803349885313,453217
G04_水果,天津市,-0.720221771877626,474474
G04_水果,安徽省,-0.720548951598166,471110
G04_水果,山东省,-0.700485936228056,453744
G04_水果,山西省,-0.703699432053872,477244
G04_水果,广东省,-0.776639377613645,423408
G04_水果,广西壮族自治区,-0.724413412416569,473062
G04_水果,江苏省,-0.696293780630739,450421
G04_水果,江西省,-0.709539600127294,474544
G04_水果,河北省,-0.699227338392527,469809
G04_水果,河南省,-0.698833676706099,463459
G04_水果,浙江省,-0.695476069478715,462657
G04_水果,湖北省,-0.704392556610016,466002
G04_水果,湖南省,-0.702689885333835,470712
G04_水果,福建省,-0.687546271275479,472945
G04_水果,贵州省,-0.699271974909346,479257
G04_水果,辽宁省,-0.718365893150001,456233
G04_水果,重庆市,-0.709824679362972,478172
G04_水果,陕西省,-0.69262317820358,472370
G04_水果,黑龙江省,-0.72399532753875,471665
G05_猪肉,上海市,-0.48633145380374,349298
G05_猪肉,云南省,-0.40864779629869,353082
G05_猪肉,北京市,-0.39186934311684,349942
G05_猪肉,吉林省,-0.409803269777515,359134
G05_猪肉,四川省,-0.528499081653236,335731
G05_猪肉,天津市,-0.353078975285835,356091
G05_猪肉,安徽省,-0.40734379959947,352122
G05_猪肉,山东省,-0.393248834253164,341699
G05_猪肉,山西省,-0.39267703395182,359042
G05_猪肉,广东省,-0.434308929339417,313765
G05_猪肉,广西壮族自治区,-0.414680744253104,352906
G05_猪肉,江苏省,-0.423426424242406,336334
G05_猪肉,江西省,-0.420747758943943,353955
G05_猪肉,河北省,-0.402474286331256,353946
G05_猪肉,河南省,-0.399688181643696,348765
G05_猪肉,浙江省,-0.414960620180727,347209
G05_猪肉,湖北省,-0.396005185691233,348546
G05_猪肉,湖南省,-0.259690980899805,350529
G05_猪肉,福建省,-0.408532950582313,354607
G05_猪肉,贵州省,-0.414341585767004,358170
G05_猪肉,辽宁省,-0.424590707635078,343935
G05_猪肉,重庆市,-0.431985744921919,357594
G05_猪肉,陕西省,-0.39674841027421,355392
G05_猪肉,黑龙江省,-0.372561193698343,355616
G06_禽类及其他肉类,上海市,-0.867222207670127,240563
G06_禽类及其他肉类,云南省,-0.857356226977314,245011
G06_禽类及其他肉类,北京市,-0.84192314565706,241452
G06_禽类及其他肉类,吉林省,-0.852573961563332,249693
G06_禽类及其他肉类,四川省,-0.825008471607282,234280
G06_禽类及其他肉类,天津市,-0.853594712784589,247290
G06_禽类及其他肉类,安徽省,-0.842180316260152,244123
G06_禽类及其他肉类,山东省,-0.837400207892092,240223
G06_禽类及其他肉类,山西省,-0.856309078502665,249952
G06_禽类及其他肉类,广东省,-0.839323089790349,206441
G06_禽类及其他肉类,广西壮族自治区,-0.866875412588558,242197
G06_禽类及其他肉类,江苏省,-0.922864025816349,233863
G06_禽类及其他肉类,江西省,-0.848423779802535,245435
G06_禽类及其他肉类,河北省,-0.854041235600845,245960
G06_禽类及其他肉类,河南省,-0.853933306332876,242411
G06_禽类及其他肉类,浙江省,-0.811680917942615,240819
G06_禽类及其他肉类,湖北省,-0.852311755665091,243460
G06_禽类及其他肉类,湖南省,-0.847449879648393,243885
G06_禽类及其他肉类,福建省,-0.860476842716501,245094
G06_禽类及其他肉类,贵州省,-0.852654745742767,249575
G06_禽类及其他肉类,辽宁省,-0.871713148728978,240497
G06_禽类及其他肉类,重庆市,-0.827616548977905,247906
G06_禽类及其他肉类,陕西省,-0.862142292527004,247264
G06_禽类及其他肉类,黑龙江省,-0.863452670755321,246615
G07_牛羊肉,上海市,-0.956862842232158,191407
G07_牛羊肉,云南省,-1.05212368102802,194812
G07_牛羊肉,北京市,-1.08333963097118,190385
G07_牛羊肉,吉林省,-1.04502063982443,197607
G07_牛羊肉,四川省,-1.08052230850524,187900
G07_牛羊肉,天津市,-1.07706036141089,195407
G07_牛羊肉,安徽省,-1.03231104275939,194903
G07_牛羊肉,山东省,-1.05036240768221,191646
G07_牛羊肉,山西省,-1.05560671519045,198733
G07_牛羊肉,广东省,-1.09090948672632,170716
G07_牛羊肉,广西壮族自治区,-1.08478430756263,194333
G07_牛羊肉,江苏省,-1.33871051634409,185597
G07_牛羊肉,江西省,-0.910882731453679,194924
G07_牛羊肉,河北省,-1.03832813190788,195055
G07_牛羊肉,河南省,-1.04648395645917,193485
G07_牛羊肉,浙江省,-1.05835593095392,191669
G07_牛羊肉,湖北省,-1.07644511088313,193773
G07_牛羊肉,湖南省,-1.02110095881167,194114
G07_牛羊肉,福建省,-1.07880271168353,195383
G07_牛羊肉,贵州省,-1.04908730755187,198765
G07_牛羊肉,辽宁省,-1.07714818087557,187054
G07_牛羊肉,重庆市,-1.17874987977127,197786
G07_牛羊肉,陕西省,-1.0782779845742,196937
G07_牛羊肉,黑龙江省,-1.08412118576911,195163
G08_海鲜,上海市,-0.549910196640739,295420
G08_海鲜,云南省,-0.695775142079438,303865
G08_海鲜,北京市,-0.683887723390407,297406
G08_海鲜,吉林省,-0.667261026825711,306853
G08_海鲜,四川省,-0.685318230329723,291626
G08_海鲜,天津市,-0.696620554608963,303625
G08_海鲜,安徽省,-0.681914650167279,300582
G08_海鲜,山东省,-0.746716559934111,291986
G08_海鲜,山西省,-0.709302065813801,308597
G08_海鲜,广东省,-0.767254893820325,264410
G08_海鲜,广西壮族自治区,-0.703276752200381,302368
G08_海鲜,江苏省,-0.767834653316627,283064
G08_海鲜,江西省,-0.726059289503789,301630
G08_海鲜,河北省,-0.706917359141125,303318
G08_海鲜,河南省,-0.702817209840672,302478
G08_海鲜,浙江省,-0.72775700079254,292960
G08_海鲜,湖北省,-0.675016996857939,296924
G08_海鲜,湖南省,-0.71332440425874,300169
G08_海鲜,福建省,-0.706017164702903,300810
G08_海鲜,贵州省,-0.696538912250194,308164
G08_海鲜,辽宁省,-0.738845675059442,291646
G08_海鲜,重庆市,-0.68512145711505,305783
G08_海鲜,陕西省,-0.707455410145935,305214
G08_海鲜,黑龙江省,-0.700971807237178,303095
G09_乳制品,上海市,-0.997953339936287,392534
G09_乳制品,云南省,-1.03606546936643,400815
G09_乳制品,北京市,-1.02992913140827,392225
G09_乳制品,吉林省,-1.01356188497389,406355
G09_乳制品,四川省,-1.01426640472926,386537
G09_乳制品,天津市,-1.00808534568438,404034
G09_乳制品,安徽省,-1.04538829040356,400733
G09_乳制品,山东省,-1.02252039980025,387167
G09_乳制品,山西省,-1.01624013886675,405700
G09_乳制品,广东省,-0.798805329443322,365983
G09_乳制品,广西壮族自治区,-0.995891017875399,404355
G09_乳制品,江苏省,-1.078692770553,378606
G09_乳制品,江西省,-1.02637126487142,404604
G09_乳制品,河北省,-1.05112772430489,399302
G09_乳制品,河南省,-1.03347705853441,394700
G09_乳制品,浙江省,-1.03442000074246,391054
G09_乳制品,湖北省,-0.987399257202733,396492
G09_乳制品,湖南省,-1.0436927002482,401620
G09_乳制品,福建省,-1.00708958235485,402519
G09_乳制品,贵州省,-1.01218735230879,407265
G09_乳制品,辽宁省,-1.00776426451908,390655
G09_乳制品,重庆市,-1.04511911000428,407440
G09_乳制品,陕西省,-1.013882697041,401283
G09_乳制品,黑龙江省,-1.01481953928263,401977
