term,estimate_unconstrained,estimate_constrained
G05__m_04,-0.00528493053892348,-0.0162894958655785
G05__m_05,-0.00534345760558439,-0.0131970344578878
G05__m_06,-0.0120352671038082,-0.0201313629229477
G05__m_07,-0.0181194683431951,-0.0260985593378856
G05__m_08,-0.0201355997093851,-0.0299318672168751
G05__m_09,-0.0186989950418954,-0.0289835061914113
G05__m_10,0.023515827137661,0.0168376985937187
G05__m_11,-0.00772547278972377,-0.0155247726528372
G05__m_12,0.00547720736306562,-0.0022460448586982
G05__yr_2021,0.00557388697054577,-0.0193065175299821
G05__yr_2022,-0.0166626863180069,-0.0519389167121597
G05__mean_y_hh,0.00815004398805518,0.0087721551839785
G05__mn_r_G01,0.106978162233606,0.0655153956802845
G05__mn_r_G02,-0.0523902389908624,-0.0178528743389798
G05__mn_r_G04,0.0915329098150994,0.102156790654392
G05__mn_r_G05,-0.0956526828614297,-0.0708979605085568
G05__mn_r_G06,0.0764582994852164,0.0785268941796923
G05__mn_r_G07,-0.103936847833127,-0.0749235500798735
G05__mn_r_G08,-0.0498694505566977,-0.0546855699475676
G05__mn_r_G09,0.0399484022209983,0.00774740782909876
G06__const,-0.586873224445398,-0.506572245389713
G06__y_easi,0.054980207746952,0.0314471015281825
G06__y_easi2,0.00301021698464948,0.00287242238045034
G06__low_income,0.00759297207963427,0.00756072540450775
G06__elderly_household,-0.00344741943242373,-0.00339292852055772
G06__large_family,0.00483079846095817,0.00487638368872764
G06__z_cpi,0.000430241040289551,-9.50569350617109e-06
G06__z_covid,0.00089586598535521,0.0010997144096867
G06__z_holiday,0.00200117989852306,0.00215239614564508
G06__z_temp,0.00676005438889586,0.00722236219460159
G06__z_precip,0.0015087639643463,0.00142633054161935
G06__z_wholesale,0.00140864575697253,0.00113445216397676
G06__m_02,-0.00582806172400461,-0.00690123902198963
G06__m_03,-0.00444994916630367,-0.00547460402571042
G06__m_04,-0.0068117311228588,-0.00822177506248914
G06__m_05,-0.0136353318576901,-0.0151247503140485
G06__m_06,-0.0120514332448421,-0.0134670095588617
G06__m_07,-0.00848689854984005,-0.00968633655394095
G06__m_08,-0.00694572211464284,-0.00789129855459838
G06__m_09,-0.00952523224232847,-0.0103980118732098
G06__m_10,-0.008893636959704,-0.00995016270369083
G06__m_11,-0.00284080769318128,-0.00322217112690757
G06__m_12,0.00702804477398735,0.00668565157069969
G06__yr_2021,-0.00723158016431193,-0.00953153624952202
G06__yr_2022,-0.00283486728826379,-0.00509482676059977
G06__mean_y_hh,0.00829924764909214,0.00840583604769537
G06__mn_r_G01,-0.0445340969130441,-0.00811732459922799
G06__mn_r_G02,0.0110386787186405,0.0154849265505557
G06__mn_r_G04,-0.246166566152326,-0.256775143795732
G06__mn_r_G05,-0.0544683005397293,-0.0599811007838521
G06__mn_r_G06,0.147094952138446,0.181721960953176
G06__mn_r_G07,0.161530197523,0.145706375105598
G06__mn_r_G08,-0.0269752655102944,-0.0524194118595107
G06__mn_r_G09,-0.115217658466764,-0.129930958107004
G07__const,0.239914777960382,0.415659272122816
G07__y_easi,0.0298727354190593,-0.0157473960327146
G07__y_easi2,-0.00300505215769016,-0.00313315679802346
G07__low_income,-0.00733078852093119,-0.00739407055154454
G07__elderly_household,-0.0161932091812216,-0.015822237636231
G07__large_family,0.0173043668780251,0.0168794549541211
G07__z_cpi,-0.00261205832107914,-0.00227498614879818
G07__z_covid,-0.00133150170113321,-0.00126108589836762
G07__z_holiday,0.00570111727820825,0.0054122360547624
G07__z_temp,-0.00279255072650413,-0.00205422903378438
G07__z_precip,-4.45152276054791e-05,-0.000437736370612201
G07__z_wholesale,0.0016120227262655,0.00149810713644414
G07__m_02,-0.0321521344041598,-0.0323804533384134
G07__m_03,-0.0299057756727973,-0.0304654072906108
G07__m_04,-0.0367506906381078,-0.0369884882969524
G07__m_05,-0.0422185171698976,-0.0419855787886479
G07__m_06,-0.0374728221915996,-0.0379848965179125
G07__m_07,-0.0228018038715854,-0.0244274472686623
G07__m_08,-0.0198584981992736,-0.0219679554705542
G07__m_09,-0.021538070435169,-0.0236026013559163
G07__m_10,-0.0184124114465947,-0.0192866566136641
G07__m_11,0.0095095187075009,0.00894499464146098
G07__m_12,0.0277740190630742,0.027549741550983
G07__yr_2021,0.0129883045930206,0.0106584492861927
G07__yr_2022,0.0175635524360461,0.0157332486035967
G07__mean_y_hh,-0.0237733014012851,-0.023441568761556
G07__mn_r_G01,0.142457722507366,0.0680531366642872
G07__mn_r_G02,0.0706952727535202,0.0579412695133445
G07__mn_r_G04,-0.072014197338395,-0.0397530198258233
G07__mn_r_G05,0.0310821950250542,0.0351701990458447
G07__mn_r_G06,-0.0346546261108351,-0.0478609525147383
G07__mn_r_G07,-0.204113903168975,-0.100806851221089
G07__mn_r_G08,0.0599614168682512,0.0279071336747104
G07__mn_r_G09,-0.0298336425393589,-0.0147373581318618
G08__const,-0.0154538211118402,-0.380608968685836
G08__y_easi,-0.161382875438699,-0.0537162035662565
G08__y_easi2,-0.00640027503841876,-0.00635530797124357
G08__low_income,-0.0109613698853547,-0.0109746944244756
G08__elderly_household,-0.0110646932449222,-0.0110120639962972
G08__large_family,0.0112374406448411,0.0111875898087311
G08__z_cpi,-0.00459450443222752,-0.00450059378565481
G08__z_covid,-0.00208222310484214,-0.00180954119885439
G08__z_holiday,0.0115629333656428,0.0115786911963677
G08__z_temp,-0.00184714099920392,-0.00121937138753415
G08__z_precip,0.000769267566495532,0.00142524685408904
G08__z_wholesale,-0.00127629662881088,-0.00320718761460289
G08__m_02,0.0021993525396449,0.00387434970097322
G08__m_03,0.0308566653356999,0.0312930701510887
G08__m_04,0.0166728509926979,0.0173910900205903
G08__m_05,0.0106778647984513,0.0111140034142539
G08__m_06,0.0112214746268691,0.0103727872734257
G08__m_07,0.0284110734247272,0.0268810105323047
G08__m_08,0.0392478862073463,0.0376116627951417
G08__m_09,0.0351812102881977,0.0337266466793011
G08__m_10,0.0203329983877394,0.0190764019767003
G08__m_11,0.0288117301626482,0.0274727577466653
G08__m_12,0.0211799323356779,0.020615353952953
G08__yr_2021,0.0122154396674758,0.0147454708262849
G08__yr_2022,0.0273051940950957,0.0285483694291782
G08__mean_y_hh,0.030028458382942,0.0299762217407199
G08__mn_r_G01,-0.277569273328733,-0.276633119282687
G08__mn_r_G02,-0.0127176783988384,-0.0362303056378316
G08__mn_r_G04,-0.151501389513658,-0.146708418491121
G08__mn_r_G05,0.0845734828738805,0.0837716926715584
G08__mn_r_G06,-0.0938200093785952,-0.116836114923417
G08__mn_r_G07,0.218137591828686,0.187993004560668
G08__mn_r_G08,0.143246708253092,0.221759459879076
G08__mn_r_G09,-0.111985926208732,-0.10508202552719
G09__const,0.93063334635932,0.778400766442149
G09__y_easi,-0.295601169561954,-0.241361077998575
G09__y_easi2,0.0299593914915366,0.0301507572158627
G09__low_income,-0.00943844665340241,-0.00917754956001889
G09__elderly_household,0.00657084700617153,0.00662278243632988
G09__large_family,-0.0655263656944455,-0.0661229798607671
G09__z_cpi,0.00565917628418608,0.00478329936416031
G09__z_covid,-0.00994306394219666,-0.0105965431246433
G09__z_holiday,0.0173525567786745,0.0172463771613402
G09__z_temp,-0.00226278871785341,-0.00273554968000819
G09__z_precip,-0.0049598223307778,-0.00347733910073354
G09__z_wholesale,-0.015078594280343,-0.018509805820269
G09__m_02,0.0642469971120461,0.0647453698817394
G09__m_03,0.0420214836883746,0.0419198484864093
G09__m_04,0.0132445455253249,0.0138084116437619
G09__m_05,0.00101662821233304,-0.000132356841186621
G09__m_06,0.0127410558951268,0.0100724402583474
G09__m_07,0.02448988642101,0.0209487316026118
G09__m_08,0.027207266880402,0.0241343508133588
G09__m_09,0.0260572904388653,0.0239984087164633
G09__m_10,-0.0223360517127068,-0.0230699990903787
G09__m_11,0.0171339822154835,0.0167122804185797
G09__m_12,-0.000503850437989331,0.00102316806691721
G09__yr_2021,0.00356414035085024,0.0101009898412351
G09__yr_2022,0.0101100310108881,0.0199326564488434
G09__mean_y_hh,-0.0422191772952869,-0.0423115034448564
G09__mn_r_G01,-0.247220177665998,-0.266807909925626
G09__mn_r_G02,-0.0893759666225523,-0.147097884482238
G09__mn_r_G04,0.252213515951848,0.259688871841933
G09__mn_r_G05,0.0780135414433094,0.0711423944133357
G09__mn_r_G06,-0.00814134365515693,-0.0267634196975555
G09__mn_r_G07,-0.0258963318721795,-0.0260246447002943
G09__mn_r_G08,0.0022280478234673,0.0222547694992052
G09__mn_r_G09,0.238335190731177,0.327852010771357
bp__p1_1,-0.490132089218021,-0.493459810789538
bp__p1_2,0.133824862223496,0.0702646068807396
bp__p2_2,0.0170114551761945,-0.220663699454997
bp__p1_3,-0.0153305530340237,0.0394213131983495
bp__p2_3,-0.0289669454437581,0.0900536542545744
bp__p3_3,0.0182398484484038,-0.0607298838188279
bp__p1_4,0.0599660377740061,0.0529284675260498
bp__p2_4,0.033652183485648,0.0149353211707263
bp__p3_4,-0.0240222228845324,-0.0116596917273622
bp__p4_4,0.00281252670595031,-0.034141814301422
bp__p1_5,0.0702400058969061,0.0263073082934524
bp__p2_5,0.154726092609145,0.106300628099133
bp__p3_5,-0.0969490125147556,-0.0585813676998702
bp__p4_5,0.0410609815875528,0.0272065723725522
bp__p5_5,-0.0924003256650066,-0.145261522875206
bp__p1_6,0.0529382868617561,0.108352571247955
bp__p2_6,-0.0766239958298314,-0.0351661598509937
bp__p3_6,0.086019645941208,0.0115394090760855
bp__p4_6,-0.00467037158555397,-0.00863145429611977
bp__p5_6,-0.0429893069216047,0.0073297051662655
bp__p6_6,0.22094490712354,-0.0388939100209145
bp__p1_7,0.232125727773789,0.196325189650548
bp__p2_7,-0.0834241836924125,0.00876894238882695
bp__p3_7,0.0174851871059087,-0.0287928955091079
bp__p4_7,-0.0948013910685916,-0.0670737813714805
bp__p5_7,0.0160935035305448,0.0489473469574551
bp__p6_7,-0.109931867863009,-0.0393836759208211
bp__p7_7,-0.0922253258358455,-0.161221146269478
bp__p1_8,-0.108414837054501,-0.058477585387504
bp__p2_8,-0.194742300267698,-0.093530290249402
bp__p3_8,0.091052993223477,0.0513532852670682
bp__p4_8,0.0702123659345135,0.0679610266321191
bp__p5_8,-0.0616749933596033,-0.0188749602295167
bp__p6_8,-0.0455231764970234,-0.00100491027499312
bp__p7_8,0.191602544658638,0.12155335745673
bp__p8_8,-0.0250781817375356,-0.162053244132536
cyp__p1_1,0.127234748816133,0.0802547065703726
cyp__p1_2,-0.0492701680384363,-0.0188339199113851
cyp__p2_2,0.00702616676794959,0.0208287617706834
cyp__p1_3,0.0225459946199958,0.00943412123325479
cyp__p2_3,-0.00948893151664815,-0.0226887093347268
cyp__p3_3,-0.00900604331778203,-0.00308793030315317
cyp__p1_4,-0.0291450419995638,-0.0172814593508854
cyp__p2_4,-0.00762651543287005,-0.00190580451078328
cyp__p3_4,0.0111080226343109,0.00775698369182884
cyp__p4_4,0.0156218432207886,0.00538357274495148
cyp__p1_5,-0.0104065758740752,-0.00741567855459641
cyp__p2_5,-0.0411193719855663,-0.026935945142094
cyp__p3_5,0.0227185637121409,0.0143218629680128
cyp__p4_5,-0.0113029562069286,-0.00620265411270765
cyp__p5_5,0.0213919623815528,0.0270455452810494
cyp__p1_6,-0.0330702492762888,-0.0261992543288045
cyp__p2_6,0.0254406255943027,0.0172831497500059
cyp__p3_6,-0.0119930385038991,0.00207856854766911
cyp__p4_6,0.00154684874930155,0.00063176381623622
cyp__p5_6,0.0121128795897999,0.00170496503807645
cyp__p6_6,-0.0470030634623616,-0.00215135949636488
cyp__p1_7,-0.0382607117002498,-0.0275830169287077
cyp__p2_7,0.0265856687401853,0.00700492360342104
cyp__p3_7,-0.0162932797536226,-0.00259216661859921
cyp__p4_7,0.0255122925881597,0.0171341331891782
cyp__p5_7,-0.00532001990629439,-0.00798882142648867
cyp__p6_7,0.0197710610629799,0.00742978464904206
cyp__p7_7,0.0276380481983813,0.0242965257522201
cyp__p1_8,0.0370045434181748,0.0258462587013878
cyp__p2_8,0.0447284156002442,0.027528944552518
cyp__p3_8,-0.0315436739069596,-0.0196820551571125
cyp__p4_8,-0.0196597815807191,-0.011635296637415
cyp__p5_8,0.015253039275869,0.00605093261211744
cyp__p6_8,0.0205853277334706,0.00249488821546936
cyp__p7_8,-0.0530964360509505,-0.0349542178000391
cyp__p8_8,0.00602988020772506,0.0237071969574033
sigma__G01,0.212472731408128,0.214916566893056
sigma__G02,0.206108356250016,0.205357871143496
sigma__G04,0.333547916119413,0.334418054615693
sigma__G05,0.20647856680182,0.20786455690008
sigma__G06,0.0859258020764933,0.0855555576403255
sigma__G07,0.0970515364569663,0.0950781554364479
sigma__G08,0.110629123456515,0.11046873532931
sigma__G09,0.25895121837848,0.257452874383526
