term,estimate,se_province_cr1,t_province,score_boot_p_studentized
bp__p1_8,-0.108414837096071,0.0711681330015095,-1.52336210778175,0.124124124124124
bp__p2_8,-0.194742300244984,0.082064562502206,-2.37303769504345,0.00900900900900901
bp__p3_8,0.0910529932376605,0.0452634877438983,2.01162123769251,0.037037037037037
bp__p4_8,0.0702123659351929,0.023214373947309,3.0245211908173,0.001001001001001
bp__p5_8,-0.0616749933542501,0.0426845930755004,-1.44490058146178,0.138138138138138
bp__p6_8,-0.0455231764236406,0.104601491216837,-0.435205807241043,0.684684684684685
bp__p7_8,0.191602544650759,0.0507595908244787,3.77470624838763,0
bp__p8_8,-0.0250781817816441,0.128709032693732,-0.194843992350705,0.866866866866867
cyp__p1_1,0.127234748841362,0.0296362979148913,4.2932065673908,0
cyp__p1_2,-0.0492701680649588,0.020006027799283,-2.46276615024621,0
cyp__p2_2,0.00702616679479232,0.0125260753946074,0.560923239997195,0.578578578578579
cyp__p1_3,0.0225459946245918,0.018211097333116,1.23803602892139,0.222222222222222
cyp__p2_3,-0.00948893151928995,0.0139039288297263,-0.682464045630243,0.535535535535536
cyp__p3_3,-0.00900604331446323,0.0127500022801038,-0.706356212070415,0.50950950950951
cyp__p1_4,-0.0291450420030541,0.0043281637847271,-6.73381217824957,0
cyp__p2_4,-0.00762651543092091,0.00531433578386249,-1.43508346877131,0.14014014014014
cyp__p3_4,0.0111080226331301,0.00300832261560379,3.6924306507268,0
cyp__p4_4,0.0156218432215696,0.00392026405383208,3.98489566188767,0
cyp__p1_5,-0.010406575881858,0.0106630369685329,-0.975948588809009,0.336336336336336
cyp__p2_5,-0.0411193719774383,0.00701741099027816,-5.8596214521858,0
cyp__p3_5,0.0227185637115672,0.0064634813511158,3.51491131132377,0
cyp__p4_5,-0.0113029562060833,0.00401378015446432,-2.81603769292435,0
cyp__p5_5,0.0213919623828599,0.00875938396162756,2.44217658188888,0.004004004004004
cyp__p1_6,-0.0330702492772206,0.0256921146601962,-1.28717506186655,0.185185185185185
cyp__p2_6,0.0254406256045789,0.0144168334277284,1.76464725989329,0.0640640640640641
cyp__p3_6,-0.0119930385000288,0.0225459426988325,-0.531937770810082,0.618618618618619
cyp__p4_6,0.00154684875176986,0.00682908242299611,0.226509017750472,0.827827827827828
cyp__p5_6,0.012112879591725,0.0132442026542858,0.914579752961214,0.347347347347347
cyp__p6_6,-0.0470030634679871,0.0447802148413175,-1.04963907910104,0.279279279279279
cyp__p1_7,-0.0382607117060777,0.0128533314631405,-2.97671555548053,0
cyp__p2_7,0.0265856687413288,0.0122399006665548,2.17204938713052,0.017017017017017
cyp__p3_7,-0.0162932797560506,0.00707782238881938,-2.30201873697602,0.016016016016016
cyp__p4_7,0.0255122925888456,0.00345775901653875,7.37827375095205,0
cyp__p5_7,-0.00532001990679217,0.00492824278348364,-1.07949631146857,0.284284284284284
cyp__p6_7,0.0197710610677084,0.0168859635792086,1.17085773488533,0.259259259259259
cyp__p7_7,0.0276380482010933,0.00988368845841272,2.79632935795022,0.002002002002002
cyp__p1_8,0.0370045434327116,0.0220834654789417,1.67566741134892,0.0750750750750751
cyp__p2_8,0.0447284155874483,0.0222012966989718,2.01467581799039,0.031031031031031
cyp__p3_8,-0.0315436739093401,0.0141050898680816,-2.23633271424383,0.019019019019019
cyp__p4_8,-0.0196597815818742,0.007263622575687,-2.70660835926139,0
cyp__p5_8,0.0152530392731954,0.0135415418718709,1.12638866515487,0.272272272272272
cyp__p6_8,0.0205853277143674,0.0351879389355506,0.585010896832321,0.57957957957958
cyp__p7_8,-0.0530964360500864,0.0165651256542614,-3.2053144152533,0
cyp__p8_8,0.00602988022339782,0.0475457411628069,0.126822720099161,0.907907907907908
