scenario,group,indicator,unit,per_capita_2050,boundary_share,ratio_to_boundary
B1,HDS,"Land (cradle, incl. pasture)",ha/cap,0.921,0.134,6.871
B2,HDS,"Land (cradle, incl. pasture)",ha/cap,0.919,0.134,6.86
B3,HDS,"Land (cradle, incl. pasture)",ha/cap,0.928,0.134,6.927
B4,HDS,"Land (cradle, incl. pasture)",ha/cap,0.876,0.134,6.535
B5,HDS,"Land (cradle, incl. pasture)",ha/cap,0.971,0.134,7.248
B6,HDS,"Land (cradle, incl. pasture)",ha/cap,0.94,0.134,7.01
BS,BS,"Land (cradle, incl. pasture)",ha/cap,0.962,0.134,7.175
C1,MTS,"Land (cradle, incl. pasture)",ha/cap,0.879,0.134,6.556
C2,MTS,"Land (cradle, incl. pasture)",ha/cap,0.877,0.134,6.544
C3,MTS,"Land (cradle, incl. pasture)",ha/cap,0.886,0.134,6.609
C4,MTS,"Land (cradle, incl. pasture)",ha/cap,0.834,0.134,6.223
C5,MTS,"Land (cradle, incl. pasture)",ha/cap,0.929,0.134,6.935
C6,MTS,"Land (cradle, incl. pasture)",ha/cap,0.898,0.134,6.698
A1,PTS,Reactive N,kg N/cap/yr,37.323,9.278,4.023
A2,PTS,Reactive N,kg N/cap/yr,37.228,9.278,4.012
A3,PTS,Reactive N,kg N/cap/yr,37.652,9.278,4.058
A4,PTS,Reactive N,kg N/cap/yr,35.84,9.278,3.863
A5,PTS,Reactive N,kg N/cap/yr,39.222,9.278,4.227
A6,PTS,Reactive N,kg N/cap/yr,38.263,9.278,4.124
B1,HDS,Reactive N,kg N/cap/yr,37.865,9.278,4.081
B2,HDS,Reactive N,kg N/cap/yr,37.85,9.278,4.079
B3,HDS,Reactive N,kg N/cap/yr,38.159,9.278,4.113
B4,HDS,Reactive N,kg N/cap/yr,35.9,9.278,3.869
B5,HDS,Reactive N,kg N/cap/yr,40.094,9.278,4.321
B6,HDS,Reactive N,kg N/cap/yr,38.732,9.278,4.174
BS,BS,Reactive N,kg N/cap/yr,36.845,9.278,3.971
C1,MTS,Reactive N,kg N/cap/yr,36.821,9.278,3.968
C2,MTS,Reactive N,kg N/cap/yr,36.797,9.278,3.966
C3,MTS,Reactive N,kg N/cap/yr,37.113,9.278,4.0
C4,MTS,Reactive N,kg N/cap/yr,34.892,9.278,3.761
C5,MTS,Reactive N,kg N/cap/yr,39.051,9.278,4.209
C6,MTS,Reactive N,kg N/cap/yr,37.696,9.278,4.063
