scenario,group,indicator,unit,value_2050,guide_low,guide_high,deviation,pct_of_upper_bound
C4,MTS,Added sugar,g/d,12.82,0,50,0.0,25.64
C4,MTS,Fat energy share (WHO <30%),%E,36.66,20,30,6.66,122.2
C4,MTS,Carbohydrate energy share,%E,46.68,50,65,-3.32,71.82
C4,MTS,Dietary energy,kcal/d,2571.5,2000,2600,0.0,98.9
C5,MTS,Red meat (pork+beef+mutton),g/d,80.25,14,28,52.25,286.62
C5,MTS,Meat total (incl. poultry),g/d,132.15,40,75,57.15,176.2
C5,MTS,Cereals (whole-grain proxy),g/d,262.66,200,300,0.0,87.55
C5,MTS,Vegetables,g/d,434.12,300,500,0.0,86.82
C5,MTS,Fruits,g/d,333.19,200,350,0.0,95.2
C5,MTS,Dairy,g/d,210.15,300,500,-89.85,42.03
C5,MTS,Aquatic products,g/d,70.18,40,75,0.0,93.58
C5,MTS,Eggs,g/d,38.66,40,50,-1.34,77.33
C5,MTS,Added sugar,g/d,12.82,0,50,0.0,25.64
C5,MTS,Fat energy share (WHO <30%),%E,36.66,20,30,6.66,122.2
C5,MTS,Carbohydrate energy share,%E,46.68,50,65,-3.32,71.82
C5,MTS,Dietary energy,kcal/d,2571.5,2000,2600,0.0,98.9
C6,MTS,Red meat (pork+beef+mutton),g/d,80.09,14,28,52.09,286.05
C6,MTS,Meat total (incl. poultry),g/d,131.3,40,75,56.3,175.06
C6,MTS,Cereals (whole-grain proxy),g/d,259.81,200,300,0.0,86.6
C6,MTS,Vegetables,g/d,425.45,300,500,0.0,85.09
C6,MTS,Fruits,g/d,325.23,200,350,0.0,92.92
C6,MTS,Dairy,g/d,207.2,300,500,-92.8,41.44
C6,MTS,Aquatic products,g/d,69.47,40,75,0.0,92.62
C6,MTS,Eggs,g/d,38.12,40,50,-1.88,76.25
C6,MTS,Added sugar,g/d,12.63,0,50,0.0,25.26
C6,MTS,Fat energy share (WHO <30%),%E,36.7,20,30,6.7,122.32
C6,MTS,Carbohydrate energy share,%E,46.62,50,65,-3.38,71.73
C6,MTS,Dietary energy,kcal/d,2542.68,2000,2600,0.0,97.8
