list_id,list_name,policy_year,sequence,province_hint,county_original,matched_name,match_method,province_standard,prefecture_standard,county_name_standard,county_code_standard,area_id,source_pdf,source_page,source_context
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,37,吉林省,通榆县,通榆县,exact_province,吉林省,白城市,通榆县,220822,20404783,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,38,吉林省,大安市,大安市,exact_province,吉林省,白城市,大安市,220882,20404785,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,39,吉林省,东丰县,东丰县,exact_province,吉林省,辽源市,东丰县,220421,20404753,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,40,吉林省,磐石市,磐石市,exact_province,吉林省,吉林市,磐石市,220284,20404740,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,41,吉林省,桦甸市,桦甸市,exact_province,吉林省,吉林市,桦甸市,220282,20404738,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,42,吉林省,梅河口市,梅河口市,exact_province,吉林省,通化市,梅河口市,220581,20404762,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,43,吉林省,东辽县,东辽县,exact_province,吉林省,辽源市,东辽县,220422,20404754,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,44,吉林省,敦化市,敦化市,exact_province,吉林省,延边朝鲜族自治州,敦化市,222403,20404789,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,45,吉林省,蛟河市,蛟河市,exact_province,吉林省,吉林市,蛟河市,220281,20404737,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,46,吉林省,双阳区,双阳区,exact_province,吉林省,长春市,双阳区,220112,20404858,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
