sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
main,qg6_pc,3103,.4975026851273288,3.163667,0,0,1.4285713,12.857142,0,64.285713
main,p1,3103,2.854584662692018,.69088531,1.955,2.7,4.3325,5,1.5,5.875
main,p2,3103,4.412664357073799,1.8413786,2,4,8,11.25,1.48,13.9
main,p3,3103,13.47690987216672,4.0933609,9,12.75,22.200001,27.4,8,30
main,p4,3103,8.458816172521216,2.6228604,4.5900002,7.8534999,15.5,18,4,21.700001
main,p5,3103,2.229276909442475,.96982598,.98000002,2,4.29,5.4899998,.68000001,7.9000001
main,p6,3103,5.798213508432699,1.9503258,2.5,5.5,8.5,12,2,12
main,s1,3103,.2006839316516727,.15282166,.01200686,.16104907,.5091002,.75942165,0,.95613086
main,s2,3103,.0374711905081612,.062804624,0,.018517105,.13282029,.30287048,0,.90254372
main,s3,3103,.350349456559507,.20910837,.0038991333,.32896411,.72442758,.87898314,0,.97074974
main,s4,3103,.0712062889623732,.095766738,0,.040201202,.2622897,.52797592,0,.85419005
main,s5,3103,.1227759363745624,.10650054,.0043846234,.094573297,.32311869,.53427213,0,.86160284
main,s6,3103,.2175131959437234,.17679334,0,.1735096,.57984197,.73752087,0,.93898749
main,food_exp,3103,671.5623969811409,856.23737,18.389544,251.24377,2385.6201,3594.4971,2.6779323,8039.5059
main,food_exp_pc,3103,238.1160707563184,284.21597,7.1993189,103.30347,819.19,1242.265,1.9167725,1895.0026
main,food_to_total_exp,3102,.4350176215128783,.63287675,.0065999557,.17132962,1.686224,2.9342282,.00052859343,11.07516
main,income_annual,3069,48926.64419811007,115016.81,360,26300,149550,320000,14,2728000
main,hhsize,3103,2.973896229455366,1.4258919,1,3,6,7,1,10
strict45,qt1_pc,3095,14.29444070732518,17.809284,.3034682,5.3142858,53.052422,74.432564,0,88.821426
strict45,qt2_pc,3095,1.513266398460311,2.6563427,0,.44107142,6.9698277,13.285715,0,24.771427
strict45,qt3_pc,3095,6.127275071701783,8.776536,.014285714,2.3785086,24.407143,43.615715,0,59.328571
strict45,qt4_pc,3095,1.680990686996739,2.7353363,0,.41749999,7.1428571,14.285714,0,20.357143
strict45,qt5_pc,3095,13.49085323399895,19.786131,.15804598,3.6985116,55.921787,92.14286,0,138.24611
strict45,qt6_pc,3095,8.681821201050989,13.90084,0,2.825,38.475357,66.316139,0,116.42857
strict45,qb1_pc,3095,8.968671480088039,13.395795,0,2.7767124,38.215038,62.857143,0,87
strict45,qb2_pc,3095,1.259355469832144,2.3363056,0,.30894887,5.5714288,11.642858,0,24.771427
strict45,qb3_pc,3095,4.520154993038524,6.8826876,0,1.7942308,17.797619,33.306427,0,58.448978
strict45,qb4_pc,3095,1.21881921977614,2.4414632,0,.16853933,6.25,11.904762,0,20.357143
strict45,qb5_pc,3095,4.678255620913275,9.1093769,0,1.2845304,20.804348,45,0,134.71428
strict45,qb6_pc,3095,6.946032996297545,11.570093,0,2.1745455,30.794285,54.1758,0,98.150246
strict45,qs1_pc,3095,4.90086052829989,9.7046356,0,.82417583,26.785715,45,0,82.64463
strict45,qs2_pc,3095,.2307196791087362,1.1254817,0,0,1.0714285,5.3571429,0,21.428572
strict45,qs3_pc,3095,1.282275605861518,3.9635618,0,0,8.5714283,21.428572,0,47.142857
strict45,qs4_pc,3095,.4035112070286886,1.4315661,0,0,2.5714285,8.5714283,0,17.142857
strict45,qs5_pc,3095,8.410427485839012,16.542244,0,1.0159883,45,78.214287,0,124.28571
strict45,qs6_pc,3095,1.238384287822633,6.1930256,0,0,5.7692308,32.142857,0,100
strict45,qg1_pc,3095,.4249086947958126,2.7839966,0,0,1.3432835,10.714286,0,66.1157
strict45,qg2_pc,3095,.0231912475323768,.32761523,0,0,0,.41322315,0,10.714286
strict45,qg3_pc,3095,.3248444615327912,1.9681592,0,0,.99264705,8.5714283,0,42.857143
strict45,qg4_pc,3095,.0586602578716183,.47434884,0,0,.0433526,2.1428571,0,13.846154
strict45,qg5_pc,3095,.4021701224721014,2.4339921,0,0,1.1029412,10.714286,0,49.285713
strict45,qg6_pc,3095,.4974039152829163,3.1669338,0,0,1.4285713,13.432836,0,64.285713
strict45,p1,3095,2.855463502961766,.69127727,1.955,2.7,4.3325,5,1.5,5.875
