group,source,threshold,flagged,positive_n,min_flagged,median_flagged,max_flagged
3,purchase,4.5,9,3375,46.29401652018229,262.44571,2101.7834
3,purchase,5,5,3375,46.29401652018229,214.32291,2101.7834
3,purchase,6,3,3375,167.5836486816406,469.28571,2101.7834
3,purchase,99,33,3375,58.44897896902902,99.851425,2101.7834
4,purchase,4.5,80,2517,10.7142858505249,21.428572,571.42859
4,purchase,5,71,2517,10.7142858505249,21.428572,571.42859
4,purchase,6,61,2517,10.7142858505249,20.935715,571.42859
4,purchase,99,22,2517,42.90259704589844,75.742111,571.42859
5,purchase,4.5,6,3263,87.43357086181641,213.90213,691.07495
5,purchase,5,4,3263,154.4717864990234,320.41623,691.07495
5,purchase,6,1,3263,691.074951171875,691.07495,691.07495
5,purchase,99,32,3263,53.3709716796875,87.145355,691.07495
6,purchase,4.5,3,3302,77.92308044433594,285.78967,1000.4611
6,purchase,5,3,3302,77.92308044433594,285.78967,1000.4611
6,purchase,6,1,3302,1000.461059570313,1000.4611,1000.4611
6,purchase,99,32,3302,87.11928558349609,103.27314,1000.4611
1,self,4.5,37,2679,47.14285659790039,98.13559,285857.16
1,self,5,26,2679,47.14285659790039,71.785713,285857.16
1,self,6,22,2679,47.14285659790039,59.464287,285857.16
1,self,99,26,2679,132.2313995361328,1715.5463,285857.16
2,self,4.5,35,961,16.0714282989502,33.75,214.28572
2,self,5,33,961,16.0714282989502,33.642857,214.28572
2,self,6,28,961,16.0714282989502,33.69643,214.28572
2,self,99,9,961,45,145.71428,214.28572
3,self,4.5,32,1452,30.01643753051758,46.07143,687.85712
3,self,5,30,1452,30.01643753051758,49.285713,687.85712
3,self,6,21,1452,31.42857106526693,68.571426,687.85712
3,self,99,13,1452,136.0714263916016,325.85852,687.85712
4,self,4.5,40,1155,10.71428553263346,107.14286,1285.7142
4,self,5,37,1155,10.71428553263346,71.428574,1285.7142
4,self,6,31,1155,10.7142858505249,107.14286,1285.7142
4,self,99,9,1155,37.5,285.71429,1285.7142
5,self,4.5,23,2970,77.14286041259766,99.64286,642.85712
5,self,5,18,2970,81.42857360839844,105.85714,642.85712
5,self,6,6,2970,81.42857360839844,162.85715,642.85712
5,self,99,28,2970,136.0714263916016,192.05357,829.0329
6,self,4.5,8,941,80.35713958740234,150,2142.8572
6,self,5,7,941,80.35713958740234,150,2142.8572
6,self,6,6,941,80.35713958740234,150,2142.8572
6,self,99,8,941,142.8571472167969,214.28572,2142.8572
1,gift,4.5,8,575,85.71428680419922,157.14287,482.14285
1,gift,5,6,575,85.71428680419922,157.14287,482.14285
1,gift,6,5,575,85.71428680419922,100,321.42856
1,gift,99,3,575,471.4285888671875,482.14285,857.14288
2,gift,4.5,2,156,20,27.142857,34.285713
2,gift,5,2,156,20,27.142857,34.285713
2,gift,6,2,156,20,27.142857,34.285713
2,gift,99,0,156,,,
3,gift,4.5,6,563,38.57143020629883,85.714287,1286.0458
3,gift,5,6,563,38.57143020629883,85.714287,1286.0458
3,gift,6,5,563,38.57143020629883,85.714287,1286.0458
3,gift,99,4,563,231.4285736083984,642.85712,1286.0458
4,gift,4.5,6,215,10.7142858505249,42.857143,128.57143
4,gift,5,6,215,10.7142858505249,42.857143,128.57143
4,gift,6,5,215,10.7142858505249,42.857143,128.57143
4,gift,99,2,215,107.1428604125977,117.85714,128.57143
5,gift,4.5,0,633,,,
5,gift,5,0,633,,,
5,gift,6,0,633,,,
5,gift,99,6,633,38.57143020629883,48.75,54.642857
6,gift,4.5,3,589,62.14285659790039,75,85.714287
6,gift,5,2,589,62.14285659790039,68.571426,75
6,gift,6,2,589,62.14285659790039,68.571426,75
6,gift,99,5,589,45,64.285713,85.714287
