scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,group,group_label_cn,item,item_label_cn,item_kcal_share_within_group_2023,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
1x_2023_pgdp,1.0,77277.10527979178,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,64.04980864077139,107.91755598892838,3.9355906514208927,0.48873347958821534,13.787428687330706
1x_2023_pgdp,1.0,77277.10527979178,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,48.02246821601162,57.77258041807595,0.7398055914358547,0.19468568195680386,12.33009319059758
1x_2023_pgdp,1.0,77277.10527979178,meatsea,肉类水产,pork,猪肉,0.7594886091488202,259.40937751578764,25.748914341068108,8.660100615094578,24.27452445140147,1.5745637481990142
1x_2023_pgdp,1.0,77277.10527979178,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.094476162220424,2.6738548154676387,1.443222293685697,0.3045996800743682,0.14504746670208013
1x_2023_pgdp,1.0,77277.10527979178,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.006281402814798,1.4548106556085256,0.7497257104656538,0.5563753956613536,0.0
1x_2023_pgdp,1.0,77277.10527979178,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,38.024948656842774,10.520053255322985,4.394500054353686,2.1403264513432463,0.2960025943347042
1x_2023_pgdp,1.0,77277.10527979178,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,27.02287301235712,13.003755635478376,4.376387239074421,0.870004692105156,0.4218204567782574
1x_2023_pgdp,1.0,77277.10527979178,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,49.501022718032544,13.385196239614977,4.584704750347026,3.0334888573724683,0.9652010000730581
1x_2023_pgdp,1.0,77277.10527979178,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,17.588233640341038,11.800928821184705,0.9699393551658662,1.0346019788435905,1.0992646025213149
1.25x_2023_pgdp,1.25,96596.38159973972,grain,主粮,grain,主粮,1.0,741.1110066607982,120.49644907116952,22.4783555517772,4.966912813131994,151.62384228387538
1.25x_2023_pgdp,1.25,96596.38159973972,oil,食用油,oil,食用油,1.0,235.24624019477693,9.550092055510351,0.0,26.13847113275299,0.0
1.25x_2023_pgdp,1.25,96596.38159973972,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,65.06769476200371,109.63259284554934,3.9981354612797464,0.49650048211970693,14.006539916640156
1.25x_2023_pgdp,1.25,96596.38159973972,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,48.78564620110996,58.69070818525095,0.7515626576927751,0.19777964676125662,12.526044294879586
1.25x_2023_pgdp,1.25,96596.38159973972,meatsea,肉类水产,pork,猪肉,0.7594886091488202,262.9710556876722,26.10244568614343,8.7790033765232,24.607812494799877,1.596182432095127
