term,est,se,t,p,eq,n
Pp10,0.0170512494196895,0.00559247700229261,3.04896192021879,0.0056948962894162,挂面,584835
Pp11,0.0156535547903399,0.00745429717591347,2.09993704583178,0.046903566897526,挂面,584835
Pp12,-0.00346816932619319,0.00743693279631432,-0.466344045479608,0.645356018122037,挂面,584835
Pp13,-0.0138679792638135,0.00483765990461501,-2.86667098085662,0.00872047590424054,挂面,584835
Pz_fsize,0.00985928036519395,0.00138707648145816,7.10795727343702,3.06351698221283e-07,挂面,584835
Pz_elderly,0.0371427872569706,0.00660763425826231,5.62119297243587,1.0129240600415e-05,挂面,584835
Pz_lock_days,0.000619918326150539,0.00025058840494156,2.47385080045947,0.0211787421093676,挂面,584835
Pz_ln_covid,0.00340221431805413,0.00050661166621729,6.71562568516709,7.51742867682446e-07,挂面,584835
Pz_cny_share,-0.0784583547349346,0.0120380968491815,-6.51750486126628,1.19158834985073e-06,挂面,584835
Pz_hot_days,-0.000685303168373167,0.000148900735411017,-4.60241627740452,0.00012538515966097,挂面,584835
phi_3,0.116458534536812,0.0280589458225075,4.15049571974277,0.000386916770278112,挂面,584835
Py1,-0.150967918299375,0.0277879401087275,-5.43285748093145,1.60440341081899e-05,方便面,584835
Py2,0.00212601064138847,0.00509456916897274,0.417309211215825,0.680321913329343,方便面,584835
Py3,0.00078025176910616,0.00032063354502393,2.43346892804971,0.023136682788043,方便面,584835
Pp1,0.311835894804288,0.0310605616521727,10.0396090159714,7.09479496991348e-10,方便面,584835
Pp2,-0.00155567465439727,0.0439119147449303,-0.0354271651198464,0.972044802252098,方便面,584835
Pp3,-0.0216083483183714,0.0103195023886779,-2.09393316697898,0.0474842331310433,方便面,584835
Pp4,0.0191327942730473,0.0184461206731922,1.03722590847262,0.310413017702123,方便面,584835
Pp5,-0.21691448475554,0.0243799431695617,-8.89725145160951,6.60558212330752e-09,方便面,584835
Pp6,-0.00116595847544334,0.00559587773127338,-0.208360248639317,0.836781827065152,方便面,584835
Pp7,-0.111496809935998,0.012767840426871,-8.73262871466839,9.23677761496224e-09,方便面,584835
Pp8,-0.00365455617386834,0.00594119332005313,-0.615121571879041,0.544513130669176,方便面,584835
Pp9,-0.12803661880818,0.0326288167824382,-3.92403499219418,0.000679217666930115,方便面,584835
Pp10,-0.00727734630358081,0.00966915574264579,-0.752635131471105,0.459303667130389,方便面,584835
Pp11,0.0681880508352685,0.0145409500472511,4.68938072228364,0.000100953215266251,方便面,584835
Pp12,-0.209233666408912,0.0183497917128186,-11.4025090684135,6.08217086022276e-11,方便面,584835
Pp13,-0.0332348559347182,0.00679893669957379,-4.88824317731942,6.15517826487295e-05,方便面,584835
Pz_fsize,0.00668144923743673,0.00074727420868367,8.94109439318957,6.04492273914221e-09,方便面,584835
Pz_elderly,-0.0865921112969459,0.00683576334546104,-12.6675115741746,7.44680634597565e-12,方便面,584835
Pz_lock_days,-0.000239934854040467,0.0002962850777206,-0.809810794004038,0.426348285229678,方便面,584835
Pz_ln_covid,0.0152714918862103,0.00123332219266012,12.3824025685223,1.17876767903577e-11,方便面,584835
Pz_cny_share,-0.173069648917981,0.0158615664733594,-10.9112583053297,1.43884171848866e-10,方便面,584835
Pz_hot_days,-0.000432920631800053,0.000152987458622578,-2.82977856941904,0.00949636968964285,方便面,584835
phi_4,0.343669277433789,0.0491436411148085,6.99315861905541,3.9756444092584e-07,方便面,584835
Py1,-0.0904232730049118,0.027515586009635,-3.28625648653271,0.00323545354328859,食用油,584835
Py2,0.0460005924596548,0.00602249108181325,7.63813376138782,9.40183718156682e-08,食用油,584835
Py3,-0.00421323192443084,0.000381583718999606,-11.0414352464425,1.14232177126214e-10,食用油,584835
Pp1,0.0356447827503961,0.0350340217908754,1.01743336700441,0.319531135735017,食用油,584835
Pp2,-0.0611539276159379,0.0685028908673409,-0.892720392404539,0.381252554937983,食用油,584835
Pp3,0.0267184980595365,0.0191898479967516,1.39232463248585,0.177140674375789,食用油,584835
Pp4,-0.0425294386146906,0.0271237688856318,-1.56797673634579,0.130542968280806,食用油,584835
Pp5,0.0837063373000665,0.0334529598130815,2.5022102010637,0.0198968717838201,食用油,584835
Pp6,0.0037518612690289,0.010685506699202,0.351116832794563,0.72869662077611,食用油,584835
Pp7,-0.0164253095913596,0.0198014081839116,-0.829502095952195,0.415346983372827,食用油,584835
Pp8,-0.00360376429043775,0.00990886467287174,-0.363690938307398,0.719410555304326,食用油,584835
Pp9,-0.0347248370917876,0.0417655959201778,-0.831422043113033,0.414283974917674,食用油,584835
Pp10,0.00509031247038947,0.0169808331842618,0.299768121808493,0.767046439846241,食用油,584835
Pp11,0.00190666467207656,0.0293094987188974,0.0650527902357891,0.948694093739426,食用油,584835
Pp12,-0.03048165785896,0.0249055025579506,-1.22389250279269,0.233382950404302,食用油,584835
Pp13,0.0170891076568176,0.0247141676186321,0.691470087948019,0.496191221606895,食用油,584835
Pz_fsize,-0.00737236960047541,0.00145251437756605,-5.0755914807736,3.8678955609897e-05,食用油,584835
Pz_elderly,-0.0304344780598693,0.00366498778453773,-8.30411446070018,2.24804761491172e-08,食用油,584835
Pz_lock_days,-0.00141235224518406,0.000323714165218198,-4.36296089864363,0.000227838194922283,食用油,584835
Pz_ln_covid,0.00354823817224665,0.000746936676704535,4.75038685729208,8.67239396467727e-05,食用油,584835
Pz_cny_share,0.0392824644715543,0.0182806548454924,2.14885433829196,0.0424049965954676,食用油,584835
Pz_hot_days,-0.000191313281679323,0.000263424559783154,-0.726254536922481,0.475009336849065,食用油,584835
phi_5,0.0759866911352114,0.0607356842228025,1.25110455422651,0.223473356112222,食用油,584835
Py1,0.134761440624852,0.0294491259495878,4.57607607287028,0.000133896123339634,黄油,584835
Py2,-0.0351840103456441,0.00630912786286926,-5.57668367330301,1.12891228930162e-05,黄油,584835
Py3,0.00235303720178912,0.000410473731431566,5.73249156184168,7.73012880682092e-06,黄油,584835
Pp1,0.0145309538183056,0.0345696757181301,0.420338158124082,0.678139602246058,黄油,584835
Pp2,0.0244125327315923,0.028569721939528,0.854489686083226,0.401646767571052,黄油,584835
Pp3,0.00041201884828887,0.0100692041173622,0.040918710504481,0.967713836058186,黄油,584835
Pp4,-0.00514343193876271,0.0187102898847222,-0.274898570276164,0.785848463951932,黄油,584835
Pp5,-0.0313638143587975,0.0280256281089282,-1.11911191559721,0.274644277392635,黄油,584835
Pp6,0.0297863905241908,0.00857546301252028,3.47344399721651,0.00205688890509301,黄油,584835
Pp7,0.00051252946227659,0.0117638668017309,0.0435681116519595,0.965624712106088,黄油,584835
Pp8,-0.00957273878233991,0.00984450329994589,-0.97239428853587,0.340970702071552,黄油,584835
Pp9,-0.0205126360312109,0.0300953050457438,-0.681589237923736,0.502304829685153,黄油,584835
Pp10,0.00843970285265806,0.0111555380155528,0.756548257994512,0.457000663937477,黄油,584835
Pp11,0.00740314039575468,0.0134940980512542,0.54862061677895,0.588552371028555,黄油,584835
Pp12,-0.0397995027003137,0.0186963839558857,-2.12872728727764,0.0442066799896643,黄油,584835
Pp13,0.00432531934996793,0.0106029402971192,0.407935839376847,0.687093324871288,黄油,584835
Pz_fsize,-0.00506676804129621,0.00162065739039982,-3.12636592490794,0.00474154894975643,黄油,584835
Pz_elderly,-0.00597871040697772,0.00410256671949048,-1.4573097321182,0.158549871737514,黄油,584835
Pz_lock_days,-0.000465425001801281,0.000284551263970512,-1.63564552589551,0.115526904075991,黄油,584835
Pz_ln_covid,-2.2473509715213e-06,0.000750099116797118,-0.00299607201394579,0.99763531921094,黄油,584835
Pz_cny_share,0.0060688408696527,0.0106957128428213,0.567408732717234,0.575933571714265,黄油,584835
Pz_hot_days,0.000109643610693048,0.000165666511592493,0.661833279635596,0.514654902356596,黄油,584835
phi_6,0.0270115153343212,0.0207127033763158,1.30410380738653,0.205099226553413,黄油,584835
Py1,0.139024027396627,0.0561721811703471,2.47496224109626,0.021127092871763,成人奶粉,584835
Py2,-0.0266838410595462,0.013857133137085,-1.92563936534129,0.0666003044436227,成人奶粉,584835
Py3,0.00193552609283862,0.00101631940851007,1.90444664997209,0.0694342684849411,成人奶粉,584835
Pp1,-0.17358908568601,0.0526022992195413,-3.30002848281436,0.00312999828583511,成人奶粉,584835
Pp2,0.00393087610659812,0.147305127475747,0.0266852632624435,0.978940955453576,成人奶粉,584835
Pp3,0.00542625835535451,0.0269930133211525,0.201024549975024,0.842446518829946,成人奶粉,584835
Pp4,-0.00878569369879329,0.0458757285049185,-0.191510717870155,0.849806110108623,成人奶粉,584835
Pp5,0.0281284198153031,0.0280588506348848,1.00247940235769,0.326542994137266,成人奶粉,584835
Pp6,-0.00665244429944539,0.0168054662212784,-0.39585002949947,0.69586382344632,成人奶粉,584835
Pp7,-0.0417922254100905,0.0284360243484066,-1.46969298162218,0.155192272086359,成人奶粉,584835
Pp8,0.0136894857716193,0.00721209826407976,1.89812801633618,0.0702994017533019,成人奶粉,584835
Pp9,0.0331700108630327,0.0621054792989646,0.534091536486793,0.598403147947223,成人奶粉,584835
Pp10,0.0350473579183334,0.0245329916075611,1.42858068347163,0.166565322275492,成人奶粉,584835
Pp11,-0.0190488278381108,0.0250056733877719,-0.761780238536823,0.453932303162168,成人奶粉,584835
