category,eval_at,y0,theta,se,n,t,p
新鲜牛奶,p25,5.22733522568688,0.00795178208317459,0.00427555104780898,49572,1.85982625262994,0.0629101118485199
新鲜牛奶,p50,5.8478242297469,0.00996422395449853,0.00415577359373239,49572,2.3976820993151,0.0164991776501307
新鲜牛奶,p75,6.39254204430597,0.0124200373851089,0.00457082964258955,49572,2.71723917894094,0.00658290170468189
新鲜牛奶,p90,6.85411534622489,0.0150052969035489,0.00574416133864411,49572,2.61226940173146,0.00899433468197677
常温酸奶,mean,5.7463931952425,0.0672588109438109,0.00435817612834977,125309,15.432788616847,9.85197129638927e-54
常温酸奶,p10,4.53496779081333,0.0645682153299552,0.00547550615318637,125309,11.7921911734828,4.2825186424319e-32
常温酸奶,p25,5.22733522568688,0.0679903294327631,0.00466397949201076,125309,14.5777505131033,3.89128774284826e-48
常温酸奶,p50,5.8478242297469,0.0667858613273058,0.00438049518729066,125309,15.2461898648068,1.74524405771827e-52
常温酸奶,p75,6.39254204430597,0.0624004661358855,0.00530037368817243,125309,11.772842785619,5.38777927985605e-32
常温酸奶,p90,6.85411534622489,0.0562490244428726,0.00725920353295377,125309,7.74864958497518,9.28749198984205e-15
新鲜酸奶,mean,5.7463931952425,0.0113429465676715,0.00239906560202491,161269,4.7280685272206,2.26665691305312e-06
新鲜酸奶,p10,4.53496779081333,0.00302816544485409,0.00246582881475524,161269,1.22805177177503,0.219427533863936
新鲜酸奶,p25,5.22733522568688,0.00703113968655667,0.00223321230200922,161269,3.14844212537731,0.00164143222766694
新鲜酸奶,p50,5.8478242297469,0.0123167345961074,0.00244182028689837,161269,5.04407906765007,4.55710843137361e-07
新鲜酸奶,p75,6.39254204430597,0.0182800299536337,0.00296545842171431,161269,6.1643184135646,7.07873757239257e-10
新鲜酸奶,p90,6.85411534622489,0.0243013781213231,0.00416161927739843,161269,5.83940444848062,5.23877517613306e-09
坚果,mean,5.7463931952425,0.11505928170687,0.00573770871215424,109925,20.0531758370965,1.89362375624446e-89
坚果,p10,4.53496779081333,0.0948361348883177,0.0053369912521238,109925,17.7695878460694,1.21580731235197e-70
坚果,p25,5.22733522568688,0.10860950850165,0.00567796508144101,109925,19.1282452329006,1.46937574553201e-81
