crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_labor_hired,w_mach,w_fert,w_seed,w_other,w_seed_src,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
rice_late_indica,江西,changjiang,2005,389.03,383.8,0.442870729763771,0.163791995475927,0.211140529008046,0.040485309616225,0.141711436136031,15.3,40.09,31.4062848121428,4.26479750778816,10.2272727272727,12.1971623692558,obs,10.71,19.26,172.29,63.72,82.14,15.75,55.13,51.79,6.68
rice_late_indica,江西,changjiang,2006,389.03,390.6,0.402925224275763,0.184176027555716,0.217232604169344,0.043467084800658,0.152199059198519,16.9,33.09,33.3333,4.16715976331361,11.9929078014184,11.1547315253112,obs,9.17,20.28,156.75,71.65,84.51,16.91,59.21,53.56,6.55
rice_late_indica,江西,changjiang,2007,415.34,409.1,0.402152453411663,0.190422304617903,0.221505272788559,0.0468291038667116,0.139090865315163,18.7,42.42,43.3333,4.33962264150943,14.0942028985507,10.1359291175361,obs,8.78,21.2,167.03,79.09,92,19.45,57.77,55.21,6.6
rice_late_indica,江西,changjiang,2008,495.52,426.8,0.370842751049403,0.205541653212787,0.255650629641589,0.0470011301259283,0.120963835970294,21.6,49.92,55.8333,6.39475012619889,16.4014084507042,12.1277987856021,obs,8.35,19.81,183.76,101.85,126.68,23.29,59.94,80.2,9.62
rice_late_indica,江西,changjiang,2009,484.61,446.66,0.344400652070737,0.241637605497204,0.220754833783867,0.0562307835166423,0.136976125131549,24.8,57.75,60,5.27775037000493,21.6269841269841,12.7431527677882,obs,6.6,20.27,166.9,117.1,106.98,27.25,66.38,93.41,10.76
rice_late_indica,江西,changjiang,2010,531.54,399.53,0.352786243744591,0.251777853030816,0.202054407946721,0.0607292019415284,0.132652293336343,31.3,70.81,60,4.97683039851715,23.7352941176471,12.6223718060133,obs,5.82,21.58,187.52,133.83,107.4,32.28,70.51,136.01,16.44
rice_late_indica,江西,changjiang,2011,640.83,452.47,0.373656039823354,0.239938829330712,0.20357973253437,0.0616232074028994,0.121202190908665,40,77.34,69.4622343435625,5.89250225835592,28.410071942446,12.5137761425632,obs,5.82,22.14,239.45,153.76,130.46,39.49,77.67,143.17,16.39
rice_late_indica,江西,changjiang,2012,763.72,464.6,0.41037291153826,0.238948829413921,0.183182318127062,0.0636489813020479,0.103846959618708,56,79.36,80.4167,6.21225577264654,32.4066666666667,12.4155188690806,obs,5.47,22.52,313.41,182.49,139.9,48.61,79.31,151.84,16.97
rice_late_indica,江西,changjiang,2013,830.26,468.05,0.443535759882447,0.228603088189242,0.162443090116349,0.0673764844747429,0.0980415773372197,68,78.16,95.0269853851526,5.90240700218818,33.2976190476191,12.2905752466601,obs,5.38,22.85,368.25,189.8,134.87,55.94,81.4,152.16,13.51
rice_late_indica,江西,changjiang,2014,846.03,490.46,0.456473174710117,0.235027126697635,0.141945321087905,0.0692765031972862,0.0972778743070577,74.4,95.95,112.2917,5.12766865926559,32.5611111111111,12.1668889948697,obs,5.14,23.42,386.19,198.84,120.09,58.61,82.3,157.2,12.7
rice_late_indica,江西,changjiang,2015,855.05,468.83,0.447143441903982,0.236933512660078,0.143114437752178,0.0729431027425297,0.0998655049412315,78,95.92,132.5,5.1720202874049,33,12.0360295141158,obs,4.85,23.66,382.33,202.59,122.37,62.37,85.39,165.25,14.44
rice_late_indica,江西,changjiang,2016,869.438,473.11,0.45007004524762,0.233104603203449,0.14283939740384,0.0688605743020204,0.105125379843071,81.4,102.756,135,4.96362909672262,33.8248587570621,11.889834716758,obs,4.76,25.02,391.308,202.67,124.19,59.87,91.4,152.21,12.89
rice_late_indica,江西,changjiang,2017,858.1034,484.42,0.455112286001897,0.222187675750964,0.146567418332103,0.0724388226407214,0.103693797274315,83.1,129.623,135,5.10637434023549,35.3181818181818,11.8275160116534,obs,4.55,24.63,390.5334,190.66,125.77,62.16,88.98,150.15,13.21
rice_late_indica,江西,changjiang,2018,901.20882,476.74,0.447952584396589,0.225641377988289,0.149266182281705,0.0740338959398999,0.103105959393518,84.89,101.274,117.5,5.49061224489796,37.4831460674157,26.2764904766282,obs,4.69,24.5,403.69882,203.35,134.52,66.72,92.92,151.78,14.25
rice_late_indica,江西,changjiang,2019,972.68,490.97,0.442170086770572,0.230589710901838,0.147592219434963,0.0837068717358227,0.0959411111568039,86.38,127.16,111.6667,5.64752163650669,47.8941176470588,36.785916203549,obs,4.78,25.42,430.09,224.29,143.56,81.42,93.32,151,14.55
rice_late_indica,江西,changjiang,2020,934.43,432.64,0.436651220530163,0.226491015913445,0.149524308936999,0.0775231959590339,0.10981025866036,89.77,137.38,110,5.42601941747573,39.3695652173913,36.7640943379584,obs,4.33,25.75,408.02,211.64,139.72,72.44,102.61,154.07,16.1
rice_late_indica,江西,changjiang,2021,1011.05,463.2,0.44265862222442,0.211750160724,0.157568864052223,0.0754364274763859,0.112585925522971,92.2,147.54,107.0833,6.25235478806907,40.7860962566845,38.4812189444246,obs,4.61,25.48,447.55,214.09,159.31,76.27,113.83,152.65,16.92
rice_late_indica,江西,changjiang,2022,1031.15,456.84,0.369810405857538,0.236376860786501,0.19506376375891,0.0794452795422587,0.119303690054793,95.3,124.21,120,8.13673139158576,45.7653631284916,44.2955659361797,obs,3.88,24.72,381.33,243.74,201.14,81.92,123.02,157.91,17.18
rice_late_indica,江西,changjiang,2023,1005.28,456.06,0.377626134012414,0.229050612764603,0.180924717491644,0.083051488142607,0.129347047588732,96.95,153.47,120,7.1297530380243,46.3833333333333,45.1180754819556,obs,3.7,25.51,379.62,230.26,181.88,83.49,130.03,158.65,17.07
rice_late_indica,江西,changjiang,2024,981.34,431.56,0.376189699798235,0.241007194244604,0.17275358183708,0.0834063627285141,0.126643161391567,99.92,180.39,120,6.62485345838218,44.4836956521739,43.1547842685897,obs,3.42,25.59,369.17,236.51,169.53,81.85,124.28,153.01,17.36
rice_late_indica,浙江,changjiang,2004,337.83,424.7,0.360329159636504,0.235532664357813,0.230796554480064,0.0416481662374567,0.131693455288163,13.7,32.19,52.672821802768,3.79785679493424,14.8105263157895,16.2738370634176,obs,7.59,20.53,121.73,79.57,77.97,14.07,44.49,65.88,8.87
rice_late_indica,浙江,changjiang,2005,374.65,408.7,0.321179767783264,0.252849326037635,0.223728813559322,0.0362471640197518,0.165994928600027,15.3,34.76,55.5892106136943,4.13313609467456,17.6363636363636,19.1032155599549,obs,6.72,20.28,120.33,94.73,83.82,13.58,62.19,70.61,10.92
rice_late_indica,浙江,changjiang,2006,393.87,437.7,0.330032751923223,0.261939218523878,0.200472237032523,0.0397593114479397,0.167796481072435,16.9,38.07,60,4.05964010282776,21.4520547945206,22.2187108259648,obs,6.74,19.45,129.99,103.17,78.96,15.66,66.09,78.61,13.58
rice_late_indica,浙江,changjiang,2007,463.07,429.2,0.308506273349602,0.279547368648369,0.190683913879111,0.0405554235860669,0.180707020536852,18.7,48.6,60,4.12424100887436,25.04,25.8740016722357,obs,6.6,21.41,142.86,129.45,88.3,18.78,83.68,86.43,15.62
rice_late_indica,浙江,changjiang,2008,532.02,463.6,0.303597609112439,0.263166798240668,0.22040524792301,0.0470095109206421,0.165820833803241,21.6,59.21,65,6.25720384204909,32.9078947368421,28.4502134618919,obs,6.12,18.74,161.52,140.01,117.26,25.01,88.22,85.67,15
rice_late_indica,浙江,changjiang,2009,521.85,453.08,0.299932930918846,0.3041295391396,0.189096483663888,0.0476190476190476,0.159221998658618,24.8,62.9,70,5.12889812889813,33.1333333333333,29.6979245405686,obs,5.32,19.24,156.52,158.71,98.68,24.85,83.09,94.62,17.8
rice_late_indica,浙江,changjiang,2010,584.27,436.14,0.330754616872336,0.290687524603351,0.17221490064525,0.0516713163434713,0.154671641535591,31.3,68.5,72.7273,5.07157258064516,41.3561643835617,29.816946127001,obs,5.2,19.84,193.25,169.84,100.62,30.19,90.37,105.04,24.76
rice_late_indica,浙江,changjiang,2011,692.84,483.5,0.345418855724265,0.293112406904913,0.171136193060447,0.0637376594884822,0.126594884821893,40,73.42,80.1513718478355,6.01572805682395,48,29.8331570255383,obs,5.26,19.71,239.32,203.08,118.57,44.16,87.71,151.17,50.68
rice_late_indica,浙江,changjiang,2012,803.75,480.51,0.3539533437014,0.299720062208398,0.16256298600311,0.0592970451010887,0.124466562986003,56,94.14,88.3333,6.33349491032477,68.0857142857143,29.8698615878832,obs,4.73,20.63,284.49,240.9,130.66,47.66,100.04,181.02,62.53
rice_late_indica,浙江,changjiang,2013,894.11,501.63,0.387144758474908,0.2891031304873,0.145149925624364,0.0606636767288141,0.117938508684614,68,101.53,93.9857967993037,5.93687099725526,73.2972972972973,24.623572767834,obs,4.77,21.86,346.15,258.49,129.78,54.24,105.45,194.58,71.73
rice_late_indica,浙江,changjiang,2014,911.12,483.15,0.400188778646062,0.284506980419703,0.137171832469927,0.0703529721661252,0.107779436298182,74.4,108.56,100,5.78611111111111,82.1794871794872,23.3214916936581,obs,4.65,21.6,364.62,259.22,124.98,64.1,98.2,225.1,89.32
rice_late_indica,浙江,changjiang,2015,920.44,472.98,0.378405979748816,0.29712963365347,0.144496110555821,0.0744209291208553,0.105547346921038,78,120.12,100,5.75010808473844,85.625,22.1496713412717,obs,4.16,23.13,348.3,273.49,133,68.5,97.15,227.7,101.4
rice_late_indica,浙江,changjiang,2016,909.0498,481.55,0.358087972738127,0.319069428319549,0.135174112573371,0.0810956671460684,0.106572819222885,81.4,115.658,100,5.57784838856105,87.7619047619048,20.9466046341626,obs,3.8,22.03,325.5198,290.05,122.88,73.72,96.88,239.17,109.73
rice_late_indica,浙江,changjiang,2017,950.7386,496.9,0.366566162349988,0.309338444868022,0.136683206088403,0.079085881229604,0.108326305463984,83.1,125.849,100,5.77298978231897,82.6263736263736,21.6430375006794,obs,3.74,22.51,348.5086,294.1,129.95,75.19,102.99,260.16,134.72
rice_late_indica,浙江,changjiang,2018,970.90115,526.61,0.342538630219977,0.302347978473401,0.14948998669947,0.090843439623076,0.114779964984077,84.89,125.864,100,6.03492723492723,95.8695652173913,23.4470563134432,obs,3.44,24.05,332.57115,293.55,145.14,88.2,111.44,277.69,132.55
rice_late_indica,浙江,changjiang,2019,1018.64,512.03,0.34955430770439,0.289729443179141,0.152939213068405,0.0944592790387183,0.113317757009346,86.38,135.77,100,6.11660777385159,83.6695652173913,24.4007618980218,obs,3.58,25.47,356.07,295.13,155.79,96.22,115.43,312.74,172.88
rice_late_indica,浙江,changjiang,2020,1033.53,505.74,0.335674823178814,0.293373196714174,0.151219606591004,0.101419407274099,0.118312966241909,89.77,143.86,100,6.00422589320015,94.4324324324324,24.3627689226884,obs,3.24,26.03,346.93,303.21,156.29,104.82,122.28,307.29,170.88
rice_late_indica,浙江,changjiang,2021,1072.9,489.07,0.316320253518501,0.289160219964582,0.172765402181005,0.0997297045390996,0.122024419796812,92.2,152.26,100,7.26332288401254,97.2727272727273,24.4521336045553,obs,3.02,25.52,339.38,310.24,185.36,107,130.92,326.2,172.28
rice_late_indica,浙江,changjiang,2022,1108.42,481.03,0.313599538081233,0.295095721838292,0.17983255444687,0.0945038884177478,0.116968297215857,95.3,159.44,100,8.07658022690438,97.8971962616822,24.4540365687585,obs,3.01,24.68,347.6,327.09,199.33,104.75,129.65,310.88,167.52
rice_late_indica,浙江,changjiang,2023,1142.33,497.25,0.296429227981406,0.29455586389222,0.184290003764236,0.101896999991246,0.122827904370891,96.95,176.71,100,8.17871017871018,101.217391304348,24.4238614071931,obs,2.69,25.74,338.62,336.48,210.52,116.4,140.31,305.75,172.35
rice_late_indica,浙江,changjiang,2024,1100.76,467.01,0.291471347069298,0.314155674261419,0.181356517315309,0.0911370325956612,0.121879428758312,99.92,174.93,100,7.23035132198479,58.6666666666667,30.751817431223,obs,2.51,27.61,320.84,345.81,199.63,100.32,134.16,272.52,165.44
rice_late_indica,海南,huanan,2004,286.43,301.9,0.474251998743149,0.156966798170583,0.243584820025835,0.0564186712285724,0.0687777118318612,13.7,26.63,30.3591089720338,3.81256830601093,8.97777777777778,5.05485656286259,obs,9.84,18.3,135.84,44.96,69.77,16.16,19.7,22.8,
rice_late_indica,海南,huanan,2005,320.16,220.1,0.474044227886057,0.147863568215892,0.234320339830085,0.0795539730134933,0.0642178910544728,15.3,24.81,34.2859666807672,4.28440890919475,14.5542857142857,13.5772642408261,obs,9.82,17.51,151.77,47.34,75.02,25.47,20.56,26.8,
rice_late_indica,海南,huanan,2006,341.91,296.8,0.444151969816618,0.179725658799099,0.226404609400135,0.0747857623351174,0.0749319996490304,16.9,27,40,4.59134045077106,15.2202380952381,18.1807693427215,obs,8.98,16.86,151.86,61.45,77.41,25.57,25.62,27.91,
rice_late_indica,海南,huanan,2007,366.89,307.4,0.410531767014637,0.205947286652675,0.225817002371283,0.0785521545967456,0.0791517893646597,18.7,31.6,40,4.66760563380282,15.0104166666667,20.706574434507,obs,8.02,17.75,150.62,75.56,82.85,28.82,29.04,36.32,0.03
rice_late_indica,海南,huanan,2008,447.2,301.4,0.34966457960644,0.223255813953488,0.249731663685152,0.089221824686941,0.0881261180679785,21.6,29.47,51,6.74396135265701,20.253807106599,25.9021758788462,obs,7.13,16.56,156.37,99.84,111.68,39.9,39.41,50.15,0.04
rice_late_indica,海南,huanan,2009,457.85,250.27,0.382330457573441,0.227083105820684,0.212842634050453,0.0906410396418041,0.087102762913618,24.8,50.54,60,5.52124645892351,21.1734693877551,26.0245464719367,obs,6.85,17.65,175.05,103.97,97.45,41.5,39.88,66.84,0.14
rice_late_indica,海南,huanan,2010,509.37,220.26,0.385515440642362,0.235859983901683,0.197420342776371,0.109625615956966,0.0715786167226182,31.3,70.89,60,5.55887230514096,31.0222222222222,25.1093433904932,obs,6.15,18.09,196.37,120.14,100.56,55.84,36.46,69.3,0.06
rice_late_indica,海南,huanan,2011,608.67,243.35,0.401843363398886,0.242249494800138,0.186603578293657,0.0997256312944617,0.0695779322128576,40,73.93,61.2372435695795,6.43877551020408,32.8108108108108,24.713695095433,obs,6.05,17.64,244.59,147.45,113.58,60.7,42.35,73.98,0.06
rice_late_indica,海南,huanan,2012,755.75,297.47,0.451128018524644,0.242130334105194,0.169632815084353,0.0905590473040026,0.0465497849818062,56,83.7,62.5,6.9073275862069,36.021052631579,25.1765330512082,obs,6.07,18.56,340.94,182.99,128.2,68.44,35.18,82.15,0.07
rice_late_indica,海南,huanan,2013,847.12,262.64,0.484972613089055,0.231159694022098,0.153543771838701,0.0840967041269242,0.0462272169232222,68,109.37,63.7377439199098,6.68740359897172,38.096256684492,20.7274075838011,obs,6,19.45,410.83,195.82,130.07,71.24,39.16,90.34,0.08
rice_late_indica,海南,huanan,2014,876.56,283.25,0.483423838641964,0.228826321073286,0.154170849685133,0.083588117185361,0.0499908734142557,74.4,98.74,65,6.4352380952381,39.6054054054054,24.1594005709681,obs,5.68,21,423.75,200.58,135.14,73.27,43.82,92.26,0.08
rice_late_indica,海南,huanan,2015,910.23,308.26,0.489711391626292,0.234633004844929,0.145139140656757,0.085604737264208,0.0449117256078134,78,120.38,110,6.29995231282785,40.3730569948187,28.1139531085865,obs,5.69,20.97,445.75,213.57,132.11,77.92,40.88,96.68,0.08
rice_late_indica,海南,huanan,2016,946.5096,248.2,0.483988329331261,0.237652106222694,0.141752392157459,0.0891485939498131,0.0474585783387723,81.4,109.4,110,6.25501165501165,41.9800995024876,32.902101861431,obs,5.61,21.45,458.0996,224.94,134.17,84.38,44.92,105.87,0.09
rice_late_indica,海南,huanan,2017,946.683,260.94,0.467984531252806,0.248118958510927,0.148286173935731,0.0927660050935741,0.0428443312069616,83.1,114.467,110,6.47210696173352,47.4702702702703,32.6286871174739,obs,5.32,21.69,443.033,234.89,140.38,87.82,40.56,113.35,0
rice_late_indica,海南,huanan,2018,950.31321,286.52,0.456957985462498,0.243098798973867,0.160989028027928,0.0968522788397312,0.0421019086959761,84.89,112.4,110,6.59155536406721,49.2192513368984,37.5615887311515,obs,5.11,23.21,434.25321,231.02,152.99,92.04,40.01,118.08,0
rice_late_indica,海南,huanan,2019,975.12,314.12,0.484268602838625,0.235837640495529,0.154042579374846,0.0828923619657068,0.0429588153252933,86.38,134.93,110,6.57950065703022,47.2690058479532,42.08532731002,obs,5.43,22.83,472.22,229.97,150.21,80.83,41.89,114.77,
rice_late_indica,海南,huanan,2020,1035.82,292.54,0.459259330771756,0.250748199494121,0.148017995404607,0.0929987835724354,0.0489756907570814,89.77,144.15,117.5,6.91565178168696,51.7903225806452,41.991666203188,obs,5.28,22.17,475.71,259.73,153.32,96.33,50.73,138.72,
rice_late_indica,海南,huanan,2021,1054.56,324.43,0.46572030040965,0.233983841602185,0.160768472159005,0.0924745865574268,0.0470527992717342,92.2,189.93,120,7.97835294117647,52.4301075268817,41.8617308764531,obs,5.3,21.25,491.13,246.75,169.54,97.52,49.62,155.28,
rice_late_indica,海南,huanan,2022,1138.33,314.83,0.446891498950217,0.226480897455044,0.17614400042167,0.0949021812655381,0.0555814219075312,95.3,180.93,124.5,9.90172839506173,57.4627659574468,41.8617308764531,obs,5.31,20.25,508.71,257.81,200.51,108.03,63.27,158,
rice_late_indica,海南,huanan,2023,1156.23,301.72,0.458870639924582,0.232090501024883,0.166887211022029,0.0909940063828131,0.0511576416456933,96.95,177.77,137.5,10.05,55.3736842105263,41.8414175006839,obs,5.4,19.2,530.56,268.35,192.96,105.21,59.15,170.21,0.71
rice_late_indica,海南,huanan,2024,1167.51,278.57,0.45489974389941,0.225137257924986,0.171664482531199,0.0887529871264486,0.059545528517957,99.92,190.87,140,9.4093896713615,55.7096774193548,42.1221907394589,obs,5.29,21.3,531.1,262.85,200.42,103.62,69.52,175.38,
rice_late_indica,湖北,changjiang,2004,353.68,457.9,0.436552816104954,0.181152454195883,0.232328658674508,0.059517077584257,0.0904489934403981,13.7,33.32,28.3232867460813,3.83792620270901,12.6047904191617,11.7875036620538,obs,10.64,21.41,154.4,64.07,82.17,21.05,31.99,36.42,2.97
rice_late_indica,湖北,changjiang,2005,359.98,406.8,0.425912550697261,0.181065614756375,0.204789154953053,0.0644202455691983,0.123812434024112,15.3,42.13,31.9261724046926,3.86778593913956,14.2269938650307,12.8930971478015,obs,9.46,19.06,153.32,65.18,73.72,23.19,44.57,38.93,1.77
rice_late_indica,湖北,changjiang,2006,406.79,429.1,0.407261732097643,0.194670468792252,0.187590648737678,0.067725361980383,0.142751788392045,16.9,46.79,33.7727,3.88346055979644,18.6148648648649,13.948940483592,obs,9.29,19.65,165.67,79.19,76.31,27.55,58.07,39.93,2.36
