crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,广东,huanan,2011,802,183.75,0.535311720698254,0.0991521197007481,0.152069825436409,0.135361596009975,0.0781047381546135,40,75.9265874875198,6.52192513368984,11.1229508196721,32.897186969973,10.73,18.7,429.32,79.52,121.96,108.56,62.64,153.7,22.03
peanut,广东,huanan,2012,966.61,172.17,0.588675887896877,0.103319849784298,0.121827831286662,0.11584817040999,0.0703282606221744,56,65.4167,7.38307210031348,12.3734806629834,33.0670159763973,10.21,15.95,569.02,99.87,117.76,111.98,67.98,165.29,22.44
peanut,广东,huanan,2013,1119.01,177.44,0.611022242875399,0.0980688286967945,0.104753308728251,0.127854085307549,0.0583015343920072,68,74.5682204427597,7.33541927409262,13.4844486333648,31.4768194195423,10.06,15.98,683.74,109.74,117.22,143.07,65.24,187.22,26.18
peanut,广东,huanan,2014,1184.5,185.14,0.651903756859434,0.091169269734065,0.0975348248205994,0.113060363022372,0.0463317855635289,74.4,85,7.49221789883269,14.7003293084523,29.3034293678,10.38,15.42,772.18,107.99,115.53,133.92,54.88,199.48,35.44
peanut,广东,huanan,2015,1185.3,186.13,0.643465789251666,0.0863747574453725,0.104336454905931,0.118526955201215,0.0472960431958154,78,85,7.64811379097093,13.405534351145,26.973136064539,9.78,16.17,762.7,102.38,123.67,140.49,56.06,200.48,19.53
peanut,广东,huanan,2016,1209.5262,182.16,0.631467263793046,0.0863974670412266,0.101353736694583,0.136673351929045,0.0441081805420999,81.4,85,7.26244075829384,16.2706692913386,24.8824171603684,9.38,16.88,763.7762,104.5,122.59,165.31,53.35,172.4,16.83
peanut,广东,huanan,2017,1144.8927,185.07,0.62518758308093,0.089580447145833,0.104140763584221,0.132090981102421,0.0490002250865955,83.1,89.5833,7.45653533458412,15.183734939759,24.5361503691475,8.62,15.99,715.7727,102.56,119.23,151.23,56.1,169.33,17.16
peanut,广东,huanan,2018,1237.11014,178.99,0.630905943427155,0.0864191445395476,0.0938234973969254,0.139413617610474,0.0494377970258978,84.89,96.25,7.45951156812339,16.0586592178771,25.1027566902525,9.2,15.56,780.50014,106.91,116.07,172.47,61.16,181.98,18.75
peanut,广东,huanan,2019,1261.19,185.44,0.601693638547721,0.102546008135174,0.104575837106225,0.136188837526463,0.0549956786844171,86.38,105,7.75823529411765,15.6715328467153,25.0119981343567,8.79,17,758.85,129.33,131.89,171.76,69.36,189.33,19.97
peanut,广东,huanan,2020,1286.49,188.8,0.600533233837807,0.093518021904562,0.104136060132609,0.145294561170316,0.0565181229547062,89.77,107.5,8.20894607843137,17.2276497695853,30.685072475463,8.61,16.32,772.58,120.31,133.97,186.92,72.71,195.52,26.54
