province,year,item,unit,price,n_periods
山东,2021,abc,元/公斤,0.731,40
山东,2022,abc,元/公斤,0.8835,40
山东,2023,abc,元/公斤,0.9,41
山东,2024,abc,元/公斤,0.8968,39
山东,2025,abc,元/公斤,0.785,40
山西,2003,abc,元/公斤,0.3983,9
山西,2004,abc,元/公斤,0.4629,12
山西,2005,abc,元/公斤,0.5571,12
山西,2006,abc,元/公斤,0.5238,36
山西,2007,abc,元/公斤,0.5112,36
山西,2008,abc,元/公斤,0.6671,36
山西,2009,abc,元/公斤,0.7153,36
山西,2010,abc,元/公斤,0.7208,36
山西,2011,abc,元/公斤,0.7479,36
山西,2012,abc,元/公斤,0.8243,36
山西,2013,abc,元/公斤,0.808,35
山西,2014,abc,元/公斤,0.7331,36
山西,2015,abc,元/公斤,0.6833,36
山西,2016,abc,元/公斤,0.5868,36
山西,2017,abc,元/公斤,0.6561,36
山西,2018,abc,元/公斤,0.7338,36
山西,2019,abc,元/公斤,0.7476,36
山西,2020,abc,元/公斤,0.7418,36
山西,2021,abc,元/公斤,0.8152,40
山西,2022,abc,元/公斤,0.9806,40
山西,2023,abc,元/公斤,1.0343,41
山西,2024,abc,元/公斤,0.9923,39
山西,2025,abc,元/公斤,0.8856,40
广东,2003,abc,元/公斤,0.4917,9
广东,2004,abc,元/公斤,0.5573,11
广东,2005,abc,元/公斤,0.5725,12
广东,2006,abc,元/公斤,0.6286,35
广东,2007,abc,元/公斤,0.6529,36
广东,2008,abc,元/公斤,0.82,36
广东,2009,abc,元/公斤,0.7278,36
广东,2010,abc,元/公斤,0.7554,36
广东,2011,abc,元/公斤,0.8647,36
广东,2012,abc,元/公斤,0.9253,36
广东,2013,abc,元/公斤,0.8996,35
广东,2014,abc,元/公斤,0.8833,36
广东,2015,abc,元/公斤,0.92,36
广东,2016,abc,元/公斤,0.9367,36
广东,2017,abc,元/公斤,0.9453,36
广东,2018,abc,元/公斤,0.9672,36
广东,2019,abc,元/公斤,0.975,36
广东,2020,abc,元/公斤,0.95,36
广东,2021,abc,元/公斤,0.9635,40
广东,2022,abc,元/公斤,0.98,40
广东,2023,abc,元/公斤,1.2361,41
广东,2024,abc,元/公斤,1.4,39
广东,2025,abc,元/公斤,1.4,40
广西,2003,abc,元/公斤,0.4321,7
广西,2004,abc,元/公斤,0.5175,12
广西,2005,abc,元/公斤,0.5904,12
广西,2006,abc,元/公斤,0.5414,36
广西,2007,abc,元/公斤,0.5835,36
广西,2008,abc,元/公斤,0.799,36
广西,2009,abc,元/公斤,0.6717,36
广西,2010,abc,元/公斤,0.6394,36
广西,2011,abc,元/公斤,0.8065,36
广西,2012,abc,元/公斤,0.8775,36
广西,2013,abc,元/公斤,0.8139,35
广西,2014,abc,元/公斤,0.8188,36
广西,2015,abc,元/公斤,0.811,36
广西,2016,abc,元/公斤,0.7951,36
广西,2017,abc,元/公斤,0.9093,36
广西,2018,abc,元/公斤,0.9531,36
广西,2019,abc,元/公斤,1.0115,36
广西,2020,abc,元/公斤,1.0467,36
广西,2021,abc,元/公斤,1.1768,40
广西,2022,abc,元/公斤,1.3839,40
广西,2023,abc,元/公斤,1.3528,41
广西,2024,abc,元/公斤,1.3112,39
广西,2025,abc,元/公斤,1.1498,40
新疆,2003,abc,元/公斤,0.6,1
新疆,2004,abc,元/公斤,0.64,6
新疆,2005,abc,元/公斤,0.76,2
新疆,2007,abc,元/公斤,0.7412,8
新疆,2008,abc,元/公斤,0.8667,36
新疆,2009,abc,元/公斤,0.8694,18
新疆,2010,abc,元/公斤,0.9174,23
新疆,2011,abc,元/公斤,0.9961,32
新疆,2012,abc,元/公斤,1.0,36
新疆,2013,abc,元/公斤,1.0283,35
新疆,2014,abc,元/公斤,1.33,36
新疆,2015,abc,元/公斤,1.3079,36
新疆,2016,abc,元/公斤,1.0417,36
新疆,2017,abc,元/公斤,1.4444,36
新疆,2018,abc,元/公斤,1.5,13
江苏,2003,abc,元/公斤,0.4339,9
江苏,2004,abc,元/公斤,0.5517,12
江苏,2005,abc,元/公斤,0.5517,12
江苏,2006,abc,元/公斤,0.5364,36
江苏,2007,abc,元/公斤,0.5508,36
江苏,2008,abc,元/公斤,0.7578,36
江苏,2009,abc,元/公斤,0.6831,36
江苏,2010,abc,元/公斤,0.6783,36
江苏,2011,abc,元/公斤,0.8061,36
江苏,2012,abc,元/公斤,0.8422,36
江苏,2013,abc,元/公斤,0.8446,35
江苏,2014,abc,元/公斤,0.7892,36
江苏,2015,abc,元/公斤,0.7769,36
江苏,2016,abc,元/公斤,0.7375,36
江苏,2017,abc,元/公斤,0.7992,36
江苏,2018,abc,元/公斤,0.8125,36
江苏,2019,abc,元/公斤,0.83,36
江苏,2020,abc,元/公斤,0.83,36
江苏,2021,abc,元/公斤,0.8816,40
江苏,2022,abc,元/公斤,1.067,40
江苏,2023,abc,元/公斤,1.0983,41
江苏,2024,abc,元/公斤,1.0821,39
江苏,2025,abc,元/公斤,0.9395,40
江西,2003,abc,元/公斤,0.4625,6
江西,2004,abc,元/公斤,0.4971,7
江西,2005,abc,元/公斤,0.5346,12
江西,2006,abc,元/公斤,0.4982,36
江西,2007,abc,元/公斤,0.5617,36
江西,2008,abc,元/公斤,0.7694,36
江西,2009,abc,元/公斤,0.6464,36
江西,2010,abc,元/公斤,0.6878,36
江西,2011,abc,元/公斤,0.7868,36
江西,2012,abc,元/公斤,0.8311,36
江西,2013,abc,元/公斤,0.7914,35
江西,2014,abc,元/公斤,0.79,36
江西,2015,abc,元/公斤,0.7919,36
江西,2016,abc,元/公斤,0.8156,36
江西,2017,abc,元/公斤,0.8899,36
江西,2018,abc,元/公斤,1.0314,36
江西,2019,abc,元/公斤,1.0464,36
江西,2020,abc,元/公斤,1.0132,36
江西,2021,abc,元/公斤,1.1356,40
江西,2022,abc,元/公斤,1.3866,40
江西,2023,abc,元/公斤,1.454,41
江西,2024,abc,元/公斤,1.5003,39
江西,2025,abc,元/公斤,1.27,40
河北,2003,abc,元/公斤,0.3514,7
河北,2004,abc,元/公斤,0.4212,8
河北,2005,abc,元/公斤,0.5,12
河北,2006,abc,元/公斤,0.4954,36
河北,2007,abc,元/公斤,0.4906,36
河北,2008,abc,元/公斤,0.6017,36
河北,2009,abc,元/公斤,0.5914,36
河北,2010,abc,元/公斤,0.5947,36
河北,2011,abc,元/公斤,0.7186,36
河北,2012,abc,元/公斤,0.7454,36
河北,2013,abc,元/公斤,0.7057,35
河北,2014,abc,元/公斤,0.69,35
河北,2015,abc,元/公斤,0.6917,36
河北,2016,abc,元/公斤,0.69,36
河北,2017,abc,元/公斤,1.0322,36
河北,2018,abc,元/公斤,0.8162,36
河北,2019,abc,元/公斤,0.69,36
河北,2020,abc,元/公斤,0.69,36
河北,2021,abc,元/公斤,0.69,40
河北,2022,abc,元/公斤,0.69,40
河北,2023,abc,元/公斤,0.69,41
河北,2024,abc,元/公斤,0.69,39
河北,2025,abc,元/公斤,0.69,40
河南,2003,abc,元/公斤,0.3717,9
河南,2004,abc,元/公斤,0.4679,12
河南,2005,abc,元/公斤,0.5,12
河南,2006,abc,元/公斤,0.4988,36
河南,2007,abc,元/公斤,0.5071,36
河南,2008,abc,元/公斤,0.6983,36
河南,2009,abc,元/公斤,0.5883,36
河南,2010,abc,元/公斤,0.5904,36
河南,2011,abc,元/公斤,0.7672,36
河南,2012,abc,元/公斤,0.7825,36
河南,2013,abc,元/公斤,0.7459,35
河南,2014,abc,元/公斤,0.7008,36
河南,2015,abc,元/公斤,0.695,36
河南,2016,abc,元/公斤,0.6208,36
河南,2017,abc,元/公斤,0.676,36
河南,2018,abc,元/公斤,0.7832,36
河南,2019,abc,元/公斤,0.81,36
河南,2020,abc,元/公斤,0.81,36
河南,2021,abc,元/公斤,0.8258,40
河南,2022,abc,元/公斤,0.9725,40
河南,2023,abc,元/公斤,1.0,41
河南,2024,abc,元/公斤,1.0,39
河南,2025,abc,元/公斤,1.0,40
浙江,2003,abc,元/公斤,0.4533,9
浙江,2004,abc,元/公斤,0.5729,12
浙江,2005,abc,元/公斤,0.6075,10
浙江,2006,abc,元/公斤,0.5843,36
浙江,2007,abc,元/公斤,0.605,36
浙江,2008,abc,元/公斤,0.8094,36
浙江,2009,abc,元/公斤,0.7372,36
浙江,2010,abc,元/公斤,0.7439,36
浙江,2011,abc,元/公斤,0.8681,36
浙江,2012,abc,元/公斤,0.8706,36
浙江,2013,abc,元/公斤,0.844,35
浙江,2014,abc,元/公斤,0.8,36
浙江,2015,abc,元/公斤,0.8833,36
浙江,2016,abc,元/公斤,0.9,36
浙江,2017,abc,元/公斤,0.9689,36
浙江,2018,abc,元/公斤,1.0028,36
浙江,2019,abc,元/公斤,1.0003,36
浙江,2020,abc,元/公斤,1.0,36
浙江,2021,abc,元/公斤,1.165,40
浙江,2022,abc,元/公斤,1.415,40
浙江,2023,abc,元/公斤,1.3463,41
浙江,2024,abc,元/公斤,1.2782,39
浙江,2025,abc,元/公斤,1.2,40
湖北,2003,abc,元/公斤,0.4061,9
湖北,2004,abc,元/公斤,0.4558,12
湖北,2005,abc,元/公斤,0.54,11
湖北,2006,abc,元/公斤,0.5103,36
湖北,2007,abc,元/公斤,0.5286,36
湖北,2008,abc,元/公斤,0.7406,36
湖北,2009,abc,元/公斤,0.6311,36
湖北,2010,abc,元/公斤,0.6501,36
湖北,2011,abc,元/公斤,0.7832,36
湖北,2012,abc,元/公斤,0.8006,36
湖北,2013,abc,元/公斤,0.757,35
湖北,2014,abc,元/公斤,0.6908,36
湖北,2015,abc,元/公斤,0.6683,36
湖北,2016,abc,元/公斤,0.6754,36
湖北,2017,abc,元/公斤,0.7429,36
湖北,2018,abc,元/公斤,0.7954,36
湖北,2019,abc,元/公斤,0.8067,36
湖北,2020,abc,元/公斤,0.8126,36
湖北,2021,abc,元/公斤,0.9012,40
湖北,2022,abc,元/公斤,1.1381,40
湖北,2023,abc,元/公斤,1.1541,41
湖北,2024,abc,元/公斤,1.0157,39
湖北,2025,abc,元/公斤,0.9594,40
湖南,2003,abc,元/公斤,0.4167,9
湖南,2004,abc,元/公斤,0.4804,12
湖南,2005,abc,元/公斤,0.5408,12
湖南,2006,abc,元/公斤,0.4837,35
湖南,2007,abc,元/公斤,0.5081,36
湖南,2008,abc,元/公斤,0.7194,36
湖南,2009,abc,元/公斤,0.5672,36
湖南,2010,abc,元/公斤,0.5967,36
湖南,2011,abc,元/公斤,0.7701,36
湖南,2012,abc,元/公斤,0.8092,36
湖南,2013,abc,元/公斤,0.7376,35
湖南,2014,abc,元/公斤,0.6858,36
湖南,2015,abc,元/公斤,0.6912,36
湖南,2016,abc,元/公斤,0.6999,36
湖南,2017,abc,元/公斤,0.8185,36
湖南,2018,abc,元/公斤,0.8447,36
湖南,2019,abc,元/公斤,0.8611,36
湖南,2020,abc,元/公斤,0.8739,36
湖南,2021,abc,元/公斤,0.9419,40
湖南,2022,abc,元/公斤,1.1775,40
湖南,2023,abc,元/公斤,1.2061,41
湖南,2024,abc,元/公斤,1.2,39
湖南,2025,abc,元/公斤,1.0285,40
甘肃,2003,abc,元/公斤,0.4311,9
甘肃,2004,abc,元/公斤,0.5258,12
甘肃,2005,abc,元/公斤,0.5658,12
甘肃,2006,abc,元/公斤,0.5287,35
甘肃,2007,abc,元/公斤,0.5301,36
甘肃,2008,abc,元/公斤,0.7807,35
甘肃,2009,abc,元/公斤,0.7122,36
甘肃,2010,abc,元/公斤,0.6769,36
甘肃,2011,abc,元/公斤,0.8467,36
甘肃,2012,abc,元/公斤,0.9075,36
甘肃,2013,abc,元/公斤,0.8884,35
甘肃,2014,abc,元/公斤,0.8614,36
甘肃,2015,abc,元/公斤,0.8232,36
甘肃,2016,abc,元/公斤,0.8349,36
甘肃,2017,abc,元/公斤,0.8376,36
甘肃,2018,abc,元/公斤,0.874,36
甘肃,2019,abc,元/公斤,0.9146,36
甘肃,2020,abc,元/公斤,0.9133,36
甘肃,2021,abc,元/公斤,0.9706,40
甘肃,2022,abc,元/公斤,1.1114,40
甘肃,2023,abc,元/公斤,1.1815,41
甘肃,2024,abc,元/公斤,1.0382,39
甘肃,2025,abc,元/公斤,0.9965,40
福建,2003,abc,元/公斤,0.4471,7
福建,2004,abc,元/公斤,0.51,12
福建,2005,abc,元/公斤,0.58,12
福建,2006,abc,元/公斤,0.5647,36
福建,2007,abc,元/公斤,0.6117,36
福建,2008,abc,元/公斤,0.7922,36
福建,2009,abc,元/公斤,0.6744,36
福建,2010,abc,元/公斤,0.6844,36
福建,2011,abc,元/公斤,0.8372,36
福建,2012,abc,元/公斤,0.8708,36
福建,2013,abc,元/公斤,0.8246,35
福建,2014,abc,元/公斤,0.8233,36
福建,2015,abc,元/公斤,0.8442,36
福建,2016,abc,元/公斤,0.8222,36
福建,2017,abc,元/公斤,0.9128,36
福建,2018,abc,元/公斤,0.9478,36
福建,2019,abc,元/公斤,0.9806,36
福建,2020,abc,元/公斤,0.9731,36
福建,2021,abc,元/公斤,1.0412,40
福建,2022,abc,元/公斤,1.29,40
福建,2023,abc,元/公斤,1.2573,41
福建,2024,abc,元/公斤,1.1821,39
福建,2025,abc,元/公斤,1.0775,40
贵州,2003,abc,元/公斤,0.4408,6
贵州,2004,abc,元/公斤,0.4845,10
贵州,2005,abc,元/公斤,0.585,12
贵州,2006,abc,元/公斤,0.5785,36
贵州,2007,abc,元/公斤,0.5561,36
贵州,2008,abc,元/公斤,0.7144,36
贵州,2009,abc,元/公斤,0.6968,36
贵州,2010,abc,元/公斤,0.6606,36
贵州,2011,abc,元/公斤,0.8028,36
贵州,2012,abc,元/公斤,0.8856,36
贵州,2013,abc,元/公斤,0.8754,35
贵州,2014,abc,元/公斤,0.8756,36
贵州,2015,abc,元/公斤,0.87,36
贵州,2016,abc,元/公斤,0.8822,36
贵州,2017,abc,元/公斤,0.8835,36
贵州,2018,abc,元/公斤,1.0504,36
贵州,2019,abc,元/公斤,1.1632,36
贵州,2020,abc,元/公斤,1.0803,36
贵州,2021,abc,元/公斤,1.0781,40
贵州,2022,abc,元/公斤,1.2144,40
贵州,2023,abc,元/公斤,1.4146,41
贵州,2024,abc,元/公斤,1.3345,39
贵州,2025,abc,元/公斤,1.1711,40
辽宁,2003,abc,元/公斤,0.4039,9
辽宁,2004,abc,元/公斤,0.4783,12
辽宁,2005,abc,元/公斤,0.6418,11
辽宁,2006,abc,元/公斤,0.6058,36
辽宁,2007,abc,元/公斤,0.5996,36
辽宁,2008,abc,元/公斤,0.7153,36
辽宁,2009,abc,元/公斤,0.6499,36
辽宁,2010,abc,元/公斤,0.6808,36
辽宁,2011,abc,元/公斤,0.8017,36
辽宁,2012,abc,元/公斤,0.8681,36
辽宁,2013,abc,元/公斤,0.8666,35
辽宁,2014,abc,元/公斤,0.8367,36
辽宁,2015,abc,元/公斤,0.8294,36
辽宁,2016,abc,元/公斤,0.83,36
辽宁,2017,abc,元/公斤,0.8353,36
辽宁,2018,abc,元/公斤,0.87,22
重庆,2003,abc,元/公斤,0.44,8
重庆,2004,abc,元/公斤,0.5125,12
重庆,2005,abc,元/公斤,0.62,11
重庆,2006,abc,元/公斤,0.549,36
重庆,2007,abc,元/公斤,0.6107,36
重庆,2008,abc,元/公斤,0.8236,36
重庆,2009,abc,元/公斤,0.7692,36
重庆,2010,abc,元/公斤,0.7664,36
重庆,2011,abc,元/公斤,0.8972,36
重庆,2012,abc,元/公斤,0.9206,36
重庆,2013,abc,元/公斤,0.8856,35
重庆,2014,abc,元/公斤,0.809,36
重庆,2015,abc,元/公斤,0.8535,36
重庆,2016,abc,元/公斤,0.8722,36
重庆,2017,abc,元/公斤,1.0046,36
重庆,2018,abc,元/公斤,1.1188,36
重庆,2019,abc,元/公斤,1.15,36
重庆,2020,abc,元/公斤,1.1833,36
重庆,2021,abc,元/公斤,1.1891,40
重庆,2022,abc,元/公斤,1.2806,40
重庆,2023,abc,元/公斤,1.3788,41
重庆,2024,abc,元/公斤,1.3734,39
重庆,2025,abc,元/公斤,1.3078,40
陕西,2003,abc,元/公斤,0.4089,9
陕西,2004,abc,元/公斤,0.4658,12
陕西,2005,abc,元/公斤,0.5792,12
陕西,2006,abc,元/公斤,0.4996,36
陕西,2007,abc,元/公斤,0.5106,36
陕西,2008,abc,元/公斤,0.7079,36
陕西,2009,abc,元/公斤,0.6592,36
陕西,2010,abc,元/公斤,0.6564,36
陕西,2011,abc,元/公斤,0.7664,36
陕西,2012,abc,元/公斤,0.7906,36
陕西,2013,abc,元/公斤,0.746,35
陕西,2014,abc,元/公斤,0.6831,36
陕西,2015,abc,元/公斤,0.6892,36
陕西,2016,abc,元/公斤,0.676,36
陕西,2017,abc,元/公斤,0.6919,36
陕西,2018,abc,元/公斤,0.7733,36
陕西,2019,abc,元/公斤,0.7707,36
陕西,2020,abc,元/公斤,0.7336,36
陕西,2021,abc,元/公斤,0.8331,40
陕西,2022,abc,元/公斤,1.0971,40
陕西,2023,abc,元/公斤,1.0916,41
陕西,2024,abc,元/公斤,0.9378,39
陕西,2025,abc,元/公斤,0.7434,40
青海,2006,abc,元/公斤,0.6008,36
青海,2007,abc,元/公斤,0.6058,36
青海,2008,abc,元/公斤,0.8017,36
青海,2009,abc,元/公斤,0.9212,36
青海,2010,abc,元/公斤,0.9225,36
青海,2011,abc,元/公斤,0.9119,36
青海,2012,abc,元/公斤,1.0339,36
青海,2013,abc,元/公斤,0.9966,35
青海,2014,abc,元/公斤,0.9667,36
青海,2015,abc,元/公斤,0.9539,36
青海,2016,abc,元/公斤,0.9903,36
青海,2017,abc,元/公斤,1.0694,36
青海,2018,abc,元/公斤,1.1264,36
青海,2019,abc,元/公斤,1.1,36
青海,2020,abc,元/公斤,1.0632,36
青海,2021,abc,元/公斤,1.2562,40
青海,2022,abc,元/公斤,1.3206,40
青海,2023,abc,元/公斤,1.325,41
青海,2024,abc,元/公斤,1.325,39
青海,2025,abc,元/公斤,1.2156,40
黑龙江,2003,abc,元/公斤,0.4789,9
黑龙江,2004,abc,元/公斤,0.495,12
黑龙江,2005,abc,元/公斤,0.5728,9
黑龙江,2006,abc,元/公斤,0.55,36
黑龙江,2007,abc,元/公斤,0.5464,36
黑龙江,2008,abc,元/公斤,0.5968,36
黑龙江,2009,abc,元/公斤,0.6319,36
黑龙江,2010,abc,元/公斤,0.6625,36
黑龙江,2011,abc,元/公斤,0.6708,36
黑龙江,2012,abc,元/公斤,0.6944,36
黑龙江,2013,abc,元/公斤,0.7195,32
云南,2003,chlorpyrifos,元/500克,14.895,3
云南,2004,chlorpyrifos,元/500克,18.29,2
云南,2007,chlorpyrifos,元/500克,22.25,6
云南,2008,chlorpyrifos,元/500克,22.4444,36
云南,2009,chlorpyrifos,元/500克,22.7083,36
云南,2010,chlorpyrifos,元/500克,23.4167,36
云南,2011,chlorpyrifos,元/500克,28.1354,36
云南,2012,chlorpyrifos,元/500克,23.1389,36
云南,2013,chlorpyrifos,元/500克,21.4394,33
云南,2016,chlorpyrifos,元/500克,36.7361,36
云南,2017,chlorpyrifos,元/500克,37.5,36
云南,2018,chlorpyrifos,元/500克,37.5,36
云南,2019,chlorpyrifos,元/500克,37.5,36
云南,2020,chlorpyrifos,元/500克,37.475,36
云南,2021,chlorpyrifos,元/500克,37.5,40
云南,2022,chlorpyrifos,元/500克,38.4,40
云南,2023,chlorpyrifos,元/500克,39.5,41
云南,2024,chlorpyrifos,元/500克,39.5,39
云南,2025,chlorpyrifos,元/500克,39.5,40
内蒙古,2003,chlorpyrifos,元/500克,11.3333,9
内蒙古,2004,chlorpyrifos,元/500克,10.375,12
内蒙古,2007,chlorpyrifos,元/500克,16.0,6
内蒙古,2008,chlorpyrifos,元/500克,21.1875,36
内蒙古,2009,chlorpyrifos,元/500克,18.5694,36
内蒙古,2010,chlorpyrifos,元/500克,15.9722,36
内蒙古,2011,chlorpyrifos,元/500克,18.3333,36
内蒙古,2012,chlorpyrifos,元/500克,23.3583,36
内蒙古,2013,chlorpyrifos,元/500克,24.65,33
内蒙古,2016,chlorpyrifos,元/500克,24.9583,36
内蒙古,2017,chlorpyrifos,元/500克,24.7569,36
内蒙古,2018,chlorpyrifos,元/500克,25.4236,36
内蒙古,2019,chlorpyrifos,元/500克,27.4375,36
内蒙古,2020,chlorpyrifos,元/500克,26.1667,36
内蒙古,2021,chlorpyrifos,元/500克,25.4188,40
内蒙古,2022,chlorpyrifos,元/500克,25.925,40
内蒙古,2023,chlorpyrifos,元/500克,23.5305,41
内蒙古,2024,chlorpyrifos,元/500克,23.0385,39
内蒙古,2025,chlorpyrifos,元/500克,24.25,40
吉林,2003,chlorpyrifos,元/500克,10.3111,9
吉林,2004,chlorpyrifos,元/500克,8.67,3
吉林,2008,chlorpyrifos,元/500克,8.0,3
吉林,2009,chlorpyrifos,元/500克,8.0,36
吉林,2010,chlorpyrifos,元/500克,8.0,12
吉林,2016,chlorpyrifos,元/500克,21.4514,36
吉林,2017,chlorpyrifos,元/500克,21.3472,36
吉林,2018,chlorpyrifos,元/500克,23.2639,36
吉林,2019,chlorpyrifos,元/500克,21.25,36
吉林,2020,chlorpyrifos,元/500克,20.8611,36
吉林,2021,chlorpyrifos,元/500克,21.95,40
吉林,2022,chlorpyrifos,元/500克,30.3938,40
