province_std,county_std,town_std,镇代码,区县代码,省,区县名称,镇
北京,朝阳区,左家庄街道,110105005,110105,北京市,朝阳区,左家庄街道
北京,朝阳区,香河园街道,110105006,110105,北京市,朝阳区,香河园街道
北京,朝阳区,和平街街道,110105007,110105,北京市,朝阳区,和平街街道
北京,朝阳区,安贞街道,110105008,110105,北京市,朝阳区,安贞街道
北京,朝阳区,亚运村街道,110105009,110105,北京市,朝阳区,亚运村街道
北京,朝阳区,小关街道,110105010,110105,北京市,朝阳区,小关街道
北京,朝阳区,酒仙桥街道,110105011,110105,北京市,朝阳区,酒仙桥街道
北京,朝阳区,麦子店街道,110105012,110105,北京市,朝阳区,麦子店街道
北京,朝阳区,团结湖街道,110105013,110105,北京市,朝阳区,团结湖街道
北京,朝阳区,六里屯街道,110105014,110105,北京市,朝阳区,六里屯街道
北京,朝阳区,八里庄街道,110105015,110105,北京市,朝阳区,八里庄街道
北京,朝阳区,双井街道,110105016,110105,北京市,朝阳区,双井街道
北京,朝阳区,劲松街道,110105017,110105,北京市,朝阳区,劲松街道
北京,朝阳区,潘家园街道,110105018,110105,北京市,朝阳区,潘家园街道
北京,朝阳区,垡头街道,110105019,110105,北京市,朝阳区,垡头街道
北京,朝阳区,首都机场街道,110105020,110105,北京市,朝阳区,首都机场街道
北京,朝阳区,南磨房地区,110105021,110105,北京市,朝阳区,南磨房地区
北京,朝阳区,高碑店地区,110105022,110105,北京市,朝阳区,高碑店地区
北京,朝阳区,将台地区,110105023,110105,北京市,朝阳区,将台地区
北京,朝阳区,太阳宫地区,110105024,110105,北京市,朝阳区,太阳宫地区
北京,朝阳区,大屯街道,110105025,110105,北京市,朝阳区,大屯街道
北京,朝阳区,望京街道,110105026,110105,北京市,朝阳区,望京街道
北京,朝阳区,小红门地区,110105027,110105,北京市,朝阳区,小红门地区
北京,朝阳区,十八里店地区,110105028,110105,北京市,朝阳区,十八里店地区
北京,朝阳区,平房地区,110105029,110105,北京市,朝阳区,平房地区
北京,朝阳区,东风地区,110105030,110105,北京市,朝阳区,东风地区
北京,朝阳区,奥运村街道,110105031,110105,北京市,朝阳区,奥运村街道
北京,朝阳区,来广营地区,110105032,110105,北京市,朝阳区,来广营地区
北京,朝阳区,常营地区,110105033,110105,北京市,朝阳区,常营地区
北京,朝阳区,三间房地区,110105034,110105,北京市,朝阳区,三间房地区
北京,朝阳区,管庄地区,110105035,110105,北京市,朝阳区,管庄地区
北京,朝阳区,金盏地区,110105036,110105,北京市,朝阳区,金盏地区
北京,朝阳区,孙河地区,110105037,110105,北京市,朝阳区,孙河地区
北京,朝阳区,崔各庄地区,110105038,110105,北京市,朝阳区,崔各庄地区
北京,朝阳区,东坝地区,110105039,110105,北京市,朝阳区,东坝地区
北京,朝阳区,黑庄户地区,110105040,110105,北京市,朝阳区,黑庄户地区
北京,朝阳区,豆各庄地区,110105041,110105,北京市,朝阳区,豆各庄地区
北京,朝阳区,王四营地区,110105042,110105,北京市,朝阳区,王四营地区
北京,朝阳区,东湖街道,110105043,110105,北京市,朝阳区,东湖街道
北京,丰台区,右安门街道,110106001,110106,北京市,丰台区,右安门街道
北京,丰台区,太平桥街道,110106002,110106,北京市,丰台区,太平桥街道
北京,丰台区,西罗园街道,110106003,110106,北京市,丰台区,西罗园街道
北京,丰台区,大红门街道,110106004,110106,北京市,丰台区,大红门街道
北京,丰台区,南苑街道,110106005,110106,北京市,丰台区,南苑街道
北京,丰台区,东高地街道,110106006,110106,北京市,丰台区,东高地街道
北京,丰台区,东铁匠营街道,110106007,110106,北京市,丰台区,东铁匠营街道
北京,丰台区,六里桥街道,110106008,110106,北京市,丰台区,六里桥街道
北京,丰台区,丰台街道,110106009,110106,北京市,丰台区,丰台街道
北京,丰台区,新村街道,110106010,110106,北京市,丰台区,新村街道
北京,丰台区,长辛店街道,110106011,110106,北京市,丰台区,长辛店街道
北京,丰台区,云岗街道,110106012,110106,北京市,丰台区,云岗街道
北京,丰台区,方庄街道,110106013,110106,北京市,丰台区,方庄街道
北京,丰台区,宛平街道,110106014,110106,北京市,丰台区,宛平街道
北京,丰台区,马家堡街道,110106015,110106,北京市,丰台区,马家堡街道
北京,丰台区,和义街道,110106016,110106,北京市,丰台区,和义街道
北京,丰台区,卢沟桥街道,110106017,110106,北京市,丰台区,卢沟桥街道
北京,丰台区,花乡街道,110106018,110106,北京市,丰台区,花乡街道
北京,丰台区,成寿寺街道,110106020,110106,北京市,丰台区,成寿寺街道
北京,丰台区,石榴庄街道,110106021,110106,北京市,丰台区,石榴庄街道
北京,丰台区,玉泉营街道,110106022,110106,北京市,丰台区,玉泉营街道
北京,丰台区,看丹街道,110106023,110106,北京市,丰台区,看丹街道
北京,丰台区,五里店街道,110106024,110106,北京市,丰台区,五里店街道
北京,丰台区,青塔街道,110106025,110106,北京市,丰台区,青塔街道
北京,丰台区,北宫镇,110106100,110106,北京市,丰台区,北宫镇
北京,丰台区,王佐镇,110106101,110106,北京市,丰台区,王佐镇
北京,石景山区,八宝山街道,110107001,110107,北京市,石景山区,八宝山街道
北京,石景山区,老山街道,110107002,110107,北京市,石景山区,老山街道
北京,石景山区,八角街道,110107003,110107,北京市,石景山区,八角街道
北京,石景山区,古城街道,110107004,110107,北京市,石景山区,古城街道
北京,石景山区,苹果园街道,110107005,110107,北京市,石景山区,苹果园街道
北京,石景山区,金顶街街道,110107006,110107,北京市,石景山区,金顶街街道
北京,石景山区,广宁街道,110107009,110107,北京市,石景山区,广宁街道
北京,石景山区,五里坨街道,110107010,110107,北京市,石景山区,五里坨街道
北京,石景山区,鲁谷街道,110107011,110107,北京市,石景山区,鲁谷街道
北京,海淀区,万寿路街道,110108001,110108,北京市,海淀区,万寿路街道
北京,海淀区,永定路街道,110108002,110108,北京市,海淀区,永定路街道
北京,海淀区,羊坊店街道,110108003,110108,北京市,海淀区,羊坊店街道
北京,海淀区,甘家口街道,110108004,110108,北京市,海淀区,甘家口街道
北京,海淀区,八里庄街道,110108005,110108,北京市,海淀区,八里庄街道
北京,海淀区,紫竹院街道,110108006,110108,北京市,海淀区,紫竹院街道
北京,海淀区,北下关街道,110108007,110108,北京市,海淀区,北下关街道
北京,海淀区,北太平庄街道,110108008,110108,北京市,海淀区,北太平庄街道
北京,海淀区,学院路街道,110108010,110108,北京市,海淀区,学院路街道
北京,海淀区,中关村街道,110108011,110108,北京市,海淀区,中关村街道
北京,海淀区,海淀街道,110108012,110108,北京市,海淀区,海淀街道
北京,海淀区,青龙桥街道,110108013,110108,北京市,海淀区,青龙桥街道
北京,海淀区,清华园街道,110108014,110108,北京市,海淀区,清华园街道
北京,海淀区,燕园街道,110108015,110108,北京市,海淀区,燕园街道
北京,海淀区,香山街道,110108016,110108,北京市,海淀区,香山街道
北京,海淀区,清河街道,110108017,110108,北京市,海淀区,清河街道
北京,海淀区,花园路街道,110108018,110108,北京市,海淀区,花园路街道
北京,海淀区,西三旗街道,110108019,110108,北京市,海淀区,西三旗街道
北京,海淀区,马连洼街道,110108020,110108,北京市,海淀区,马连洼街道
北京,海淀区,田村路街道,110108021,110108,北京市,海淀区,田村路街道
北京,海淀区,上地街道,110108022,110108,北京市,海淀区,上地街道
北京,海淀区,万柳地区,110108023,110108,北京市,海淀区,万柳地区
北京,海淀区,东升地区,110108024,110108,北京市,海淀区,东升地区
北京,海淀区,曙光街道,110108025,110108,北京市,海淀区,曙光街道
北京,海淀区,温泉地区,110108026,110108,北京市,海淀区,温泉地区
北京,海淀区,四季青地区,110108027,110108,北京市,海淀区,四季青地区
北京,海淀区,西北旺地区,110108028,110108,北京市,海淀区,西北旺地区
北京,海淀区,苏家坨地区,110108029,110108,北京市,海淀区,苏家坨地区
北京,海淀区,上庄地区,110108030,110108,北京市,海淀区,上庄地区
北京,门头沟区,大峪街道,110109001,110109,北京市,门头沟区,大峪街道
北京,门头沟区,城子街道,110109002,110109,北京市,门头沟区,城子街道
北京,门头沟区,东辛房街道,110109003,110109,北京市,门头沟区,东辛房街道
北京,门头沟区,大台街道,110109004,110109,北京市,门头沟区,大台街道
北京,门头沟区,王平地区,110109005,110109,北京市,门头沟区,王平地区
北京,门头沟区,永定地区,110109006,110109,北京市,门头沟区,永定地区
北京,门头沟区,龙泉地区,110109007,110109,北京市,门头沟区,龙泉地区
北京,门头沟区,潭柘寺镇,110109101,110109,北京市,门头沟区,潭柘寺镇
北京,门头沟区,军庄镇,110109104,110109,北京市,门头沟区,军庄镇
北京,门头沟区,雁翅镇,110109105,110109,北京市,门头沟区,雁翅镇
北京,门头沟区,斋堂镇,110109106,110109,北京市,门头沟区,斋堂镇
北京,门头沟区,清水镇,110109107,110109,北京市,门头沟区,清水镇
北京,门头沟区,妙峰山镇,110109108,110109,北京市,门头沟区,妙峰山镇
北京,房山区,城关街道,110111001,110111,北京市,房山区,城关街道
北京,房山区,新镇街道,110111002,110111,北京市,房山区,新镇街道
北京,房山区,向阳街道,110111004,110111,北京市,房山区,向阳街道
北京,房山区,东风街道,110111005,110111,北京市,房山区,东风街道
北京,房山区,迎风街道,110111006,110111,北京市,房山区,迎风街道
北京,房山区,星城街道,110111007,110111,北京市,房山区,星城街道
北京,房山区,良乡地区,110111008,110111,北京市,房山区,良乡地区
北京,房山区,周口店地区,110111009,110111,北京市,房山区,周口店地区
北京,房山区,琉璃河地区,110111010,110111,北京市,房山区,琉璃河地区
北京,房山区,拱辰街道,110111011,110111,北京市,房山区,拱辰街道
北京,房山区,西潞街道,110111012,110111,北京市,房山区,西潞街道
北京,房山区,阎村镇,110111101,110111,北京市,房山区,阎村镇
北京,房山区,窦店镇,110111103,110111,北京市,房山区,窦店镇
北京,房山区,石楼镇,110111104,110111,北京市,房山区,石楼镇
北京,房山区,长阳镇,110111105,110111,北京市,房山区,长阳镇
北京,房山区,河北镇,110111107,110111,北京市,房山区,河北镇
北京,房山区,长沟镇,110111108,110111,北京市,房山区,长沟镇
北京,房山区,大石窝镇,110111109,110111,北京市,房山区,大石窝镇
北京,房山区,张坊镇,110111110,110111,北京市,房山区,张坊镇
北京,房山区,十渡镇,110111111,110111,北京市,房山区,十渡镇
北京,房山区,青龙湖镇,110111112,110111,北京市,房山区,青龙湖镇
北京,房山区,韩村河镇,110111115,110111,北京市,房山区,韩村河镇
北京,房山区,霞云岭乡,110111208,110111,北京市,房山区,霞云岭乡
北京,房山区,南窖乡,110111209,110111,北京市,房山区,南窖乡
北京,房山区,佛子庄乡,110111210,110111,北京市,房山区,佛子庄乡
北京,房山区,大安山乡,110111211,110111,北京市,房山区,大安山乡
北京,房山区,史家营乡,110111212,110111,北京市,房山区,史家营乡
北京,房山区,蒲洼乡,110111213,110111,北京市,房山区,蒲洼乡
北京,通州区,中仓街道,110112001,110112,北京市,通州区,中仓街道
北京,通州区,新华街道,110112002,110112,北京市,通州区,新华街道
北京,通州区,北苑街道,110112003,110112,北京市,通州区,北苑街道
北京,通州区,玉桥街道,110112004,110112,北京市,通州区,玉桥街道
北京,通州区,潞源街道,110112007,110112,北京市,通州区,潞源街道
北京,通州区,通运街道,110112008,110112,北京市,通州区,通运街道
北京,通州区,文景街道,110112009,110112,北京市,通州区,文景街道
北京,通州区,九棵树街道,110112010,110112,北京市,通州区,九棵树街道
北京,通州区,临河里街道,110112011,110112,北京市,通州区,临河里街道
北京,通州区,杨庄街道,110112012,110112,北京市,通州区,杨庄街道
北京,通州区,潞邑街道,110112013,110112,北京市,通州区,潞邑街道
北京,通州区,宋庄镇,110112104,110112,北京市,通州区,宋庄镇
北京,通州区,张家湾镇,110112105,110112,北京市,通州区,张家湾镇
北京,通州区,漷县镇,110112106,110112,北京市,通州区,漷县镇
北京,通州区,马驹桥镇,110112109,110112,北京市,通州区,马驹桥镇
北京,通州区,西集镇,110112110,110112,北京市,通州区,西集镇
北京,通州区,台湖镇,110112114,110112,北京市,通州区,台湖镇
北京,通州区,永乐店镇,110112117,110112,北京市,通州区,永乐店镇
北京,通州区,潞城镇,110112119,110112,北京市,通州区,潞城镇
北京,通州区,永顺镇,110112120,110112,北京市,通州区,永顺镇
北京,通州区,梨园镇,110112121,110112,北京市,通州区,梨园镇
北京,通州区,于家务回族乡,110112209,110112,北京市,通州区,于家务回族乡
北京,顺义区,胜利街道,110113001,110113,北京市,顺义区,胜利街道
北京,顺义区,光明街道,110113002,110113,北京市,顺义区,光明街道
北京,顺义区,仁和地区,110113003,110113,北京市,顺义区,仁和地区
北京,顺义区,后沙峪地区,110113004,110113,北京市,顺义区,后沙峪地区
北京,顺义区,天竺地区,110113005,110113,北京市,顺义区,天竺地区
北京,顺义区,杨镇地区,110113006,110113,北京市,顺义区,杨镇地区
北京,顺义区,牛栏山地区,110113007,110113,北京市,顺义区,牛栏山地区
北京,顺义区,南法信地区,110113008,110113,北京市,顺义区,南法信地区
北京,顺义区,马坡地区,110113009,110113,北京市,顺义区,马坡地区
北京,顺义区,石园街道,110113010,110113,北京市,顺义区,石园街道
北京,顺义区,空港街道,110113011,110113,北京市,顺义区,空港街道
北京,顺义区,双丰街道,110113012,110113,北京市,顺义区,双丰街道
北京,顺义区,旺泉街道,110113013,110113,北京市,顺义区,旺泉街道
北京,顺义区,高丽营镇,110113101,110113,北京市,顺义区,高丽营镇
北京,顺义区,李桥镇,110113104,110113,北京市,顺义区,李桥镇
北京,顺义区,李遂镇,110113105,110113,北京市,顺义区,李遂镇
北京,顺义区,南彩镇,110113106,110113,北京市,顺义区,南彩镇
北京,顺义区,北务镇,110113108,110113,北京市,顺义区,北务镇
北京,顺义区,大孙各庄镇,110113109,110113,北京市,顺义区,大孙各庄镇
北京,顺义区,张镇,110113110,110113,北京市,顺义区,张镇
北京,顺义区,龙湾屯镇,110113111,110113,北京市,顺义区,龙湾屯镇
北京,顺义区,木林镇,110113112,110113,北京市,顺义区,木林镇
北京,顺义区,北小营镇,110113113,110113,北京市,顺义区,北小营镇
北京,顺义区,北石槽镇,110113115,110113,北京市,顺义区,北石槽镇
北京,顺义区,赵全营镇,110113116,110113,北京市,顺义区,赵全营镇
北京,昌平区,城北街道,110114001,110114,北京市,昌平区,城北街道
北京,昌平区,南口地区,110114002,110114,北京市,昌平区,南口地区
北京,昌平区,马池口地区,110114003,110114,北京市,昌平区,马池口地区
北京,昌平区,沙河地区,110114004,110114,北京市,昌平区,沙河地区
北京,昌平区,城南街道,110114005,110114,北京市,昌平区,城南街道
北京,昌平区,东小口地区,110114007,110114,北京市,昌平区,东小口地区
北京,昌平区,天通苑北街道,110114008,110114,北京市,昌平区,天通苑北街道
北京,昌平区,天通苑南街道,110114009,110114,北京市,昌平区,天通苑南街道
北京,昌平区,霍营街道,110114010,110114,北京市,昌平区,霍营街道
北京,昌平区,回龙观街道,110114011,110114,北京市,昌平区,回龙观街道
北京,昌平区,龙泽园街道,110114012,110114,北京市,昌平区,龙泽园街道
北京,昌平区,史各庄街道,110114013,110114,北京市,昌平区,史各庄街道
北京,昌平区,阳坊镇,110114104,110114,北京市,昌平区,阳坊镇
北京,昌平区,小汤山镇,110114110,110114,北京市,昌平区,小汤山镇
北京,昌平区,南邵镇,110114111,110114,北京市,昌平区,南邵镇
北京,昌平区,崔村镇,110114112,110114,北京市,昌平区,崔村镇
北京,昌平区,百善镇,110114113,110114,北京市,昌平区,百善镇
北京,昌平区,北七家镇,110114115,110114,北京市,昌平区,北七家镇
北京,昌平区,兴寿镇,110114116,110114,北京市,昌平区,兴寿镇
北京,昌平区,流村镇,110114118,110114,北京市,昌平区,流村镇
北京,昌平区,十三陵镇,110114119,110114,北京市,昌平区,十三陵镇
北京,昌平区,延寿镇,110114120,110114,北京市,昌平区,延寿镇
北京,大兴区,兴丰街道,110115001,110115,北京市,大兴区,兴丰街道
北京,大兴区,林校路街道,110115002,110115,北京市,大兴区,林校路街道
北京,大兴区,清源街道,110115003,110115,北京市,大兴区,清源街道
北京,大兴区,亦庄地区,110115004,110115,北京市,大兴区,亦庄地区
北京,大兴区,黄村地区,110115005,110115,北京市,大兴区,黄村地区
北京,大兴区,旧宫地区,110115006,110115,北京市,大兴区,旧宫地区
北京,大兴区,西红门地区,110115007,110115,北京市,大兴区,西红门地区
北京,大兴区,瀛海地区,110115008,110115,北京市,大兴区,瀛海地区
北京,大兴区,观音寺街道,110115009,110115,北京市,大兴区,观音寺街道
北京,大兴区,天宫院街道,110115010,110115,北京市,大兴区,天宫院街道
北京,大兴区,高米店街道,110115011,110115,北京市,大兴区,高米店街道
北京,大兴区,荣华街道,110115012,110115,北京市,大兴区,荣华街道
北京,大兴区,博兴街道,110115013,110115,北京市,大兴区,博兴街道
北京,大兴区,青云店镇,110115103,110115,北京市,大兴区,青云店镇
北京,大兴区,采育镇,110115104,110115,北京市,大兴区,采育镇
北京,大兴区,安定镇,110115105,110115,北京市,大兴区,安定镇
北京,大兴区,礼贤镇,110115106,110115,北京市,大兴区,礼贤镇
北京,大兴区,榆垡镇,110115107,110115,北京市,大兴区,榆垡镇
北京,大兴区,庞各庄镇,110115108,110115,北京市,大兴区,庞各庄镇
北京,大兴区,北臧村镇,110115109,110115,北京市,大兴区,北臧村镇
北京,大兴区,魏善庄镇,110115110,110115,北京市,大兴区,魏善庄镇
北京,大兴区,长子营镇,110115111,110115,北京市,大兴区,长子营镇
北京,大兴区,北京经济技术开发区,110115403,110115,北京市,大兴区,北京经济技术开发区
北京,大兴区,中关村国家自主创新示范区大兴生物医药产业基地,110115404,110115,北京市,大兴区,中关村国家自主创新示范区大兴生物医药产业基地
北京,大兴区,大兴经济开发区,110115405,110115,北京市,大兴区,大兴经济开发区
北京,大兴区,大兴国际机场,110115406,110115,北京市,大兴区,大兴国际机场
北京,怀柔区,泉河街道,110116001,110116,北京市,怀柔区,泉河街道
北京,怀柔区,龙山街道,110116002,110116,北京市,怀柔区,龙山街道
北京,怀柔区,怀柔地区,110116003,110116,北京市,怀柔区,怀柔地区
北京,怀柔区,雁栖地区,110116004,110116,北京市,怀柔区,雁栖地区
北京,怀柔区,庙城地区,110116005,110116,北京市,怀柔区,庙城地区
北京,怀柔区,北房镇,110116102,110116,北京市,怀柔区,北房镇
北京,怀柔区,杨宋镇,110116103,110116,北京市,怀柔区,杨宋镇
北京,怀柔区,桥梓镇,110116105,110116,北京市,怀柔区,桥梓镇
北京,怀柔区,怀北镇,110116106,110116,北京市,怀柔区,怀北镇
北京,怀柔区,汤河口镇,110116107,110116,北京市,怀柔区,汤河口镇
北京,怀柔区,渤海镇,110116108,110116,北京市,怀柔区,渤海镇
北京,怀柔区,九渡河镇,110116109,110116,北京市,怀柔区,九渡河镇
北京,怀柔区,琉璃庙镇,110116110,110116,北京市,怀柔区,琉璃庙镇
北京,怀柔区,宝山镇,110116111,110116,北京市,怀柔区,宝山镇
北京,怀柔区,长哨营满族乡,110116211,110116,北京市,怀柔区,长哨营满族乡
北京,怀柔区,喇叭沟门满族乡,110116213,110116,北京市,怀柔区,喇叭沟门满族乡
北京,怀柔区,北京雁栖经济开发区,110116400,110116,北京市,怀柔区,北京雁栖经济开发区
北京,平谷区,滨河街道,110117001,110117,北京市,平谷区,滨河街道
北京,平谷区,兴谷街道,110117002,110117,北京市,平谷区,兴谷街道
北京,平谷区,渔阳地区,110117003,110117,北京市,平谷区,渔阳地区
北京,平谷区,峪口地区,110117004,110117,北京市,平谷区,峪口地区
北京,平谷区,马坊地区,110117005,110117,北京市,平谷区,马坊地区
北京,平谷区,金海湖地区,110117006,110117,北京市,平谷区,金海湖地区
北京,平谷区,东高村镇,110117101,110117,北京市,平谷区,东高村镇
北京,平谷区,山东庄镇,110117102,110117,北京市,平谷区,山东庄镇
北京,平谷区,南独乐河镇,110117104,110117,北京市,平谷区,南独乐河镇
北京,平谷区,大华山镇,110117105,110117,北京市,平谷区,大华山镇
北京,平谷区,夏各庄镇,110117106,110117,北京市,平谷区,夏各庄镇
北京,平谷区,马昌营镇,110117108,110117,北京市,平谷区,马昌营镇
北京,平谷区,王辛庄镇,110117110,110117,北京市,平谷区,王辛庄镇
北京,平谷区,大兴庄镇,110117111,110117,北京市,平谷区,大兴庄镇
北京,平谷区,刘家店镇,110117112,110117,北京市,平谷区,刘家店镇
北京,平谷区,镇罗营镇,110117114,110117,北京市,平谷区,镇罗营镇
北京,平谷区,黄松峪乡,110117213,110117,北京市,平谷区,黄松峪乡
北京,平谷区,熊儿寨乡,110117214,110117,北京市,平谷区,熊儿寨乡
北京,密云区,鼓楼街道,110118001,110118,北京市,密云区,鼓楼街道
北京,密云区,果园街道,110118002,110118,北京市,密云区,果园街道
北京,密云区,檀营地区,110118003,110118,北京市,密云区,檀营地区
北京,密云区,密云镇,110118100,110118,北京市,密云区,密云镇
北京,密云区,溪翁庄镇,110118101,110118,北京市,密云区,溪翁庄镇
北京,密云区,西田各庄镇,110118102,110118,北京市,密云区,西田各庄镇
北京,密云区,十里堡镇,110118103,110118,北京市,密云区,十里堡镇
北京,密云区,河南寨镇,110118104,110118,北京市,密云区,河南寨镇
北京,密云区,巨各庄镇,110118105,110118,北京市,密云区,巨各庄镇
北京,密云区,穆家峪镇,110118106,110118,北京市,密云区,穆家峪镇
北京,密云区,太师屯镇,110118107,110118,北京市,密云区,太师屯镇
北京,密云区,高岭镇,110118108,110118,北京市,密云区,高岭镇
北京,密云区,不老屯镇,110118109,110118,北京市,密云区,不老屯镇
北京,密云区,冯家峪镇,110118110,110118,北京市,密云区,冯家峪镇
北京,密云区,古北口镇,110118111,110118,北京市,密云区,古北口镇
北京,密云区,大城子镇,110118112,110118,北京市,密云区,大城子镇
北京,密云区,东邵渠镇,110118113,110118,北京市,密云区,东邵渠镇
北京,密云区,北庄镇,110118114,110118,北京市,密云区,北庄镇
北京,密云区,新城子镇,110118115,110118,北京市,密云区,新城子镇
北京,密云区,石城镇,110118116,110118,北京市,密云区,石城镇
北京,密云区,中关村科技园区密云园,110118400,110118,北京市,密云区,中关村科技园区密云园
北京,延庆区,百泉街道,110119001,110119,北京市,延庆区,百泉街道
北京,延庆区,香水园街道,110119002,110119,北京市,延庆区,香水园街道
北京,延庆区,儒林街道,110119003,110119,北京市,延庆区,儒林街道
北京,延庆区,延庆镇,110119100,110119,北京市,延庆区,延庆镇
北京,延庆区,康庄镇,110119101,110119,北京市,延庆区,康庄镇
北京,延庆区,八达岭镇,110119102,110119,北京市,延庆区,八达岭镇
北京,延庆区,永宁镇,110119103,110119,北京市,延庆区,永宁镇
北京,延庆区,旧县镇,110119104,110119,北京市,延庆区,旧县镇
北京,延庆区,张山营镇,110119105,110119,北京市,延庆区,张山营镇
北京,延庆区,四海镇,110119106,110119,北京市,延庆区,四海镇
北京,延庆区,千家店镇,110119107,110119,北京市,延庆区,千家店镇
北京,延庆区,沈家营镇,110119108,110119,北京市,延庆区,沈家营镇
北京,延庆区,大榆树镇,110119109,110119,北京市,延庆区,大榆树镇
北京,延庆区,井庄镇,110119110,110119,北京市,延庆区,井庄镇
北京,延庆区,大庄科乡,110119200,110119,北京市,延庆区,大庄科乡
北京,延庆区,刘斌堡乡,110119201,110119,北京市,延庆区,刘斌堡乡
北京,延庆区,香营乡,110119202,110119,北京市,延庆区,香营乡
北京,延庆区,珍珠泉乡,110119203,110119,北京市,延庆区,珍珠泉乡
天津,和平区,劝业场街道,120101001,120101,天津市,和平区,劝业场街道
天津,和平区,小白楼街道,120101002,120101,天津市,和平区,小白楼街道
天津,和平区,五大道街道,120101003,120101,天津市,和平区,五大道街道
天津,和平区,新兴街道,120101004,120101,天津市,和平区,新兴街道
天津,和平区,南营门街道,120101005,120101,天津市,和平区,南营门街道
天津,和平区,南市街道,120101006,120101,天津市,和平区,南市街道
天津,河东区,大王庄街道,120102001,120102,天津市,河东区,大王庄街道
天津,河东区,大直沽街道,120102002,120102,天津市,河东区,大直沽街道
天津,河东区,中山门街道,120102003,120102,天津市,河东区,中山门街道
天津,河东区,富民路街道,120102004,120102,天津市,河东区,富民路街道
天津,河东区,二号桥街道,120102005,120102,天津市,河东区,二号桥街道
天津,河东区,春华街道,120102006,120102,天津市,河东区,春华街道
天津,河东区,唐家口街道,120102007,120102,天津市,河东区,唐家口街道
天津,河东区,向阳楼街道,120102008,120102,天津市,河东区,向阳楼街道
天津,河东区,常州道街道,120102009,120102,天津市,河东区,常州道街道
天津,河东区,上杭路街道,120102010,120102,天津市,河东区,上杭路街道
天津,河东区,东新街道,120102011,120102,天津市,河东区,东新街道
天津,河东区,鲁山道街道,120102012,120102,天津市,河东区,鲁山道街道
天津,河东区,天津铁厂街道,120102013,120102,天津市,河东区,天津铁厂街道
天津,河西区,大营门街道,120103001,120103,天津市,河西区,大营门街道
天津,河西区,下瓦房街道,120103002,120103,天津市,河西区,下瓦房街道
天津,河西区,桃园街道,120103003,120103,天津市,河西区,桃园街道
天津,河西区,挂甲寺街道,120103004,120103,天津市,河西区,挂甲寺街道
天津,河西区,马场街道,120103005,120103,天津市,河西区,马场街道
天津,河西区,越秀路街道,120103006,120103,天津市,河西区,越秀路街道
天津,河西区,友谊路街道,120103007,120103,天津市,河西区,友谊路街道
天津,河西区,天塔街道,120103008,120103,天津市,河西区,天塔街道
天津,河西区,尖山街道,120103009,120103,天津市,河西区,尖山街道
