scenario_group,commodity_code,commodity_cn,year,kg_per_capita
PTS,MILK,奶,2034,44.5981
PTS,FISH,水产品,2034,26.0274
PTS,SUGA,糖,2034,4.22896
PTS,RICE,稻谷,2035,104.488
PTS,WHEA,小麦,2035,60.597
PTS,OTGR,其他粮食,2035,27.8052
PTS,VOIL,植物油,2035,23.2958
PTS,VEGT,蔬菜,2035,142.717
PTS,FRTO,水果,2035,119.763
PTS,PIGM,猪肉,2035,36.1574
PTS,CATM,牛肉,2035,7.81076
PTS,SHGM,羊肉,2035,4.22977
PTS,CHKM,鸡肉,2035,21.0582
PTS,EGGS,禽蛋,2035,17.8566
PTS,MILK,奶,2035,45.3896
PTS,FISH,水产品,2035,26.428
PTS,SUGA,糖,2035,4.24461
PTS,RICE,稻谷,2036,103.284
PTS,WHEA,小麦,2036,59.8989
PTS,OTGR,其他粮食,2036,27.8562
PTS,VOIL,植物油,2036,23.4574
PTS,VEGT,蔬菜,2036,143.42
PTS,FRTO,水果,2036,120.626
PTS,PIGM,猪肉,2036,36.5405
PTS,CATM,牛肉,2036,7.92912
PTS,SHGM,羊肉,2036,4.29386
PTS,CHKM,鸡肉,2036,21.4253
PTS,EGGS,禽蛋,2036,17.9645
PTS,MILK,奶,2036,46.1808
PTS,FISH,水产品,2036,26.8285
PTS,SUGA,糖,2036,4.26052
PTS,RICE,稻谷,2037,102.161
PTS,WHEA,小麦,2037,59.2475
PTS,OTGR,其他粮食,2037,27.9037
PTS,VOIL,植物油,2037,23.6141
PTS,VEGT,蔬菜,2037,144.109
PTS,FRTO,水果,2037,121.463
PTS,PIGM,猪肉,2037,36.9137
PTS,CATM,牛肉,2037,8.04412
PTS,SHGM,羊肉,2037,4.35614
PTS,CHKM,鸡肉,2037,21.782
PTS,EGGS,禽蛋,2037,18.0709
PTS,MILK,奶,2037,46.9497
PTS,FISH,水产品,2037,27.2176
PTS,SUGA,糖,2037,4.27619
PTS,RICE,稻谷,2038,101.086
PTS,WHEA,小麦,2038,58.6243
PTS,OTGR,其他粮食,2038,27.9488
PTS,VOIL,植物油,2038,23.7696
PTS,VEGT,蔬菜,2038,144.798
PTS,FRTO,水果,2038,122.296
PTS,PIGM,猪肉,2038,37.2856
PTS,CATM,牛肉,2038,8.15845
PTS,SHGM,羊肉,2038,4.41805
PTS,CHKM,鸡肉,2038,22.1366
PTS,EGGS,禽蛋,2038,18.1781
PTS,MILK,奶,2038,47.7141
PTS,FISH,水产品,2038,27.6044
PTS,SUGA,糖,2038,4.29195
PTS,RICE,稻谷,2039,100.044
PTS,WHEA,小麦,2039,58.02
PTS,OTGR,其他粮食,2039,27.9923
PTS,VOIL,植物油,2039,23.9257
PTS,VEGT,蔬菜,2039,145.497
PTS,FRTO,水果,2039,123.134
PTS,PIGM,猪肉,2039,37.6606
PTS,CATM,牛肉,2039,8.27352
PTS,SHGM,羊肉,2039,4.48037
PTS,CHKM,鸡肉,2039,22.4937
PTS,EGGS,禽蛋,2039,18.2874
PTS,MILK,奶,2039,48.4837
PTS,FISH,水产品,2039,27.9938
PTS,SUGA,糖,2039,4.30799
PTS,RICE,稻谷,2040,99.041
PTS,WHEA,小麦,2040,57.4381
PTS,OTGR,其他粮食,2040,28.0339
PTS,VOIL,植物油,2040,24.0813
PTS,VEGT,蔬菜,2040,146.199
PTS,FRTO,水果,2040,123.97
PTS,PIGM,猪肉,2040,38.0357
PTS,CATM,牛肉,2040,8.38843
PTS,SHGM,羊肉,2040,4.54259
PTS,CHKM,鸡肉,2040,22.8502
PTS,EGGS,禽蛋,2040,18.3977
PTS,MILK,奶,2040,49.2523
PTS,FISH,水产品,2040,28.3826
PTS,SUGA,糖,2040,4.32416
PTS,RICE,稻谷,2041,98.0712
PTS,WHEA,小麦,2041,56.8757
PTS,OTGR,其他粮食,2041,28.0739
PTS,VOIL,植物油,2041,24.2367
PTS,VEGT,蔬菜,2041,146.906
PTS,FRTO,水果,2041,124.806
PTS,PIGM,猪肉,2041,38.4119
PTS,CATM,牛肉,2041,8.50351
PTS,SHGM,羊肉,2041,4.60491
PTS,CHKM,鸡肉,2041,23.2074
PTS,EGGS,禽蛋,2041,18.5093
PTS,MILK,奶,2041,50.0222
PTS,FISH,水产品,2041,28.772
PTS,SUGA,糖,2041,4.34048
PTS,RICE,稻谷,2042,97.1365
PTS,WHEA,小麦,2042,56.3336
PTS,OTGR,其他粮食,2042,28.1123
PTS,VOIL,植物油,2042,24.3914
PTS,VEGT,蔬菜,2042,147.613
PTS,FRTO,水果,2042,125.639
PTS,PIGM,猪肉,2042,38.7877
PTS,CATM,牛肉,2042,8.61831
PTS,SHGM,羊肉,2042,4.66708
PTS,CHKM,鸡肉,2042,23.5639
PTS,EGGS,禽蛋,2042,18.6216
PTS,MILK,奶,2042,50.7905
PTS,FISH,水产品,2042,29.1604
PTS,SUGA,糖,2042,4.35688
PTS,RICE,稻谷,2043,96.2279
PTS,WHEA,小麦,2043,55.8067
PTS,OTGR,其他粮食,2043,28.1493
PTS,VOIL,植物油,2043,24.5464
PTS,VEGT,蔬菜,2043,148.327
PTS,FRTO,水果,2043,126.476
