model,parameter,estimate,std_error,z_value,p_value,ci_low,ci_high,significance
sy_aids,g23,.0393064609009517,.036681041,1.0715743,.28391129,-.032587059,.11119998,
sy_aids,g24,.0114659539117698,.024850046,.46140572,.64450753,-.037239242,.06017115,
sy_aids,g33,-.2441342777205643,.058479913,-4.1746693,.000029841958,-.35875279,-.12951575,***
sy_aids,g34,.0877405354221657,.035397224,2.4787407,.013184712,.018363254,.15711781,**
sy_aids,g44,-.1073538008485364,.033275295,-3.2262313,.0012543189,-.17257218,-.042135421,***
sy_aids,d1,.1681914274692772,.13657317,1.2315115,.2181316,-.099487059,.4358699,
sy_aids,d2,.3447848625657706,.29429793,1.1715504,.24137761,-.23202848,.9215982,
sy_aids,d3,.2306669453231611,.16760455,1.3762571,.16874206,-.097831942,.55916584,
sy_aids,d4,-.3534799745465079,.16297652,-2.1689014,.030090176,-.67290807,-.03405188,**
sy_aids,d5,1.147960639223177,.15897982,7.2207947,5.1684552e-13,.83636594,1.4595554,***
sy_quaids,a1,.1148073106881472,.062673062,1.8318446,.066974588,-.0080296388,.23764426,*
sy_quaids,a2,.2541168063280625,.16318034,1.5572759,.119405,-.065710783,.57394439,
sy_quaids,a3,.2388209891326515,.086406447,2.7639256,.0057110577,.069467463,.40817451,***
sy_quaids,a4,.1899122252711831,.092780076,2.0469074,.04066718,.008066616,.37175784,**
sy_quaids,b1,.0111639590631188,.022342535,.49967292,.6173054,-.032626603,.054954521,
sy_quaids,b2,-.1090044882573034,.044649404,-2.4413426,.014632769,-.19651571,-.021493264,**
sy_quaids,b3,.1533980494295014,.030234654,5.0735841,3.9039227e-07,.094139218,.21265689,***
sy_quaids,b4,-.0482764171052663,.015428892,-3.1289618,.0017542507,-.078516491,-.018036343,***
sy_quaids,l1,.0149496105091217,.0044397465,3.3672218,.00075929612,.0062478674,.023651354,***
sy_quaids,l2,.02921104940846,.01009682,2.8930941,.0038146717,.0094216457,.049000453,***
sy_quaids,l3,-.0482246897419893,.0076020639,-6.3436313,2.2441182e-10,-.063124463,-.03332492,***
sy_quaids,l4,.0038833604495458,.0010925664,3.5543473,.00037891846,.0017419696,.0060247513,***
sy_quaids,g11,-.0411318307900115,.023371173,-1.7599386,.07841821,-.086938486,.0046748272,*
sy_quaids,g12,.0440041856754556,.027331147,1.6100379,.10738957,-.00956388,.097572252,
sy_quaids,g13,-.024974334992927,.032838471,-.76052064,.44694343,-.089336559,.039387885,
sy_quaids,g14,-.0130879893073072,.015245363,-.85848981,.39062205,-.042968351,.016792374,
sy_quaids,g22,-.1312956781820884,.044484384,-2.9515004,.0031623405,-.21848346,-.044107888,***
sy_quaids,g23,.0411598274336557,.03560476,1.1560204,.24767281,-.028624216,.11094387,
sy_quaids,g24,-.0062779731170848,.013418924,-.46784472,.63989562,-.03257858,.020022636,
sy_quaids,g33,-.1590118473324569,.055762514,-2.8515904,.0043501114,-.26830438,-.04971933,***
sy_quaids,g34,.0653390840250684,.031781409,2.0558901,.039793104,.0030486698,.1276295,**
sy_quaids,g44,-.0575694343144238,.025222307,-2.282481,.022460962,-.10700425,-.0081346221,**
sy_quaids,d1,.3820258645553397,.11881079,3.215414,.0013025651,.14916101,.61489069,***
sy_quaids,d2,.0413504959883973,.23646024,.17487293,.86117947,-.42210305,.50480402,
sy_quaids,d3,.1262165511555201,.17654912,.71490896,.47466528,-.21981336,.47224647,
sy_quaids,d4,-.0356070583817997,.12257539,-.29049107,.77144057,-.27585042,.20463631,
sy_quaids,d5,.822450901436391,.17272295,4.7616773,1.9199069e-06,.48392016,1.1609817,***
