province,year,quarter,quarter_id,total_expenditure_usd,ln_total_expenditure,expenditure_outlier_mild,expenditure_outlier_severe
福建省,2020,3,2020q3,339178381,19.64203672459141,0,0
广东省,2022,3,2022q3,338761541,19.64080699895053,0,0
福建省,2017,3,2017q3,322610330,19.59195574422145,0,0
江苏省,2022,2,2022q2,313521680,19.56337907035112,0,0
山东省,2021,3,2021q3,299159894,19.51648875096224,0,0
山东省,2023,2,2023q2,297998941,19.51260049077209,0,0
山东省,2019,1,2019q1,284255970,19.46538569301289,0,0
广东省,2021,1,2021q1,280757579,19.45300214676609,0,0
广东省,2017,3,2017q3,280570981,19.45233730260825,0,0
福建省,2022,4,2022q4,268426033,19.40808595165185,0,0
山东省,2020,2,2020q2,259095627,19.37270776773649,0,0
广东省,2020,3,2020q3,258972598,19.37223281483888,0,0
江苏省,2023,1,2023q1,257211202,19.36540810303405,0,0
广东省,2022,4,2022q4,252900832,19.34850800147266,0,0
广东省,2017,4,2017q4,251300171,19.34215868297519,0,0
山东省,2018,1,2018q1,246573637,19.32317123705915,0,0
山东省,2023,3,2023q3,239307990,19.2932619413726,0,0
山东省,2020,1,2020q1,237925567,19.28746843902376,0,0
广东省,2018,1,2018q1,237375258,19.28515281398397,0,0
山东省,2020,4,2020q4,236498353,19.28145180181282,0,0
山东省,2018,2,2018q2,236424131,19.28113791527487,0,0
广东省,2017,2,2017q2,236065581,19.27962020998006,0,0
广东省,2018,2,2018q2,226476058,19.23814979310602,0,0
江苏省,2022,1,2022q1,224786284,19.23066065988749,0,0
山东省,2019,2,2019q2,218654202,19.20300205356674,0,0
山东省,2020,3,2020q3,216301131,19.19218211975844,0,0
广西壮族自治区,2022,1,2022q1,213307071,19.17824333338438,0,0
山东省,2017,1,2017q1,210811474,19.16647480389022,0,0
北京市,2019,2,2019q2,210340262,19.16423707265774,0,0
广东省,2017,1,2017q1,207128517,19.14885001365133,0,0
山东省,2017,3,2017q3,204812522,19.13760559183862,0,0
山东省,2021,4,2021q4,202070670,19.12412804566686,0,0
江苏省,2018,1,2018q1,201945016,19.12350602029307,0,0
福建省,2017,1,2017q1,192216139,19.0741310207983,0,0
山东省,2017,4,2017q4,190262884,19.06391727383226,0,0
江苏省,2017,1,2017q1,190102589,19.06307442651373,0,0
福建省,2018,3,2018q3,189635970,19.06061684498142,0,0
山东省,2018,3,2018q3,189161599,19.05811222886557,0,0
安徽省,2022,2,2022q2,188390034,19.05402502061821,0,0
山东省,2018,4,2018q4,188237942,19.05321736947194,0,0
广东省,2020,4,2020q4,187961412,19.05174724440732,0,0
江苏省,2022,4,2022q4,185469479,19.03840089278189,0,0
广西壮族自治区,2023,2,2023q2,179974035,19.00832314844945,0,0
福建省,2019,2,2019q2,179500727,19.00568981602368,0,0
福建省,2018,1,2018q1,178638997,19.00087755083644,0,0
山东省,2017,2,2017q2,178429310,18.99970305833742,0,0
江苏省,2018,2,2018q2,177826543,18.99631915561636,0,0
上海市,2017,1,2017q1,176359908,18.98803739679363,0,0
广东省,2019,3,2019q3,172897903,18.96821182218205,0,0
江苏省,2019,1,2019q1,170663550,18.95520463245018,0,0
辽宁省,2023,2,2023q2,169100043,18.94600106815618,0,0
江苏省,2017,3,2017q3,168990168,18.94535109368018,0,0
山东省,2022,4,2022q4,168754687,18.94395666214601,0,0
广西壮族自治区,2021,3,2021q3,168721795,18.9437617330066,0,0
江苏省,2017,4,2017q4,163475686,18.91217482776311,0,0
广西壮族自治区,2021,2,2021q2,163261017,18.91086080929554,0,0
辽宁省,2023,1,2023q1,163134382,18.9100848485636,0,0
广东省,2018,3,2018q3,159301600,18.88630981877208,0,0
上海市,2021,2,2021q2,159210385,18.88573706165907,0,0
江苏省,2021,3,2021q3,157655229,18.87592111181632,0,0
安徽省,2023,2,2023q2,156717594,18.86995597926219,0,0
广西壮族自治区,2023,4,2023q4,154152725,18.85345438972695,0,0
北京市,2019,4,2019q4,153442636,18.84883734830533,0,0
江苏省,2017,2,2017q2,152640754,18.84359770537951,0,0
江苏省,2021,4,2021q4,150601214,18.83014593438655,0,0
福建省,2019,3,2019q3,148570156,18.81656783562308,0,0
广西壮族自治区,2023,3,2023q3,143709246,18.78330269135933,0,0
江苏省,2023,3,2023q3,143235408,18.7800000444963,0,0
山东省,2022,3,2022q3,142984259,18.7782451052422,0,0
上海市,2020,3,2020q3,141906050,18.77067577688031,0,0
上海市,2018,1,2018q1,140481894,18.76058917010644,0,0
江苏省,2021,1,2021q1,139388053,18.75277234960507,0,0
江苏省,2022,3,2022q3,138607040,18.74715343708092,0,0
广西壮族自治区,2023,1,2023q1,138234299,18.74446062229695,0,0
辽宁省,2022,2,2022q2,136848474,18.73438484249365,0,0
安徽省,2018,2,2018q2,135871831,18.72722258022658,0,0
北京市,2017,3,2017q3,133833385,18.71210618873521,0,0
江苏省,2023,4,2023q4,132706790,18.70365266604162,0,0
上海市,2021,4,2021q4,132599194,18.70284155726619,0,0
北京市,2018,2,2018q2,132530131,18.70232058131182,0,0
北京市,2018,1,2018q1,130549006,18.68725923913941,0,0
安徽省,2023,1,2023q1,130511976,18.68697555063135,0,0
上海市,2020,4,2020q4,128891171,18.6744789706062,0,0
浙江省,2023,2,2023q2,127777619,18.66580195937588,0,0
福建省,2020,1,2020q1,127525252,18.66382495785443,0,0
江苏省,2020,2,2020q2,127457875,18.66329647581438,0,0
江苏省,2020,1,2020q1,125943744,18.65134588902511,0,0
山东省,2019,4,2019q4,125718671,18.64955719872736,0,0
山东省,2019,3,2019q3,122505594,18.62366725221255,0,0
上海市,2021,3,2021q3,119431894,18.59825684218084,0,0
安徽省,2021,2,2021q2,117945054,18.58572942991628,0,0
福建省,2017,2,2017q2,114854739,18.55917874876443,0,0
江苏省,2019,2,2019q2,113611723,18.54829725434958,0,0
海南省,2022,4,2022q4,110651158,18.52189308983811,0,0
上海市,2017,2,2017q2,110543574,18.52092033603416,0,0
辽宁省,2021,2,2021q2,110457580,18.5201421138142,0,0
浙江省,2021,2,2021q2,108533753,18.50257177012469,0,0
辽宁省,2019,1,2019q1,104169010,18.46152523421959,0,0
广西壮族自治区,2021,1,2021q1,104119641,18.46105119014002,0,0
福建省,2019,4,2019q4,103400797,18.45412322793926,0,0
黑龙江省,2023,1,2023q1,103307354,18.45321912226261,0,0
福建省,2017,4,2017q4,102652477,18.44685983167875,0,0
湖南省,2021,3,2021q3,99770206,18.41838015963648,0,0
北京市,2019,3,2019q3,99526219,18.4159316749545,0,0
安徽省,2022,1,2022q1,96923207,18.38942954251085,0,0
北京市,2020,1,2020q1,96787922,18.38803277173477,0,0
广东省,2019,1,2019q1,96536216,18.38542879124032,0,0
河南省,2022,2,2022q2,96404249,18.38406083537291,0,0
浙江省,2022,2,2022q2,96255594,18.38251764892382,0,0
辽宁省,2018,2,2018q2,96255421,18.38251585162406,0,0
广西壮族自治区,2022,2,2022q2,95973567,18.37958336776806,0,0
湖南省,2021,2,2021q2,95566745,18.37533546185728,0,0
辽宁省,2022,3,2022q3,95058083,18.36999866273598,0,0
广东省,2020,1,2020q1,94413340,18.36319293469123,0,0
内蒙古自治区,2021,2,2021q2,94169786,18.36060994499773,0,0
上海市,2018,2,2018q2,93421472,18.35263176971136,0,0
福建省,2019,1,2019q1,93063590,18.34879358089868,0,0
安徽省,2022,4,2022q4,92695984,18.34483570705179,0,0
安徽省,2017,1,2017q1,90400777,18.31976342045821,0,0
安徽省,2021,4,2021q4,89470789,18.30942275008331,0,0
广东省,2019,2,2019q2,86683722,18.27777667325832,0,0
辽宁省,2020,2,2020q2,85929891,18.26904230081426,0,0
云南省,2023,4,2023q4,85403392,18.26289637693958,0,0
江苏省,2020,4,2020q4,84863729,18.25655733973787,0,0
广东省,2019,4,2019q4,84625776,18.25374945902173,0,0
上海市,2023,4,2023q4,84470034,18.25190740221337,0,0
江西省,2021,3,2021q3,83910949,18.24526666351892,0,0
北京市,2017,1,2017q1,82800532,18.23194504445562,0,0
海南省,2022,1,2022q1,82626989,18.22984692846363,0,0
海南省,2021,2,2021q2,82518090,18.22852809999543,0,0
北京市,2017,4,2017q4,81436325,18.21533198450273,0,0
浙江省,2023,1,2023q1,81230133,18.21279683235191,0,0
安徽省,2018,1,2018q1,79173839,18.18715648656186,0,0
辽宁省,2017,4,2017q4,77243552,18.16247400100271,0,0
上海市,2021,1,2021q1,77223940,18.16222007054976,0,0
云南省,2020,4,2020q4,76592927,18.15401529363289,0,0
湖南省,2023,4,2023q4,76317152,18.15040826784618,0,0
辽宁省,2017,2,2017q2,74840062,18.13086388780381,0,0
安徽省,2017,3,2017q3,73809976,18.11700445658699,0,0
辽宁省,2019,2,2019q2,73582206,18.11391378816457,0,0
上海市,2017,3,2017q3,73336593,18.11057026466066,0,0
浙江省,2023,4,2023q4,72048308,18.09284739644218,0,0
江苏省,2018,3,2018q3,68944206,18.04880812676553,0,0
江苏省,2020,3,2020q3,68585811,18.04359623456775,0,0
辽宁省,2021,3,2021q3,68125378,18.03686035955614,0,0
江苏省,2019,4,2019q4,66937476,18.01926954762876,0,0
安徽省,2022,3,2022q3,65941809,18.00428322926249,0,0
浙江省,2017,4,2017q4,65855829,18.00297850159814,0,0
上海市,2018,3,2018q3,65181963,17.99269334752038,0,0
安徽省,2020,4,2020q4,64083248,17.97569354608155,0,0
辽宁省,2023,3,2023q3,63791275,17.97112698347724,0,0
湖南省,2022,1,2022q1,63567687,17.96761583316333,0,0
云南省,2023,3,2023q3,63263174,17.96281394846866,0,0
上海市,2022,2,2022q2,61457491,17.93385629053361,0,0
海南省,2021,4,2021q4,61039188,17.9270266420997,0,0
广西壮族自治区,2021,4,2021q4,60736991,17.92206347733601,0,0
辽宁省,2020,1,2020q1,59827413,17.90697452525371,0,0
上海市,2019,3,2019q3,59618156,17.9034707165175,0,0
浙江省,2021,1,2021q1,59561431,17.90251879168353,0,0
安徽省,2017,2,2017q2,58894093,17.89125135496779,0,0
安徽省,2017,4,2017q4,58788403,17.88945516552572,0,0
安徽省,2023,3,2023q3,58733542,17.88852153557286,0,0
上海市,2017,4,2017q4,58086539,17.87744450823163,0,0
浙江省,2018,1,2018q1,57736550,17.87140097980776,0,0
上海市,2020,2,2020q2,57002318,17.85860249163862,0,0
云南省,2022,4,2022q4,55929012,17.83959380170343,0,0
北京市,2017,2,2017q2,55412892,17.83032283222653,0,0
浙江省,2022,4,2022q4,55128630,17.82517973990338,0,0
上海市,2023,1,2023q1,54649967,17.816459168744,0,0
安徽省,2019,1,2019q1,54269430,17.80947164294408,0,0
浙江省,2018,2,2018q2,53641816,17.79783947113652,0,0
江西省,2021,4,2021q4,53555190,17.79622326892922,0,0
江苏省,2018,4,2018q4,53468674,17.79460650766473,0,0
安徽省,2021,3,2021q3,53466943,17.7945741330444,0,0
云南省,2023,1,2023q1,52884702,17.78362466786031,0,0
云南省,2018,4,2018q4,52372121,17.77388496572198,0,0
江西省,2023,2,2023q2,52262381,17.77178737767713,0,0
福建省,2018,4,2018q4,52257237,17.771688946395,0,0
辽宁省,2018,4,2018q4,52010622,17.76695852491635,0,0
辽宁省,2021,1,2021q1,51406581,17.75527675724906,0,0
北京市,2018,4,2018q4,50437119,17.73623795006257,0,0
辽宁省,2017,1,2017q1,50384652,17.73519716285528,0,0
辽宁省,2023,4,2023q4,50097504,17.72948174445474,0,0
上海市,2022,3,2022q3,49751610,17.72255338285429,0,0
云南省,2017,4,2017q4,49542147,17.71833431980258,0,0
浙江省,2021,4,2021q4,49222912,17.71186976411902,0,0
辽宁省,2020,4,2020q4,49018167,17.70770154246425,0,0
内蒙古自治区,2021,1,2021q1,48958713,17.70648790905814,0,0
北京市,2018,3,2018q3,48631426,17.69978050541293,0,0
广西壮族自治区,2020,3,2020q3,48210786,17.69109332992034,0,0
辽宁省,2019,3,2019q3,48169968,17.6902463142923,0,0
浙江省,2018,3,2018q3,47299800,17.67201662512341,0,0
浙江省,2017,2,2017q2,47149150,17.66882653930966,0,0
辽宁省,2018,3,2018q3,44389270,17.60850833152969,0,0
云南省,2019,4,2019q4,43957216,17.59872735519397,0,0
吉林省,2021,2,2021q2,43450888,17.58714184675107,0,0
上海市,2022,4,2022q4,43247581,17.58245185914215,0,0
安徽省,2021,1,2021q1,43078902,17.57854392246247,0,0
云南省,2022,1,2022q1,42974349,17.57611396077639,0,0
辽宁省,2021,4,2021q4,42725199,17.57029944464964,0,0
黑龙江省,2023,2,2023q2,42356048,17.56162177878333,0,0
辽宁省,2019,4,2019q4,42234717,17.55875311851752,0,0
上海市,2023,3,2023q3,41229711,17.53466969519938,0,0
浙江省,2021,3,2021q3,40992859,17.52890843876739,0,0
安徽省,2018,3,2018q3,40597775,17.51922382011456,0,0
北京市,2019,1,2019q1,40248219,17.51057631240265,0,0
辽宁省,2022,1,2022q1,40019337,17.50487332026599,0,0
浙江省,2022,3,2022q3,39653396,17.49568715180996,0,0
广西壮族自治区,2020,2,2020q2,39119048,17.48212006745646,0,0
河北省,2019,1,2019q1,39055591,17.48049659941748,0,0
浙江省,2020,4,2020q4,38944308,17.47764318353023,0,0
内蒙古自治区,2022,2,2022q2,38933710,17.47737101430103,0,0
海南省,2022,3,2022q3,38787208,17.47360105951192,0,0
辽宁省,2020,3,2020q3,38201130,17.45837565429112,0,0
江苏省,2019,3,2019q3,37845012,17.44900974580819,0,0
河北省,2018,2,2018q2,37684531,17.44476024991226,0,0
浙江省,2019,2,2019q2,37597300,17.44244279727113,0,0
广西壮族自治区,2018,1,2018q1,37485640,17.43946848426961,0,0
云南省,2021,4,2021q4,36978016,17.42583413186205,0,0
湖南省,2021,4,2021q4,36804779,17.42113825883798,0,0
海南省,2023,1,2023q1,35346029,17.38069661019213,0,0
湖南省,2021,1,2021q1,35247421,17.37790292142543,0,0
安徽省,2020,1,2020q1,35116805,17.37419034878872,0,0
广西壮族自治区,2017,1,2017q1,35063156,17.37266145051958,0,0
广西壮族自治区,2017,3,2017q3,34936196,17.36903398439055,0,0
上海市,2023,2,2023q2,34711973,17.36259522863103,0,0
浙江省,2019,1,2019q1,34694935,17.36210426884523,0,0
上海市,2019,1,2019q1,33974821,17.34113024940777,0,0
天津市,2018,2,2018q2,33540416,17.3282617173832,0,0
河北省,2020,2,2020q2,32962010,17.31086624415586,0,0
湖南省,2020,4,2020q4,32286734,17.29016699175328,0,0
河北省,2019,2,2019q2,32100248,17.2843743139271,0,0
浙江省,2022,1,2022q1,31753349,17.27350875805528,0,0
广西壮族自治区,2020,4,2020q4,31660160,17.27056966609988,0,0
广西壮族自治区,2022,3,2022q3,31635564,17.26979248875887,0,0
安徽省,2023,4,2023q4,31198271,17.25587323457749,0,0
浙江省,2020,1,2020q1,30611736,17.23689402280577,0,0
河北省,2020,4,2020q4,29905138,17.21354086306309,0,0
云南省,2022,2,2022q2,29825116,17.21086141529526,0,0
广西壮族自治区,2017,2,2017q2,29590258,17.20295574350026,0,0
浙江省,2017,1,2017q1,29543195,17.20136398764805,0,0
黑龙江省,2023,4,2023q4,29475323,17.19906396276702,0,0
海南省,2022,2,2022q2,29216713,17.19025146651498,0,0
辽宁省,2018,1,2018q1,29204757,17.18984216492887,0,0
云南省,2019,3,2019q3,29108224,17.18653130389841,0,0
浙江省,2020,2,2020q2,28784893,17.17536125887131,0,0
浙江省,2017,3,2017q3,27469810,17.12859814141121,0,0
江西省,2021,2,2021q2,27273569,17.12142862267918,0,0
湖南省,2020,3,2020q3,27192908,17.11846676197475,0,0
江西省,2023,4,2023q4,26871827,17.10658897232559,0,0
辽宁省,2022,4,2022q4,26579296,17.09564312481885,0,0
海南省,2020,4,2020q4,26360920,17.08739316835525,0,0
海南省,2023,4,2023q4,26343035,17.08671447163556,0,0
黑龙江省,2023,3,2023q3,26202585,17.08136862798648,0,0
内蒙古自治区,2023,4,2023q4,25685189,17.06142508023681,0,0
天津市,2022,1,2022q1,25487285,17.05369025832167,0,0
天津市,2018,1,2018q1,25411303,17.05070463300563,0,0
安徽省,2019,2,2019q2,24496887,17.0140566062175,0,0
浙江省,2020,3,2020q3,24448373,17.01207422770373,0,0
广西壮族自治区,2022,4,2022q4,24443831,17.01188843121097,0,0
云南省,2021,2,2021q2,23814440,16.98580267734898,0,0
河北省,2021,2,2021q2,23201335,16.95972037808444,0,0
河北省,2021,4,2021q4,23004461,16.95119871160803,0,0
河北省,2021,3,2021q3,22897568,16.94654126201139,0,0
安徽省,2020,2,2020q2,22803318,16.94241660965253,0,0
四川省,2023,3,2023q3,22303411,16.92025018437447,0,0
甘肃省,2023,4,2023q4,22093366,16.91078794042917,0,0
广东省,2018,4,2018q4,21994334,16.90629543269752,0,0
湖南省,2022,2,2022q2,21911803,16.90253599937715,0,0
新疆维吾尔自治区,2023,4,2023q4,21543318,16.88557625682694,0,0
湖南省,2019,3,2019q3,21304712,16.87443882687125,0,0
天津市,2022,2,2022q2,21019532,16.86096265865523,0,0
河北省,2019,4,2019q4,20453336,16.83365655673325,0,0
河北省,2018,3,2018q3,20295963,16.82593255724028,0,0
浙江省,2023,3,2023q3,20069197,16.81469671000698,0,0
天津市,2021,3,2021q3,20052234,16.81385112695633,0,0
河北省,2023,2,2023q2,19830920,16.80275289377179,0,0
河北省,2022,2,2022q2,19669321,16.79457067019647,0,0
河北省,2020,1,2020q1,19441950,16.78294366060797,0,0
河南省,2021,2,2021q2,19323584,16.77683687679068,0,0
甘肃省,2021,2,2021q2,19306786,16.77596719829375,0,0
湖北省,2017,1,2017q1,18801955,16.74947141175536,0,0
广西壮族自治区,2017,4,2017q4,18692918,16.74365529351604,0,0
河北省,2017,4,2017q4,18508374,16.73373383628271,0,0
四川省,2023,4,2023q4,18116585,16.71233837503354,0,0
贵州省,2023,4,2023q4,17926553,16.7017935794697,0,0
上海市,2019,4,2019q4,17919849,16.70141953913627,0,0
吉林省,2020,3,2020q3,17896269,16.70010281333104,0,0
安徽省,2020,3,2020q3,17823671,16.69603796328026,0,0
吉林省,2018,1,2018q1,17224990,16.6618717943123,0,0
河北省,2021,1,2021q1,17178488,16.65916846133418,0,0
云南省,2017,3,2017q3,16971538,16.64704826362816,0,0
安徽省,2018,4,2018q4,16887870,16.6421061707071,0,0
浙江省,2019,3,2019q3,16867402,16.64089344147721,0,0
甘肃省,2022,1,2022q1,16731957,16.63283104161503,0,0
江西省,2022,2,2022q2,16523046,16.62026669162731,0,0
浙江省,2019,4,2019q4,16348031,16.60961801992093,0,0
河北省,2020,3,2020q3,16170689,16.5987108404167,0,0
湖北省,2019,2,2019q2,16156804,16.59785181922048,0,0
湖南省,2020,1,2020q1,15998688,16.58801727684187,0,0
内蒙古自治区,2023,3,2023q3,15575489,16.56120901861363,0,0
广西壮族自治区,2020,1,2020q1,15472621,16.55458263289146,0,0
天津市,2023,3,2023q3,15208370,16.53735649215482,0,0
云南省,2023,2,2023q2,14889125,16.51614163866218,0,0
河北省,2017,2,2017q2,14696375,16.50311142269906,0,0
甘肃省,2023,2,2023q2,14554464,16.49340830865073,0,0
海南省,2020,3,2020q3,14484613,16.48859747153492,0,0
内蒙古自治区,2023,2,2023q2,14035710,16.45711535431477,0,0
新疆维吾尔自治区,2023,3,2023q3,13860071,16.44452267436803,0,0
安徽省,2019,3,2019q3,13849027,16.4437255354222,0,0
吉林省,2019,1,2019q1,13802500,16.44036029314034,0,0
河北省,2017,1,2017q1,13715076,16.43400622371654,0,0
云南省,2018,3,2018q3,13590718,16.42489761769713,0,0
江西省,2022,1,2022q1,13562324,16.42280621222223,0,0
湖北省,2017,3,2017q3,13427780,16.41283625327195,0,0
湖南省,2019,2,2019q2,13341407,16.40638306515381,0,0
云南省,2017,2,2017q2,13314897,16.40439404156375,0,0
广西壮族自治区,2019,2,2019q2,13214981,16.39686166825937,0,0
贵州省,2021,3,2021q3,13200000,16.3957273875566,0,0
内蒙古自治区,2022,3,2022q3,13000003,16.38046014619502,0,0
辽宁省,2017,3,2017q3,12957490,16.37718455729189,0,0
河北省,2022,4,2022q4,12860015,16.36963344318053,0,0
吉林省,2018,2,2018q2,12716689,16.35842578325051,0,0
贵州省,2022,1,2022q1,12658026,16.35380203835225,0,0
湖北省,2018,1,2018q1,12618057,16.35063944125885,0,0
广西壮族自治区,2018,4,2018q4,12577929,16.34745416929306,0,0
湖北省,2017,4,2017q4,12440150,16.33643970308043,0,0
江西省,2018,2,2018q2,12341100,16.32844571347356,0,0
云南省,2021,1,2021q1,12320060,16.32673938618766,0,0
海南省,2021,3,2021q3,12109982,16.30954062915327,0,0
湖北省,2022,1,2022q1,11984732,16.29914406431567,0,0
天津市,2021,4,2021q4,11853727,16.28815289086394,0,0
河北省,2019,3,2019q3,11694602,16.27463792578387,0,0
新疆维吾尔自治区,2023,2,2023q2,11599609,16.26648194861195,0,0
四川省,2022,3,2022q3,11360468,16.2456501675918,0,0
贵州省,2023,1,2023q1,11324701,16.24249682721883,0,0
新疆维吾尔自治区,2021,2,2021q2,11089020,16.22146598752287,0,0
贵州省,2023,3,2023q3,10966268,16.21033457382313,0,0
湖南省,2020,2,2020q2,10833690,16.19817128116683,0,0
四川省,2017,1,2017q1,10820151,16.19692078692294,0,0
河北省,2018,1,2018q1,10752104,16.19061201431733,0,0
湖北省,2021,3,2021q3,10645230,16.18062246246428,0,0
新疆维吾尔自治区,2020,4,2020q4,10583243,16.17478245916537,0,0
河北省,2017,3,2017q3,10472598,16.16427268960151,0,0
广西壮族自治区,2018,2,2018q2,10401961,16.15750490402914,0,0
河北省,2023,3,2023q3,10385024,16.1558753263152,0,0
甘肃省,2021,1,2021q1,10270915,16.14482667238592,0,0
新疆维吾尔自治区,2023,1,2023q1,10164961,16.13445716834268,0,0
浙江省,2018,4,2018q4,10114374,16.1294681383841,0,0
海南省,2023,3,2023q3,10106862,16.12872515706035,0,0
河南省,2020,4,2020q4,10040100,16.12209763233762,0,0
湖北省,2021,2,2021q2,9905792,16.10863019453454,0,0
重庆市,2021,2,2021q2,9892094,16.10724641020668,0,0
湖北省,2017,2,2017q2,9738146,16.09156130842406,0,0
贵州省,2023,2,2023q2,9545443,16.07157442579889,0,0
甘肃省,2021,3,2021q3,9281468,16.04353028190689,0,0
江西省,2021,1,2021q1,9278654,16.04322705113917,0,0
黑龙江省,2021,2,2021q2,9136056,16.02773934045634,0,0
湖北省,2021,1,2021q1,9074073,16.02093178413732,0,0
湖北省,2023,1,2023q1,8487274,15.95407842310135,0,0
内蒙古自治区,2023,1,2023q1,8404422,15.94426855387006,0,0
江西省,2023,1,2023q1,8219491,15.92201884297399,0,0
四川省,2021,2,2021q2,8200470,15.91970202766509,0,0
新疆维吾尔自治区,2022,4,2022q4,8109586,15.90855737669982,0,0
天津市,2019,1,2019q1,7880830,15.87994378623649,0,0
湖南省,2019,1,2019q1,7776562,15.86662489617335,0,0
四川省,2021,3,2021q3,7679403,15.85405236772738,0,0
云南省,2020,3,2020q3,7669363,15.85274411904707,0,0
云南省,2019,1,2019q1,7542685,15.83608877739105,0,0
湖北省,2022,2,2022q2,7296583,15.80291671434217,0,0
湖南省,2018,3,2018q3,7221025,15.79250746755169,0,0
河北省,2018,4,2018q4,7204302,15.79018890555423,0,0
天津市,2022,3,2022q3,7109951,15.77700591005385,0,0
云南省,2018,1,2018q1,7035345,15.76645728783991,0,0
天津市,2020,3,2020q3,6979568,15.75849758170574,0,0
甘肃省,2023,3,2023q3,6967925,15.75682803396631,0,0
广西壮族自治区,2018,3,2018q3,6961308,15.75587794568826,0,0
四川省,2020,4,2020q4,6938293,15.75256633681066,0,0
四川省,2022,4,2022q4,6921979,15.75021226936757,0,0
吉林省,2023,1,2023q1,6893922,15.74615071180869,0,0
河北省,2023,1,2023q1,6864577,15.74188497838851,0,0
河北省,2022,3,2022q3,6835292,15.73760974851515,0,0
四川省,2023,2,2023q2,6763413,15.72703820226609,0,0
黑龙江省,2022,3,2022q3,6567328,15.69761761062903,0,0
四川省,2021,1,2021q1,6506618,15.68833037074494,0,0
新疆维吾尔自治区,2021,1,2021q1,6470928,15.68283008741283,0,0
内蒙古自治区,2022,4,2022q4,6438996,15.67788318530565,0,0
甘肃省,2022,4,2022q4,6394868,15.67100635165617,0,0
广西壮族自治区,2019,1,2019q1,6236087,15.64586346031329,0,0
河北省,2023,4,2023q4,6160932,15.63373862276651,0,0
上海市,2022,1,2022q1,5946082,15.59824307322881,0,0
广西壮族自治区,2019,4,2019q4,5940396,15.59728635578337,0,0
内蒙古自治区,2020,2,2020q2,5880925,15.5872246204276,0,0
内蒙古自治区,2022,1,2022q1,5875164,15.5862445324985,0,0
湖北省,2018,3,2018q3,5824553,15.57759281627409,0,0
