construction,depth,commodity,year,kg_per_capita,note
annual_growth_path_linear,0.0,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2036,6.04915,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2036,6.23026,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2036,5.7496,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2037,6.02564,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2037,6.20511,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2037,5.67751,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2038,6.00327,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2038,6.18007,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2038,5.60308,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2039,5.98281,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2039,6.15513,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2039,5.52691,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2040,5.96378,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2040,6.13029,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2040,5.44865,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2041,5.94636,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2041,6.10554,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2041,5.36844,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2042,5.93027,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2042,6.0809,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2042,5.28608,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2043,5.91602,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2043,6.05636,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2043,5.20191,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2044,5.90438,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2044,6.03192,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2044,5.11641,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2045,5.89456,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2045,6.00757,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2045,5.029,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2046,5.88752,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2046,5.98333,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2046,4.94023,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2047,5.88291,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2047,5.95918,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2047,4.8498,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2048,5.88164,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2048,5.93513,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2048,4.75812,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2049,5.883,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2049,5.91117,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2049,4.66468,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2050,5.88731,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2050,5.88731,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2050,4.56949,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2024,6.44071,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2024,6.44897,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2024,6.43939,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2025,6.31047,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2025,6.33348,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2025,6.30538,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2026,6.18418,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2026,6.22005,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2026,6.17284,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2027,6.06174,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2027,6.10866,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2027,6.04163,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2028,5.94258,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2028,5.99926,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2028,5.91122,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2029,5.82696,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2029,5.89182,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2029,5.78179,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2030,5.71493,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2030,5.7863,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2030,5.6534,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2031,5.60617,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2031,5.68268,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2031,5.52573,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2032,5.50028,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2032,5.58091,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2032,5.39843,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2033,5.39796,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2033,5.48096,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2033,5.2721,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2034,5.29903,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2034,5.3828,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2034,5.14654,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2035,5.20301,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2035,5.2864,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2035,5.02137,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2036,5.10916,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2036,5.19173,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2036,4.89602,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2037,5.0164,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2037,5.09875,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2037,4.76977,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2038,4.92568,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2038,5.00744,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2038,4.6434,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2039,4.83746,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2039,4.91776,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2039,4.5173,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2040,4.75146,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2040,4.82969,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2040,4.3913,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2041,4.66778,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2041,4.7432,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2041,4.26552,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2042,4.58626,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2042,4.65825,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2042,4.1399,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2043,4.50717,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2043,4.57483,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2043,4.01462,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2044,4.43094,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2044,4.4929,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2044,3.88996,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2045,4.35711,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2045,4.41243,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2045,3.76564,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2046,4.28619,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2046,4.33341,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2046,3.64195,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2047,4.21797,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2047,4.25581,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2047,3.51876,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2048,4.15292,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.75,CATM,2048,4.17959,Target-path diagnostic; model not solved here.
log_level_path,0.75,CATM,2048,3.39626,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.75,CATM,2049,4.09062,Target-path diagnostic; model not solved here.
