obs_id,province,provincechn,year,population_10k,expenditure_nominal,exp_food_nominal,deflator_total_2015,monetary_deflator,m,covered_food_exp,nonfood_exp,covered_daily_kcal,covered_food_budget_share,total_cpi_yoy,food_cpi_yoy,nonfood_cpi_yoy_approx,total_price_index_2023,food_price_index_2023,nonfood_price_index_2023,nonfood_relative_price_index_2023,national_nonfood_price_index_2023,food_budget_share_all,x_grain,p_grain_model,x_oil,p_oil_model,x_vegfruit,p_vegfruit_model,x_pork,p_pork_model,x_meatother,p_meatother_model,x_dairyegg,p_dairyegg_model,x_nonfood,p_nonfood_model
13_2021,13.0,河北,2021,7448,17764.069230849167,5026.458126722717,112.325615,0.976459514035629,18192.32541186648,2247.873871255091,15944.45154061139,1816.2776937612111,0.12356165692753325,101.0,100.8,101.07892308982638,97.6459514035629,96.89631416110565,97.97564407580406,100.33764090318354,97.84046525098036,0.28295645898484484,0.5344767167436192,752.3583330901165,0.11946945205479452,4954.477118688732,0.07265922054794521,6928.879108975324,0.10074575342465755,3326.847780058308,0.03032035068493151,9160.971817717767,0.05046735342465754,2723.9505158451343,162.7389305884544,97.97564407580406
13_2022,13.0,河北,2022,7420,18269.14003914663,5446.206924160474,114.34747,0.9940357852882704,18378.75487938151,2262.732490007259,16116.022389374251,1863.4844292345597,0.12311674565863764,101.8,103.1,101.24785885273516,99.40357852882704,99.90009990009992,99.19824182392829,99.79343127487185,99.60159362549801,0.29810964897584047,0.5579191238601565,757.937193201654,0.10834809002876712,5173.799199927134,0.073024749451863,7560.623655359686,0.10897668651673977,2860.3943659419842,0.030888953023863016,8776.022026748915,0.05258461173589041,2745.71758885005,162.46278253579686,99.19824182392829
13_2023,13.0,河北,2023,7393,19924.79924117339,5858.347703943769,115.03356,1.0,19924.79924117339,2324.6149430817018,17600.184298091688,1861.1292036344453,0.11666942863233602,100.6,100.1,100.8082382926653,100.0,100.0,100.0,100.0,100.0,0.29402292254156565,0.5269987324502501,767.589835104942,0.1115451541479452,5347.057800474389,0.07511302484430137,7429.319917177694,0.12345803223263017,2353.8314326919185,0.036823098930479456,8770.37430702746,0.05662655921161643,2685.440176787608,176.00184298091688,100.0
14_2015,14.0,山西,2015,3519,11729.05365,3089.4,100.0,0.8827779734385142,13286.527306876595,1741.0242712459037,11545.50303563069,1266.7705435031469,0.13103681880402387,100.6,100.6,100.6,88.27779734385142,80.18252025774028,91.66664699971555,103.83884709160131,89.40141690138984,0.263397209373324,0.40457443564242274,959.1141097712907,0.09795682183561644,6183.480059127165,0.04203485907935616,9058.916786956783,0.04775237388271234,3057.841206710675,0.011128082164616438,10631.89597576114,0.029938699146849317,3412.1418395416003,125.95096922947904,91.66664699971555
14_2016,14.0,山西,2016,3514,12544.861119109188,3064.391737644814,101.1,0.8924885311463377,14056.047423932956,1649.3260419329445,12406.72138200001,1279.8289522631844,0.11733924852335582,101.1,103.3,100.38888944718289,89.24885311463377,82.8285434262457,92.02312891648384,103.10847221564484,90.65303673800929,0.24427466422700556,0.4137836662872771,926.6241458578943,0.09763769060136987,5768.82326587053,0.04288402143854794,7885.6287220577515,0.045355224388438364,3603.879925677981,0.0112957694069726,9853.858722171255,0.028958104008986296,3098.2813870982677,134.8217728312608,92.02312891648384
14_2017,14.0,山西,2017,3510,13368.713790839005,3252.8607729633122,102.2121,0.9023059049889475,14816.16568939861,1681.2435838818244,13134.922105516785,1303.105090972112,0.1134735949318387,101.1,98.0,102.096838168602,90.23059049889474,81.17197255772079,93.9527050075465,104.12511376471303,92.7380565829835,0.24331890291438174,0.4173404089466041,942.5324434725777,0.09964196924794522,5835.927251070079,0.04426266467812329,7836.228461202568,0.04738972946868495,3144.5430595059343,0.01164673263587671,9889.865135250286,0.031271040508821915,3048.4246956586717,139.8035543996499,93.9527050075465
14_2018,14.0,山西,2018,3502,14234.363164551633,3544.8645571538846,104.04485,0.9185474112787485,15496.601470723625,1649.0457836173705,13847.555687106254,1322.7231188891485,0.10641338274929305,101.8,102.0,101.73367575622864,91.85474112787485,82.7954120088752,95.58154027658333,104.05727467406419,94.77829382780914,0.24903569735959763,0.4232713476156427,915.4920064893199,0.09187050602465753,5607.36269661454,0.04807865465987671,7896.315850680074,0.05426418647564385,2697.0151360225614,0.011346406217356164,10036.596805224985,0.032530458451397265,3274.4119031044365,144.8768836224623,95.58154027658333
14_2019,14.0,山西,2019,3497,14845.481085533362,3740.8029373443833,106.854065,0.9433481913832747,15737.011234170865,1722.504270838023,14014.506963332842,1349.3714445744774,0.10945561677542874,102.7,108.0,100.91460331372517,94.33481913832748,89.41904496958523,96.45573221126251,102.24828233340337,96.10518994139846,0.2519826010212444,0.42856244261888254,831.2553981405372,0.09119967889315067,5024.655243213653,0.05372373694978082,9083.423826220145,0.05132154909945207,3576.682950994238,0.012534556345479453,9760.571807402814,0.03734375838049314,3055.7091192696807,145.2947029901501,96.45573221126251
14_2020,14.0,山西,2020,3490,14308.86251193298,3967.519342913394,109.952835,0.9707052889333899,14740.686668819479,1731.3204766217398,13009.366192197738,1519.4061823589848,0.11745181995381183,102.9,108.2,100.86662269361338,97.07052889333899,96.75140665709122,97.29163947589626,100.22778343239504,96.48961070116405,0.27727706095468124,0.48987021253620483,742.7726904472592,0.10621850393835616,4570.257114873318,0.05553457785842465,7265.851562410106,0.04910700128326029,4923.295199430433,0.015545191770369863,8624.330936076323,0.04342760379287672,2364.193215709069,133.71515026654242,97.29163947589626
14_2021,14.0,山西,2021,3480,15480.291977794832,4162.360869904241,111.05236,0.9804123418227237,15789.572731219196,1791.7925986164091,13997.780132602787,1545.7745303185557,0.11347948605814208,101.0,99.8,101.44132032579724,98.04123418227238,96.55790384377704,98.69392365096373,100.66572955158632,97.84046525098036,0.2688812895696538,0.47635468022777105,758.3060012222279,0.10961630136986303,4982.985267469923,0.06128499452054795,6751.4557819600295,0.06397355342465753,3037.2860027855368,0.015730250684931505,9473.759253580634,0.04592748493150685,2770.8909887574127,141.83021218313982,98.69392365096373
14_2022,14.0,山西,2022,3481,15466.846100885454,4461.105146119564,113.38446,1.0010010010010009,15451.37925478457,1597.6202373267174,13853.759017457853,1384.0731108529092,0.10339661016552999,102.1,104.4,101.16771003622141,100.1001001001001,100.80645161290323,99.84638250257672,99.74653612007415,99.60159362549801,0.2884301761988937,0.4103578519721121,755.5346437340647,0.0968672111671233,4922.836167645628,0.053027777078589036,6880.403522789298,0.07352573181189043,2571.7386967077746,0.014836086931753426,9066.018884204908,0.0434218964649863,2815.9418400119594,138.75073558223636,99.84638250257672
14_2023,14.0,山西,2023,3466,17441.091466302805,4641.6839835367755,113.27107,1.0,17441.091466302805,1603.0751205869476,15838.016345715858,1258.443449889465,0.09191369265416567,99.9,99.2,100.1538538438479,100.0,100.0,100.0,100.0,100.0,0.26613494875047106,0.3493339851388695,771.1569964145249,0.10038829614657534,5312.108589960856,0.05101385413653424,7544.868227238039,0.07199444673271235,2081.049021440447,0.016638423240561646,9273.181837145357,0.03985271954947944,2795.350994619254,158.38016345715857,100.0
15_2015,15.0,内蒙古,2015,2440,17178.53425,4919.8,100.0,0.8851965058657529,19406.46414233052,2699.8098261943533,16706.654316136166,1584.6143910071887,0.13911910002736508,101.1,101.1,101.1,88.5196505865753,82.00289799855352,91.31482796936545,103.15769138746924,89.40141690138984,0.286392303813697,0.4812523720752793,990.9173088894279,0.09982787356849315,6384.133754197892,0.048227936149917806,12875.227188766668,0.08490025983452057,3161.0025497499964,0.04448743497160274,12109.952857136954,0.033611318903780815,4687.638444821258,182.95664228531385,91.31482796936545
15_2016,15.0,内蒙古,2016,2436,17857.986230219853,5107.707663907972,101.2,0.895818863936142,19934.818241886063,2770.9865929177477,17163.831648968317,1634.2076515023548,0.13900235052534798,101.2,102.6,100.6391659215694,89.5818863936142,84.13497334651592,91.89848123108537,102.58600809910641,90.65303673800929,0.28601812085981715,0.4799870430393692,957.3635870784177,0.11685353907945206,6012.846523457665,0.05259012965747946,11258.709230594459,0.08312149281205482,3565.222691094727,0.050490280386493155,11410.321629773043,0.03406134077632876,4236.125979037898,186.76948105169032,91.89848123108537
15_2017,15.0,内蒙古,2017,2433,18407.955487224222,5057.567689267013,102.920395,0.9110477846230565,20205.257943567103,2522.4619586726567,17682.795984894445,1572.503635421806,0.12484185877348582,101.7,99.3,102.60919924109608,91.10477846230565,83.54602853309031,94.29629570594568,103.50312826342092,92.7380565829835,0.27474901776990635,0.4683710741948344,939.0840181583729,0.10269542369589041,5899.7172520804015,0.0493423916280685,10504.577283907218,0.08562454120504111,3232.741890281099,0.04649733754126027,11710.46741346907,0.03372104944580823,4066.2922472542787,187.52376063675518,94.29629570594568
