obs_id,province,provincechn,year,population_10k,group,group_label,x,p,m
11_2019,11,北京,2019,2190,vegfruit,Vegetables and fruits,0.06964763426446574,11611.676427500845,41748.69958820237
11_2019,11,北京,2019,2190,pork,Pork,0.0734307940511507,3763.6311465252966,41748.69958820237
11_2019,11,北京,2019,2190,meatother,Non-pork meat/aquatic,0.03563571098676713,11537.902259916926,41748.69958820237
11_2019,11,北京,2019,2190,dairyegg,Dairy and eggs,0.048354694416767124,3402.426686774663,41748.69958820237
11_2019,11,北京,2019,2190,nonfood,Other/non-covered residual,410.861081099359,95.94713416408183,41748.69958820237
11_2020,11,北京,2020,2189,grain,Staples,0.3296421438348593,784.1354173872052,36486.48837370888
11_2020,11,北京,2020,2189,oil,Oils and fats,0.09269882345342464,4571.168590822027,36486.48837370888
11_2020,11,北京,2020,2189,vegfruit,Vegetables and fruits,0.07043756775884932,8273.924973478881,36486.48837370888
11_2020,11,北京,2020,2189,pork,Pork,0.07711796269430138,5364.40194662875,36486.48837370888
11_2020,11,北京,2020,2189,meatother,Non-pork meat/aquatic,0.0392419875829589,12283.614999793828,36486.48837370888
11_2020,11,北京,2020,2189,dairyegg,Dairy and eggs,0.05363361613917808,2702.5288281914004,36486.48837370888
11_2020,11,北京,2020,2189,nonfood,Other/non-covered residual,354.4980560512607,96.42026239299054,36486.48837370888
11_2021,11,北京,2021,2189,grain,Staples,0.33796887899956124,802.3101852856556,40043.44138787901
11_2021,11,北京,2021,2189,oil,Oils and fats,0.08498342465753424,5223.899098782642,40043.44138787901
11_2021,11,北京,2021,2189,vegfruit,Vegetables and fruits,0.06739924657534246,7347.770117225862,40043.44138787901
11_2021,11,北京,2021,2189,pork,Pork,0.09318982191780824,3523.435038217715,40043.44138787901
11_2021,11,北京,2021,2189,meatother,Non-pork meat/aquatic,0.04028374520547945,12864.571756362982,40043.44138787901
11_2021,11,北京,2021,2189,dairyegg,Dairy and eggs,0.052162476712328765,2905.7703312972867,40043.44138787901
11_2021,11,北京,2021,2189,nonfood,Other/non-covered residual,385.95380089374305,98.0297456046444,40043.44138787901
11_2022,11,北京,2022,2184,grain,Staples,0.29045760454528635,800.2778869169978,37792.536036472404
11_2022,11,北京,2022,2184,oil,Oils and fats,0.07438381159315068,5058.407794032156,37792.536036472404
11_2022,11,北京,2022,2184,vegfruit,Vegetables and fruits,0.05874473892142465,7540.367240505511,37792.536036472404
11_2022,11,北京,2022,2184,pork,Pork,0.08833436521964386,2851.2572557112735,37792.536036472404
11_2022,11,北京,2022,2184,meatother,Non-pork meat/aquatic,0.03672699116046575,12466.697650638795,37792.536036472404
11_2022,11,北京,2022,2184,dairyegg,Dairy and eggs,0.046521101183671226,2895.720773140035,37792.536036472404
11_2022,11,北京,2022,2184,nonfood,Other/non-covered residual,361.76134630235634,99.22682076148351,37792.536036472404
11_2023,11,北京,2023,2186,grain,Staples,0.28137973277819794,832.5932501877371,41799.109015962975
11_2023,11,北京,2023,2186,oil,Oils and fats,0.07752926983561644,5516.518798605855,41799.109015962975
11_2023,11,北京,2023,2186,vegfruit,Vegetables and fruits,0.0625574987029863,7132.452277843986,41799.109015962975
11_2023,11,北京,2023,2186,pork,Pork,0.0917772657090411,2532.376701962099,41799.109015962975
11_2023,11,北京,2023,2186,meatother,Non-pork meat/aquatic,0.03950706376858904,12340.483134409262,41799.109015962975
11_2023,11,北京,2023,2186,dairyegg,Dairy and eggs,0.04753628683583561,2860.41924000051,41799.109015962975
11_2023,11,北京,2023,2186,nonfood,Other/non-covered residual,398.3502952806045,100.0,41799.109015962975
12_2015,12,天津,2015,1439,grain,Staples,0.3916584675059102,1018.9491232795402,27892.070044926553
12_2015,12,天津,2015,1439,oil,Oils and fats,0.135591645230137,5781.40814318676,27892.070044926553
12_2015,12,天津,2015,1439,vegfruit,Vegetables and fruits,0.06437066645275343,10694.97964012559,27892.070044926553
12_2015,12,天津,2015,1439,pork,Pork,0.07950842770783562,3665.7348264391735,27892.070044926553
12_2015,12,天津,2015,1439,meatother,Non-pork meat/aquatic,0.03869395884849315,10791.602935828834,27892.070044926553
12_2015,12,天津,2015,1439,dairyegg,Dairy and eggs,0.04375313487704109,3361.7227353625044,27892.070044926553
12_2015,12,天津,2015,1439,nonfood,Other/non-covered residual,281.61267890076846,89.35863229395531,27892.070044926553
12_2016,12,天津,2016,1443,grain,Staples,0.3901662995398668,941.1585515676637,28934.54783657256
12_2016,12,天津,2016,1443,oil,Oils and fats,0.13549281812876712,5286.942776598337,28934.54783657256
12_2016,12,天津,2016,1443,vegfruit,Vegetables and fruits,0.07142678030967123,8160.621505017444,28934.54783657256
12_2016,12,天津,2016,1443,pork,Pork,0.081014642206274,3709.2015496242257,28934.54783657256
12_2016,12,天津,2016,1443,meatother,Non-pork meat/aquatic,0.041439502475068495,9981.354575917258,28934.54783657256
12_2016,12,天津,2016,1443,dairyegg,Dairy and eggs,0.04554484894443835,2986.78175121611,28934.54783657256
12_2016,12,天津,2016,1443,nonfood,Other/non-covered residual,290.44087735710514,90.9581168613302,28934.54783657256
12_2017,12,天津,2017,1410,grain,Staples,0.369275096173772,937.6225987779806,29575.186358605974
12_2017,12,天津,2017,1410,oil,Oils and fats,0.13431470153424657,5129.759410798467,29575.186358605974
12_2017,12,天津,2017,1410,vegfruit,Vegetables and fruits,0.06997625361460273,10427.023853868492,29575.186358605974
12_2017,12,天津,2017,1410,pork,Pork,0.07981485599145208,3922.594251687216,29575.186358605974
12_2017,12,天津,2017,1410,meatother,Non-pork meat/aquatic,0.041612037389342466,10311.612755623619,29575.186358605974
12_2017,12,天津,2017,1410,dairyegg,Dairy and eggs,0.04666552874334246,2739.9345423279588,29575.186358605974
12_2017,12,天津,2017,1410,nonfood,Other/non-covered residual,287.30245879693734,93.76971788284739,29575.186358605974
12_2018,12,天津,2018,1383,grain,Staples,0.36371157488223427,901.4602329125362,30546.363721039343
12_2018,12,天津,2018,1383,oil,Oils and fats,0.12208846877260275,4915.263206428519,30546.363721039343
12_2018,12,天津,2018,1383,vegfruit,Vegetables and fruits,0.07050427453306848,9702.68386414955,30546.363721039343
12_2018,12,天津,2018,1383,pork,Pork,0.08465258647430139,2358.263067244285,30546.363721039343
12_2018,12,天津,2018,1383,meatother,Non-pork meat/aquatic,0.04011384251423288,10799.360206686397,30546.363721039343
12_2018,12,天津,2018,1383,dairyegg,Dairy and eggs,0.046639640199890406,3047.8481022767774,30546.363721039343
12_2018,12,天津,2018,1383,nonfood,Other/non-covered residual,296.0679456309848,95.11102950702079,30546.363721039343
12_2019,12,天津,2019,1385,grain,Staples,0.3234035243258499,847.4222749900138,30850.637662215635
12_2019,12,天津,2019,1385,oil,Oils and fats,0.10742854474109591,4595.007143694107,30850.637662215635
12_2019,12,天津,2019,1385,vegfruit,Vegetables and fruits,0.07131544184339726,10519.643423978485,30850.637662215635
12_2019,12,天津,2019,1385,pork,Pork,0.0757874387152603,3165.4561274171333,30850.637662215635
12_2019,12,天津,2019,1385,meatother,Non-pork meat/aquatic,0.041012840055835616,10800.380172840061,30850.637662215635
12_2019,12,天津,2019,1385,dairyegg,Dairy and eggs,0.046820093746410954,2844.923235420528,30850.637662215635
12_2019,12,天津,2019,1385,nonfood,Other/non-covered residual,295.6747115079821,96.44610649215656,30850.637662215635
12_2020,12,天津,2020,1387,grain,Staples,0.34173618641879705,787.320985363034,26494.83359782864
12_2020,12,天津,2020,1387,oil,Oils and fats,0.11870472439726028,4366.468460382302,26494.83359782864
12_2020,12,天津,2020,1387,vegfruit,Vegetables and fruits,0.07043950022834246,8096.7300260006205,26494.83359782864
12_2020,12,天津,2020,1387,pork,Pork,0.07093226914249315,4727.664875684682,26494.83359782864
12_2020,12,天津,2020,1387,meatother,Non-pork meat/aquatic,0.04256222942956164,9688.955138720541,26494.83359782864
12_2020,12,天津,2020,1387,dairyegg,Dairy and eggs,0.052223247336000006,2193.1589312128544,26494.83359782864
12_2020,12,天津,2020,1387,nonfood,Other/non-covered residual,252.68158419558443,96.06899585560166,26494.83359782864
12_2021,12,天津,2021,1373,grain,Staples,0.3296657309258686,810.4093782207206,30106.96853468121
12_2021,12,天津,2021,1373,oil,Oils and fats,0.10468972602739726,4606.800440079221,30106.96853468121
12_2021,12,天津,2021,1373,vegfruit,Vegetables and fruits,0.07004762876712328,7948.973055591135,30106.96853468121
12_2021,12,天津,2021,1373,pork,Pork,0.08865626301369865,3702.2142750254834,30106.96853468121
12_2021,12,天津,2021,1373,meatother,Non-pork meat/aquatic,0.04193516849315069,10265.49976482978,30106.96853468121
12_2021,12,天津,2021,1373,dairyegg,Dairy and eggs,0.049799452054794524,2711.1201019863956,30106.96853468121
12_2021,12,天津,2021,1373,nonfood,Other/non-covered residual,285.5827895752749,97.71944151891707,30106.96853468121
12_2022,12,天津,2022,1363,grain,Staples,0.3113000469055084,797.8021947879951,27366.21903872929
12_2022,12,天津,2022,1363,oil,Oils and fats,0.10181897362602739,5134.34470352187,27366.21903872929
12_2022,12,天津,2022,1363,vegfruit,Vegetables and fruits,0.06493043331661644,8602.24462572005,27366.21903872929
12_2022,12,天津,2022,1363,pork,Pork,0.09226918707386304,3764.1659058860178,27366.21903872929
12_2022,12,天津,2022,1363,meatother,Non-pork meat/aquatic,0.04246734483921918,10200.164843236855,27366.21903872929
12_2022,12,天津,2022,1363,dairyegg,Dairy and eggs,0.04829969742213698,2774.429587357083,27366.21903872929
12_2022,12,天津,2022,1363,nonfood,Other/non-covered residual,252.81477743300715,99.36937903156748,27366.21903872929
12_2023,12,天津,2023,1364,grain,Staples,0.3017694690540021,788.9353543842642,30260.014654929626
12_2023,12,天津,2023,1364,oil,Oils and fats,0.09093333591369862,5585.000022553961,30260.014654929626
12_2023,12,天津,2023,1364,vegfruit,Vegetables and fruits,0.065562965456863,7826.720397252748,30260.014654929626
12_2023,12,天津,2023,1364,pork,Pork,0.0921996926531507,3273.6312989881085,30260.014654929626
12_2023,12,天津,2023,1364,meatother,Non-pork meat/aquatic,0.042932071629931505,9549.667745942923,30260.014654929626
12_2023,12,天津,2023,1364,dairyegg,Dairy and eggs,0.04805397479747945,2693.757093916584,30260.014654929626
12_2023,12,天津,2023,1364,nonfood,Other/non-covered residual,281.5967181490573,100.0,30260.014654929626
13_2015,13,河北,2015,7345,grain,Staples,0.40449459318559416,902.7616041087346,14982.504500615893
13_2015,13,河北,2015,7345,oil,Oils and fats,0.11976409820958904,6084.907513279655,14982.504500615893
13_2015,13,河北,2015,7345,vegfruit,Vegetables and fruits,0.048519723864041096,9088.837861622536,14982.504500615893
13_2015,13,河北,2015,7345,pork,Pork,0.06234689737800002,3156.76889863347,14982.504500615893
13_2015,13,河北,2015,7345,meatother,Non-pork meat/aquatic,0.018453032078164386,9961.336156011983,14982.504500615893
13_2015,13,河北,2015,7345,dairyegg,Dairy and eggs,0.03350569327331507,3307.304003235574,14982.504500615893
13_2015,13,河北,2015,7345,nonfood,Other/non-covered residual,143.5438238695026,90.25923570628747,14982.504500615893
13_2016,13,河北,2016,7375,grain,Staples,0.4016523763961287,858.7121859742944,15900.96311488997
13_2016,13,河北,2016,7375,oil,Oils and fats,0.12477416668767125,5779.784017431819,15900.96311488997
13_2016,13,河北,2016,7375,vegfruit,Vegetables and fruits,0.052650490066534245,7342.772358812132,15900.96311488997
13_2016,13,河北,2016,7375,pork,Pork,0.06118588820367125,3458.9629413147272,15900.96311488997
13_2016,13,河北,2016,7375,meatother,Non-pork meat/aquatic,0.020582833062054794,9346.081284982913,15900.96311488997
13_2016,13,河北,2016,7375,dairyegg,Dairy and eggs,0.03590961128865753,3135.5176388594946,15900.96311488997
13_2016,13,河北,2016,7375,nonfood,Other/non-covered residual,152.89837433574175,91.11730139335337,15900.96311488997
13_2017,13,河北,2017,7409,grain,Staples,0.38372460963089516,863.3142682485955,16657.34524256532
13_2017,13,河北,2017,7409,oil,Oils and fats,0.1147937995109589,5667.74599814619,16657.34524256532
13_2017,13,河北,2017,7409,vegfruit,Vegetables and fruits,0.05121521958650685,8176.17981029197,16657.34524256532
13_2017,13,河北,2017,7409,pork,Pork,0.061804839888986315,3061.7857794781285,16657.34524256532
13_2017,13,河北,2017,7409,meatother,Non-pork meat/aquatic,0.019681925855424658,9926.036983543496,16657.34524256532
13_2017,13,河北,2017,7409,dairyegg,Dairy and eggs,0.03656071941106849,2918.060314702304,16657.34524256532
13_2017,13,河北,2017,7409,nonfood,Other/non-covered residual,157.759635269825,93.59441188090922,16657.34524256532
13_2018,13,河北,2018,7426,grain,Staples,0.4023691902445706,841.2166507484621,17199.816914139366
13_2018,13,河北,2018,7426,oil,Oils and fats,0.09414909638630138,5436.577609160692,17199.816914139366
13_2018,13,河北,2018,7426,vegfruit,Vegetables and fruits,0.05612028999183562,8958.743811591361,17199.816914139366
13_2018,13,河北,2018,7426,pork,Pork,0.07975325500052056,2593.432932923401,17199.816914139366
13_2018,13,河北,2018,7426,meatother,Non-pork meat/aquatic,0.02140976463831507,9944.971149713992,17199.816914139366
13_2018,13,河北,2018,7426,dairyegg,Dairy and eggs,0.036080772061808215,3131.855866369739,17199.816914139366
13_2018,13,河北,2018,7426,nonfood,Other/non-covered residual,159.67868319228106,95.90489342769627,17199.816914139366
13_2019,13,河北,2019,7447,grain,Staples,0.44245091236066636,761.3808522055897,17438.933513175827
13_2019,13,河北,2019,7447,oil,Oils and fats,0.09374599167534246,4838.281822188565,17438.933513175827
13_2019,13,河北,2019,7447,vegfruit,Vegetables and fruits,0.060679880166945206,10584.99193176981,17438.933513175827
13_2019,13,河北,2019,7447,pork,Pork,0.06896153108687672,3664.434339768811,17438.933513175827
13_2019,13,河北,2019,7447,meatother,Non-pork meat/aquatic,0.023591344103876713,9535.853805624747,17438.933513175827
13_2019,13,河北,2019,7447,dairyegg,Dairy and eggs,0.03987169945906849,2978.695290943126,17438.933513175827
13_2019,13,河北,2019,7447,nonfood,Other/non-covered residual,158.48376238254002,97.23242182592396,17438.933513175827
13_2020,13,河北,2020,7464,grain,Staples,0.4975118365019062,702.3670685013428,16775.443657228352
13_2020,13,河北,2020,7464,oil,Oils and fats,0.1080094741890411,4517.839237815699,16775.443657228352
13_2020,13,河北,2020,7464,vegfruit,Vegetables and fruits,0.06503538404054793,7424.44170346328,16775.443657228352
13_2020,13,河北,2020,7464,pork,Pork,0.06517067995158905,5149.178035024496,16775.443657228352
13_2020,13,河北,2020,7464,meatother,Non-pork meat/aquatic,0.028121733231260274,8871.683900366783,16775.443657228352
13_2020,13,河北,2020,7464,dairyegg,Dairy and eggs,0.04688478711736986,2333.2519953548917,16775.443657228352
13_2020,13,河北,2020,7464,nonfood,Other/non-covered residual,152.2826142382468,96.92984559079194,16775.443657228352
13_2021,13,河北,2021,7448,grain,Staples,0.5344767167436192,752.3583330901165,18192.32541186648
13_2021,13,河北,2021,7448,oil,Oils and fats,0.11946945205479452,4954.477118688732,18192.32541186648
13_2021,13,河北,2021,7448,vegfruit,Vegetables and fruits,0.07265922054794521,6928.879108975324,18192.32541186648
13_2021,13,河北,2021,7448,pork,Pork,0.10074575342465755,3326.847780058308,18192.32541186648
13_2021,13,河北,2021,7448,meatother,Non-pork meat/aquatic,0.03032035068493151,9160.971817717767,18192.32541186648
13_2021,13,河北,2021,7448,dairyegg,Dairy and eggs,0.05046735342465754,2723.9505158451343,18192.32541186648
13_2021,13,河北,2021,7448,nonfood,Other/non-covered residual,162.7389305884544,97.97564407580406,18192.32541186648
13_2022,13,河北,2022,7420,grain,Staples,0.5579191238601565,757.937193201654,18378.75487938151
13_2022,13,河北,2022,7420,oil,Oils and fats,0.10834809002876712,5173.799199927134,18378.75487938151
13_2022,13,河北,2022,7420,vegfruit,Vegetables and fruits,0.073024749451863,7560.623655359686,18378.75487938151
13_2022,13,河北,2022,7420,pork,Pork,0.10897668651673977,2860.3943659419842,18378.75487938151
13_2022,13,河北,2022,7420,meatother,Non-pork meat/aquatic,0.030888953023863016,8776.022026748915,18378.75487938151
13_2022,13,河北,2022,7420,dairyegg,Dairy and eggs,0.05258461173589041,2745.71758885005,18378.75487938151
13_2022,13,河北,2022,7420,nonfood,Other/non-covered residual,162.46278253579686,99.19824182392829,18378.75487938151
13_2023,13,河北,2023,7393,grain,Staples,0.5269987324502501,767.589835104942,19924.79924117339
13_2023,13,河北,2023,7393,oil,Oils and fats,0.1115451541479452,5347.057800474389,19924.79924117339
13_2023,13,河北,2023,7393,vegfruit,Vegetables and fruits,0.07511302484430137,7429.319917177694,19924.79924117339
13_2023,13,河北,2023,7393,pork,Pork,0.12345803223263017,2353.8314326919185,19924.79924117339
13_2023,13,河北,2023,7393,meatother,Non-pork meat/aquatic,0.036823098930479456,8770.37430702746,19924.79924117339
13_2023,13,河北,2023,7393,dairyegg,Dairy and eggs,0.05662655921161643,2685.440176787608,19924.79924117339
13_2023,13,河北,2023,7393,nonfood,Other/non-covered residual,176.00184298091688,100.0,19924.79924117339
14_2015,14,山西,2015,3519,grain,Staples,0.40457443564242274,959.1141097712907,13286.527306876595
14_2015,14,山西,2015,3519,oil,Oils and fats,0.09795682183561644,6183.480059127165,13286.527306876595
14_2015,14,山西,2015,3519,vegfruit,Vegetables and fruits,0.04203485907935616,9058.916786956783,13286.527306876595
14_2015,14,山西,2015,3519,pork,Pork,0.04775237388271234,3057.841206710675,13286.527306876595
14_2015,14,山西,2015,3519,meatother,Non-pork meat/aquatic,0.011128082164616438,10631.89597576114,13286.527306876595
14_2015,14,山西,2015,3519,dairyegg,Dairy and eggs,0.029938699146849317,3412.1418395416003,13286.527306876595
14_2015,14,山西,2015,3519,nonfood,Other/non-covered residual,125.95096922947904,91.66664699971555,13286.527306876595
14_2016,14,山西,2016,3514,grain,Staples,0.4137836662872771,926.6241458578943,14056.047423932956
14_2016,14,山西,2016,3514,oil,Oils and fats,0.09763769060136987,5768.82326587053,14056.047423932956
14_2016,14,山西,2016,3514,vegfruit,Vegetables and fruits,0.04288402143854794,7885.6287220577515,14056.047423932956
14_2016,14,山西,2016,3514,pork,Pork,0.045355224388438364,3603.879925677981,14056.047423932956
14_2016,14,山西,2016,3514,meatother,Non-pork meat/aquatic,0.0112957694069726,9853.858722171255,14056.047423932956
14_2016,14,山西,2016,3514,dairyegg,Dairy and eggs,0.028958104008986296,3098.2813870982677,14056.047423932956
14_2016,14,山西,2016,3514,nonfood,Other/non-covered residual,134.8217728312608,92.02312891648384,14056.047423932956
14_2017,14,山西,2017,3510,grain,Staples,0.4173404089466041,942.5324434725777,14816.16568939861
14_2017,14,山西,2017,3510,oil,Oils and fats,0.09964196924794522,5835.927251070079,14816.16568939861
14_2017,14,山西,2017,3510,vegfruit,Vegetables and fruits,0.04426266467812329,7836.228461202568,14816.16568939861
14_2017,14,山西,2017,3510,pork,Pork,0.04738972946868495,3144.5430595059343,14816.16568939861
14_2017,14,山西,2017,3510,meatother,Non-pork meat/aquatic,0.01164673263587671,9889.865135250286,14816.16568939861
14_2017,14,山西,2017,3510,dairyegg,Dairy and eggs,0.031271040508821915,3048.4246956586717,14816.16568939861
14_2017,14,山西,2017,3510,nonfood,Other/non-covered residual,139.8035543996499,93.9527050075465,14816.16568939861
14_2018,14,山西,2018,3502,grain,Staples,0.4232713476156427,915.4920064893199,15496.601470723625
14_2018,14,山西,2018,3502,oil,Oils and fats,0.09187050602465753,5607.36269661454,15496.601470723625
14_2018,14,山西,2018,3502,vegfruit,Vegetables and fruits,0.04807865465987671,7896.315850680074,15496.601470723625
14_2018,14,山西,2018,3502,pork,Pork,0.05426418647564385,2697.0151360225614,15496.601470723625
14_2018,14,山西,2018,3502,meatother,Non-pork meat/aquatic,0.011346406217356164,10036.596805224985,15496.601470723625
14_2018,14,山西,2018,3502,dairyegg,Dairy and eggs,0.032530458451397265,3274.4119031044365,15496.601470723625
14_2018,14,山西,2018,3502,nonfood,Other/non-covered residual,144.8768836224623,95.58154027658333,15496.601470723625
14_2019,14,山西,2019,3497,grain,Staples,0.42856244261888254,831.2553981405372,15737.011234170865
14_2019,14,山西,2019,3497,oil,Oils and fats,0.09119967889315067,5024.655243213653,15737.011234170865
14_2019,14,山西,2019,3497,vegfruit,Vegetables and fruits,0.05372373694978082,9083.423826220145,15737.011234170865
14_2019,14,山西,2019,3497,pork,Pork,0.05132154909945207,3576.682950994238,15737.011234170865
14_2019,14,山西,2019,3497,meatother,Non-pork meat/aquatic,0.012534556345479453,9760.571807402814,15737.011234170865
14_2019,14,山西,2019,3497,dairyegg,Dairy and eggs,0.03734375838049314,3055.7091192696807,15737.011234170865
14_2019,14,山西,2019,3497,nonfood,Other/non-covered residual,145.2947029901501,96.45573221126251,15737.011234170865
14_2020,14,山西,2020,3490,grain,Staples,0.48987021253620483,742.7726904472592,14740.686668819479
14_2020,14,山西,2020,3490,oil,Oils and fats,0.10621850393835616,4570.257114873318,14740.686668819479
14_2020,14,山西,2020,3490,vegfruit,Vegetables and fruits,0.05553457785842465,7265.851562410106,14740.686668819479
14_2020,14,山西,2020,3490,pork,Pork,0.04910700128326029,4923.295199430433,14740.686668819479
14_2020,14,山西,2020,3490,meatother,Non-pork meat/aquatic,0.015545191770369863,8624.330936076323,14740.686668819479
14_2020,14,山西,2020,3490,dairyegg,Dairy and eggs,0.04342760379287672,2364.193215709069,14740.686668819479
14_2020,14,山西,2020,3490,nonfood,Other/non-covered residual,133.71515026654242,97.29163947589626,14740.686668819479
14_2021,14,山西,2021,3480,grain,Staples,0.47635468022777105,758.3060012222279,15789.572731219196
14_2021,14,山西,2021,3480,oil,Oils and fats,0.10961630136986303,4982.985267469923,15789.572731219196
14_2021,14,山西,2021,3480,vegfruit,Vegetables and fruits,0.06128499452054795,6751.4557819600295,15789.572731219196
14_2021,14,山西,2021,3480,pork,Pork,0.06397355342465753,3037.2860027855368,15789.572731219196
14_2021,14,山西,2021,3480,meatother,Non-pork meat/aquatic,0.015730250684931505,9473.759253580634,15789.572731219196
14_2021,14,山西,2021,3480,dairyegg,Dairy and eggs,0.04592748493150685,2770.8909887574127,15789.572731219196
14_2021,14,山西,2021,3480,nonfood,Other/non-covered residual,141.83021218313982,98.69392365096373,15789.572731219196
14_2022,14,山西,2022,3481,grain,Staples,0.4103578519721121,755.5346437340647,15451.37925478457
14_2022,14,山西,2022,3481,oil,Oils and fats,0.0968672111671233,4922.836167645628,15451.37925478457
14_2022,14,山西,2022,3481,vegfruit,Vegetables and fruits,0.053027777078589036,6880.403522789298,15451.37925478457
14_2022,14,山西,2022,3481,pork,Pork,0.07352573181189043,2571.7386967077746,15451.37925478457
14_2022,14,山西,2022,3481,meatother,Non-pork meat/aquatic,0.014836086931753426,9066.018884204908,15451.37925478457
14_2022,14,山西,2022,3481,dairyegg,Dairy and eggs,0.0434218964649863,2815.9418400119594,15451.37925478457
14_2022,14,山西,2022,3481,nonfood,Other/non-covered residual,138.75073558223636,99.84638250257672,15451.37925478457
14_2023,14,山西,2023,3466,grain,Staples,0.3493339851388695,771.1569964145249,17441.091466302805
14_2023,14,山西,2023,3466,oil,Oils and fats,0.10038829614657534,5312.108589960856,17441.091466302805
14_2023,14,山西,2023,3466,vegfruit,Vegetables and fruits,0.05101385413653424,7544.868227238039,17441.091466302805
14_2023,14,山西,2023,3466,pork,Pork,0.07199444673271235,2081.049021440447,17441.091466302805
14_2023,14,山西,2023,3466,meatother,Non-pork meat/aquatic,0.016638423240561646,9273.181837145357,17441.091466302805
14_2023,14,山西,2023,3466,dairyegg,Dairy and eggs,0.03985271954947944,2795.350994619254,17441.091466302805
14_2023,14,山西,2023,3466,nonfood,Other/non-covered residual,158.38016345715857,100.0,17441.091466302805
15_2015,15,内蒙古,2015,2440,grain,Staples,0.4812523720752793,990.9173088894279,19406.46414233052
15_2015,15,内蒙古,2015,2440,oil,Oils and fats,0.09982787356849315,6384.133754197892,19406.46414233052
15_2015,15,内蒙古,2015,2440,vegfruit,Vegetables and fruits,0.048227936149917806,12875.227188766668,19406.46414233052
15_2015,15,内蒙古,2015,2440,pork,Pork,0.08490025983452057,3161.0025497499964,19406.46414233052
15_2015,15,内蒙古,2015,2440,meatother,Non-pork meat/aquatic,0.04448743497160274,12109.952857136954,19406.46414233052
15_2015,15,内蒙古,2015,2440,dairyegg,Dairy and eggs,0.033611318903780815,4687.638444821258,19406.46414233052
15_2015,15,内蒙古,2015,2440,nonfood,Other/non-covered residual,182.95664228531385,91.31482796936545,19406.46414233052
15_2016,15,内蒙古,2016,2436,grain,Staples,0.4799870430393692,957.3635870784177,19934.818241886063
