path,bytes,mtime,sha256,generating_script,git_commit,manifest_built_at,r_version
_log_44_audit_response.txt,301,2026-07-11 12:14:42 CST,cd589df7674de43cf91b4a3515ed64a05eda64847c277b6920ddf83f1667f451,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_log_45_manifest.txt,228,2026-07-11 12:15:31 CST,d9155e9294754c03651201fd8ad3053e56eba5e9fa479ec37e5a04645e904143,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_log_audit_fix_driver.txt,0,2026-07-08 13:05:38 CST,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_log_audit_fix_driver2.txt,0,2026-07-08 13:08:57 CST,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_log_audit_fix_driver3.txt,0,2026-07-08 13:40:54 CST,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_PIPELINE_DONE,0,2026-07-07 16:40:03 CST,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_pre_audit_fix/expenditure_elasticity_main_v2.csv,320,2026-07-08 13:09:40 CST,64cba4df22e0870ff007cb7354a04e0554dd3877c3c9595ca40324faee3dea07,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_pre_audit_fix/marshallian_main_v2.csv,1687,2026-07-08 13:09:40 CST,3f3d469981846d81a710d2781d630fd352f0bf726927058019c45d1bcdab6807,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_pre_audit_fix/own_price_signs_main_v2.csv,371,2026-07-08 13:09:40 CST,f5e77905f54f24d515b609d9104d41a7e479b1af1a92687f7b58b94c0f4c8571,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_pre_audit_fix/robustness_matrix_v2.csv,6797,2026-07-08 13:09:40 CST,c1982a436e8c71946b20fef1694d06599ac90d0f4462c8b6f333e76a292922d9,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
