draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
162,True,-3656.651635827426,-3730.5005772014806,147.6978827481089,ok,194.298880815506,31,18
163,True,-3461.542581074168,-3560.920966419904,198.7567706914715,ok,140.8890290260315,31,21
164,True,-3032.762650507723,-3222.3338359516906,379.1423708879356,ok,65.08908700942993,31,19
165,True,-3216.3462285814767,-3234.759047375579,36.8256375882047,ok,38.420697927474976,31,19
166,True,-2944.4196045807394,-3142.8194640622505,396.7997189630223,ok,134.45023894309998,31,22
167,True,-3095.5981439529014,-3352.8759080394752,514.5555281731476,ok,225.61646485328671,31,19
168,True,-3215.0547703045368,-3424.786875425022,419.4642102409707,ok,117.08281016349792,31,20
169,True,-3604.977042787585,-3662.153892660688,114.35369974620608,ok,163.58977484703064,31,20
170,True,-3045.0103152487004,-3296.3284229259593,502.63621535451784,ok,123.14024519920348,31,20
171,True,-3126.3281469681247,-3284.880817615868,317.10534129548705,ok,124.55015707015993,31,19
172,True,-2921.8015407453486,-3284.0872361218626,724.571390753028,ok,220.58378338813785,31,19
173,True,-3007.540786515962,-3191.1549323763697,367.22829172081583,ok,150.30358004570007,31,21
174,True,-3194.136155307795,-3274.6527592706843,161.0332079257787,ok,117.2356379032135,31,19
175,True,-3064.228960466646,-3132.3889019022895,136.3198828712857,ok,64.35238194465637,31,20
176,True,-3556.517150881159,-3586.8158900202534,60.597478278188646,ok,155.5940158367157,31,20
177,True,-3598.065094008966,-3651.167551122464,106.20491422699617,ok,232.7514967918396,31,19
178,True,-3495.6637774740148,1000000000000.0,-2000000006991.3276,ok,73.78765177726746,31,19
179,False,-3499.975757609315,-3641.7460922180862,283.540669217542,ok,258.05049681663513,31,17
180,True,-2966.0413767650025,-3250.7166957716213,569.3506380132376,ok,155.00417566299438,31,22
181,True,-2949.2427989110915,-3240.2880561812813,582.0905145403794,ok,193.6510751247406,31,18
182,True,-3039.3729392811247,-3237.901090695783,397.05630282931634,ok,121.26057124137878,31,20
183,False,-3543.7544531914823,-3591.312184429445,95.1154624759256,ok,125.53077697753906,31,19
184,True,-2999.9240096748977,-3179.6982576013147,359.5484958528341,ok,202.8044788837433,31,23
185,True,-3199.234202333672,-3296.7761648437827,195.0839250202216,ok,84.87907910346985,31,21
186,True,-2991.7489955995006,-3281.320098601863,579.1422060047244,ok,113.40307116508484,31,19
187,True,-3453.4787828285107,-3562.792018822352,218.62647198768263,ok,88.64852380752563,31,19
188,True,-3599.969450841513,-3651.983156527091,104.02741137115572,ok,240.99356198310852,31,18
189,True,-3560.0961835140743,-3571.281327691343,22.37028835453839,ok,186.65374398231504,31,16
190,True,-3099.29946860847,-3309.24448173578,419.8900262546203,ok,185.54071307182312,31,20
191,True,-3344.2106134031956,-3472.453571307883,256.485915809375,ok,63.082087993621826,31,21
192,True,-3161.797604766651,-3350.0143637142687,376.4335178952351,ok,146.0042576789856,31,20
193,True,-3073.9806376787974,-3207.1462765449746,266.33127773235447,ok,118.99303197860718,31,22
194,True,-3015.2769609143866,-3246.7447331440285,462.93554445928385,ok,211.8289930820465,31,18
195,True,-3073.08895096303,-3390.009157608052,633.8404132900441,ok,180.915803194046,31,17
196,True,-3108.340782562936,-3318.3371290048603,419.9926928838486,ok,121.90519094467165,31,22
197,True,-2895.567400633011,-3213.9122199391945,636.6896386123672,ok,145.87745594978333,31,17
198,True,-3059.064413388985,-3347.883132031154,577.6374372843384,ok,210.09225392341617,31,20
199,True,-3403.124065113872,-3496.9103767161923,187.57262320464088,ok,95.69293904304504,31,20
200,True,-3408.590576161627,-3459.807107146348,102.43306196944286,ok,209.6611919403076,31,17
201,True,-3205.178106227084,-3394.4489842316502,378.5417560091328,ok,178.3502848148346,31,15
202,True,-3690.5732933686577,-3744.845516542566,108.54444634781704,ok,84.56562685966492,31,18
203,True,-3126.942383184323,-3221.9958306587087,190.1068949487717,ok,108.81496381759644,31,20
