province,provincechn,year,m,population_10k,income_support_flag,population_share_projected,population_share_source,population_scenario,population_projection_source,p_grain_model,p_oil_model,p_vegfruit_model,p_meatsea_model,p_dairyegg_model,p_nonfood_model,xhat_grain,daily_kcal_grain,annual_kcal_total_grain,xhat_oil,daily_kcal_oil,annual_kcal_total_oil,xhat_vegfruit,daily_kcal_vegfruit,annual_kcal_total_vegfruit,xhat_meatsea,daily_kcal_meatsea,annual_kcal_total_meatsea,xhat_dairyegg,daily_kcal_dairyegg,annual_kcal_total_dairyegg,xhat_nonfood,daily_kcal_nonfood,annual_kcal_total_nonfood,u
14,山西,2035,31945.181302370303,3863.7347,in_support,0.02658076405734872,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",771.1569964145249,5312.108589960856,7544.868227238039,3431.1773635116697,2795.350994619254,100.0,0.3700004647586178,740.0009295172356,10435960533339.191,0.11691918588920486,233.8383717784097,3297736423995.86,0.05737891993232961,114.75783986465922,1618387545134.764,0.20719542657684256,414.3908531536851,5844001563227.616,0.03537928808173976,70.75857616347953,997882136065.815,297.96027268069304,,,1.345590460144925
14,山西,2050,58030.823053971784,3648.3477,extrapolation,0.02615744032696942,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",771.1569964145249,5312.108589960856,7544.868227238039,3431.1773635116697,2795.350994619254,100.0,0.36764942803847245,735.2988560769448,9791584499890.479,0.11630872550912755,232.61745101825508,3097643099768.4443,0.05777077442104071,115.54154884208143,1538605465499.4255,0.21277761742390988,425.55523484781975,5666893137322.011,0.035973164267440405,71.9463285348808,958071061152.9202,558.6295480017397,,,2.0411640115087284
15,内蒙古,2030,33304.2560584241,2646.9751,in_support,0.0181237543725826,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.3324406656164,5123.589542928971,8229.890308899116,4704.173793432014,3346.919198574367,100.0,0.36994347115542553,739.886942310851,7148387442858.65,0.1168291821179981,233.6583642359962,2257480732943.856,0.05743611905146897,114.87223810293794,1109833431880.0803,0.16074043377979488,321.48086755958974,3105974258181.706,0.03329352705030188,66.58705410060375,643328100781.2762,310.81527015418203,,,1.3862062554537329
15,内蒙古,2035,41044.75521692108,2611.5654,in_support,0.017966400156236278,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.3324406656164,5123.589542928971,8229.890308899116,4704.173793432014,3346.919198574367,100.0,0.368483664056674,736.967328113348,7024930068864.124,0.11648763756619757,232.97527513239513,2220770111708.039,0.05765523666626726,115.31047333253453,1099164074806.975,0.1623784416680313,324.75688333606263,3095652015752.8867,0.03353213063954174,67.06426127908348,639270870815.5017,388.1458889070373,,,1.636106180942979
15,内蒙古,2050,69979.14327139924,2406.1473,extrapolation,0.017251276356595232,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.3324406656164,5123.589542928971,8229.890308899116,4704.173793432014,3346.919198574367,100.0,0.3679023600601925,735.804720120385,6462159073353.959,0.11628165092039888,232.56330184079778,2042472696932.1204,0.05778760534693866,115.57521069387731,1015032081226.7147,0.16459062158315785,329.1812431663157,2891013742011.7505,0.033783020622515786,67.56604124503157,593394544153.988,677.3814282261459,,,2.2458326157165818
21,辽宁,2030,30659.216768166974,4409.5878,in_support,0.030192307502831018,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",759.9246752188899,5596.730473662376,6995.728482061214,3832.077107592796,2795.1427886094907,100.0,0.37118237160440526,742.3647432088105,11948357179033.52,0.11705832637562302,234.11665275124605,3768106465482.8687,0.05729019933615984,114.58039867231969,1844170997581.7793,0.1885665690920035,377.133138184007,6069956150658.478,0.03532205656987626,70.64411313975252,1137016680966.4844,284.9988371894229,,,1.292660056276866
21,辽宁,2035,38074.446540147845,4286.4584,in_support,0.02948891376316301,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",759.9246752188899,5596.730473662376,6995.728482061214,3832.077107592796,2795.1427886094907,100.0,0.3690030624269284,738.0061248538567,11546528818929.111,0.11656753683462688,233.13507366925376,3647531851254.2993,0.057605020831568085,115.21004166313617,1802527135607.2454,0.19106389970717494,382.12779941434985,5978608442207.016,0.03567165637339589,71.34331274679177,1116207019056.6912,359.0676686796991,,,1.5530561703698234
21,辽宁,2050,66162.19511013395,3695.0741,extrapolation,0.02649245308348221,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",759.9246752188899,5596.730473662376,6995.728482061214,3832.077107592796,2795.1427886094907,100.0,0.36815292279586487,736.3058455917297,9930572007994.787,0.11628612679202281,232.57225358404563,3136706743679.193,0.05778583655059576,115.57167310119151,1558717520290.06,0.1944829261882524,388.96585237650476,5245990411188.088,0.036041472304838375,72.08294460967674,972184149128.1716,639.8133585708221,,,2.1865983981634693
22,吉林,2030,26968.32179516787,2702.7327,in_support,0.018505524887463796,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",786.4871611297381,5357.820194209484,8398.210088148726,4083.467780115006,2711.588672281204,100.0,0.37328505022650915,746.5701004530183,7364894895178.8,0.11770067608042005,235.4013521608401,2322228302199.011,0.05687656953153574,113.75313906307149,1122171799657.949,0.17728801877275885,354.5760375455177,3497883517284.0493,0.03540416626046981,70.80833252093963,698522384439.382,247.46506007885796,,,1.1296640648244165
22,吉林,2035,33888.68477167564,2611.6332,in_support,0.017966866589866695,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",786.4871611297381,5357.820194209484,8398.210088148726,4083.467780115006,2711.588672281204,100.0,0.36886353154620033,737.7270630924006,7032354590363.72,0.11678054634546133,233.56109269092266,2226412049234.602,0.0574665178553625,114.933035710725,1095594701212.0398,0.1802031323754556,360.4062647509112,3435558727766.864,0.03593657048862356,71.87314097724712,685127926250.2755,316.5697439803281,,,1.4102680363530973
