world_scenario,casm_scenario,year,casm_commodity,world_commodities,casm_target_Mt,casm_world_equilibrium_FOO_Mt,relative_error_pct,mapping_note
HDS,B1,2045,CHKM,PLM,37.7408,37.6714,-0.183795,one-to-one
HDS,B1,2045,OILS,SBO+RBO+NBO,0,24.1996,,aggregate vegetable oils
HDS,B1,2045,MILK,BUT+CHE+NDM+FMK+WDM+ODA,109.26,64.1379,-41.2978,dairy products; not raw-milk equivalent
HDS,B1,2050,RICE,RIC,81.774,118.231,44.5827,one-to-one
HDS,B1,2050,WHEA,WHE,47.215,102.37,116.817,one-to-one
HDS,B1,2050,PIGM,PRK,13.7556,22.6409,64.5943,one-to-one
HDS,B1,2050,CATM,BFV,3.10718,4.06432,30.8041,one-to-one
HDS,B1,2050,CHKM,PLM,40.9368,41.7753,2.04836,one-to-one
HDS,B1,2050,OILS,SBO+RBO+NBO,0,23.2079,,aggregate vegetable oils
HDS,B1,2050,MILK,BUT+CHE+NDM+FMK+WDM+ODA,127.992,72.9905,-42.9725,dairy products; not raw-milk equivalent
MTS,C1,2024,RICE,RIC,156.5,112.813,-27.915,one-to-one
MTS,C1,2024,WHEA,WHE,91,93.6913,2.95747,one-to-one
MTS,C1,2024,PIGM,PRK,44.4417,46.4828,4.59276,one-to-one
MTS,C1,2024,CATM,BFV,9.5439,9.46136,-0.864846,one-to-one
MTS,C1,2024,CHKM,PLM,23.9429,24.761,3.41688,one-to-one
MTS,C1,2024,OILS,SBO+RBO+NBO,0,28.9062,,aggregate vegetable oils
MTS,C1,2024,MILK,BUT+CHE+NDM+FMK+WDM+ODA,49.9861,37.3627,-25.2538,dairy products; not raw-milk equivalent
MTS,C1,2030,RICE,RIC,139.966,119.435,-14.6688,one-to-one
MTS,C1,2030,WHEA,WHE,81.4717,100.697,23.5975,one-to-one
MTS,C1,2030,PIGM,PRK,40.3616,46.3486,14.8334,one-to-one
MTS,C1,2030,CATM,BFV,8.85279,9.24543,4.43522,one-to-one
MTS,C1,2030,CHKM,PLM,26.7513,28.4252,6.25715,one-to-one
MTS,C1,2030,OILS,SBO+RBO+NBO,0,29.7656,,aggregate vegetable oils
MTS,C1,2030,MILK,BUT+CHE+NDM+FMK+WDM+ODA,59.1424,41.2472,-30.2578,dairy products; not raw-milk equivalent
MTS,C1,2035,RICE,RIC,127.661,124.075,-2.8092,one-to-one
MTS,C1,2035,WHEA,WHE,74.3052,105.798,42.3831,one-to-one
MTS,C1,2035,PIGM,PRK,37.03,45.7693,23.6005,one-to-one
MTS,C1,2035,CATM,BFV,8.25359,8.97265,8.7121,one-to-one
MTS,C1,2035,CHKM,PLM,29.2451,31.3694,7.26365,one-to-one
MTS,C1,2035,OILS,SBO+RBO+NBO,0,30.0798,,aggregate vegetable oils
MTS,C1,2035,MILK,BUT+CHE+NDM+FMK+WDM+ODA,67.7999,44.5363,-34.3121,dairy products; not raw-milk equivalent
MTS,C1,2040,RICE,RIC,116.461,129.071,10.828,one-to-one
MTS,C1,2040,WHEA,WHE,67.7521,111.077,63.9461,one-to-one
MTS,C1,2040,PIGM,PRK,33.7601,45.1974,33.8781,one-to-one
MTS,C1,2040,CATM,BFV,7.62327,8.70924,14.2454,one-to-one
MTS,C1,2040,CHKM,PLM,31.7127,34.6596,9.29258,one-to-one
MTS,C1,2040,OILS,SBO+RBO+NBO,0,30.5026,,aggregate vegetable oils
MTS,C1,2040,MILK,BUT+CHE+NDM+FMK+WDM+ODA,77.1044,48.1387,-37.5668,dairy products; not raw-milk equivalent
MTS,C1,2045,RICE,RIC,106.221,134.277,26.4127,one-to-one
MTS,C1,2045,WHEA,WHE,61.7645,116.516,88.6456,one-to-one
MTS,C1,2045,PIGM,PRK,30.5322,44.6338,46.1858,one-to-one
MTS,C1,2045,CATM,BFV,6.94393,8.45404,21.7472,one-to-one
MTS,C1,2045,CHKM,PLM,34.016,38.2582,12.4711,one-to-one
MTS,C1,2045,OILS,SBO+RBO+NBO,0,30.935,,aggregate vegetable oils
MTS,C1,2045,MILK,BUT+CHE+NDM+FMK+WDM+ODA,86.7559,52.0621,-39.9901,dairy products; not raw-milk equivalent
MTS,C1,2050,RICE,RIC,96.391,139.699,44.9296,one-to-one
MTS,C1,2050,WHEA,WHE,56.0207,122.136,118.02,one-to-one
MTS,C1,2050,PIGM,PRK,27.2921,44.0718,61.4818,one-to-one
MTS,C1,2050,CATM,BFV,6.2236,8.20705,31.8697,one-to-one
MTS,C1,2050,CHKM,PLM,35.995,42.2229,17.3022,one-to-one
MTS,C1,2050,OILS,SBO+RBO+NBO,0,31.3922,,aggregate vegetable oils
MTS,C1,2050,MILK,BUT+CHE+NDM+FMK+WDM+ODA,96.1994,56.3486,-41.4252,dairy products; not raw-milk equivalent
