elasticity_type,demand_good,shock_good,estimate,delta_se,delta_p,ci_low,ci_high,bootstrap_mean,bootstrap_se,bootstrap_p,bootstrap_reps_successful,bootstrap_reps_failed
marshallian,2,4,.005860032979399,.044488069,.8952046,-.47906783,.31859693,-.028840316,.1624272,.97122025,15,4
hicksian,2,4,.0504088662564754,.042433448,.23485264,-.36505347,.45923337,.025286093,.16622865,.7616992,15,4
marshallian,2,5,-.1308688521385193,.044891972,.0035546634,-.28043774,.068431489,-.12562887,.088654079,.13989717,15,4
hicksian,2,5,-.055219367146492,.041291937,.18112746,-.17930083,.25097707,-.032105111,.10638344,.60371906,15,4
marshallian,2,6,-.1200046762824059,.067579851,.075774692,-.3499653,1.1576455,.025084373,.39330569,.7602762,15,4
hicksian,2,6,-.006976593285799,.052689064,.89465946,-.10973868,1.5400256,.18174864,.47175497,.98820084,15,4
expenditure,3,0,1.43928587436676,.12122352,1.6351432e-32,1.1865094,1.6849383,1.3889856,.13505393,1.6152281e-26,15,4
marshallian,3,1,-.1791961044073105,.046835639,.00013020894,-.34845725,-.11576863,-.17415017,.058267608,.002102216,15,4
hicksian,3,1,.1147869974374771,.038147096,.0026205503,.0018381543,.18376476,.11341076,.052394744,.028465444,15,4
marshallian,3,2,-.02140873670578,.020785114,.30300841,-.056180645,.041854978,-.023548581,.025411144,.39951149,15,4
hicksian,3,2,.0831850543618202,.044306699,.060451984,-.0089832339,.1235846,.046379402,.033004109,.011720644,15,4
marshallian,3,3,-.7550379037857056,.075401224,1.3282545e-23,-.95088053,-.62299782,-.76936698,.096936598,6.7548552e-15,15,4
hicksian,3,3,-.2546473443508148,.06084042,.000028454411,-.39208999,-.19976568,-.29170099,.062569208,.000047043257,15,4
marshallian,3,4,-.0719820111989975,.020715702,.00051131804,-.087799221,-.0018077242,-.054441907,.022251451,.0012167022,15,4
hicksian,3,4,.0312248077243567,.017932992,.081649691,.0010830214,.1271719,.044936977,.02817243,.2677123,15,4
marshallian,3,5,-.1107827797532082,.029086437,.00013967478,-.15020469,-.060753979,-.095032886,.02895046,.00012990805,15,4
hicksian,3,5,.064475305378437,.02508183,.010152302,.028443698,.12916802,.076138102,.028454512,.023457021,15,4
marshallian,3,6,-.3008783757686615,.038834263,9.3530987e-15,-.39793366,-.21680506,-.27244508,.042295992,1.1302356e-12,15,4
hicksian,3,6,-.0390248373150826,.043221384,.36657587,-.060825009,.13231423,.010835735,.04829783,.4190883,15,4
expenditure,4,0,.7427071928977966,.18071507,.000039596001,.20695665,1.251793,.77349347,.29488277,.011780494,15,4
marshallian,4,1,-.1502634286880493,.079041272,.057292119,-.27560773,.01411715,-.13826008,.10092749,.13653331,15,4
hicksian,4,1,.0014391475124285,.076646931,.98501956,-.14837819,.14141361,.022019627,.095898814,.98802662,15,4
marshallian,4,2,-.0028866885695606,.042791199,.94621563,-.099773005,.14425288,-.016741551,.066437066,.96534282,15,4
hicksian,4,2,.0510863028466702,.043383278,.23897308,-.088516675,.16804689,.020560285,.068660818,.45685309,15,4
marshallian,4,3,-.106822781264782,.11392217,.3484078,-.22028325,.27434957,-.052550681,.14677617,.46673983,15,4
hicksian,4,3,.1513911485671997,.087964043,.085240446,.005556962,.56139135,.21277352,.12463669,.22449598,15,4
marshallian,4,4,-.2336481809616089,.089380033,.0089463321,-.8656708,-.14907993,-.35724401,.16811784,.1645932,15,4
hicksian,4,4,-.1803909093141556,.086659595,.037378713,-.80064726,-.091237508,-.30161056,.1614206,.26377162,15,4
marshallian,4,5,-.0454783663153648,.056348734,.41961598,-.16484915,.093236625,-.045706991,.059136711,.44187087,15,4
hicksian,4,5,.0449591502547264,.059409562,.44918993,-.059880324,.12641498,.049901579,.058635745,.44322821,15,4
marshallian,4,6,-.2036077529191971,.080454715,.011383109,-.32406577,.073136091,-.16299015,.14496163,.16015121,15,4
hicksian,4,6,-.0684848427772522,.067818105,.31257612,-.12674907,.20638475,-.0036444471,.11254255,.54284,15,4
expenditure,5,0,.5641778707504272,.15664949,.00031634961,.41231516,1.1170653,.72934479,.17870101,.0015934396,15,4
marshallian,5,1,-.1802039444446564,.058760729,.0021640607,-.28813228,-.08027932,-.18928279,.06159883,.0034396481,15,4
hicksian,5,1,-.0649671107530594,.051009782,.20279792,-.16289012,.084583834,-.03830339,.063318796,.30487651,15,4
marshallian,5,2,-.0739539936184883,.034111165,.030156465,-.13339676,.033841807,-.053940825,.043869674,.09184093,15,4
hicksian,5,2,-.0329548418521881,.027055688,.22320971,-.073141657,.056890711,-.016598364,.035230983,.34958541,15,4
marshallian,5,3,-.0120578072965145,.09234409,.89611173,-.19928303,.13236751,-.039756268,.094342485,.89830023,15,4
hicksian,5,3,.1840875595808029,.072877035,.011536865,.084661961,.35321558,.21089423,.075494654,.01475169,15,4
marshallian,5,4,-.0139797208830714,.036859889,.70449001,-.10008055,.023716884,-.023182189,.039355695,.72242874,15,4
hicksian,5,4,.0264757592231035,.035023533,.44968396,-.037093215,.069329135,.028815461,.034435827,.44198623,15,4
marshallian,5,5,-.2801753580570221,.061769765,5.7385269e-06,-.49491441,-.1591776,-.35148096,.084243551,.00088172103,15,4
hicksian,5,5,-.2114768922328949,.062353011,.00069484051,-.35950255,-.11102782,-.26141042,.072622232,.0035910769,15,4
marshallian,5,6,-.0038070227019489,.061849859,.95091909,-.26359069,.16942547,-.071701735,.10362598,.97069383,15,4
hicksian,5,6,.0988355278968811,.048155606,.040128868,-.07758759,.29555085,.076602481,.094082065,.29347697,15,4
expenditure,6,0,1.323523283004761,.16023898,1.4605971e-16,.93077952,1.3404062,1.1194174,.12845294,6.7897090e-25,15,4
marshallian,6,1,-.1581399738788605,.053856187,.0033211224,-.21863888,.048892401,-.14383411,.070964545,.025851427,15,4
hicksian,6,1,.1121978983283043,.045600589,.01387635,.01632547,.24313627,.087844506,.061804026,.069465272,15,4
marshallian,6,2,-.0989679545164108,.029191228,.00069808,-.15631555,.10834579,-.042253144,.068196811,.14672115,15,4
hicksian,6,2,-.0027867041062564,.020678731,.89280015,-.053137705,.13441819,.015955225,.049289197,.95491338,15,4
marshallian,6,3,-.5347185730934143,.11044118,1.2875932e-06,-.50257075,-.11673294,-.36946163,.10428244,2.9346023e-07,15,4
hicksian,6,3,-.074574738740921,.088794805,.40098983,-.092881233,.19779448,.015473857,.076337926,.32861724,15,4
marshallian,6,4,-.1218984127044678,.030123126,.000051950927,-.14868419,-.0047404426,-.082406431,.046603043,.0089051267,15,4
hicksian,6,4,-.02699257992208,.027478658,.32594681,-.046536043,.066963695,-.0023132705,.038967829,.48850483,15,4
marshallian,6,5,-.0950115397572517,.033321347,.004353106,-.15743464,.041549012,-.090248719,.05258207,.070774928,15,4
hicksian,6,5,.0661504343152046,.032486822,.041727923,-.042414565,.17254089,.047732458,.056526944,.24190195,15,4
marshallian,6,6,-.3147867918014526,.11100717,.0045720492,-.62465852,-.2566489,-.39121345,.11991728,.0086640641,15,4
hicksian,6,6,-.0739943012595177,.086558484,.39263558,-.41393957,-.053529467,-.16469277,.11807397,.53087068,15,4
