elasticity_type,demand_good,shock_good,elasticity,std_dev,p10,p50,p90,n_valid
hicksian,3,5,.0616052031581033,.050280485,.003666976,.061248809,.12084706,3199
marshallian,4,5,-.1276436846815732,.16874576,-.18368834,-.10449544,-.072154082,3192
hicksian,4,5,.0008733950205632,.18709925,-.078932665,.01552254,.098279692,3192
marshallian,5,5,2.015745674714322,112.72069,-.53747785,-.30798402,.18638362,3182
hicksian,5,5,2.145291543585125,112.7178,-.34094298,-.18125884,.25572017,3182
marshallian,6,5,-.1282885826936116,.24169305,-.18426232,-.099766515,-.073864743,3200
hicksian,6,5,.0058381708682406,.25633246,-.069250442,.018605355,.10892828,3200
marshallian,1,6,-.0961152414140204,.039559368,-.14325531,-.092614964,-.052117355,3200
hicksian,1,6,.0319818738066004,.097994544,-.075737052,.039475519,.14275551,3200
marshallian,2,6,-.7363435963392239,3.3700283,-1.0238384,-.38314068,-.21966948,3173
hicksian,2,6,-.597209195633615,3.7595434,-.89236265,-.19990119,-.038105488,3173
marshallian,3,6,-.3671406105498169,.18592308,-.53397405,-.32997245,-.22833286,3199
hicksian,3,6,-.0110668372707218,.10244921,-.11161549,-.0015158593,.087788403,3199
marshallian,4,6,-.2364031128151604,.29794028,-.33954689,-.19352141,-.135151,3192
hicksian,4,6,-.0164235767488654,.3311618,-.15006448,.027123954,.12791888,3192
marshallian,5,6,-.7191027957511321,26.674244,-.28477344,-.17063996,-.1106839,3182
hicksian,5,6,-.5847578922103172,30.943039,-.10786381,.035542712,.16580328,3182
marshallian,6,6,-.1288996016903888,1.6428807,-.49787095,-.32319009,.24710087,3200
hicksian,6,6,.1038137463673301,1.6196098,-.16987808,-.082429521,.37428257,3200
