margin,demand_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,n_valid,support_rate,min_share_floor,system,analysis_sample,structural_interpretation,interpretation
latent,2,-2.3993471,.084234938,.0980037,-.13561031,60.456978,-1.112963,.36040726,.65418613,.26115242,.046468403,1076,.74566877,0,total,direct_prices,1,expenditure
latent,3,1.1631912,1.1437796,1.1448019,1.1619374,.040269632,1.1211669,1.157666,1.2079139,0,0,1076,.74566877,0,total,direct_prices,1,expenditure
latent,4,1.4698613,1.3229676,1.3243442,1.4001875,1.012949,1.1973624,1.332274,1.6407862,0,0,1076,.74566877,0,total,direct_prices,1,expenditure
latent,5,.70472509,.79587936,.80022913,.7761029,1.7365348,.66518247,.8040064,.86798137,.011152416,.001858736,1076,.74566877,0,total,direct_prices,1,expenditure
latent,6,1.2773584,1.2049462,1.2061032,1.2348959,.81353277,1.1335447,1.1946162,1.3794681,0,0,1076,.74566877,0,total,direct_prices,1,expenditure
latent,1,-.20076989,-.12822793,-.15511458,-.23081811,.42167976,-.34518713,-.29817024,-.035492893,.91728622,.039033458,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,2,2.4078331,-.050963446,-.065147594,.17244977,59.507214,-.60659724,-.33210358,1.1403602,.73420072,.044609666,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,3,-.22982787,-.24421886,-.24412529,-.23300309,.05030442,-.25593624,-.24536203,-.19224004,.99442381,.0083643124,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,4,.028332809,-.26257685,-.26227465,-.11613397,2.0843165,-.48063529,-.25639483,.3184709,.77044612,.067843869,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,5,.082935929,-.20852709,-.22377269,-.15584615,5.8814998,-.39717352,-.24949341,.1480678,.83271378,.055762082,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,6,.16784787,-.05523394,-.051021431,.029044559,2.7066195,-.20662566,-.10289714,.41879022,.67565054,.13847584,1076,.74566877,0,total,direct_prices,1,hicksian_own
latent,1,-1.1570497,.092400983,.1168175,.19512685,54.463619,-.53096354,.45190403,.67792213,.20093824,.029710712,2558,.82039768,0,total,full,1,expenditure
latent,2,.13431239,.43845981,.45543221,.50269562,13.80684,.14463575,.6033017,.76780796,.071149334,.012118842,2558,.82039768,0,total,full,1,expenditure
latent,3,2.1336222,1.3617748,1.3650151,1.6391643,17.906929,1.2878623,1.4404212,2.2060635,0,0,2558,.82039768,0,total,full,1,expenditure
latent,4,.31674471,.64922941,.65940094,.68960369,16.840954,.4849779,.74078298,.83719128,.024237685,.0035183737,2558,.82039768,0,total,full,1,expenditure
latent,5,.2785897,.45136058,.46284625,.41874063,2.313967,-.016247272,.57785016,.73574024,.10125098,.016028147,2558,.82039768,0,total,full,1,expenditure
latent,6,1.6665891,1.2982303,1.3014073,1.4804418,3.0925217,1.1963348,1.309881,1.8479229,0,0,2558,.82039768,0,total,full,1,expenditure
latent,1,1.4466648,.10684474,.083067656,.027874099,57.532982,-.32428741,-.24213922,.65976584,.74550432,.054730259,2558,.82039768,0,total,full,1,hicksian_own
latent,2,.40208459,-.042443827,-.067928173,-.14203928,20.089502,-.51164538,-.30454004,.39635041,.78303361,.050820954,2558,.82039768,0,total,full,1,hicksian_own
latent,3,.36011025,-.21461983,-.21467772,-.085861512,16.292326,-.25439614,-.22814125,.21595763,.85652852,.030883502,2558,.82039768,0,total,full,1,hicksian_own
latent,4,1.2101005,.10641887,.073005773,-.010065099,55.533302,-.40721923,-.16791536,.54315525,.68647379,.080140732,2558,.82039768,0,total,full,1,hicksian_own
latent,5,.23287949,-.028671617,-.046679698,.017642023,3.5146325,-.39154807,-.22604346,.62903303,.74237686,.055903051,2558,.82039768,0,total,full,1,hicksian_own
latent,6,.77103615,-.060979847,-.057522226,.32205266,7.5257483,-.23204769,-.070690669,1.0658141,.58991402,.099687256,2558,.82039768,0,total,full,1,hicksian_own
unconditional,1,-.083159685,.12899761,.15551473,.25380653,8.8552351,-.40506539,.48587012,.69233108,.17747574,.026796117,2575,.82584989,0,total,full,1,expenditure
unconditional,2,-3.2869167,.24792503,.27345613,.26414901,159.4381,-.52102387,.55698109,.81154972,.16349514,.022524271,2575,.82584989,0,total,full,1,expenditure
unconditional,3,1.8814901,1.3704956,1.374786,1.6760052,3.4345677,1.293308,1.464066,2.285593,0,0,2575,.82584989,0,total,full,1,expenditure
unconditional,4,.6153276,.6521759,.66290408,.70087314,2.5313108,.50913948,.74722201,.84207815,.021747572,.0034951456,2575,.82584989,0,total,full,1,expenditure
unconditional,5,.3279098,.48646379,.49959227,.45875758,2.3667164,.065564588,.59537804,.74393803,.085436895,.01592233,2575,.82584989,0,total,full,1,expenditure
unconditional,6,1.4389572,1.2305994,1.2323405,1.3007846,2.6211286,1.1632272,1.2370623,1.5079858,0,0,2575,.82584989,0,total,full,1,expenditure
unconditional,1,.3083913,.076543935,.052180022,-.020069951,8.399786,-.3243311,-.26215166,.53861094,.77398056,.051262137,2575,.82584989,0,total,full,1,hicksian_own
unconditional,2,6.7748613,.64686376,.59133941,.61785573,264.6655,-.41176048,-.023473972,2.1468565,.51766992,.065631069,2575,.82584989,0,total,full,1,hicksian_own
unconditional,3,.11353002,-.21408874,-.21406429,-.065953173,2.9937727,-.25502551,-.22426014,.27336225,.84349513,.033398058,2575,.82584989,0,total,full,1,hicksian_own
unconditional,4,.23000993,.09890832,.066164374,-.041900676,8.2930813,-.41844168,-.18306361,.48785999,.70912623,.079223298,2575,.82584989,0,total,full,1,hicksian_own
unconditional,5,.16097164,-.076312564,-.096217401,-.036378257,3.4829042,-.39756095,-.24989797,.48520976,.77359223,.051650487,2575,.82584989,0,total,full,1,hicksian_own
unconditional,6,.44258654,-.13210288,-.13081333,.051454537,7.3355608,-.25016961,-.14467363,.53895348,.6963107,.092038833,2575,.82584989,0,total,full,1,hicksian_own
latent,1,.18518409,.20303696,.2328272,.3450706,2.5339048,-.18450414,.4985359,.68983352,.13784136,.027308192,2307,.82896155,0,total,trim99,1,expenditure
latent,2,.19887896,.32864296,.35584375,.4382171,3.8999293,-.044910625,.5781157,.76243424,.1053316,.016905071,2307,.82896155,0,total,trim99,1,expenditure
latent,3,1.9050572,1.3998138,1.4030374,1.7095604,2.9618099,1.317987,1.4971282,2.318388,0,0,2307,.82896155,0,total,trim99,1,expenditure
latent,4,.59989893,.5857724,.59926283,.64390719,.69145417,.41634214,.70008522,.81319767,.031209363,.0060684872,2307,.82896155,0,total,trim99,1,expenditure
latent,5,-.3163107,.26843739,.28706333,.15816966,9.505764,-.59792972,.45211378,.67302293,.18378846,.026441265,2307,.82896155,0,total,trim99,1,expenditure
latent,6,1.5031531,1.2599602,1.2627722,1.4051245,1.2815279,1.1831218,1.2691407,1.7160887,0,0,2307,.82896155,0,total,trim99,1,expenditure
latent,1,.017566504,-.028093969,-.056766409,-.1376597,2.4356794,-.35119134,-.29870096,.25944063,.82964891,.039445166,2307,.82896155,0,total,trim99,1,hicksian_own
latent,2,.50059998,.27940857,.23280706,.079016939,6.9962707,-.47222197,-.18838736,.9071328,.64672732,.068487212,2307,.82896155,0,total,trim99,1,hicksian_own
latent,3,.12159689,-.19345781,-.19388933,-.044357266,2.4683173,-.23098837,-.20167091,.29299173,.8322497,.045080192,2307,.82896155,0,total,trim99,1,hicksian_own
latent,4,.066209443,.094802327,.062181868,-.045881417,1.7564714,-.42416796,-.19297007,.50040191,.71521455,.072388381,2307,.82896155,0,total,trim99,1,hicksian_own
latent,5,.6179297,-.036440711,-.059875123,.078397036,10.639748,-.41773918,-.25008953,.85066068,.74425662,.055916775,2307,.82896155,0,total,trim99,1,hicksian_own
latent,6,.41471609,-.12521708,-.12288243,.1790977,3.0283,-.25156444,-.13805304,.82046711,.67837018,.084525354,2307,.82896155,0,total,trim99,1,hicksian_own
