elasticity_type,demand_good,shock_good,elasticity,std_dev,p10,p50,p90,n_valid
marshallian,5,3,-.0839749421401426,.16658989,-.1199572,-.066685125,-.039763164,3153
hicksian,5,3,.0719592834948135,.75976425,-.027007591,.12011,.23766087,3153
marshallian,6,3,-.5195616373649733,1.5634961,-.73898536,-.34193522,-.23421465,3164
hicksian,6,3,-.1361583829413658,1.2940998,-.35871375,-.0040637283,.16656551,3164
marshallian,1,4,-.075360458566439,.11077405,-.12741268,-.053214986,-.027315138,3181
hicksian,1,4,-.0327852432009749,.14252777,-.11773229,-.0095091956,.052087929,3181
marshallian,2,4,-.2425636390843849,2.6136053,-.29482159,-.11077296,-.060978033,3170
hicksian,2,4,-.1881189340521732,2.8667004,-.25429106,-.05130266,.023946762,3170
marshallian,3,4,-.1294970768137692,.7121821,-.16963431,-.086306304,-.055161145,3179
hicksian,3,4,-.0221022487884459,.47140971,-.056927677,-.00062496314,.039064363,3179
marshallian,4,4,.314430928188028,4.0369663,-.41913989,-.1220517,.82948136,3161
hicksian,4,4,.368073869057456,4.0290251,-.32698101,-.068873838,.84455603,3161
marshallian,5,4,-.0559822000531639,.19752638,-.083449371,-.035340272,-.019523067,3153
hicksian,5,4,-.0084151285748403,.3006168,-.064290218,.015224915,.064473376,3153
marshallian,6,4,-.1179285436387645,.37557939,-.1686531,-.07520175,-.045634933,3164
hicksian,6,4,-.0152687786375197,.2660408,-.047813926,.0075654658,.042811614,3164
marshallian,1,5,-.1983012827646665,.27478746,-.31498069,-.14543018,-.080619633,3181
hicksian,1,5,-.1188443723459936,.33796966,-.29304227,-.062020686,.059980597,3181
marshallian,2,5,-.0893748116574004,1.0217078,-.10340192,-.038623698,-.020010088,3170
hicksian,2,5,.0179900255309202,1.3360242,-.049116626,.076926775,.15952718,3170
marshallian,3,5,-.166155147046699,1.0314182,-.22208604,-.10683826,-.062511504,3179
hicksian,3,5,.0413648895884656,.48116374,-.016341835,.058530558,.12426376,3179
marshallian,4,5,-.1060327867760421,.39840564,-.15684965,-.064023703,-.034255706,3161
hicksian,4,5,-.0155783416473852,.4943139,-.12609094,.030254552,.12344335,3161
marshallian,5,5,.0183430276714757,3.5927234,-.52967834,-.32619539,.42223826,3153
hicksian,5,5,.1244687736719626,3.5798516,-.35539216,-.21898445,.45150027,3153
marshallian,6,5,-.177685031603732,.59105891,-.2585803,-.11182816,-.067354418,3164
hicksian,6,5,.0183373949191231,.36470723,-.044334732,.041316438,.12475049,3164
marshallian,1,6,-.0878813474014897,.090403832,-.13088414,-.077323951,-.041195955,3181
hicksian,1,6,.0222452433885356,.25836426,-.081590503,.057343218,.16097492,3181
marshallian,2,6,-.8994730293830149,9.7678928,-1.0578092,-.41452751,-.23719636,3170
hicksian,2,6,-.7338762053135858,10.655728,-.84832615,-.21397717,-.043248001,3170
marshallian,3,6,-.4255147955783161,2.2041218,-.5713191,-.30213168,-.20550323,3179
hicksian,3,6,-.0964218337497421,1.6873525,-.2663731,-.0041802442,.14932394,3179
marshallian,4,6,-.1772021959943572,.50939256,-.24616982,-.12684987,-.086450152,3161
hicksian,4,6,-.0527752185898125,.89563167,-.15779397,.027464626,.13139455,3161
marshallian,5,6,-.1065970100040009,.41332555,-.14010501,-.079809226,-.045365632,3153
hicksian,5,6,.0289316247180857,.75609744,-.071742028,.070654191,.19783914,3153
marshallian,6,6,-.096131338854162,2.9381349,-.62893856,-.42197895,.28124928,3164
hicksian,6,6,.2025057645689573,2.9132974,-.2103384,-.12157998,.45693594,3164
