system,structural_interpretation,good,elasticity,N,mean,trimmed_mean,sd,p10,p50,p90,negative_rate,support_rate,min_share_floor
buy,1,4,income_quality_elasticity,2773,-.0469230179481487,-.047639694,.012159609,-.053933397,-.047987241,-.041875176,.99314821,.88963747,0
buy,1,5,income_quality_elasticity,2773,-.0613506267241781,-.05918688,.040783081,-.082677804,-.057695709,-.032798726,.99531192,.88963747,0
buy,1,6,income_quality_elasticity,2773,-.0507326217823779,-.047994789,.12455766,-.079946116,-.040635202,-.026151821,.98593581,.88963747,0
buy,1,1,income_quantity_elasticity,2773,.0887739879638922,.091033056,.035096515,.078470953,.093434133,.1012167,.010818608,.88963747,0
buy,1,2,income_quantity_elasticity,2773,-.0846008845015235,.016612114,1.7689362,-.099413939,.063095033,.10203142,.20555355,.88963747,0
buy,1,3,income_quantity_elasticity,2773,.1161174547159334,.1188933,.041584976,.10545686,.12128724,.13163278,.010097368,.88963747,0
buy,1,4,income_quantity_elasticity,2773,.1230135236539283,.1260941,.044375625,.11894291,.12793157,.13439515,.010097368,.88963747,0
buy,1,5,income_quantity_elasticity,2773,.1412442432046581,.14189386,.062270224,.11339013,.14231133,.16799355,.010818608,.88963747,0
buy,1,6,income_quantity_elasticity,2773,.1398867979437428,.13888016,.13614412,.11724607,.13272749,.17091312,.010818608,.88963747,0
buy,1,1,income_value_elasticity,3117,.0649553921174349,.067819364,.048791558,.06357976,.069927424,.070757978,.011549567,.88963747,0
buy,1,2,income_value_elasticity,3117,.0947941334751663,.095628299,.014334442,.09438999,.096254863,.096498869,.0012832852,.88963747,0
buy,1,3,income_value_elasticity,3117,.0868525636322436,.089616239,.047065891,.085525587,.09164875,.092449926,.0096246395,.88963747,0
buy,1,4,income_value_elasticity,3117,.0756261345506292,.078493074,.048841987,.074249081,.080603309,.081434719,.010266282,.88963747,0
buy,1,5,income_value_elasticity,3117,.079296740142343,.082983062,.062778719,.077526748,.085694119,.086762764,.011549567,.88963747,0
buy,1,6,income_value_elasticity,3117,.0888041169383369,.090945937,.036818799,.087766044,.092556082,.093182832,.0070580686,.88963747,0
omitself,1,1,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,2,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,3,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,4,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,5,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,6,eta_totalexp_income,3118,.1125890461043557,.11616638,.061485473,.11084741,.11885974,.11990653,.0096215522,.92976266,0
omitself,1,1,expenditure_elasticity,2899,.7862310765868853,.789846,.081212707,.7003293,.8035897,.85946244,.00068989309,.92976266,0
omitself,1,2,expenditure_elasticity,2899,-22.43923529091094,.394649,1198.7656,-.40956867,.67913395,1.0040931,.14349777,.92976266,0
omitself,1,3,expenditure_elasticity,2899,1.039142846923349,1.0393357,.051878966,.96534348,1.0526894,1.0940862,0,.92976266,0
omitself,1,4,expenditure_elasticity,2899,.8699419814992966,.87678015,.14639457,.74137419,.89708024,.98570925,.0031045189,.92976266,0
omitself,1,5,expenditure_elasticity,2899,1.22526469651298,1.2015902,.3972086,1.0264977,1.1865411,1.3606938,0,.92976266,0
omitself,1,6,expenditure_elasticity,2899,1.18563897673273,1.1580123,.42318663,1.0518565,1.1143929,1.328005,0,.92976266,0
omitself,1,1,income_quality_elasticity,2899,-.017097946515276,-.017439703,.011329218,-.0255301,-.018997196,-.0072227335,.95584685,.92976266,0
omitself,1,2,income_quality_elasticity,2899,2.710624313943681,.053717639,139.56895,-.017468786,.020667929,.14658594,.25526044,.92976266,0
omitself,1,3,income_quality_elasticity,2899,-.0287947438968528,-.02971484,.019498175,-.036946908,-.031515911,-.020383045,.98965162,.92976266,0
omitself,1,4,income_quality_elasticity,2899,-.0224927855504761,-.023422452,.018049389,-.036529943,-.025929935,-.0070264619,.93342531,.92976266,0
omitself,1,5,income_quality_elasticity,2899,-.0415442675233533,-.038853824,.047378793,-.057923764,-.037156079,-.018417377,.99620557,.92976266,0
omitself,1,6,income_quality_elasticity,2899,-.0396387614801341,-.038278729,.063856184,-.0584815,-.033527449,-.026517522,.98965162,.92976266,0
omitself,1,1,income_quantity_elasticity,2899,.0883231711355755,.091064967,.047276266,.078058422,.093720756,.10109044,.010693342,.92976266,0
omitself,1,2,income_quantity_elasticity,2899,-2.613439002655335,.043817937,139.56892,-.052808754,.077811405,.11630792,.15143153,.92976266,0
omitself,1,3,income_quantity_elasticity,2899,.1168066899448367,.12050497,.066511534,.10961466,.12340777,.13002488,.010003449,.92976266,0
omitself,1,4,income_quantity_elasticity,2899,.0977074663924987,.10092209,.056677356,.080604404,.10487299,.11612153,.013107968,.92976266,0
omitself,1,5,income_quantity_elasticity,2899,.1381732433717716,.13929808,.087067962,.116465,.13957064,.16065586,.010003449,.92976266,0
omitself,1,6,income_quantity_elasticity,2899,.1324114435835374,.1340127,.099515602,.12199713,.13080236,.15514924,.010003449,.92976266,0
omitself,1,1,income_value_elasticity,3118,.0714122254731293,.074207895,.048050694,.070051149,.076312751,.077130809,.010583707,.92976266,0
omitself,1,2,income_value_elasticity,3118,.0972790944423841,.098693326,.024097994,.096596494,.099736765,.10014703,.0035279025,.92976266,0
omitself,1,3,income_value_elasticity,3118,.0881920155744168,.090908401,.046269659,.086881384,.092910901,.093698636,.0086593973,.92976266,0
omitself,1,4,income_value_elasticity,3118,.0753961905589568,.078134298,.046639722,.07407508,.080152817,.080946855,.0096215522,.92976266,0
omitself,1,5,income_value_elasticity,3118,.0968874768530837,.10075208,.066422969,.095005982,.10366172,.10479258,.010583707,.92976266,0
omitself,1,6,income_value_elasticity,3118,.0929576640779707,.095723152,.047531933,.091611281,.097805284,.098614514,.0086593973,.92976266,0
self,0,1,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,2,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,3,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,4,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,5,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,6,eta_totalexp_income,2884,.0556283093023578,.051207595,.064410061,.045346025,.047073446,.059748206,0,.4129681,0
self,0,1,expenditure_elasticity,1191,-.5576463203947202,.056457616,10.742105,-.9240101,.47035792,.70542705,.21662469,.4129681,0
self,0,2,expenditure_elasticity,1191,.0563161394184698,.94095737,27.873796,.80412644,.97552758,1.0364944,.012594459,.4129681,0
self,0,3,expenditure_elasticity,1191,4.389874413448188,3.1351113,25.130867,1.7178245,2.2355874,5.4254193,0,.4129681,0
self,0,4,expenditure_elasticity,1191,1.927779826162051,1.650676,4.4737296,1.3210098,1.444863,2.116817,0,.4129681,0
self,0,5,expenditure_elasticity,1191,-.7621636656462258,.21454088,25.188404,-.32090393,.48710743,.70610732,.16288833,.4129681,0
self,0,6,expenditure_elasticity,1191,1.408810487514475,1.2921458,5.6906204,-.11301062,1.2673439,2.7116725,.11670865,.4129681,0
self,0,1,income_quality_elasticity,1191,-.0543764042923663,-.086926825,.52141583,-.11990758,-.10755083,-.038799204,.93115032,.4129681,0
self,0,2,income_quality_elasticity,1191,-.1630832553259235,-.20397618,1.2726294,-.21135311,-.20714226,-.1950517,.99328297,.4129681,0
self,0,3,income_quality_elasticity,1191,-.0935387294992812,-.035080943,1.158906,-.15795797,.014382754,.040754236,.37867337,.4129681,0
self,0,4,income_quality_elasticity,1191,-.1391975284080433,-.12484523,.28047538,-.14811391,-.11592428,-.10753557,.99328297,.4129681,0
self,0,5,income_quality_elasticity,1191,.0074889670310973,-.036430508,1.1475588,-.060815938,-.048984919,-.010048399,.91939545,.4129681,0
self,0,6,income_quality_elasticity,1191,-.0772195865222164,-.069200531,.32462794,-.15727377,-.06114484,.0073752445,.88413095,.4129681,0
self,0,1,income_quantity_elasticity,1191,-.0296391118632969,.0024688251,.52143228,-.04384923,.022719549,.035652507,.21662469,.4129681,0
self,0,2,income_quantity_elasticity,1191,.01024597595736,.047824603,1.2733631,.038298354,.046428096,.056926459,.012594459,.4129681,0
self,0,3,income_quantity_elasticity,1191,.2255786533862324,.1659272,1.1614281,.081016764,.11119278,.29873499,0,.4129681,0
self,0,4,income_quantity_elasticity,1191,.104530598370997,.087686643,.28652143,.061775915,.070237361,.12252373,0,.4129681,0
self,0,5,income_quantity_elasticity,1191,-.0326914299672904,.011107832,1.1475782,-.015317867,.023808884,.035570245,.16288833,.4129681,0
self,0,6,income_quantity_elasticity,1191,.0746861854032235,.068159871,.3186357,-.005478106,.061784171,.15353705,.11670865,.4129681,0
self,0,1,income_value_elasticity,2884,-.0837466480481897,-.084380127,.0091260271,-.085203506,-.084958754,-.083162919,.99895978,.4129681,0
self,0,2,income_value_elasticity,2884,-.1501277498960095,-.15651481,.091967918,-.16480932,-.16234282,-.14424516,.9882108,.4129681,0
self,0,3,income_value_elasticity,2884,.1349673771130882,.12814759,.099364772,.119105,.12176988,.1413231,0,.4129681,0
self,0,4,income_value_elasticity,2884,-.0307357950873841,-.039997917,.13343213,-.052036617,-.048458081,-.022201004,.94625521,.4129681,0
self,0,5,income_value_elasticity,2884,-.0251603029308478,-.025259636,.0014310116,-.025388747,-.025350368,-.025068771,.9993065,.4129681,0
self,0,6,income_value_elasticity,2884,-.0039913085204857,-.00059326045,.049484868,-.007156536,.0025812085,.0039083511,.2558946,.4129681,0
total,1,1,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,2,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,3,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,4,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,5,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,6,eta_totalexp_income,3118,.0868766214938769,.089418367,.043310467,.085649811,.091293707,.092031069,.0086593973,.82584989,0
total,1,1,expenditure_elasticity,2575,-.0831596824836282,.25380653,8.8552351,-.40506539,.48587012,.69233108,.17747574,.82584989,0
total,1,2,expenditure_elasticity,2575,-3.286916819808027,.26414901,159.4381,-.52102387,.55698109,.81154972,.16349514,.82584989,0
total,1,3,expenditure_elasticity,2575,1.881490096746995,1.6760052,3.4345677,1.293308,1.464066,2.285593,0,.82584989,0
total,1,4,expenditure_elasticity,2575,.6153275872035605,.70087314,2.5313108,.50913948,.74722201,.84207815,.021747572,.82584989,0
total,1,5,expenditure_elasticity,2575,.3279097836558326,.45875758,2.3667164,.065564588,.59537804,.74393803,.085436895,.82584989,0
total,1,6,expenditure_elasticity,2575,1.438957207509866,1.3007846,2.6211286,1.1632272,1.2370623,1.5079858,0,.82584989,0
total,1,1,income_quality_elasticity,2575,.0217347643779853,-.0080831377,.77462882,-.047596704,-.029046005,.052020948,.76427186,.82584989,0
total,1,2,income_quality_elasticity,2575,.3842759531165157,.057735197,14.676761,.0073916717,.030843019,.12811676,.024077671,.82584989,0
total,1,3,income_quality_elasticity,2575,-.0689745452886576,-.051777836,.30768627,-.10518721,-.032957561,-.01760268,.98640776,.82584989,0
total,1,4,income_quality_elasticity,2575,-.0158405556932775,-.023658779,.23110473,-.036454573,-.027799537,-.0064034699,.92621356,.82584989,0
total,1,5,income_quality_elasticity,2575,-.0121390988053098,-.023843922,.21388647,-.049501728,-.036106993,.010654624,.86873788,.82584989,0
total,1,6,income_quality_elasticity,2575,-.0638472698641293,-.054450359,.23252504,-.072287716,-.049217541,-.04263059,.99728155,.82584989,0
total,1,1,income_quantity_elasticity,2575,-.008506961402982,.021455863,.77468324,-.040400829,.042532988,.0620334,.18601942,.82584989,0
total,1,2,income_quantity_elasticity,2575,-.3046171767518145,.021923419,14.676754,-.049109563,.049114693,.072541624,.17126213,.82584989,0
total,1,3,income_quantity_elasticity,2575,.1648419003100453,.14948042,.31049916,.11538718,.13146649,.20353951,.0085436897,.82584989,0
total,1,4,income_quantity_elasticity,2575,.05335373276125,.06153569,.23210028,.042381678,.066779442,.07638716,.030291263,.82584989,0
total,1,5,income_quantity_elasticity,2575,.0278795605003497,.039681494,.21451198,.0023659691,.052837744,.067049541,.093980581,.82584989,0
total,1,6,income_quantity_elasticity,2575,.1228163475612523,.11584888,.23935086,.10454676,.1117314,.13367754,.0085436897,.82584989,0
total,1,1,income_value_elasticity,3118,.0128189888778502,.014618105,.030922402,.011943083,.015972657,.016499111,.032392558,.82584989,0
total,1,2,income_value_elasticity,3118,.0796057163745336,.079841249,.0040134192,.079492033,.080015033,.080083363,.00064143684,.82584989,0
total,1,3,income_value_elasticity,3118,.0953739369343595,.09756501,.037321784,.094316766,.099180259,.099815659,.0067350864,.82584989,0
total,1,4,income_value_elasticity,3118,.0371257021588792,.03883091,.029308321,.036295518,.040114757,.04061373,.011545863,.82584989,0
total,1,5,income_value_elasticity,3118,.0153146583059961,.017205482,.032207459,.014402352,.018599385,.019147718,.03014753,.82584989,0
total,1,6,income_value_elasticity,3118,.0582997123656701,.061272096,.050630309,.056865562,.063463323,.064325303,.011545863,.82584989,0
