"beta0","p"
-0.6,0.690905088732601
-0.58,0.638351404815499
-0.56,0.586510844179251
-0.54,0.535739757232979
-0.52,0.486390804263147
-0.5,0.438803174570335
-0.48,0.393292575521386
-0.46,0.350141533312107
-0.44,0.309590586717275
-0.42,0.271830945002481
-0.4,0.236999115474064
-0.38,0.205173885677113
-0.36,0.176375878714497
-0.34,0.15056970376657
-0.32,0.127668519523112
-0.3,0.107540640263593
-0.28,0.0900176656143114
-0.26,0.0749035230317975
-0.24,0.0619837858505736
-0.22,0.0510346685194645
-0.2,0.0418311944226983
-0.18,0.0341541634918315
-0.16,0.0277956962572635
-0.14,0.0225632779588663
-0.12,0.0182823542542873
-0.1,0.0147976279336383
-0.0800000000000001,0.0119732691269127
-0.0600000000000001,0.00969228068780901
-0.04,0.00785526085823619
-0.02,0.00637878442479936
0,0.00519358945122012
0.02,0.00424271665814428
0.04,0.0034797084294241
0.0600000000000001,0.00286693820783098
0.0800000000000001,0.00237411089871226
0.1,0.00197695158790865
0.12,0.00165608314680564
0.14,0.00139608228415778
0.16,0.00118469718305699
0.18,0.00101220687315975
0.2,0.000870901888612723
0.22,0.000754666691598738
0.24,0.000658646142489415
0.26,0.000578980499787753
0.28,0.000512595722263024
0.3,0.000457038028858431
0.32,0.000410343643971706
0.34,0.000370936371281227
0.36,0.000337547091363563
0.38,0.000309150482117217
0.4,0.000284915243082974
0.42,0.000264164895991021
0.44,0.000246346865155899
0.46,0.00023100804117378
0.48,0.000217775424806079
0.5,0.000206340756227929
0.52,0.000196448275613015
0.54,0.000187884948667073
0.56,0.000180472636737667
0.58,0.000174061804667556
0.6,0.000168526447834531
0.62,0.000163759988486822
0.64,0.000159671944935073
0.66,0.0001561852188256
0.68,0.000153233878243703
0.7,0.000150761339829765
0.72,0.000148718873024565
0.74,0.000147064365213498
0.76,0.000145761298863721
0.78,0.000144777901476893
0.8,0.00014408643687391
0.82,0.000143662612441939
0.84,0.00014348508182667
0.86,0.000143535026435506
0.88,0.00014379580222087
0.9,0.000144252640699216
0.92,0.000144892395170254
0.94,0.000145703324718641
0.96,0.000146674909886596
0.98,0.000147797694976545
1,0.000149063152802248
1.02,0.000150463568419733
1.04,0.000151991938945428
1.06,0.000153641887046872
1.08,0.00015540758608298
1.1,0.000157283695192592
1.12,0.000159265302902274
1.14,0.000161347878042916
1.16,0.000163527226952967
1.18,0.000165799456098821
1.2,0.000168160939375119
1.22,0.000170608289453464
1.24,0.000173138332641557
1.26,0.000175748086792244
1.28,0.000178434741864311
1.3,0.000181195642796963
1.32,0.000184028274401311
1.34,0.000186930248017576
1.36,0.000189899289716376
1.38,0.000192933229854715
1.4,0.000196029993820589
1.42,0.000199187593822673
1.44,0.00020240412159894
1.46,0.000205677741935027
1.48,0.000209006686896481
1.5,0.000212389250691106
1.52,0.000215823785087236
1.54,0.000219308695324124
1.56,0.000222842436457603
1.58,0.000226423510089808
1.6,0.000230050461441299
1.62,0.000233721876724218
1.64,0.000237436380784492
1.66,0.000241192634981021
1.68,0.000244989335280065
1.7,0.000248825219087166
1.72,0.000252699020702591
1.74,0.000256609556239359
1.76,0.000260555635641731
1.78,0.00026453610513164
1.8,0.000268549837334557
1.82,0.000272595730333167
1.84,0.000276672706788928
1.86,0.000280779713133151
1.88,0.000284915718823057
1.9,0.000289079715653374
1.92,0.000293270717120298
1.94,0.000297487757829
1.96,0.000301729892943964
1.98,0.000305996197674131
2,0.000310285766791819
