variant,model,train_years,test_years,group,rmse_x,mae_x,mean_x,n_test,relative_rmse
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,pork,0.05478372131689525,0.0457351066010708,0.12509815587410958,93,0.4379258905465075
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,vegfruit,0.011923635927421081,0.009845122023508675,0.05503836229796534,93,0.21664227330873678
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,dairyegg,0.01261492906059953,0.01024656921522113,0.03365878952849487,93,0.37478855411362844
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,grain,0.06087219907093892,0.05215938507565621,0.4202893830904221,93,0.14483401560929443
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonfood,4.017981109536145,3.330706865962169,727.9026063779181,93,0.005519943292317405
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.01813191504256517,0.01385115274981424,0.045447207536296316,93,0.39896653778087804
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,oil,0.03139944202318943,0.025073810000015,0.1288846674059655,93,0.24362433992467353
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,pork,0.05398031605854892,0.04500722999848004,0.12509815587410958,93,0.43150369149223194
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2020,2021-2023,vegfruit,0.01159163932248081,0.009390858870308758,0.05503836229796534,93,0.2106101787645184
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.010805693994897284,0.008231592302822572,0.03487623368244979,31,0.3098297279827799
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,grain,0.06650875038419964,0.054426695711132955,0.4046680667811247,31,0.16435383921749533
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,nonfood,3.734017432121331,3.1634319852054773,745.9276446072297,31,0.005005870822883215
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,nonpork_meatsea,0.01778445242198239,0.013553092109731112,0.047461423332015425,31,0.37471384491719967
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,oil,0.03206751522643605,0.02675702581388364,0.12638537057445864,31,0.2537280626759234
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,pork,0.05786330993395087,0.04884258613075314,0.13618844860265755,31,0.42487678307264115
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.010150437265825879,0.007946879427339642,0.056314327533170526,31,0.1802460885259976
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.010701876359761924,0.008180541725713815,0.03487623368244979,31,0.30685298353036494
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.06097789029085014,0.05172052253685905,0.4046680667811247,31,0.15068619270082317
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,3.5930713901051834,3.073796282945528,745.9276446072297,31,0.0048169167828565
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,nonpork_meatsea,0.01749819205386533,0.013059362214244103,0.047461423332015425,31,0.36868241248175565
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.03109957881236654,0.025818507976625913,0.12638537057445864,31,0.24606945148010262
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,pork,0.05435317285370571,0.04302920343092841,0.13618844860265755,31,0.3991026655446097
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.009883625099402209,0.007801985119720962,0.056314327533170526,31,0.17550817939858218
