Province,Year,q_daogu_coef,q_xiaomai_coef,q_doulei_coef,q_zaliang_coef,q_shucai_coef,q_zhurou_coef,q_niurou_coef,q_yangrou_coef,q_qinlei_coef,q_shuichanpin_coef,q_danlei_coef,q_nailei_coef,q_guaguo_coef,q_youliao_coef,q_tang_coef,pop,q_liangshi,q_shucai,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,q_niurou,q_yangrou,q_niuyangrou,稻谷占比,小麦占比,豆类占比,杂粮占比,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
33,2017,1.0908470703970998,1.34010243669648,1.1569049786226406,1.1786502098479807,1.1296478246558133,1.101894104477832,1.7995322815845016,1.2761415843432335,1.233410204254531,1.1890968199282372,1.1514647326718042,1.3232673025889137,1.0444690283250508,482086.15800436126,638542.7638126177,6170,134.1,96.5,21.9,2.0,0.6,10.6,23.7,8.5,12.0,50.7,1.5,2.0,0.6,2.6,0.6813668281690034,0.1230400829369609,0.0827949034928825,0.1127981854011531,91.37129165746335,99.67210582294285,16.499675121846458,22.11125483548673,11.102796558395543,12.844880615042124,15.12623666229463,17.828542016223786,96.5,109.01101507928598,21.9,24.13148088806452,2.0,3.5990645631690033,0.6,0.7656849506059401,10.6,13.074148165098027,23.7,28.181594632299223,8.5,9.787450227710336,12.0,15.879207631066965,50.7,52.95457973608008,1.5,957814.1457189266
33,2018,1.115926382958226,1.3632158322983796,1.1537229074094568,1.198076594621947,1.1388880968938984,1.1080131305711671,1.933927343118304,1.1579634199247637,1.235416579708576,1.1374288594430289,1.1810841717661065,1.3884466401431106,1.0983260432770503,577842.5073281974,230989.3594322237,6273,132.9,91.7,23.7,2.5,0.7,10.7,22.9,8.4,13.2,52.6,1.5,2.5,0.7,3.2,0.6871747038751868,0.12532559270639942,0.08776365523856831,0.09973604817984551,91.32551814501232,101.91255513534944,16.655771270680486,22.70541109533214,11.663789781205729,13.456781457785386,13.254920803101468,15.88041037776341,91.7,104.43603848517049,23.7,26.25991119453666,2.5,4.8348183577957595,0.7,0.8105743939473345,10.7,13.218957402881763,22.9,26.04712088124536,8.4,9.921107042835295,13.2,18.32749564988906,52.6,57.77194987637285,1.5,346484.0391483355
33,2019,1.0892717462304191,1.4919091896507246,1.1613058823525406,1.1723102828345435,1.0991920144371572,1.0963985110748131,310329.56426431367,1.1649577357644176,1.0853727962101487,1.1013705568448973,1.1461618622580183,1.3796339488285112,1.0502216530990691,292974.0008998182,805182.7669027927,6375,132.9,95.4,22.0,2.7,0.7,11.9,25.9,9.2,13.5,55.6,1.6,2.7,0.7,3.4000000000000004,0.6811788529250405,0.1338481385741276,0.0955445811057813,0.0894284273950505,90.5286695537379,98.61032196871666,17.78841761650156,26.538703711403517,12.697874828958335,14.746116732245575,11.885038000802211,13.932952260219738,95.4,104.8629181773048,22.0,24.12076724364589,2.7,837889.823513647,0.7,0.8154704150350923,11.9,12.91593627490077,25.9,28.525497422282836,9.2,10.544689132773767,13.5,18.6250583091849,55.6,58.39232391230824,1.6,1288292.4270444685
33,2020,1.102183106402186,1.548882741219633,1.1588256169885425,1.1679928940330222,1.1170879693573637,1.0732144863516295,357853.5438900124,62066.82677403936,1.2297635709487358,1.0868284973497484,1.145515768146783,1.4191337719950148,1.0546483487586111,292974.09858169337,524276.65287255583,6468,137.3,96.9,20.0,2.9,0.6,13.0,25.9,10.6,14.7,56.0,1.6,2.9,0.6,3.5,0.6801048369101067,0.1370069403728476,0.0948609766845858,0.0880272460324598,93.37839410775766,102.92008848853592,18.81105291319198,29.13611520141236,13.024412098793633,15.09302238629757,12.086140880256732,14.116526664421878,96.9,108.24582423072854,20.0,21.46428972703259,2.9,1037775.277281036,0.6,37240.09606442361,13.0,15.986926422333566,25.9,28.148858081358483,10.6,12.142467142355898,14.7,20.861266448326717,56.0,59.06030753048222,1.6,838842.6445960894
33,2021,1.09025304644763,1.6364982731616156,1.172591509741851,1.155744291739767,1.1182647982515188,1.068655838231494,1.3910830112946868,1.033377364806899,1.7616739929072214,1.167195006151448,1.1221386273325589,1.32596039873882,1.0622185318017685,801983.6196049079,482074.1485337818,6540,152.1,109.9,29.4,3.5,0.8,143.0,30.5,12.4,16.9,68.3,1.8,3.5,0.8,4.3,0.6473495283429702,0.1623509356842793,0.1011731335456476,0.0891264024271029,98.46186326096577,107.34834637917791,24.69357731757888,40.410996638400675,15.388433612293,18.044346602000893,13.556125809162351,15.667415022045516,109.9,122.89730132784193,29.4,31.41848164400592,3.5,4.868790539531404,0.8,0.8267018918455191,143.0,251.91938098573266,30.5,35.59944768761916,12.4,13.91451897892373,16.9,22.408730738686057,68.3,72.54952572206079,1.8,867733.4673608072
33,2022,1.137875489747263,1.8013183569940263,1.222431172130063,1.192777389486178,1.1244206060397184,1.068898753499353,357853.52936615585,372395.0472802165,41106.564490440665,1.120897722587066,1.118833372119462,1.4115386969658823,1.0635403290129015,536806.4801811011,549667.0594757432,6577,146.5,108.4,31.7,3.7,0.9,13.8,30.5,12.4,14.1,64.8,1.6,3.7,0.9,4.6000000000000005,0.6427266971858422,0.17065279915636564,0.09293931436595741,0.09368118929183482,94.15946113772588,107.14174295642822,25.000635076407566,45.0341028996417,13.61560955461276,16.64414554711056,13.7242942312538,16.37002784569512,108.4,121.88719369470547,31.7,33.88409048592949,3.7,1324058.0586547768,0.9,335155.54255219485,13.8,567270.5899680812,30.5,34.187380538905515,12.4,13.87353381428133,14.1,19.90269562721894,64.8,68.91741332003602,1.6,879467.2951611892
33,2023,1.1298612744734169,1.9668850033458527,1.169656459757659,1.1823662617356785,1.1305366075400658,1.0646431328359212,1.3091617189644236,310329.3627573872,41106.57872591739,1.237879054138767,1.1114474153936855,1.407480551319627,1.0550144074339227,271924.45321331214,952475.9900000456,6627,133.8,106.3,31.9,4.7,1.1,13.2,29.6,13.2,14.3,68.3,1.4,4.7,1.1,5.800000000000001,0.6603250489855432,0.168559411339833,0.1128440013465751,0.0582715383280486,88.35149155426569,99.82492884912996,22.553249237269657,44.35964770150698,15.098527380171749,17.66009008304577,7.796731828292903,9.218592665574262,106.3,120.176041381509,31.9,33.96211593746588,4.7,6.153060079132791,1.1,341362.299033126,13.2,542606.8391821095,29.6,36.6412200025075,13.2,14.671105883196649,14.3,20.126971883870667,68.3,72.05748402773692,1.4,1333466.3860000637
33,2024,1.1196736259203115,2.1166081272839183,1.1757302951370627,1.2474747825307777,1.1424366943415154,1.070619008056641,1.2343233136913911,130640.26006848628,41106.51519242516,1.1158440512631276,1.116884593198422,1.42363406226362,1.0422463673101288,721531.0167810644,545199.03714456,6670,128.5,107.6,31.04,5.65,1.45,14.1,32.1,13.4,13.6,72.2,1.4,5.65,1.45,7.1000000000000005,0.6544047673661051,0.1762683847120951,0.1163813112599617,0.0529455366618381,84.09101260654451,94.15448899248031,22.65048743550422,47.94220579293051,14.954998496905079,17.583044796540538,6.803501461046196,8.48719650556643,107.6,122.92618831114704,31.04,33.23201401007813,5.65,6.97392672235636,1.45,189428.3770993051,14.1,579601.8642131948,32.1,35.8185940455464,13.4,14.966253548858854,13.6,19.361423246785233,72.2,75.2501877197913,1.4,763278.652002384
34,2015,1.1746670857801838,1.3116463941243963,1.159775316839482,1.2352313205199104,1.2096166216202606,1.133902067293057,1.4531221798691702,1.5300548326515797,1.1435352328847572,1.1198362747902748,1.1633260893710082,1.31921650458401,1.0719576978550018,362876.7000997623,761679.8945507068,6011,142.0,93.4,18.1,1.5,0.7,10.8,10.8,10.5,10.7,38.2,1.5,1.5,0.7,2.2,0.4373050983093026,0.3514875152904124,0.0808627542172309,0.1303446321830541,62.09732395992097,72.94368257074835,49.91122717123856,65.46588114547865,11.482511098846787,13.317132947777901,18.50893776999368,22.862819643050138,93.4,112.97819245933235,18.1,20.523627418004335,1.5,2.179683269803755,0.7,1.0710383828561056,10.8,12.35018051515538,10.8,12.09423176773497,10.5,12.214923938395586,10.7,14.115616599048908,38.2,40.94878405806107,1.5,1142519.8418260603
34,2016,1.0971567470073271,1.2486693133930786,1.212765004835894,1.2069767677003502,1.146761406857833,1.1018501785171613,5.99741441610876,1.3105670229370323,1.1347280520688634,1.127663116881385,1.1306519956338108,1.3533948296956106,1.0760464174268105,510280.7820138115,459651.39327781776,6033,140.9,97.6,17.8,1.8,1.0,11.9,11.2,11.3,10.5,43.5,1.0,1.8,1.0,2.8,0.4389774756301447,0.35279221514479514,0.08124186111339442,0.12698844811166574,61.8519263162874,67.86125827331477,49.70842311390164,62.0693825594882,11.446978230877274,13.882494609526251,17.892672338933703,21.596039825167665,97.6,111.92391330932449,17.8,19.61293317760547,1.8,10.795345948995768,1.0,1.3105670229370323,11.9,13.503263819619475,11.2,12.629826909071513,11.3,12.776367550662062,10.5,14.210645711803911,43.5,46.80801915806626,1.0,459651.39327781776
