scenario,year,function_evaluations,maximum_market_relative_residual,maximum_accounting_absolute_residual_mt,minimum_world_price_index,maximum_world_price_index,converged,accounting_passed,base_ssp,diet_pathway
SSP2__MTS,2025,5,6.834517691854496e-16,7.105427357601002e-15,0.9729931178096822,1.1893893332252174,True,True,SSP2,MTS
SSP2__MTS,2026,5,1.4047765815712026e-15,7.105427357601002e-15,0.956930191038264,1.2614846222338352,True,True,SSP2,MTS
SSP2__MTS,2027,5,9.669696641694254e-16,7.105427357601002e-15,0.9417988123886871,1.3406174656964478,True,True,SSP2,MTS
SSP2__MTS,2028,5,1.0469267967825364e-15,1.7763568394002505e-15,0.9276186456545512,1.4265764365936722,True,True,SSP2,MTS
SSP2__MTS,2029,5,1.1421921197935343e-15,7.105427357601002e-15,0.9143655747635056,1.5196045118888717,True,True,SSP2,MTS
SSP2__MTS,2030,5,1.3048492068315146e-15,7.105427357601002e-15,0.9013475140433407,1.6201899859855842,True,True,SSP2,MTS
SSP2__MTS,2031,5,1.1125350783462042e-15,2.6645352591003757e-15,0.8840798890041023,1.6952832223543095,True,True,SSP2,MTS
SSP2__MTS,2032,5,1.0234212273898312e-15,3.552713678800501e-15,0.8678277957152752,1.7750593680640794,True,True,SSP2,MTS
SSP2__MTS,2033,5,1.0862778328409423e-15,7.105427357601002e-15,0.8525518296300412,1.8598398290488154,True,True,SSP2,MTS
SSP2__MTS,2034,5,1.017035928830672e-15,3.552713678800501e-15,0.8382149097552832,1.949974826822407,True,True,SSP2,MTS
SSP2__MTS,2035,5,1.0728831238667666e-15,7.105427357601002e-15,0.8247824633159543,2.045842771597018,True,True,SSP2,MTS
SSP2__MTS,2036,6,6.670114255700484e-16,3.552713678800501e-15,0.8092368025328879,2.111007999788532,True,True,SSP2,MTS
SSP2__MTS,2037,6,1.3747649385292958e-15,7.105427357601002e-15,0.794176130502968,2.1780961329042183,True,True,SSP2,MTS
SSP2__MTS,2038,6,8.072732605706609e-16,1.7763568394002505e-15,0.7795869748147515,2.247153277916721,True,True,SSP2,MTS
SSP2__MTS,2039,5,1.4072710999744676e-15,1.7763568394002505e-15,0.7654562868274981,2.3182259240975402,True,True,SSP2,MTS
SSP2__MTS,2040,6,9.474126222563474e-16,3.552713678800501e-15,0.7517714313097175,2.391360885279798,True,True,SSP2,MTS
SSP2__MTS,2041,5,1.384192843158633e-15,1.7763568394002505e-15,0.7370055870844617,2.4446929505872643,True,True,SSP2,MTS
SSP2__MTS,2042,5,9.577813330784854e-16,3.552713678800501e-15,0.7227155514948992,2.498956583650745,True,True,SSP2,MTS
SSP2__MTS,2043,5,2.2601889553746114e-15,3.552713678800501e-15,0.7088868990133648,2.554156307916372,True,True,SSP2,MTS
SSP2__MTS,2044,5,1.2411799942235277e-15,3.552713678800501e-15,0.6955056940156369,2.610295989480251,True,True,SSP2,MTS
SSP2__MTS,2045,5,7.338496297038137e-16,1.7763568394002505e-15,0.6825584758869773,2.667378796206026,True,True,SSP2,MTS
SSP2__MTS,2046,5,1.0863266108977445e-15,3.552713678800501e-15,0.6687197334370523,2.702390118044525,True,True,SSP2,MTS
SSP2__MTS,2047,5,1.5924731735068694e-15,3.552713678800501e-15,0.6553434558333653,2.7375763717197756,True,True,SSP2,MTS
SSP2__MTS,2048,5,1.5683468393849925e-15,3.552713678800501e-15,0.6424145100046667,2.7729290200140895,True,True,SSP2,MTS
SSP2__MTS,2049,5,1.7471078369636131e-15,7.105427357601002e-15,0.6299183156173587,2.8084390839196667,True,True,SSP2,MTS
SSP2__MTS,2050,5,2.1971639765255087e-15,7.105427357601002e-15,0.6167583172881136,2.8440971294366286,True,True,SSP2,MTS
SSP2__CGS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP2,CGS
SSP2__CGS,2024,5,1.67634470289345e-15,7.105427357601002e-15,0.9859158565608842,1.0943097693464945,True,True,SSP2,CGS
SSP2__CGS,2025,5,2.4728973041521024e-15,1.7763568394002505e-15,0.9670625057751993,1.189770548546429,True,True,SSP2,CGS
SSP2__CGS,2026,5,1.4287270822589014e-15,1.4210854715202004e-14,0.9313943227852205,1.2621182329717542,True,True,SSP2,CGS
SSP2__CGS,2027,5,1.167127184695429e-15,3.552713678800501e-15,0.8982702193477312,1.3415231596928094,True,True,SSP2,CGS
SSP2__CGS,2028,5,2.214950956712468e-15,3.552713678800501e-15,0.867350547546364,1.4277747632291196,True,True,SSP2,CGS
SSP2__CGS,2029,6,1.1678082650062494e-15,7.105427357601002e-15,0.8385625591866819,1.521102664194071,True,True,SSP2,CGS
SSP2__CGS,2030,5,1.6098286840741566e-15,7.105427357601002e-15,0.8118113147064285,1.6219834812234528,True,True,SSP2,CGS
SSP2__CGS,2031,5,9.923871135681783e-16,1.7763568394002505e-15,0.7843196766250632,1.697346116050756,True,True,SSP2,CGS
SSP2__CGS,2032,5,1.14151949894218e-15,1.7763568394002505e-15,0.7588608540182104,1.777370442765971,True,True,SSP2,CGS
SSP2__CGS,2033,5,1.4503110697022217e-15,3.552713678800501e-15,0.7352998721295135,1.8623703930847826,True,True,SSP2,CGS
SSP2__CGS,2034,5,1.0673083365104628e-15,7.105427357601002e-15,0.713512102570137,1.9526877055038367,True,True,SSP2,CGS
SSP2__CGS,2035,5,1.205142197147791e-15,7.105427357601002e-15,0.6933832036186762,2.048690986303666,True,True,SSP2,CGS
SSP2__CGS,2036,5,1.219129063598125e-15,7.105427357601002e-15,0.6725016161604876,2.1139181444209,True,True,SSP2,CGS
SSP2__CGS,2037,5,1.0218823949400427e-15,7.105427357601002e-15,0.6528516975016024,2.181006301683739,True,True,SSP2,CGS
SSP2__CGS,2038,5,1.008425360757904e-15,3.552713678800501e-15,0.6343583084309838,2.2499926408267954,True,True,SSP2,CGS
SSP2__CGS,2039,5,1.4470715930439016e-15,7.105427357601002e-15,0.616951303547271,2.3209139827538796,True,True,SSP2,CGS
SSP2__CGS,2040,5,1.4935306797558047e-15,1.7763568394002505e-15,0.6005651929414598,2.3938066886813667,True,True,SSP2,CGS
SSP2__CGS,2041,5,1.0112523691416053e-15,3.552713678800501e-15,0.5839797292114972,2.4468283869239995,True,True,SSP2,CGS
SSP2__CGS,2042,5,1.633956861072781e-15,3.552713678800501e-15,0.5683579047704511,2.500685893390643,True,True,SSP2,CGS
SSP2__CGS,2043,5,1.1080910263587812e-15,3.552713678800501e-15,0.553640387728191,2.5553748056586056,True,True,SSP2,CGS
SSP2__CGS,2044,5,1.1108217525803909e-15,7.105427357601002e-15,0.5397718541053766,2.6108895861298964,True,True,SSP2,CGS
SSP2__CGS,2045,5,1.217919470234771e-15,1.7763568394002505e-15,0.5267007083889157,2.667223512175412,True,True,SSP2,CGS
SSP2__CGS,2046,5,1.6035193969228362e-15,3.552713678800501e-15,0.5134455721115466,2.701427696761259,True,True,SSP2,CGS
SSP2__CGS,2047,5,1.0161574772232694e-15,7.105427357601002e-15,0.5009450047949403,2.7356890093641426,True,True,SSP2,CGS
SSP2__CGS,2048,5,1.0466977341975043e-15,7.105427357601002e-15,0.48915222490406335,2.7699918016923997,True,True,SSP2,CGS
SSP2__CGS,2049,5,1.2978287368837494e-15,3.552713678800501e-15,0.4780236595464524,2.804319795941317,True,True,SSP2,CGS
SSP2__CGS,2050,5,9.85649081886842e-16,3.552713678800501e-15,0.4675187159660051,2.838656078912393,True,True,SSP2,CGS
SSP3__BASELINE,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP3,BASELINE
SSP3__BASELINE,2050,7,8.968373636904774e-16,3.552713678800501e-15,0.7673297834243556,2.7514728363027543,True,True,SSP3,BASELINE
SSP3__PTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP3,PTS
SSP3__PTS,2050,7,1.0988177149606238e-15,3.552713678800501e-15,0.7700870992445129,2.7494691617162603,True,True,SSP3,PTS
SSP3__MTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP3,MTS
SSP3__MTS,2050,7,5.252754878009426e-15,7.105427357601002e-15,0.6529703613462312,2.7462332756800882,True,True,SSP3,MTS
SSP3__CGS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP3,CGS
SSP3__CGS,2050,8,1.074739405879123e-15,7.105427357601002e-15,0.4944004168437851,2.7430013684275543,True,True,SSP3,CGS
SSP4__BASELINE,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP4,BASELINE
SSP4__BASELINE,2050,7,1.2243991044849635e-15,7.105427357601002e-15,0.6962336473187367,3.178309732123211,True,True,SSP4,BASELINE
SSP4__PTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP4,PTS
SSP4__PTS,2050,7,1.18566444766594e-15,1.7763568394002505e-15,0.7070837918201943,3.1754032605931113,True,True,SSP4,PTS
SSP4__MTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP4,MTS
SSP4__MTS,2050,7,2.8933248541021538e-15,3.552713678800501e-15,0.6487951071111963,3.1705545132980038,True,True,SSP4,MTS
SSP4__CGS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP4,CGS
SSP4__CGS,2050,8,1.1682005483384736e-15,7.105427357601002e-15,0.49068219577662786,3.165372738361927,True,True,SSP4,CGS
SSP5__BASELINE,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP5,BASELINE
SSP5__BASELINE,2050,7,1.8257358007411174e-15,1.4210854715202004e-14,0.6446867219411405,4.4293747661524865,True,True,SSP5,BASELINE
SSP5__PTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP5,PTS
SSP5__PTS,2050,7,2.2811190738816497e-15,2.6645352591003757e-15,0.6446867219411405,4.42628878552474,True,True,SSP5,PTS
SSP5__MTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP5,MTS
SSP5__MTS,2050,8,7.983901806232319e-16,7.105427357601002e-15,0.6446867219411405,4.421359371372904,True,True,SSP5,MTS
SSP5__CGS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP5,CGS
SSP5__CGS,2050,8,7.983901806232319e-16,1.4210854715202004e-14,0.5146238190262361,4.416551872662575,True,True,SSP5,CGS
