scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP2__CGS,SSP2,CGS,2025,8135.740129227402,2511.7647107980715,6166733285045610.0,168954806012369.88,197037697163965.4,2076.659211908836,56.89585362037646,66.35282085267384
SSP2__CGS,SSP2,CGS,2026,8202.03695736916,2544.3959110751543,6239417657035284.0,170894783609015.6,198993809607665.3,2084.1523928300694,57.08397670402859,66.46989306518893
SSP2__CGS,SSP2,CGS,2027,8269.56240594341,2577.8103836802316,6313892068791457.0,172883222494630.84,201001278037786.3,2091.807714349264,57.27662978012393,66.5922095931523
SSP2__CGS,SSP2,CGS,2028,8338.34282407324,2612.107695138461,6390332099528624.0,174927429558267.66,203068787242104.94,2099.668908580362,57.47583683928863,66.72223168289163
SSP2__CGS,SSP2,CGS,2029,8408.40520824516,2647.3306813052927,6468808383690144.0,177030043690105.34,205199042867295.84,2107.743651276797,57.68202249024086,66.86037894430468
SSP2__CGS,SSP2,CGS,2030,8479.777219277335,2683.507470332537,6549372154661082.0,179192684337599.56,207393580532733.0,2116.032637560851,57.8952546162223,67.00666489314465
SSP2__CGS,SSP2,CGS,2031,8541.342053189861,2716.187039024028,6621944857238234.0,181146881731981.56,209412869107307.1,2124.0590254302683,58.10478301564061,67.17139817049681
SSP2__CGS,SSP2,CGS,2032,8604.037860737553,2749.7362347356466,6696445066131371.0,183157220278131.7,211493822522938.9,2132.304057195699,58.321524338192006,67.34455840134605
SSP2__CGS,SSP2,CGS,2033,8667.887696366779,2784.1735676557537,6772911735223253.0,185224762107031.53,213637460627431.25,2140.766379568273,58.545417227291544,67.52603769351647
SSP2__CGS,SSP2,CGS,2034,8732.915153120195,2819.5180263422976,6851385059887640.0,187350602604775.6,215844841351875.8,2149.4446749076933,58.776400915961126,67.71573058509338
