T1,wave,total_豆类,ratio_豆类
37,2009,930.0,1.0
37,2009,430.0,1.0
37,2009,1603.0,0.82033688
37,2009,680.0,1.0
37,2009,270.0,0.11111111
37,2009,520.0,1.0
37,2009,670.0,1.0
37,2009,150.0,1.0
37,2009,300.0,1.0
37,2009,600.0,1.0
37,2009,1570.0,1.0
37,2009,150.0,0.73333335
37,2009,525.0,1.0
37,2009,600.0,1.0
37,2009,1451.0,1.0
37,2009,120.0,1.0
37,2009,660.0,1.0
37,2009,420.0,1.0
37,2009,68.0,1.0
37,2009,70.0,1.0
37,2009,250.0,1.0
37,2009,1170.0,1.0
37,2009,600.0,1.0
37,2009,680.0,1.0
37,2009,820.0,1.0
37,2009,425.0,1.0
37,2009,1350.0,1.0
37,2009,211.0,1.0
37,2009,51.0,1.0
37,2009,650.0,1.0
37,2009,950.0,1.0
37,2009,150.0,1.0
37,2009,450.0,1.0
37,2009,250.0,1.0
37,2009,584.0,1.0
37,2009,560.0,1.0
37,2009,200.0,1.0
37,2009,550.0,1.0
37,2009,120.0,1.0
37,2009,200.0,1.0
37,2009,500.0,1.0
37,2009,200.0,1.0
37,2009,1500.0,1.0
37,2009,390.0,1.0
37,2009,550.0,1.0
37,2009,650.0,1.0
37,2009,680.0,1.0
37,2009,150.0,1.0
37,2009,820.0,1.0
37,2009,182.0,1.0
37,2009,670.0,1.0
37,2009,270.0,1.0
37,2009,750.0,1.0
37,2009,100.0,1.0
37,2009,870.0,1.0
37,2009,167.0,1.0
37,2009,200.0,1.0
37,2009,100.0,1.0
37,2009,550.0,0.36363637
37,2009,150.0,1.0
37,2009,65.0,1.0
37,2009,950.0,1.0
37,2009,50.0,1.0
37,2009,50.0,1.0
37,2009,850.0,1.0
37,2009,400.0,1.0
37,2009,950.0,1.0
37,2009,1600.0,1.0
37,2009,100.0,1.0
37,2009,398.0,1.0
37,2009,30.0,1.0
37,2009,750.0,1.0
37,2009,850.0,1.0
37,2009,1830.0,1.0
37,2009,420.0,1.0
37,2009,100.0,1.0
37,2009,1070.0,1.0
37,2009,300.0,1.0
37,2009,800.0,1.0
37,2009,255.0,1.0
37,2009,831.0,1.0
37,2009,820.0,1.0
37,2009,680.0,1.0
37,2009,120.0,1.0
37,2009,700.0,1.0
37,2009,650.0,0.61538464
37,2009,850.0,1.0
37,2009,200.0,1.0
37,2009,300.0,1.0
37,2009,400.0,1.0
37,2009,56.0,1.0
37,2009,750.0,1.0
37,2009,280.0,1.0
37,2009,2650.0,0.71698111
37,2009,1350.0,1.0
37,2009,450.0,1.0
37,2009,1070.0,1.0
37,2009,1020.0,1.0
37,2009,830.0,1.0
37,2009,300.0,1.0
37,2009,1450.0,0.0
37,2009,200.0,1.0
37,2009,150.0,1.0
37,2009,100.0,1.0
37,2009,1650.0,1.0
37,2009,150.0,1.0
37,2009,250.0,1.0
37,2009,170.0,1.0
37,2009,250.0,1.0
37,2009,70.0,1.0
37,2009,975.0,1.0
37,2009,683.0,1.0
37,2009,480.0,1.0
37,2009,620.0,1.0
37,2009,525.0,1.0
37,2009,150.0,1.0
37,2009,3340.0,1.0
37,2009,480.0,1.0
37,2009,100.0,1.0
37,2009,350.0,1.0
37,2009,41.0,1.0
37,2009,750.0,1.0
37,2009,950.0,1.0
37,2009,600.0,1.0
37,2009,940.0,0.46808511
37,2009,870.0,1.0
37,2009,100.0,1.0
37,2009,600.0,1.0
37,2009,600.0,1.0
37,2009,920.0,1.0
37,2009,700.0,1.0
37,2009,530.0,1.0
37,2009,365.0,1.0
37,2009,200.0,0.0
37,2009,200.0,1.0
37,2009,785.0,1.0
37,2009,920.0,1.0
37,2009,500.0,1.0
41,2009,370.0,0.94594592
41,2009,150.0,1.0
41,2009,1230.0,0.59349591
41,2009,191.0,1.0
41,2009,100.0,0.0
41,2009,200.0,1.0
41,2009,270.0,1.0
41,2009,200.0,1.0
41,2009,25.0,1.0
41,2009,840.0,0.76190478
41,2009,200.0,1.0
41,2009,500.0,0.89999998
41,2009,200.0,1.0
41,2009,650.0,0.61538464
41,2009,91.0,1.0
41,2009,2050.0,1.0
41,2009,8.0,1.0
41,2009,250.0,1.0
41,2009,200.0,0.0
41,2009,480.0,0.375
41,2009,450.0,0.55555558
41,2009,70.0,1.0
41,2009,640.0,0.796875
41,2009,421.0,0.047505938
41,2009,600.0,1.0
41,2009,350.0,0.42857143
41,2009,913.0,1.0
41,2009,150.0,1.0
41,2009,180.0,1.0
41,2009,600.0,1.0
41,2009,200.0,1.0
41,2009,860.0,1.0
41,2009,550.0,1.0
41,2009,1510.0,0.86754966
41,2009,150.0,1.0
41,2009,1493.0,1.0
41,2009,400.0,1.0
41,2009,30.0,0.0
41,2009,120.0,1.0
41,2009,1390.0,0.13669065
41,2009,380.0,1.0
41,2009,340.0,1.0
41,2009,100.0,1.0
41,2009,210.0,1.0
41,2009,190.0,1.0
41,2009,130.0,1.0
41,2009,1390.0,1.0
41,2009,1200.0,0.41666666
41,2009,150.0,0.33333334
41,2009,100.0,1.0
41,2009,170.0,0.41176471
41,2009,1190.0,0.41176471
41,2009,120.0,1.0
41,2009,1005.0,1.0
41,2009,30.0,0.0
41,2009,110.0,1.0
41,2009,100.0,1.0
41,2009,100.0,1.0
41,2009,460.0,0.13043478
41,2009,100.0,1.0
41,2009,500.0,1.0
41,2009,376.0,1.0
41,2009,635.0,1.0
41,2009,375.0,0.80000001
41,2009,460.0,1.0
41,2009,50.0,0.0
41,2009,115.0,1.0
41,2009,350.0,1.0
41,2009,400.0,1.0
41,2009,150.0,1.0
41,2009,410.0,1.0
41,2009,420.0,1.0
41,2009,200.0,1.0
41,2009,1050.0,1.0
41,2009,1560.0,0.55128205
41,2009,580.0,1.0
41,2009,30.0,1.0
41,2009,610.0,1.0
41,2009,550.0,1.0
41,2009,450.0,1.0
41,2009,300.0,1.0
41,2009,960.0,1.0
41,2009,290.0,1.0
41,2009,300.0,1.0
41,2009,500.0,1.0
41,2009,180.0,1.0
41,2009,270.0,1.0
41,2009,750.0,1.0
41,2009,305.0,0.0
41,2009,720.0,1.0
41,2009,125.0,0.2
41,2009,200.0,1.0
41,2009,270.0,0.9074074
41,2009,290.0,1.0
41,2009,50.0,0.0
41,2009,100.0,1.0
41,2009,98.0,1.0
41,2009,750.0,1.0
41,2009,690.0,0.34782609
41,2009,50.0,1.0
41,2009,100.0,1.0
41,2009,200.0,1.0
41,2009,1145.0,1.0
41,2009,200.0,1.0
41,2009,520.0,1.0
41,2009,400.0,0.75
41,2009,400.0,1.0
41,2009,173.0,1.0
41,2009,415.0,1.0
41,2009,280.0,1.0
41,2009,60.0,1.0
41,2009,60.0,1.0
41,2009,130.0,1.0
41,2009,150.0,1.0
41,2009,50.0,1.0
41,2009,200.0,1.0
41,2009,250.0,0.60000002
41,2009,1598.0,1.0
41,2009,300.0,1.0
41,2009,1280.0,1.0
41,2009,359.0,1.0
41,2009,100.0,1.0
41,2009,100.0,1.0
41,2009,950.0,0.78947371
41,2009,300.0,1.0
41,2009,200.0,0.0
41,2009,150.0,1.0
41,2009,180.0,1.0
41,2009,150.0,1.0
41,2009,35.0,1.0
41,2009,190.0,1.0
41,2009,700.0,1.0
41,2009,630.0,1.0
41,2009,200.0,0.5
41,2009,1400.0,1.0
41,2009,80.0,1.0
41,2009,400.0,1.0
41,2009,700.0,1.0
41,2009,180.0,1.0
41,2009,500.0,1.0
41,2009,970.0,1.0
41,2009,50.0,1.0
41,2009,450.0,1.0
41,2009,100.0,1.0
42,2009,520.0,1.0
42,2009,745.0,1.0
42,2009,560.0,0.89285713
42,2009,260.0,1.0
42,2009,250.0,1.0
42,2009,100.0,1.0
42,2009,430.0,1.0
42,2009,300.0,0.0
42,2009,880.0,1.0
42,2009,950.0,1.0
42,2009,520.0,1.0
42,2009,450.0,1.0
42,2009,330.0,1.0
42,2009,883.0,0.16761042
42,2009,900.0,1.0
42,2009,2310.0,0.95670998
42,2009,240.0,1.0
42,2009,710.0,1.0
42,2009,150.0,1.0
42,2009,200.0,1.0
42,2009,500.0,1.0
42,2009,200.0,1.0
42,2009,318.0,1.0
