T1,wave,total_猪肉,ratio_猪肉
21,2006,670.0,0.85074627
21,2006,540.0,0.75925928
21,2006,335.0,0.82089549
21,2006,580.0,1.0
21,2006,170.0,1.0
21,2006,870.0,1.0
21,2006,715.0,1.0
21,2006,1180.0,1.0
21,2006,100.0,1.0
21,2006,204.0,1.0
21,2006,150.0,1.0
21,2006,1340.0,1.0
21,2006,640.0,1.0
21,2006,280.0,1.0
21,2006,100.0,1.0
21,2006,458.0,0.73799127
21,2006,910.0,1.0
21,2006,575.0,0.97391301
21,2006,300.0,0.16666667
21,2006,450.0,1.0
21,2006,1036.0,0.95173746
21,2006,485.0,1.0
21,2006,660.0,0.84848487
21,2006,35.0,0.0
21,2006,50.0,1.0
21,2006,350.0,1.0
21,2006,1110.0,1.0
21,2006,550.0,0.81818181
21,2006,350.0,1.0
21,2006,100.0,1.0
21,2006,1000.0,0.97500002
21,2006,1580.0,0.63607597
21,2006,501.0,1.0
21,2006,250.0,1.0
21,2006,980.0,1.0
21,2006,410.0,1.0
21,2006,1000.0,1.0
21,2006,200.0,1.0
21,2006,125.0,0.0
21,2006,100.0,1.0
21,2006,200.0,1.0
21,2006,200.0,0.25
21,2006,1400.0,0.8214286
21,2006,374.0,0.78609627
21,2006,350.0,1.0
21,2006,350.0,1.0
21,2006,30.0,1.0
21,2006,115.0,1.0
21,2006,40.0,1.0
21,2006,250.0,1.0
21,2006,880.0,1.0
21,2006,100.0,1.0
21,2006,100.0,1.0
21,2006,850.0,1.0
21,2006,370.0,1.0
21,2006,661.0,0.84720123
21,2006,720.0,1.0
21,2006,450.0,0.55555558
21,2006,200.0,1.0
21,2006,698.0,1.0
21,2006,10.0,1.0
21,2006,500.0,1.0
21,2006,230.0,0.86956519
21,2006,100.0,1.0
21,2006,460.0,1.0
21,2006,410.0,0.0
21,2006,860.0,0.79069769
21,2006,450.0,0.8888889
21,2006,200.0,1.0
21,2006,664.0,1.0
21,2006,490.0,1.0
21,2006,50.0,0.0
21,2006,300.0,0.66666669
21,2006,200.0,1.0
21,2006,600.0,1.0
21,2006,100.0,1.0
21,2006,960.0,0.375
21,2006,300.0,1.0
21,2006,900.0,0.72222221
21,2006,454.0,1.0
21,2006,250.0,1.0
21,2006,550.0,0.090909094
23,2006,620.0,0.51612902
23,2006,730.0,0.61643833
23,2006,470.0,1.0
23,2006,700.0,1.0
23,2006,740.0,1.0
23,2006,200.0,1.0
23,2006,320.0,1.0
23,2006,140.0,1.0
23,2006,1550.0,0.44516128
23,2006,200.0,1.0
23,2006,160.0,1.0
23,2006,670.0,1.0
23,2006,700.0,0.0
23,2006,50.0,1.0
23,2006,485.0,1.0
23,2006,100.0,1.0
23,2006,475.0,1.0
23,2006,500.0,1.0
23,2006,500.0,0.40000001
23,2006,650.0,1.0
23,2006,330.0,1.0
23,2006,1720.0,1.0
23,2006,1230.0,1.0
23,2006,200.0,1.0
23,2006,585.0,1.0
23,2006,250.0,0.60000002
23,2006,510.0,0.58823532
23,2006,450.0,0.55555558
23,2006,100.0,1.0
23,2006,310.0,1.0
23,2006,680.0,0.45588234
23,2006,540.0,0.53703701
23,2006,760.0,0.67105263
23,2006,60.0,1.0
23,2006,300.0,1.0
23,2006,340.0,0.70588237
23,2006,310.0,1.0
23,2006,200.0,1.0
23,2006,400.0,1.0
23,2006,150.0,1.0
23,2006,800.0,0.77499998
23,2006,780.0,0.74358976
23,2006,150.0,1.0
23,2006,30.0,1.0
23,2006,100.0,0.0
23,2006,205.0,0.12195122
23,2006,645.0,0.03875969
23,2006,300.0,1.0
23,2006,560.0,0.9285714
23,2006,720.0,1.0
23,2006,280.0,0.21428572
23,2006,300.0,1.0
23,2006,330.0,0.24242425
23,2006,200.0,1.0
23,2006,210.0,1.0
23,2006,150.0,1.0
23,2006,40.0,1.0
23,2006,160.0,1.0
23,2006,600.0,1.0
23,2006,420.0,1.0
23,2006,90.0,1.0
23,2006,920.0,1.0
23,2006,900.0,0.77777779
23,2006,460.0,1.0
23,2006,1015.0,0.20689656
23,2006,340.0,1.0
23,2006,100.0,1.0
23,2006,500.0,1.0
23,2006,25.0,1.0
23,2006,50.0,1.0
23,2006,815.0,0.52760738
23,2006,250.0,0.80000001
23,2006,100.0,1.0
23,2006,150.0,0.0
23,2006,225.0,0.088888891
23,2006,790.0,0.31645569
23,2006,50.0,1.0
23,2006,100.0,1.0
23,2006,200.0,1.0
23,2006,250.0,1.0
23,2006,2015.0,1.0
23,2006,440.0,1.0
23,2006,520.0,1.0
23,2006,470.0,1.0
23,2006,50.0,1.0
23,2006,100.0,1.0
23,2006,360.0,1.0
23,2006,1080.0,0.37037036
23,2006,810.0,1.0
23,2006,260.0,1.0
23,2006,100.0,1.0
23,2006,485.0,1.0
23,2006,130.0,1.0
23,2006,520.0,1.0
23,2006,330.0,1.0
23,2006,370.0,0.5945946
23,2006,850.0,0.68235296
23,2006,300.0,0.83333331
23,2006,300.0,0.83333331
23,2006,200.0,1.0
23,2006,430.0,1.0
23,2006,245.0,1.0
23,2006,481.0,1.0
23,2006,180.0,0.0
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,440.0,0.88636363
23,2006,390.0,1.0
23,2006,250.0,1.0
23,2006,300.0,1.0
23,2006,150.0,1.0
23,2006,270.0,1.0
23,2006,80.0,1.0
23,2006,600.0,0.83333331
23,2006,1125.0,1.0
23,2006,300.0,1.0
23,2006,100.0,1.0
23,2006,580.0,0.51724136
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,380.0,1.0
23,2006,150.0,1.0
23,2006,190.0,0.7368421
23,2006,175.0,1.0
23,2006,1060.0,0.76415092
23,2006,325.0,1.0
23,2006,900.0,1.0
23,2006,350.0,1.0
23,2006,350.0,1.0
23,2006,400.0,1.0
23,2006,110.0,1.0
23,2006,250.0,1.0
23,2006,100.0,0.0
23,2006,650.0,0.84615386
23,2006,900.0,1.0
23,2006,80.0,1.0
23,2006,485.0,1.0
23,2006,180.0,1.0
23,2006,150.0,1.0
23,2006,200.0,1.0
23,2006,855.0,0.3508772
23,2006,400.0,1.0
23,2006,50.0,1.0
23,2006,950.0,0.33684212
23,2006,480.0,1.0
23,2006,750.0,0.98666668
23,2006,280.0,1.0
23,2006,740.0,1.0
23,2006,70.0,1.0
23,2006,145.0,1.0
23,2006,600.0,1.0
23,2006,550.0,1.0
23,2006,70.0,1.0
23,2006,370.0,1.0
23,2006,610.0,0.95081967
23,2006,350.0,1.0
23,2006,300.0,1.0
23,2006,100.0,1.0
23,2006,350.0,0.5714286
23,2006,280.0,1.0
23,2006,1130.0,0.64601767
23,2006,295.0,0.32203391
23,2006,50.0,1.0
23,2006,300.0,1.0
32,2006,200.0,0.0
32,2006,520.0,1.0
32,2006,110.0,0.54545456
32,2006,765.0,0.80392158
32,2006,1390.0,0.31654677
32,2006,250.0,0.0
32,2006,400.0,1.0
32,2006,300.0,0.0
32,2006,240.0,1.0
32,2006,514.0,1.0
32,2006,100.0,1.0
32,2006,675.0,1.0
32,2006,760.0,1.0
32,2006,860.0,1.0
32,2006,570.0,0.86842108
32,2006,635.0,0.39370078
32,2006,720.0,1.0
32,2006,795.0,1.0
32,2006,115.0,0.0
32,2006,700.0,0.96428573
32,2006,490.0,0.0
32,2006,300.0,0.83333331
32,2006,960.0,1.0
32,2006,850.0,0.7647059
32,2006,861.0,1.0
32,2006,285.0,0.42105263
32,2006,330.0,1.0
32,2006,575.0,1.0
32,2006,1430.0,0.61538464
32,2006,850.0,0.41176471
32,2006,920.0,0.13586956
32,2006,240.0,1.0
32,2006,400.0,0.5
32,2006,755.0,0.93377483
32,2006,510.0,0.29411766
32,2006,800.0,0.875
32,2006,630.0,1.0
32,2006,500.0,0.47999999
32,2006,100.0,1.0
32,2006,1892.0,0.89957714
32,2006,400.0,0.75
32,2006,400.0,1.0
32,2006,975.0,1.0
32,2006,1545.0,0.32038835
32,2006,100.0,1.0
32,2006,500.0,1.0
32,2006,775.0,0.87096775
32,2006,580.0,0.1724138
32,2006,760.0,1.0
32,2006,600.0,1.0
32,2006,360.0,1.0
32,2006,1422.0,1.0
32,2006,1435.0,0.9512195
32,2006,650.0,1.0
32,2006,100.0,1.0
32,2006,830.0,0.48192772
32,2006,795.0,0.8553459
32,2006,640.0,0.9375
32,2006,450.0,1.0
32,2006,125.0,0.0
32,2006,900.0,1.0
32,2006,130.0,0.0
32,2006,1140.0,0.27192983
32,2006,1000.0,0.95999998
32,2006,550.0,1.0
32,2006,700.0,0.82857144
32,2006,2315.0,1.0
32,2006,600.0,1.0
32,2006,610.0,0.40983605
32,2006,220.0,0.0
32,2006,1665.0,0.96996999
32,2006,1050.0,1.0
32,2006,430.0,1.0
32,2006,480.0,0.47916666
32,2006,550.0,0.72727275
32,2006,1150.0,1.0
32,2006,730.0,0.58904111
32,2006,550.0,1.0
32,2006,480.0,1.0
32,2006,325.0,1.0
32,2006,605.0,0.78512394
32,2006,410.0,1.0
32,2006,1190.0,0.70168066
32,2006,350.0,1.0
32,2006,761.0,1.0
32,2006,760.0,1.0
32,2006,675.0,0.7037037
32,2006,550.0,0.45454547
32,2006,1230.0,0.97560978
32,2006,400.0,0.875
32,2006,2210.0,1.0
32,2006,140.0,1.0
32,2006,350.0,1.0
32,2006,636.0,0.72484279
32,2006,710.0,1.0
32,2006,270.0,1.0
32,2006,280.0,1.0
32,2006,550.0,0.81818181
32,2006,560.0,1.0
32,2006,1120.0,0.9375
32,2006,450.0,0.86666667
32,2006,250.0,1.0
32,2006,400.0,0.0
32,2006,495.0,0.4040404
32,2006,580.0,0.34482759
32,2006,300.0,0.0
32,2006,685.0,1.0
32,2006,1350.0,1.0
32,2006,880.0,0.94318181
32,2006,445.0,0.88764048
32,2006,545.0,0.18348624
32,2006,240.0,1.0
32,2006,370.0,1.0
32,2006,1050.0,0.85714287
32,2006,150.0,1.0
32,2006,350.0,0.0
32,2006,590.0,0.74576271
32,2006,200.0,1.0
32,2006,530.0,0.98113209
32,2006,530.0,1.0
32,2006,690.0,0.43478259
32,2006,450.0,0.77777779
32,2006,720.0,1.0
32,2006,830.0,0.93975902
32,2006,660.0,1.0
32,2006,1165.0,1.0
32,2006,760.0,0.53947371
32,2006,1526.0,0.90170377
32,2006,550.0,0.0
32,2006,400.0,1.0
32,2006,400.0,0.5
32,2006,1080.0,0.8611111
32,2006,300.0,1.0
32,2006,1080.0,0.27777779
32,2006,970.0,1.0
32,2006,50.0,0.0
32,2006,1210.0,0.74380165
32,2006,570.0,0.82456142
32,2006,1150.0,0.9130435
32,2006,50.0,0.0
32,2006,620.0,1.0
32,2006,500.0,1.0
32,2006,540.0,0.53703701
32,2006,450.0,1.0
32,2006,150.0,1.0
32,2006,1040.0,0.625
32,2006,1070.0,0.62616825
32,2006,200.0,1.0
32,2006,1170.0,1.0
32,2006,200.0,1.0
32,2006,330.0,1.0
32,2006,850.0,0.7647059
32,2006,580.0,0.68965518
32,2006,850.0,0.88235295
32,2006,50.0,0.0
32,2006,150.0,1.0
32,2006,400.0,0.0
32,2006,600.0,0.91666669
32,2006,650.0,1.0
32,2006,50.0,0.0
32,2006,750.0,1.0
32,2006,280.0,1.0
32,2006,380.0,0.47368422
32,2006,1150.0,1.0
32,2006,400.0,1.0
32,2006,471.0,1.0
32,2006,525.0,0.0
32,2006,920.0,0.71739131
32,2006,1290.0,0.61240309
32,2006,1050.0,0.2857143
32,2006,260.0,1.0
32,2006,1320.0,1.0
32,2006,520.0,0.90384614
32,2006,50.0,1.0
32,2006,375.0,0.53333336
32,2006,75.0,0.0
32,2006,460.0,0.086956523
32,2006,1450.0,0.75862068
32,2006,1855.0,0.21024258
32,2006,885.0,1.0
32,2006,250.0,1.0
32,2006,250.0,1.0
32,2006,400.0,1.0
32,2006,1737.0,0.41565919
32,2006,650.0,0.69230771
32,2006,937.0,1.0
32,2006,550.0,1.0
32,2006,650.0,0.07692308
32,2006,600.0,0.5
32,2006,1480.0,1.0
32,2006,825.0,1.0
32,2006,150.0,1.0
32,2006,210.0,0.71428573
32,2006,1115.0,1.0
32,2006,1050.0,0.61904764
32,2006,400.0,1.0
32,2006,680.0,0.36764705
32,2006,520.0,1.0
32,2006,1170.0,0.84615386
32,2006,2365.0,1.0
32,2006,790.0,1.0
32,2006,1000.0,1.0
37,2006,100.0,1.0
37,2006,250.0,1.0
37,2006,427.0,0.88290399
37,2006,1085.0,1.0
37,2006,530.0,1.0
37,2006,470.0,1.0
37,2006,650.0,1.0
37,2006,350.0,1.0
37,2006,120.0,1.0
37,2006,500.0,1.0
37,2006,150.0,1.0
37,2006,1012.0,1.0
37,2006,590.0,1.0
37,2006,780.0,1.0
37,2006,160.0,1.0
37,2006,640.0,1.0
37,2006,170.0,1.0
37,2006,434.0,0.75345623
37,2006,250.0,1.0
37,2006,80.0,1.0
37,2006,80.0,1.0
37,2006,50.0,1.0
37,2006,600.0,1.0
37,2006,450.0,1.0
37,2006,440.0,1.0
37,2006,300.0,1.0
37,2006,75.0,1.0
37,2006,370.0,1.0
37,2006,450.0,0.97777778
37,2006,150.0,1.0
37,2006,775.0,1.0
37,2006,440.0,0.79545456
37,2006,805.0,0.72049689
37,2006,100.0,1.0
37,2006,205.0,1.0
37,2006,455.0,1.0
37,2006,80.0,1.0
37,2006,190.0,0.68421054
37,2006,100.0,1.0
37,2006,450.0,1.0
37,2006,1010.0,0.90099013
37,2006,720.0,1.0
37,2006,400.0,1.0
37,2006,360.0,1.0
37,2006,1243.0,1.0
37,2006,430.0,1.0
37,2006,349.0,1.0
37,2006,280.0,1.0
37,2006,210.0,1.0
37,2006,600.0,1.0
37,2006,135.0,1.0
37,2006,120.0,1.0
37,2006,820.0,1.0
37,2006,1140.0,1.0
37,2006,2015.0,0.92555833
37,2006,610.0,1.0
37,2006,450.0,1.0
37,2006,875.0,0.9942857
37,2006,559.0,1.0
37,2006,320.0,1.0
37,2006,670.0,1.0
37,2006,74.0,1.0
37,2006,240.0,1.0
37,2006,470.0,1.0
37,2006,260.0,1.0
37,2006,100.0,1.0
37,2006,972.0,1.0
37,2006,375.0,1.0
37,2006,160.0,1.0
37,2006,300.0,1.0
37,2006,200.0,1.0
37,2006,85.0,1.0
37,2006,400.0,1.0
37,2006,880.0,0.94318181
37,2006,430.0,0.70930231
37,2006,420.0,1.0
37,2006,400.0,1.0
37,2006,1250.0,1.0
37,2006,15.0,1.0
37,2006,490.0,1.0
37,2006,600.0,1.0
37,2006,1620.0,1.0
37,2006,200.0,1.0
37,2006,230.0,1.0
37,2006,945.0,0.26455027
37,2006,900.0,0.39444444
37,2006,330.0,1.0
37,2006,1060.0,1.0
37,2006,955.0,1.0
37,2006,220.0,1.0
37,2006,1669.0,0.50868785
37,2006,250.0,1.0
37,2006,510.0,0.92156863
37,2006,200.0,1.0
37,2006,500.0,1.0
37,2006,620.0,1.0
37,2006,665.0,1.0
37,2006,869.0,1.0
37,2006,1340.0,1.0
37,2006,950.0,1.0
37,2006,225.0,1.0
37,2006,760.0,0.875
37,2006,470.0,0.95744681
37,2006,135.0,1.0
37,2006,675.0,0.11111111
37,2006,385.0,1.0
37,2006,660.0,1.0
37,2006,930.0,1.0
37,2006,1135.0,1.0
37,2006,500.0,1.0
37,2006,1040.0,1.0
37,2006,150.0,1.0
37,2006,585.0,1.0
37,2006,745.0,1.0
37,2006,750.0,1.0
37,2006,220.0,1.0
37,2006,480.0,1.0
37,2006,625.0,1.0
37,2006,580.0,0.84482759
37,2006,310.0,1.0
37,2006,900.0,1.0
37,2006,550.0,1.0
37,2006,80.0,1.0
37,2006,2060.0,0.94660193
37,2006,980.0,0.79081631
37,2006,100.0,1.0
37,2006,250.0,1.0
37,2006,100.0,1.0
37,2006,40.0,1.0
37,2006,968.0,1.0
37,2006,260.0,0.61538464
37,2006,910.0,1.0
37,2006,70.0,1.0
37,2006,500.0,1.0
37,2006,170.0,1.0
37,2006,465.0,0.51612902
37,2006,80.0,1.0
37,2006,270.0,0.55555558
37,2006,305.0,0.39344263
37,2006,100.0,1.0
37,2006,350.0,1.0
37,2006,1120.0,0.9375
37,2006,1020.0,0.80392158
37,2006,680.0,0.30147058
37,2006,100.0,1.0
37,2006,920.0,1.0
37,2006,890.0,1.0
37,2006,280.0,0.9464286
37,2006,270.0,1.0
37,2006,1025.0,0.024390243
37,2006,1030.0,1.0
37,2006,350.0,1.0
37,2006,270.0,1.0
41,2006,70.0,0.0
41,2006,50.0,0.0
41,2006,1100.0,1.0
41,2006,250.0,1.0
41,2006,498.0,0.79919678
41,2006,160.0,1.0
41,2006,200.0,1.0
41,2006,60.0,1.0
41,2006,240.0,1.0
41,2006,50.0,1.0
41,2006,50.0,0.0
41,2006,200.0,0.75
41,2006,210.0,1.0
41,2006,180.0,0.44444445
41,2006,500.0,1.0
41,2006,580.0,1.0
41,2006,60.0,0.0
41,2006,100.0,1.0
41,2006,320.0,1.0
41,2006,650.0,1.0
41,2006,60.0,1.0
41,2006,250.0,1.0
41,2006,50.0,1.0
41,2006,80.0,0.75
41,2006,25.0,1.0
41,2006,270.0,0.66666669
41,2006,675.0,1.0
41,2006,50.0,1.0
41,2006,50.0,0.0
41,2006,500.0,1.0
41,2006,248.0,1.0
41,2006,475.0,1.0
41,2006,250.0,1.0
41,2006,250.0,0.2
41,2006,150.0,1.0
41,2006,20.0,0.0
41,2006,180.0,1.0
41,2006,430.0,1.0
41,2006,100.0,0.0
41,2006,30.0,0.0
41,2006,60.0,1.0
41,2006,541.0,0.86876154
41,2006,650.0,0.84615386
41,2006,290.0,1.0
41,2006,250.0,1.0
41,2006,340.0,1.0
41,2006,60.0,1.0
41,2006,220.0,1.0
41,2006,140.0,1.0
41,2006,135.0,1.0
41,2006,70.0,1.0
41,2006,250.0,1.0
41,2006,455.0,1.0
41,2006,500.0,1.0
41,2006,360.0,1.0
41,2006,400.0,0.5
41,2006,600.0,1.0
41,2006,280.0,1.0
41,2006,300.0,1.0
41,2006,1300.0,0.92307693
41,2006,150.0,1.0
41,2006,300.0,1.0
41,2006,500.0,1.0
41,2006,560.0,1.0
41,2006,460.0,1.0
41,2006,195.0,0.23076923
41,2006,665.0,0.90225565
41,2006,260.0,1.0
41,2006,320.0,1.0
41,2006,1400.0,1.0
41,2006,50.0,1.0
41,2006,230.0,0.78260869
41,2006,100.0,1.0
41,2006,350.0,0.0
41,2006,100.0,1.0
41,2006,200.0,1.0
41,2006,150.0,1.0
41,2006,490.0,1.0
41,2006,500.0,1.0
41,2006,220.0,1.0
41,2006,220.0,1.0
41,2006,275.0,0.27272728
41,2006,280.0,1.0
41,2006,50.0,0.0
41,2006,1100.0,1.0
41,2006,340.0,0.85294116
41,2006,435.0,1.0
41,2006,200.0,1.0
41,2006,360.0,1.0
41,2006,300.0,1.0
41,2006,630.0,1.0
41,2006,950.0,0.94736844
41,2006,175.0,0.71428573
41,2006,570.0,0.82456142
41,2006,240.0,1.0
41,2006,50.0,1.0
41,2006,470.0,0.70212764
41,2006,315.0,0.60317463
41,2006,250.0,0.2
41,2006,655.0,0.65648854
41,2006,80.0,1.0
41,2006,550.0,1.0
41,2006,950.0,1.0
41,2006,50.0,1.0
41,2006,250.0,0.60000002
41,2006,600.0,1.0
41,2006,100.0,1.0
41,2006,200.0,1.0
41,2006,50.0,1.0
41,2006,160.0,1.0
41,2006,90.0,0.66666669
41,2006,865.0,1.0
41,2006,315.0,1.0
41,2006,460.0,0.56521738
41,2006,300.0,0.91666669
42,2006,560.0,0.51785713
42,2006,760.0,0.97368419
42,2006,470.0,1.0
42,2006,50.0,1.0
42,2006,350.0,1.0
42,2006,850.0,1.0
42,2006,130.0,0.76923078
42,2006,105.0,1.0
42,2006,1260.0,1.0
42,2006,830.0,0.36144578
42,2006,785.0,0.69426751
42,2006,295.0,1.0
42,2006,1230.0,0.81300813
42,2006,60.0,1.0
42,2006,925.0,0.13513513
42,2006,215.0,1.0
42,2006,30.0,1.0
42,2006,750.0,0.70666665
42,2006,180.0,1.0
42,2006,1250.0,1.0
42,2006,50.0,1.0
42,2006,101.0,1.0
42,2006,695.0,0.17266187
42,2006,180.0,1.0
42,2006,970.0,1.0
42,2006,100.0,0.5
42,2006,722.0,0.62603879
42,2006,355.0,1.0
42,2006,50.0,0.0
42,2006,150.0,1.0
42,2006,1520.0,0.6381579
42,2006,1140.0,0.28070176
42,2006,480.0,1.0
42,2006,125.0,1.0
42,2006,300.0,1.0
42,2006,336.0,1.0
42,2006,80.0,1.0
42,2006,160.0,1.0
42,2006,135.0,1.0
42,2006,100.0,1.0
42,2006,265.0,0.56603771
42,2006,240.0,1.0
42,2006,400.0,1.0
42,2006,920.0,1.0
42,2006,80.0,1.0
42,2006,80.0,1.0
42,2006,1244.0,0.88745981
42,2006,80.0,1.0
42,2006,680.0,1.0
42,2006,170.0,1.0
42,2006,1070.0,0.9813084
42,2006,800.0,0.8125
42,2006,335.0,1.0
42,2006,500.0,1.0
42,2006,720.0,0.8611111
42,2006,655.0,0.98473281
42,2006,850.0,1.0
42,2006,808.0,1.0
42,2006,600.0,0.5
42,2006,1100.0,0.90909094
42,2006,60.0,0.0
42,2006,620.0,0.83870965
42,2006,420.0,1.0
42,2006,160.0,1.0
42,2006,604.0,0.6192053
42,2006,200.0,1.0
42,2006,1040.0,1.0
42,2006,170.0,0.0
42,2006,1075.0,0.60465115
42,2006,560.0,1.0
42,2006,380.0,1.0
42,2006,720.0,1.0
42,2006,355.0,1.0
42,2006,600.0,1.0
42,2006,460.0,0.60869563
42,2006,850.0,0.35294119
42,2006,250.0,1.0
42,2006,1421.0,0.52779734
42,2006,690.0,1.0
42,2006,200.0,0.5
42,2006,100.0,1.0
42,2006,390.0,0.94871795
42,2006,190.0,1.0
42,2006,145.0,1.0
42,2006,40.0,0.0
42,2006,940.0,1.0
42,2006,250.0,0.0
42,2006,100.0,1.0
42,2006,300.0,1.0
42,2006,275.0,1.0
42,2006,930.0,0.80645162
42,2006,400.0,1.0
42,2006,210.0,0.97619045
42,2006,900.0,1.0
42,2006,250.0,1.0
42,2006,810.0,1.0
42,2006,380.0,1.0
42,2006,1050.0,1.0
42,2006,1190.0,1.0
42,2006,300.0,1.0
42,2006,460.0,1.0
42,2006,550.0,1.0
42,2006,350.0,1.0
42,2006,62.0,1.0
42,2006,150.0,0.86666667
42,2006,150.0,1.0
42,2006,330.0,1.0
42,2006,280.0,1.0
42,2006,400.0,1.0
42,2006,720.0,1.0
42,2006,270.0,0.92592591
42,2006,290.0,1.0
42,2006,1115.0,0.85201794
42,2006,200.0,1.0
42,2006,400.0,1.0
42,2006,800.0,1.0
42,2006,1090.0,0.80733943
42,2006,720.0,1.0
42,2006,1150.0,0.68695652
42,2006,1410.0,0.80141842
42,2006,1700.0,1.0
42,2006,600.0,1.0
42,2006,440.0,0.90909094
42,2006,615.0,0.56910568
42,2006,810.0,1.0
42,2006,355.0,0.49295774
42,2006,645.0,0.78294575
42,2006,350.0,1.0
42,2006,850.0,1.0
42,2006,360.0,1.0
42,2006,1405.0,0.88256228
42,2006,170.0,1.0
42,2006,790.0,0.70886075
43,2006,1080.0,1.0
43,2006,820.0,0.67073172
43,2006,470.0,0.97872341
43,2006,830.0,0.84337348
43,2006,140.0,1.0
43,2006,1755.0,0.57834756
43,2006,1050.0,1.0
43,2006,290.0,0.82758623
43,2006,1350.0,1.0
43,2006,1335.0,0.94007492
43,2006,1650.0,1.0
43,2006,725.0,0.99310344
43,2006,1825.0,0.76986301
43,2006,1375.0,0.58181816
43,2006,450.0,0.22222222
43,2006,1290.0,0.0
43,2006,585.0,1.0
43,2006,491.0,0.592668
43,2006,1460.0,0.67123288
43,2006,560.0,0.78571427
43,2006,705.0,1.0
43,2006,175.0,1.0
43,2006,342.0,0.40058479
43,2006,769.0,1.0
43,2006,795.0,1.0
43,2006,200.0,0.5
43,2006,1060.0,0.16037735
43,2006,520.0,0.94230771
43,2006,970.0,1.0
43,2006,1680.0,1.0
43,2006,50.0,1.0
43,2006,975.0,1.0
43,2006,530.0,0.52830189
43,2006,350.0,1.0
43,2006,350.0,1.0
43,2006,1550.0,0.58064514
43,2006,1215.0,0.96707821
43,2006,1930.0,0.86269432
43,2006,390.0,1.0
43,2006,391.0,1.0
43,2006,590.0,1.0
43,2006,530.0,0.71698111
43,2006,755.0,0.93377483
43,2006,570.0,0.82456142
43,2006,705.0,0.97163123
43,2006,1205.0,0.65975106
43,2006,340.0,1.0
43,2006,410.0,1.0
43,2006,680.0,1.0
43,2006,1260.0,0.98412699
43,2006,2.0,1.0
43,2006,1150.0,1.0
43,2006,550.0,1.0
43,2006,1215.0,1.0
43,2006,790.0,0.0
43,2006,645.0,0.84496123
43,2006,650.0,0.92307693
43,2006,1830.0,0.84153003
43,2006,1260.0,1.0
43,2006,1445.0,0.73702425
