T1,wave,total_水果,ratio_水果
42,2006,166.0,1.0
42,2006,800.0,1.0
42,2006,150.0,0.0
42,2006,784.0,0.74489796
42,2006,1500.0,1.0
42,2006,50.0,1.0
42,2006,870.0,1.0
42,2006,730.0,1.0
42,2006,80.0,1.0
42,2006,700.0,1.0
42,2006,400.0,1.0
42,2006,200.0,1.0
42,2006,100.0,1.0
42,2006,600.0,1.0
42,2006,200.0,1.0
42,2006,200.0,0.0
42,2006,150.0,1.0
42,2006,420.0,0.0
42,2006,20.0,1.0
42,2006,360.0,1.0
42,2006,1340.0,1.0
42,2006,10.0,0.0
42,2006,250.0,1.0
42,2006,250.0,1.0
42,2006,100.0,1.0
42,2006,310.0,1.0
42,2006,230.0,1.0
42,2006,200.0,1.0
42,2006,965.0,0.0
42,2006,200.0,1.0
42,2006,50.0,1.0
42,2006,225.0,1.0
42,2006,300.0,1.0
42,2006,90.0,1.0
42,2006,300.0,1.0
42,2006,100.0,1.0
42,2006,50.0,1.0
42,2006,290.0,1.0
42,2006,1255.0,1.0
42,2006,50.0,1.0
42,2006,1200.0,1.0
42,2006,580.0,0.43103448
42,2006,200.0,0.0
42,2006,1710.0,1.0
42,2006,1100.0,1.0
42,2006,400.0,1.0
42,2006,750.0,1.0
42,2006,600.0,1.0
42,2006,60.0,1.0
42,2006,1698.0,1.0
42,2006,320.0,1.0
42,2006,955.0,1.0
43,2006,30.0,1.0
43,2006,4410.0,1.0
43,2006,200.0,1.0
43,2006,2500.0,0.56
43,2006,300.0,1.0
43,2006,800.0,1.0
43,2006,1080.0,0.72222221
43,2006,500.0,1.0
43,2006,300.0,0.0
43,2006,500.0,1.0
43,2006,225.0,0.33333334
43,2006,1770.0,1.0
43,2006,1600.0,0.9375
43,2006,300.0,1.0
43,2006,465.0,1.0
43,2006,3600.0,1.0
43,2006,425.0,1.0
43,2006,100.0,0.0
43,2006,240.0,0.0
43,2006,2000.0,1.0
43,2006,390.0,1.0
43,2006,700.0,1.0
43,2006,820.0,1.0
43,2006,800.0,1.0
43,2006,300.0,0.83333331
43,2006,50.0,1.0
43,2006,450.0,1.0
43,2006,1520.0,1.0
43,2006,100.0,1.0
43,2006,320.0,1.0
43,2006,80.0,1.0
43,2006,120.0,1.0
43,2006,2155.0,0.80046403
43,2006,425.0,1.0
43,2006,150.0,1.0
43,2006,1450.0,1.0
43,2006,310.0,1.0
43,2006,740.0,1.0
43,2006,200.0,0.0
43,2006,475.0,1.0
43,2006,850.0,1.0
43,2006,120.0,1.0
43,2006,90.0,1.0
43,2006,200.0,1.0
43,2006,735.0,1.0
43,2006,1720.0,1.0
43,2006,150.0,1.0
43,2006,320.0,1.0
43,2006,6550.0,0.98473281
43,2006,260.0,1.0
43,2006,1840.0,1.0
43,2006,173.0,1.0
43,2006,1429.0,1.0
43,2006,830.0,1.0
43,2006,250.0,1.0
43,2006,180.0,1.0
43,2006,810.0,0.69135803
43,2006,450.0,0.0
43,2006,60.0,1.0
43,2006,210.0,1.0
43,2006,1500.0,1.0
43,2006,1250.0,1.0
43,2006,300.0,1.0
43,2006,50.0,0.0
43,2006,1855.0,1.0
43,2006,500.0,1.0
43,2006,305.0,1.0
43,2006,851.0,1.0
43,2006,50.0,1.0
43,2006,300.0,1.0
43,2006,450.0,1.0
43,2006,4570.0,1.0
43,2006,380.0,1.0
43,2006,710.0,0.78873241
43,2006,370.0,1.0
43,2006,50.0,1.0
43,2006,50.0,1.0
43,2006,280.0,1.0
43,2006,4150.0,1.0
43,2006,240.0,1.0
43,2006,890.0,1.0
43,2006,200.0,1.0
43,2006,5280.0,0.81628788
43,2006,120.0,1.0
43,2006,2005.0,1.0
43,2006,2670.0,0.98876405
45,2006,1500.0,1.0
45,2006,400.0,1.0
45,2006,160.0,1.0
45,2006,910.0,1.0
45,2006,405.0,1.0
45,2006,936.0,1.0
45,2006,554.0,1.0
45,2006,650.0,1.0
45,2006,40.0,1.0
45,2006,245.0,1.0
45,2006,15.0,1.0
45,2006,450.0,1.0
45,2006,450.0,1.0
45,2006,150.0,1.0
45,2006,650.0,1.0
45,2006,300.0,1.0
45,2006,1000.0,1.0
45,2006,20.0,1.0
45,2006,500.0,1.0
45,2006,70.0,1.0
45,2006,60.0,1.0
45,2006,20.0,1.0
45,2006,430.0,1.0
45,2006,50.0,1.0
45,2006,350.0,1.0
45,2006,150.0,1.0
45,2006,170.0,1.0
45,2006,450.0,1.0
45,2006,300.0,1.0
45,2006,200.0,1.0
45,2006,1300.0,1.0
45,2006,1500.0,1.0
45,2006,950.0,1.0
45,2006,935.0,1.0
45,2006,550.0,1.0
45,2006,30.0,1.0
45,2006,2874.0,1.0
45,2006,150.0,1.0
45,2006,150.0,1.0
45,2006,460.0,1.0
45,2006,1200.0,1.0
45,2006,1000.0,1.0
45,2006,630.0,1.0
45,2006,600.0,1.0
45,2006,113.0,1.0
45,2006,1350.0,1.0
45,2006,160.0,1.0
45,2006,220.0,1.0
45,2006,1150.0,1.0
45,2006,330.0,1.0
45,2006,500.0,1.0
45,2006,630.0,1.0
45,2006,950.0,1.0
45,2006,970.0,1.0
45,2006,60.0,1.0
45,2006,40.0,1.0
45,2006,410.0,1.0
45,2006,120.0,1.0
45,2006,430.0,1.0
45,2006,205.0,1.0
45,2006,1120.0,1.0
45,2006,195.0,1.0
45,2006,125.0,1.0
45,2006,600.0,1.0
45,2006,750.0,1.0
45,2006,70.0,1.0
45,2006,1500.0,1.0
45,2006,700.0,1.0
45,2006,1950.0,0.051282052
45,2006,400.0,1.0
45,2006,525.0,1.0
45,2006,120.0,1.0
45,2006,700.0,1.0
45,2006,350.0,1.0
45,2006,200.0,1.0
45,2006,753.0,1.0
45,2006,60.0,1.0
45,2006,310.0,1.0
45,2006,1075.0,1.0
45,2006,1250.0,0.0
45,2006,660.0,1.0
45,2006,1250.0,1.0
45,2006,440.0,1.0
45,2006,860.0,1.0
45,2006,260.0,1.0
45,2006,690.0,1.0
52,2006,1000.0,1.0
52,2006,540.0,1.0
52,2006,1000.0,1.0
52,2006,1725.0,1.0
52,2006,100.0,1.0
52,2006,510.0,1.0
52,2006,600.0,1.0
52,2006,150.0,0.0
52,2006,830.0,1.0
52,2006,100.0,1.0
52,2006,810.0,1.0
52,2006,430.0,1.0
52,2006,20.0,0.0
52,2006,400.0,1.0
52,2006,370.0,1.0
52,2006,200.0,1.0
52,2006,650.0,1.0
52,2006,50.0,1.0
52,2006,1050.0,1.0
52,2006,950.0,0.7368421
52,2006,550.0,1.0
52,2006,1640.0,1.0
52,2006,500.0,1.0
52,2006,1100.0,1.0
52,2006,1545.0,0.8252427
52,2006,200.0,1.0
52,2006,100.0,1.0
52,2006,300.0,1.0
52,2006,535.0,1.0
52,2006,2350.0,1.0
52,2006,2650.0,1.0
52,2006,700.0,1.0
52,2006,500.0,1.0
52,2006,150.0,1.0
52,2006,450.0,1.0
52,2006,50.0,1.0
52,2006,1060.0,0.5754717
52,2006,440.0,1.0
52,2006,640.0,0.6875
52,2006,650.0,1.0
52,2006,340.0,1.0
52,2006,415.0,1.0
52,2006,1200.0,1.0
52,2006,1200.0,1.0
52,2006,200.0,1.0
52,2006,300.0,0.33333334
52,2006,300.0,1.0
52,2006,810.0,1.0
52,2006,300.0,1.0
52,2006,140.0,1.0
52,2006,1890.0,1.0
52,2006,220.0,1.0
52,2006,80.0,1.0
52,2006,100.0,1.0
52,2006,300.0,1.0
52,2006,300.0,1.0
52,2006,300.0,1.0
52,2006,50.0,1.0
52,2006,200.0,1.0
52,2006,160.0,0.625
52,2006,15.0,1.0
52,2006,15.0,0.0
52,2006,150.0,1.0
52,2006,310.0,1.0
52,2006,750.0,1.0
52,2006,50.0,1.0
52,2006,810.0,1.0
52,2006,350.0,1.0
21,2009,4070.0,1.0
21,2009,460.0,1.0
21,2009,4044.0,1.0
21,2009,1180.0,1.0
21,2009,750.0,1.0
21,2009,950.0,1.0
21,2009,1180.0,1.0
21,2009,960.0,0.92708331
21,2009,605.0,0.83471072
21,2009,3350.0,1.0
21,2009,100.0,1.0
21,2009,750.0,1.0
21,2009,1060.0,1.0
21,2009,450.0,1.0
21,2009,2284.0,1.0
21,2009,1415.0,1.0
21,2009,550.0,1.0
21,2009,280.0,0.89285713
21,2009,913.0,1.0
21,2009,400.0,1.0
21,2009,990.0,1.0
21,2009,2661.0,1.0
21,2009,2185.0,1.0
21,2009,50.0,1.0
21,2009,1178.0,1.0
21,2009,830.0,1.0
21,2009,270.0,1.0
21,2009,950.0,1.0
21,2009,600.0,1.0
21,2009,820.0,1.0
21,2009,960.0,1.0
21,2009,1150.0,1.0
21,2009,1738.0,1.0
21,2009,1050.0,1.0
21,2009,1150.0,0.82608694
21,2009,580.0,1.0
21,2009,645.0,1.0
21,2009,3190.0,1.0
21,2009,1670.0,1.0
21,2009,1440.0,0.94444442
21,2009,3209.0,1.0
21,2009,600.0,1.0
21,2009,1100.0,1.0
21,2009,3670.0,0.9182561
21,2009,1160.0,1.0
21,2009,1150.0,1.0
21,2009,1560.0,1.0
21,2009,1200.0,1.0
21,2009,10.0,1.0
21,2009,750.0,1.0
21,2009,130.0,1.0
21,2009,1460.0,0.93150687
21,2009,2814.0,1.0
21,2009,50.0,1.0
21,2009,1120.0,1.0
21,2009,1540.0,1.0
21,2009,170.0,1.0
21,2009,1120.0,0.95535713
21,2009,2340.0,1.0
21,2009,850.0,1.0
21,2009,900.0,1.0
21,2009,410.0,1.0
21,2009,980.0,1.0
21,2009,1681.0,1.0
21,2009,1450.0,1.0
21,2009,1563.0,1.0
21,2009,770.0,1.0
21,2009,400.0,1.0
21,2009,460.0,1.0
21,2009,1020.0,0.82352942
21,2009,650.0,1.0
21,2009,1500.0,1.0
21,2009,1760.0,1.0
21,2009,2255.0,0.94456762
21,2009,1750.0,0.60000002
21,2009,1880.0,1.0
21,2009,1250.0,0.95999998
21,2009,1150.0,1.0
21,2009,440.0,1.0
21,2009,700.0,1.0
21,2009,1510.0,1.0
21,2009,2290.0,0.97816592
21,2009,1290.0,1.0
21,2009,1635.0,1.0
21,2009,666.0,1.0
21,2009,350.0,1.0
