T1,wave,total_大米,ratio_大米
32,2009,900.0,0.33333334
32,2009,1450.0,0.86206895
32,2009,3834.0,0.99869585
32,2009,3034.0,1.0
32,2009,3450.0,0.9710145
32,2009,4200.0,0.91666669
32,2009,4900.0,0.67346936
32,2009,1620.0,0.75308645
32,2009,2000.0,1.0
32,2009,2045.0,0.95110023
32,2009,1175.0,1.0
32,2009,790.0,0.8101266
32,2009,650.0,0.84615386
32,2009,602.5,1.0
32,2009,400.0,1.0
32,2009,4488.0,1.0
32,2009,2557.5,0.99843597
32,2009,1610.0,0.90683228
32,2009,1800.0,1.0
32,2009,2325.0,1.0
32,2009,1825.0,0.84383559
32,2009,900.0,1.0
32,2009,2089.0,0.88989949
32,2009,2185.0,1.0
32,2009,1252.5,0.9201597
32,2009,900.0,1.0
32,2009,750.0,0.86666667
32,2009,3924.0,0.84709477
32,2009,1715.0,1.0
32,2009,1890.0,1.0
32,2009,275.0,0.27272728
32,2009,4320.0,0.7337963
32,2009,3383.2,1.0
32,2009,670.0,1.0
32,2009,1350.0,0.25925925
32,2009,1735.0,0.82708931
32,2009,1100.0,1.0
32,2009,1653.0,0.2740472
32,2009,975.0,1.0
32,2009,1054.0,0.76280832
32,2009,2215.2,1.0
32,2009,4803.0,1.0
32,2009,750.0,0.66666669
32,2009,1725.0,1.0
32,2009,1941.0,1.0
32,2009,1380.0,0.78260869
32,2009,1810.0,0.77348065
32,2009,2150.0,1.0
32,2009,1150.0,1.0
32,2009,1450.0,0.79310346
32,2009,2300.0,1.0
32,2009,2765.0,0.43942133
32,2009,1360.0,1.0
32,2009,2100.0,1.0
32,2009,2145.0,1.0
32,2009,980.0,1.0
32,2009,1150.0,1.0
32,2009,1534.0,0.79791397
32,2009,4036.0,1.0
32,2009,1958.0,0.59141982
32,2009,2100.0,0.90476191
32,2009,715.0,0.0
32,2009,3750.0,0.69333333
32,2009,1150.0,0.49565217
32,2009,1722.0,1.0
32,2009,1975.0,0.94936711
32,2009,1975.0,1.0
32,2009,1790.0,0.88826817
32,2009,2904.0,0.91339535
32,2009,600.0,1.0
32,2009,810.0,1.0
32,2009,1245.0,1.0
32,2009,3973.0,0.91190535
32,2009,950.0,1.0
32,2009,1040.0,1.0
32,2009,600.0,1.0
32,2009,1430.0,0.31468531
32,2009,1300.0,1.0
32,2009,3217.0,0.81349081
32,2009,1610.1,1.0
32,2009,4447.0,0.99595231
32,2009,2814.01,1.0
32,2009,2573.9,0.82322544
32,2009,2612.0,0.90428787
32,2009,1300.0,1.0
32,2009,1795.0,0.88857937
32,2009,600.0,1.0
32,2009,3756.5,0.99994677
32,2009,3079.0,0.71029556
32,2009,2753.7,0.85412353
32,2009,200.0,1.0
32,2009,1800.0,0.30555555
32,2009,2774.0,0.27180967
32,2009,3668.5,0.79651082
32,2009,2955.0,0.79526228
32,2009,700.0,0.85714287
32,2009,2330.0,1.0
32,2009,540.0,1.0
32,2009,4028.0,0.87423038
