T1,wave,total_牛羊肉,ratio_牛羊肉
23,2006,400.0,1.0
23,2006,250.0,1.0
23,2006,100.0,1.0
23,2006,220.0,1.0
23,2006,520.0,0.6153846153846154
23,2006,250.0,1.0
23,2006,400.0,0.0
23,2006,100.0,1.0
32,2006,250.0,1.0
32,2006,350.0,1.0
32,2006,50.0,0.0
32,2006,50.0,0.0
32,2006,100.0,1.0
32,2006,50.0,1.0
32,2006,200.0,0.0
32,2006,130.0,1.0
32,2006,100.0,0.0
32,2006,135.0,0.8148148148148148
32,2006,120.0,0.0
32,2006,150.0,1.0
32,2006,850.0,1.0
32,2006,500.0,0.2
32,2006,40.0,0.0
32,2006,600.0,0.25
32,2006,50.0,1.0
32,2006,150.0,0.0
32,2006,200.0,1.0
32,2006,100.0,0.0
32,2006,300.0,1.0
32,2006,150.0,1.0
32,2006,50.0,1.0
32,2006,480.0,1.0
32,2006,60.0,1.0
32,2006,230.0,1.0
32,2006,550.0,1.0
32,2006,225.0,0.0
32,2006,100.0,1.0
32,2006,38.0,1.0
32,2006,125.0,1.0
32,2006,50.0,1.0
32,2006,130.0,1.0
32,2006,220.0,0.9090909090909091
32,2006,200.0,1.0
32,2006,200.0,0.5
32,2006,100.0,0.0
32,2006,30.0,0.0
32,2006,500.0,1.0
32,2006,330.0,1.0
32,2006,50.0,1.0
32,2006,100.0,1.0
32,2006,300.0,1.0
32,2006,200.0,1.0
32,2006,200.0,0.5
32,2006,100.0,1.0
32,2006,130.0,1.0
32,2006,50.0,0.0
32,2006,545.0,1.0
32,2006,50.0,0.0
32,2006,370.0,0.7297297297297297
32,2006,126.0,1.0
32,2006,60.0,0.0
32,2006,360.0,1.0
32,2006,165.0,1.0
32,2006,100.0,0.0
32,2006,370.0,0.35135135135135137
32,2006,110.0,0.0
32,2006,500.0,0.7
32,2006,50.0,1.0
32,2006,50.0,1.0
32,2006,150.0,0.0
32,2006,660.0,1.0
32,2006,200.0,1.0
32,2006,100.0,1.0
32,2006,200.0,1.0
32,2006,600.0,0.8333333333333334
32,2006,200.0,1.0
32,2006,15.0,0.0
32,2006,295.0,0.0
32,2006,510.0,1.0
32,2006,170.0,1.0
32,2006,400.0,1.0
32,2006,75.0,1.0
32,2006,545.0,1.0
32,2006,195.0,1.0
32,2006,200.0,1.0
32,2006,160.0,1.0
32,2006,50.0,1.0
32,2006,400.0,0.75
32,2006,485.0,0.7938144329896907
37,2006,130.0,1.0
37,2006,1000.0,1.0
37,2006,350.0,1.0
37,2006,100.0,1.0
37,2006,380.0,1.0
37,2006,650.0,1.0
37,2006,100.0,1.0
37,2006,150.0,1.0
37,2006,260.0,1.0
37,2006,100.0,1.0
37,2006,150.0,1.0
37,2006,170.0,1.0
37,2006,350.0,0.0
37,2006,200.0,0.3
37,2006,100.0,1.0
37,2006,120.0,1.0
37,2006,150.0,1.0
37,2006,80.0,1.0
37,2006,200.0,1.0
37,2006,220.0,1.0
37,2006,270.0,0.18518518518518517
37,2006,600.0,0.16666666666666666
37,2006,100.0,1.0
37,2006,160.0,0.4375
37,2006,900.0,1.0
37,2006,200.0,1.0
37,2006,205.0,0.0
37,2006,100.0,1.0
37,2006,100.0,1.0
37,2006,60.0,1.0
37,2006,500.0,0.2
37,2006,150.0,0.0
37,2006,80.0,0.0
37,2006,500.0,1.0
37,2006,540.0,0.0
37,2006,400.0,1.0
37,2006,180.0,1.0
37,2006,150.0,0.0
37,2006,250.0,1.0
41,2006,200.0,1.0
41,2006,60.0,0.0
41,2006,40.0,1.0
41,2006,395.0,1.0
41,2006,30.0,0.0
41,2006,50.0,0.0
41,2006,250.0,0.0
41,2006,200.0,0.0
41,2006,230.0,1.0
41,2006,40.0,1.0
41,2006,50.0,0.0
41,2006,100.0,0.0
41,2006,40.0,1.0
41,2006,50.0,1.0
41,2006,50.0,0.0
41,2006,200.0,1.0
41,2006,100.0,0.0
41,2006,200.0,0.0
41,2006,150.0,1.0
41,2006,25.0,1.0
41,2006,100.0,0.0
41,2006,200.0,0.0
41,2006,50.0,0.0
41,2006,60.0,0.0
41,2006,225.0,0.0
42,2006,75.0,0.6666666666666666
42,2006,580.0,0.9827586206896551
42,2006,50.0,1.0
42,2006,465.0,1.0
42,2006,80.0,0.0
42,2006,435.0,0.0
42,2006,210.0,1.0
42,2006,200.0,1.0
42,2006,200.0,1.0
42,2006,110.0,0.0
42,2006,150.0,0.5333333333333333
42,2006,100.0,0.0
42,2006,245.0,0.40816326530612246
42,2006,300.0,0.8333333333333334
42,2006,50.0,1.0
42,2006,160.0,1.0
42,2006,555.0,1.0
42,2006,120.0,0.16666666666666666
42,2006,150.0,0.0
42,2006,350.0,0.7142857142857143
42,2006,100.0,0.0
42,2006,110.0,1.0
42,2006,200.0,1.0
42,2006,200.0,0.0
42,2006,120.0,0.0
42,2006,280.0,0.9285714285714286
42,2006,300.0,1.0
42,2006,470.0,1.0
42,2006,300.0,0.0
42,2006,200.0,1.0
42,2006,30.0,0.0
42,2006,120.0,0.0
42,2006,250.0,0.0
42,2006,100.0,0.4
42,2006,70.0,1.0
42,2006,200.0,1.0
42,2006,100.0,1.0
42,2006,395.0,0.8227848101265823
42,2006,200.0,0.75
42,2006,70.0,0.0
42,2006,90.0,1.0
42,2006,160.0,0.625
42,2006,340.0,1.0
42,2006,30.0,0.0
42,2006,820.0,0.8292682926829268
42,2006,100.0,1.0
42,2006,170.0,1.0
42,2006,50.0,0.0
42,2006,810.0,0.0
43,2006,50.0,0.0
43,2006,50.0,1.0
43,2006,150.0,1.0
43,2006,350.0,1.0
43,2006,320.0,1.0
43,2006,200.0,0.25
43,2006,100.0,0.0
43,2006,150.0,0.0
43,2006,100.0,1.0
43,2006,250.0,1.0
43,2006,150.0,1.0
43,2006,150.0,0.6666666666666666
43,2006,100.0,1.0
43,2006,520.0,0.8846153846153846
43,2006,500.0,0.9
43,2006,175.0,0.5714285714285714
43,2006,700.0,0.7142857142857143
43,2006,50.0,1.0
43,2006,180.0,0.0
43,2006,120.0,1.0
43,2006,550.0,1.0
43,2006,340.0,0.7941176470588235
43,2006,20.0,0.0
43,2006,220.0,0.5454545454545454
43,2006,120.0,1.0
43,2006,200.0,0.25
43,2006,100.0,1.0
43,2006,200.0,1.0
43,2006,150.0,1.0
43,2006,350.0,1.0
43,2006,400.0,1.0
43,2006,380.0,1.0
43,2006,40.0,1.0
43,2006,60.0,0.0
43,2006,1.0,1.0
43,2006,170.0,1.0
43,2006,80.0,0.0
43,2006,390.0,1.0
43,2006,120.0,1.0
43,2006,120.0,0.8333333333333334
43,2006,210.0,0.7142857142857143
43,2006,150.0,0.8666666666666667
43,2006,170.0,0.7058823529411765
43,2006,200.0,1.0
43,2006,70.0,1.0
43,2006,300.0,0.6666666666666666
43,2006,320.0,1.0
43,2006,140.0,0.8571428571428571
43,2006,160.0,0.0
43,2006,200.0,1.0
43,2006,250.0,0.8
43,2006,300.0,1.0
43,2006,230.0,1.0
43,2006,120.0,1.0
43,2006,50.0,0.0
43,2006,100.0,0.0
43,2006,150.0,1.0
43,2006,300.0,1.0
43,2006,80.0,0.0
43,2006,200.0,1.0
45,2006,50.0,1.0
45,2006,50.0,1.0
45,2006,1002.0,0.0
45,2006,250.0,1.0
45,2006,100.0,1.0
45,2006,250.0,1.0
45,2006,20.0,1.0
45,2006,100.0,1.0
45,2006,160.0,1.0
45,2006,145.0,1.0
45,2006,350.0,1.0
45,2006,100.0,1.0
45,2006,150.0,0.0
45,2006,200.0,1.0
45,2006,86.0,1.0
45,2006,200.0,1.0
45,2006,300.0,1.0
45,2006,410.0,1.0
45,2006,150.0,1.0
45,2006,170.0,1.0
45,2006,80.0,1.0
45,2006,5.0,1.0
45,2006,300.0,0.8333333333333334
45,2006,340.0,1.0
45,2006,150.0,1.0
45,2006,300.0,1.0
45,2006,50.0,1.0
45,2006,100.0,1.0
45,2006,550.0,0.36363636363636365
45,2006,100.0,1.0
45,2006,134.0,1.0
45,2006,220.0,1.0
45,2006,150.0,1.0
45,2006,250.0,1.0
45,2006,230.0,1.0
45,2006,250.0,1.0
45,2006,350.0,0.7142857142857143
45,2006,130.0,1.0
45,2006,80.0,1.0
45,2006,100.0,1.0
45,2006,60.0,1.0
45,2006,80.0,1.0
45,2006,390.0,0.8717948717948718
45,2006,120.0,1.0
45,2006,160.0,1.0
45,2006,50.0,1.0
45,2006,50.0,1.0
45,2006,190.0,1.0
45,2006,100.0,1.0
45,2006,100.0,1.0
45,2006,150.0,1.0
45,2006,100.0,1.0
45,2006,200.0,1.0
45,2006,600.0,0.8333333333333334
45,2006,400.0,1.0
45,2006,250.0,1.0
45,2006,100.0,1.0
45,2006,100.0,1.0
45,2006,245.0,1.0
45,2006,70.0,1.0
45,2006,200.0,1.0
52,2006,80.0,0.0
52,2006,40.0,0.0
52,2006,50.0,0.0
52,2006,250.0,1.0
52,2006,30.0,0.0
52,2006,300.0,0.8333333333333334
52,2006,110.0,0.0
52,2006,40.0,0.0
52,2006,140.0,0.7142857142857143
52,2006,230.0,0.0
52,2006,50.0,0.0
52,2006,180.0,0.0
52,2006,50.0,0.0
52,2006,400.0,1.0
52,2006,165.0,0.9090909090909091
52,2006,200.0,1.0
52,2006,40.0,1.0
52,2006,290.0,1.0
52,2006,50.0,0.0
52,2006,175.0,0.0
52,2006,160.0,1.0
52,2006,40.0,0.0
52,2006,110.0,0.0
52,2006,60.0,0.0
52,2006,35.0,0.0
52,2006,85.0,0.0
52,2006,50.0,0.0
52,2006,80.0,1.0
52,2006,30.0,1.0
52,2006,300.0,0.0
52,2006,140.0,0.0
52,2006,300.0,1.0
52,2006,90.0,0.0
52,2006,90.0,0.4444444444444444
52,2006,10.0,1.0
52,2006,360.0,0.8333333333333334
52,2006,400.0,1.0
52,2006,80.0,0.0
52,2006,240.0,0.75
52,2006,40.0,0.0
52,2006,30.0,0.0
52,2006,100.0,1.0
52,2006,20.0,0.0
52,2006,170.0,0.11764705882352941
21,2009,50.0,1.0
21,2009,50.0,1.0
21,2009,50.0,1.0
21,2009,320.0,0.0
21,2009,400.0,1.0
21,2009,50.0,1.0
21,2009,50.0,1.0
21,2009,200.0,1.0
21,2009,15.0,0.0
21,2009,150.0,1.0
21,2009,50.0,1.0
21,2009,40.0,1.0
21,2009,180.0,1.0
21,2009,150.0,0.0
21,2009,150.0,1.0
21,2009,100.0,1.0
21,2009,100.0,1.0
21,2009,300.0,1.0
21,2009,150.0,1.0
21,2009,490.0,0.6122448979591837
21,2009,10.0,1.0
21,2009,100.0,0.0
21,2009,150.0,1.0
21,2009,350.0,1.0
21,2009,150.0,1.0
21,2009,200.0,1.0
21,2009,100.0,1.0
21,2009,170.0,0.0
21,2009,200.0,1.0
21,2009,150.0,1.0
21,2009,850.0,1.0
21,2009,20.0,1.0
21,2009,100.0,1.0
21,2009,75.0,1.0
21,2009,50.0,1.0
21,2009,160.0,0.375
21,2009,180.0,1.0
21,2009,50.0,1.0
21,2009,175.0,1.0
21,2009,150.0,1.0
21,2009,375.0,1.0
21,2009,200.0,1.0
21,2009,100.0,1.0
21,2009,550.0,1.0
21,2009,150.0,1.0
21,2009,320.0,1.0
21,2009,710.0,1.0
21,2009,350.0,1.0
21,2009,150.0,1.0
21,2009,450.0,1.0
21,2009,50.0,0.0
21,2009,330.0,0.7575757575757576
21,2009,200.0,1.0
21,2009,250.0,1.0
21,2009,150.0,1.0
21,2009,150.0,1.0
21,2009,19.0,1.0
21,2009,200.0,0.25
21,2009,30.0,0.0
21,2009,50.0,0.0
21,2009,780.0,0.5128205128205128
21,2009,300.0,1.0
21,2009,100.0,1.0
21,2009,350.0,1.0
21,2009,210.0,0.2857142857142857
21,2009,150.0,1.0
21,2009,150.0,1.0
21,2009,50.0,0.0
21,2009,194.0,0.7938144329896907
21,2009,150.0,1.0
21,2009,100.0,1.0
21,2009,120.0,1.0
21,2009,50.0,1.0
21,2009,100.0,1.0
21,2009,70.0,1.0
21,2009,250.0,1.0
21,2009,250.0,1.0
21,2009,150.0,1.0
21,2009,100.0,1.0
21,2009,50.0,1.0
21,2009,100.0,1.0
21,2009,150.0,1.0
21,2009,300.0,0.0
21,2009,100.0,0.0
23,2009,100.0,1.0
23,2009,50.0,1.0
23,2009,440.0,0.7727272727272727
23,2009,500.0,1.0
23,2009,240.0,1.0
23,2009,50.0,1.0
23,2009,300.0,1.0
23,2009,180.0,0.4444444444444444
23,2009,160.0,1.0
23,2009,100.0,1.0
23,2009,100.0,0.0
23,2009,80.0,0.0
23,2009,110.0,0.0
23,2009,150.0,1.0
23,2009,100.0,1.0
23,2009,100.0,1.0
23,2009,50.0,1.0
23,2009,200.0,1.0
23,2009,300.0,1.0
23,2009,120.0,1.0
23,2009,380.0,0.0
23,2009,150.0,1.0
23,2009,345.0,0.0
23,2009,300.0,0.0
23,2009,100.0,1.0
23,2009,200.0,1.0
23,2009,50.0,1.0
23,2009,200.0,1.0
23,2009,200.0,0.5
23,2009,200.0,1.0
23,2009,280.0,1.0
23,2009,450.0,0.0
23,2009,300.0,1.0
23,2009,300.0,1.0
23,2009,60.0,1.0
23,2009,640.0,0.1875
23,2009,200.0,1.0
23,2009,300.0,0.0
23,2009,300.0,1.0
23,2009,50.0,0.0
23,2009,100.0,1.0
23,2009,20.0,0.0
23,2009,550.0,1.0
23,2009,150.0,1.0
23,2009,100.0,1.0
23,2009,50.0,1.0
23,2009,300.0,1.0
23,2009,100.0,0.5
23,2009,180.0,1.0
23,2009,100.0,1.0
23,2009,150.0,1.0
32,2009,155.0,1.0
32,2009,50.0,0.0
32,2009,100.0,0.0
32,2009,425.0,1.0
32,2009,440.0,1.0
32,2009,200.0,1.0
32,2009,150.0,0.0
32,2009,150.0,1.0
32,2009,640.0,1.0
32,2009,100.0,1.0
32,2009,240.0,0.4166666666666667
32,2009,100.0,1.0
32,2009,110.0,1.0
32,2009,297.0,0.494949494949495
32,2009,75.0,1.0
32,2009,25.0,1.0
32,2009,300.0,0.6666666666666666
32,2009,120.0,1.0
32,2009,90.0,0.0
32,2009,200.0,1.0
32,2009,150.0,1.0
32,2009,40.0,0.0
32,2009,247.0,1.0
32,2009,350.0,0.7142857142857143
32,2009,200.0,0.25
32,2009,30.0,0.0
32,2009,30.0,0.0
32,2009,140.0,0.2857142857142857
32,2009,150.0,1.0
32,2009,20.0,0.0
32,2009,50.0,0.0
32,2009,160.0,0.375
32,2009,540.0,1.0
32,2009,150.0,1.0
32,2009,80.0,1.0
32,2009,285.0,1.0
32,2009,30.0,0.0
32,2009,100.0,1.0
32,2009,380.0,1.0
32,2009,200.0,0.0
32,2009,320.0,1.0
32,2009,20.0,0.0
32,2009,100.0,0.0
32,2009,800.0,0.0
32,2009,50.0,1.0
32,2009,140.0,1.0
32,2009,110.0,1.0
32,2009,50.0,0.0
32,2009,20.0,1.0
32,2009,50.0,1.0
32,2009,100.0,1.0
32,2009,50.0,1.0
32,2009,240.0,0.5833333333333334
32,2009,220.0,1.0
32,2009,150.0,0.0
32,2009,190.0,1.0
32,2009,100.0,1.0
32,2009,100.0,0.0
32,2009,600.0,1.0
32,2009,100.0,0.0
32,2009,100.0,0.0
32,2009,715.0,1.0
32,2009,720.0,0.7638888888888888
32,2009,10.0,0.0
32,2009,250.0,0.8
32,2009,50.0,1.0
32,2009,150.0,1.0
32,2009,550.0,1.0
32,2009,100.0,1.0
32,2009,70.0,1.0
32,2009,75.0,1.0
32,2009,30.0,1.0
32,2009,250.0,1.0
32,2009,365.0,1.0
32,2009,100.0,1.0
32,2009,150.0,1.0
32,2009,250.0,0.0
32,2009,50.0,1.0
32,2009,180.0,1.0
32,2009,150.0,1.0
32,2009,80.0,0.625
32,2009,380.0,1.0
32,2009,50.0,0.0
32,2009,270.0,1.0
32,2009,100.0,1.0
32,2009,530.0,0.9056603773584906
32,2009,160.0,1.0
32,2009,70.0,1.0
32,2009,100.0,1.0
32,2009,150.0,1.0
32,2009,230.0,1.0
32,2009,230.0,0.21739130434782608
37,2009,150.0,1.0
37,2009,150.0,1.0
37,2009,230.0,1.0
37,2009,150.0,1.0
37,2009,110.0,0.45454545454545453
37,2009,650.0,1.0
37,2009,130.0,1.0
37,2009,150.0,1.0
37,2009,250.0,1.0
37,2009,160.0,1.0
37,2009,214.0,1.0
37,2009,100.0,1.0
37,2009,100.0,1.0
37,2009,320.0,1.0
37,2009,420.0,0.9523809523809523
37,2009,30.0,1.0
37,2009,150.0,1.0
37,2009,470.0,0.0
37,2009,150.0,1.0
37,2009,350.0,1.0
37,2009,200.0,1.0
37,2009,134.0,1.0
37,2009,180.0,1.0
37,2009,500.0,1.0
37,2009,150.0,1.0
37,2009,180.0,1.0
37,2009,200.0,1.0
37,2009,20.0,1.0
37,2009,100.0,1.0
37,2009,400.0,1.0
37,2009,550.0,1.0
37,2009,150.0,1.0
37,2009,330.0,1.0
37,2009,160.0,1.0
37,2009,450.0,1.0
37,2009,724.0,1.0
37,2009,450.0,1.0
37,2009,280.0,1.0
37,2009,220.0,1.0
37,2009,250.0,1.0
37,2009,200.0,1.0
37,2009,100.0,1.0
37,2009,50.0,1.0
37,2009,210.0,1.0
37,2009,130.0,1.0
37,2009,200.0,1.0
37,2009,240.0,1.0
41,2009,50.0,1.0
41,2009,50.0,0.0
41,2009,40.0,0.0
41,2009,120.0,1.0
41,2009,130.0,0.0
41,2009,100.0,1.0
41,2009,30.0,0.0
41,2009,60.0,1.0
41,2009,30.0,0.0
41,2009,150.0,1.0
41,2009,50.0,1.0
41,2009,100.0,1.0
41,2009,40.0,1.0
41,2009,200.0,1.0
41,2009,190.0,1.0
41,2009,100.0,1.0
41,2009,140.0,1.0
41,2009,50.0,1.0
41,2009,20.0,0.0
41,2009,120.0,0.4166666666666667
41,2009,30.0,0.0
41,2009,10.0,0.0
41,2009,260.0,1.0
41,2009,200.0,1.0
41,2009,30.0,1.0
41,2009,200.0,1.0
41,2009,25.0,0.0
41,2009,650.0,1.0
41,2009,60.0,1.0
41,2009,100.0,0.0
41,2009,100.0,1.0
41,2009,300.0,0.0
41,2009,55.0,0.0
41,2009,30.0,1.0
41,2009,10.0,1.0
41,2009,340.0,0.0
41,2009,10.0,1.0
41,2009,40.0,1.0
42,2009,100.0,1.0
42,2009,70.0,0.0
42,2009,60.0,1.0
42,2009,40.0,1.0
42,2009,200.0,1.0
42,2009,50.0,1.0
42,2009,510.0,0.8823529411764706
42,2009,300.0,0.5
42,2009,200.0,1.0
42,2009,330.0,1.0
42,2009,40.0,1.0
42,2009,610.0,0.9016393442622951
42,2009,50.0,1.0
42,2009,140.0,1.0
42,2009,150.0,0.0
42,2009,110.0,0.5454545454545454
42,2009,40.0,1.0
42,2009,545.0,0.8348623853211009
42,2009,100.0,0.0
42,2009,50.0,0.0
42,2009,45.0,0.0
42,2009,600.0,0.6666666666666666
42,2009,100.0,0.0
42,2009,110.0,0.0
42,2009,240.0,1.0
42,2009,10.0,0.0
42,2009,125.0,0.0
42,2009,130.0,1.0
42,2009,160.0,1.0
42,2009,80.0,0.0
42,2009,100.0,0.0
42,2009,270.0,0.8888888888888888
42,2009,210.0,0.47619047619047616
42,2009,135.0,0.0
42,2009,100.0,1.0
42,2009,100.0,0.0
42,2009,220.0,1.0
42,2009,50.0,1.0
42,2009,40.0,0.5
42,2009,20.0,0.0
42,2009,135.0,0.37037037037037035
42,2009,170.0,1.0
42,2009,100.0,0.0
42,2009,640.0,1.0
42,2009,60.0,1.0
42,2009,80.0,0.0
43,2009,100.0,0.0
43,2009,110.0,1.0
43,2009,160.0,1.0
43,2009,70.0,1.0
43,2009,250.0,1.0
43,2009,300.0,1.0
43,2009,250.0,1.0
43,2009,100.0,1.0
43,2009,165.0,1.0
43,2009,390.0,1.0
43,2009,5.0,1.0
43,2009,80.0,1.0
43,2009,150.0,1.0
43,2009,50.0,0.0
43,2009,100.0,0.0
43,2009,580.0,1.0
43,2009,80.0,1.0
43,2009,650.0,1.0
43,2009,50.0,1.0
43,2009,100.0,1.0
43,2009,20.0,0.0
43,2009,60.0,1.0
43,2009,400.0,0.5
43,2009,350.0,0.5714285714285714
43,2009,200.0,1.0
43,2009,260.0,1.0
43,2009,100.0,0.6
43,2009,200.0,1.0
43,2009,70.0,0.0
43,2009,115.0,1.0
43,2009,200.0,1.0
43,2009,280.0,1.0
43,2009,200.0,0.0
43,2009,145.0,1.0
43,2009,210.0,0.5238095238095238
43,2009,120.0,1.0
43,2009,110.0,0.7272727272727273
43,2009,220.0,1.0
43,2009,250.0,1.0
43,2009,150.0,1.0
43,2009,200.0,1.0
43,2009,510.0,0.6274509803921569
43,2009,375.0,1.0
43,2009,150.0,1.0
43,2009,20.0,0.0
43,2009,100.0,1.0
43,2009,100.0,1.0
43,2009,70.0,1.0
43,2009,135.0,1.0
43,2009,200.0,0.0
43,2009,200.0,1.0
43,2009,100.0,1.0
43,2009,200.0,1.0
43,2009,100.0,1.0
43,2009,100.0,1.0
43,2009,60.0,1.0
43,2009,130.0,1.0
43,2009,170.0,1.0
43,2009,20.0,1.0
43,2009,100.0,0.0
43,2009,225.0,1.0
43,2009,100.0,1.0
43,2009,75.0,1.0
43,2009,300.0,1.0
43,2009,100.0,1.0
43,2009,250.0,1.0
43,2009,350.0,1.0
43,2009,450.0,1.0
43,2009,192.0,1.0
43,2009,20.0,1.0
43,2009,200.0,1.0
43,2009,380.0,0.3157894736842105
43,2009,33.0,1.0
43,2009,55.0,1.0
43,2009,380.0,0.9210526315789473
43,2009,350.0,1.0
43,2009,150.0,0.0
43,2009,40.0,0.0
43,2009,20.0,0.0
43,2009,20.0,0.0
43,2009,330.0,1.0
43,2009,80.0,1.0
45,2009,50.0,1.0
45,2009,30.0,0.0
45,2009,100.0,1.0
45,2009,50.0,0.0
45,2009,550.0,1.0
45,2009,100.0,1.0
45,2009,110.0,0.36363636363636365
45,2009,150.0,1.0
45,2009,20.0,0.0
45,2009,70.0,1.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,80.0,0.625
45,2009,160.0,1.0
45,2009,250.0,1.0
45,2009,100.0,0.0
45,2009,300.0,0.5
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,100.0,1.0
45,2009,180.0,0.4444444444444444
45,2009,50.0,0.0
45,2009,500.0,1.0
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,250.0,1.0
45,2009,100.0,0.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,120.0,1.0
45,2009,250.0,1.0
45,2009,80.0,1.0
45,2009,450.0,0.8888888888888888
45,2009,90.0,1.0
45,2009,75.0,1.0
45,2009,60.0,1.0
45,2009,65.0,1.0
45,2009,360.0,1.0
45,2009,100.0,1.0
45,2009,160.0,1.0
45,2009,600.0,1.0
45,2009,100.0,1.0
45,2009,300.0,0.8333333333333334
45,2009,520.0,0.8076923076923077
45,2009,100.0,1.0
45,2009,270.0,0.6296296296296297
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,435.0,1.0
45,2009,146.0,1.0
45,2009,592.0,1.0
45,2009,50.0,1.0
45,2009,150.0,1.0
45,2009,150.0,1.0
45,2009,50.0,1.0
45,2009,50.0,1.0
45,2009,210.0,1.0
45,2009,130.0,1.0
45,2009,350.0,0.42857142857142855
45,2009,151.0,1.0
45,2009,185.0,1.0
45,2009,300.0,1.0
45,2009,80.0,0.0
45,2009,300.0,1.0
45,2009,150.0,1.0
45,2009,150.0,1.0
45,2009,50.0,1.0
45,2009,50.0,1.0
45,2009,75.0,1.0
45,2009,225.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,190.0,1.0
45,2009,80.0,1.0
45,2009,110.0,1.0
45,2009,150.0,1.0
45,2009,70.0,1.0
45,2009,350.0,1.0
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,50.0,1.0
45,2009,350.0,1.0
45,2009,50.0,1.0
45,2009,550.0,1.0
45,2009,100.0,1.0
45,2009,255.0,1.0
45,2009,25.0,1.0
45,2009,220.0,1.0
45,2009,400.0,0.25
45,2009,200.0,1.0
45,2009,50.0,1.0
45,2009,50.0,0.0
45,2009,200.0,0.5
