T1,wave,total_奶类,ratio_奶类
43,2009,200.0,1.0
43,2009,25.0,1.0
43,2009,200.0,1.0
43,2009,200.0,0.0
43,2009,30.0,1.0
43,2009,250.0,1.0
43,2009,815.0,0.018404908
43,2009,230.0,1.0
43,2009,1165.0,1.0
43,2009,150.0,1.0
43,2009,295.0,0.22033899
43,2009,1135.0,1.0
43,2009,20.0,1.0
45,2009,700.0,1.0
45,2009,950.0,0.78947371
45,2009,1600.0,0.53125
45,2009,250.0,1.0
45,2009,750.0,1.0
45,2009,250.0,0.0
45,2009,500.0,1.0
45,2009,250.0,0.0
45,2009,300.0,0.0
45,2009,250.0,1.0
45,2009,600.0,1.0
45,2009,600.0,1.0
45,2009,250.0,1.0
45,2009,750.0,1.0
45,2009,60.0,1.0
45,2009,250.0,1.0
45,2009,450.0,1.0
45,2009,100.0,1.0
45,2009,750.0,1.0
45,2009,600.0,1.0
45,2009,500.0,1.0
45,2009,750.0,0.0
45,2009,300.0,1.0
45,2009,60.0,1.0
45,2009,250.0,1.0
45,2009,50.0,1.0
45,2009,500.0,1.0
45,2009,1600.0,0.53125
45,2009,600.0,1.0
45,2009,2750.0,1.0
45,2009,1500.0,1.0
45,2009,250.0,0.0
45,2009,750.0,0.0
45,2009,250.0,1.0
45,2009,250.0,1.0
52,2009,400.0,1.0
52,2009,500.0,1.0
52,2009,600.0,1.0
52,2009,10.0,1.0
52,2009,750.0,1.0
52,2009,500.0,1.0
52,2009,750.0,1.0
52,2009,486.0,0.0
52,2009,250.0,1.0
52,2009,250.0,1.0
52,2009,1236.0,1.0
52,2009,486.0,1.0
52,2009,1750.0,1.0
52,2009,940.0,0.46808511
52,2009,680.0,0.0
52,2009,900.0,1.0
52,2009,2500.0,1.0
52,2009,993.0,0.75528699
52,2009,2350.0,1.0
52,2009,250.0,1.0
52,2009,1250.0,1.0
52,2009,250.0,1.0
52,2009,750.0,1.0
11,2011,1095.0,1.0
11,2011,210.0,1.0
11,2011,750.0,1.0
11,2011,600.0,1.0
11,2011,700.0,1.0
11,2011,225.0,1.0
11,2011,450.0,1.0
11,2011,865.0,1.0
11,2011,600.0,0.66666669
11,2011,150.0,1.0
11,2011,180.0,1.0
11,2011,740.0,1.0
11,2011,500.0,1.0
11,2011,600.0,0.83333331
11,2011,460.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,600.0,1.0
11,2011,200.0,0.0
11,2011,400.0,1.0
11,2011,450.0,1.0
11,2011,400.0,0.5
11,2011,700.0,1.0
11,2011,600.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,500.0,0.80000001
11,2011,400.0,1.0
11,2011,474.0,1.0
11,2011,420.0,1.0
11,2011,250.0,0.0
11,2011,580.0,1.0
11,2011,250.0,1.0
11,2011,500.0,0.80000001
11,2011,1500.0,1.0
11,2011,300.0,1.0
11,2011,400.0,1.0
11,2011,400.0,0.0
11,2011,250.0,1.0
11,2011,500.0,1.0
11,2011,20.0,1.0
11,2011,450.0,1.0
11,2011,400.0,1.0
11,2011,750.0,1.0
11,2011,750.0,1.0
11,2011,1050.0,1.0
11,2011,350.0,1.0
11,2011,435.0,1.0
11,2011,1020.0,1.0
11,2011,1500.0,1.0
11,2011,700.0,1.0
11,2011,600.0,0.66666669
11,2011,500.0,1.0
11,2011,485.0,1.0
11,2011,375.0,1.0
11,2011,300.0,1.0
11,2011,250.0,1.0
11,2011,300.0,1.0
11,2011,1000.0,1.0
11,2011,200.0,1.0
11,2011,100.0,0.0
11,2011,720.0,0.33333334
11,2011,250.0,1.0
11,2011,125.0,1.0
11,2011,400.0,1.0
11,2011,280.0,1.0
11,2011,650.0,1.0
11,2011,750.0,1.0
11,2011,850.0,1.0
11,2011,240.0,1.0
11,2011,600.0,1.0
11,2011,200.0,1.0
11,2011,250.0,1.0
11,2011,250.0,0.5
11,2011,350.0,0.0
11,2011,1400.0,1.0
11,2011,200.0,1.0
11,2011,140.0,1.0
11,2011,100.0,0.0
11,2011,340.0,1.0
11,2011,470.0,1.0
11,2011,200.0,1.0
11,2011,242.0,1.0
11,2011,600.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,250.0,1.0
11,2011,100.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,250.0,1.0
11,2011,1200.0,1.0
11,2011,850.0,1.0
11,2011,200.0,0.0
11,2011,243.0,1.0
11,2011,250.0,1.0
11,2011,600.0,1.0
11,2011,600.0,1.0
11,2011,500.0,1.0
11,2011,200.0,1.0
11,2011,450.0,1.0
11,2011,250.0,1.0
11,2011,420.0,1.0
11,2011,400.0,1.0
11,2011,200.0,1.0
11,2011,720.0,1.0
11,2011,625.0,1.0
11,2011,650.0,1.0
11,2011,520.0,0.61538464
11,2011,720.0,0.33333334
11,2011,200.0,1.0
