T1,wave,total_蛋类,ratio_蛋类
23,2006,620.0,0.67741936
23,2006,830.0,1.0
23,2006,30.0,1.0
23,2006,520.0,1.0
23,2006,715.0,1.0
23,2006,240.0,1.0
23,2006,450.0,1.0
23,2006,310.0,1.0
23,2006,510.0,1.0
23,2006,430.0,1.0
23,2006,200.0,1.0
32,2006,100.0,1.0
32,2006,500.0,1.0
32,2006,150.0,0.60000002
32,2006,410.0,0.87804878
32,2006,310.0,0.064516127
32,2006,180.0,0.0
32,2006,100.0,0.0
32,2006,475.0,0.91578948
32,2006,225.0,1.0
32,2006,400.0,1.0
32,2006,100.0,1.0
32,2006,150.0,1.0
32,2006,130.0,0.53846157
32,2006,400.0,0.30000001
32,2006,560.0,1.0
32,2006,415.0,1.0
32,2006,80.0,0.1875
32,2006,300.0,1.0
32,2006,220.0,0.54545456
32,2006,90.0,0.33333334
32,2006,85.0,1.0
32,2006,930.0,1.0
32,2006,20.0,1.0
32,2006,180.0,1.0
32,2006,220.0,1.0
32,2006,407.0,1.0
32,2006,860.0,0.6511628
32,2006,530.0,0.6226415
32,2006,570.0,0.3508772
32,2006,80.0,1.0
32,2006,225.0,0.44444445
32,2006,260.0,0.80769229
32,2006,210.0,1.0
32,2006,335.0,1.0
32,2006,440.0,1.0
32,2006,300.0,0.96666664
32,2006,100.0,1.0
32,2006,450.0,1.0
32,2006,80.0,1.0
32,2006,420.0,1.0
32,2006,190.0,1.0
32,2006,290.0,1.0
32,2006,120.0,1.0
32,2006,375.0,1.0
32,2006,275.0,1.0
32,2006,100.0,1.0
32,2006,270.0,1.0
32,2006,115.0,1.0
32,2006,230.0,1.0
32,2006,180.0,0.0
32,2006,719.0,0.91655076
32,2006,505.0,1.0
32,2006,250.0,1.0
32,2006,420.0,0.76190478
32,2006,160.0,1.0
32,2006,200.0,0.34999999
32,2006,150.0,1.0
32,2006,75.0,0.2
32,2006,360.0,1.0
32,2006,540.0,1.0
32,2006,660.0,0.62121212
32,2006,750.0,1.0
32,2006,190.0,0.21052632
32,2006,610.0,1.0
32,2006,460.0,1.0
32,2006,350.0,0.5714286
32,2006,215.0,0.53488374
32,2006,410.0,0.92682928
32,2006,150.0,0.66666669
32,2006,405.0,1.0
32,2006,150.0,0.2
32,2006,80.0,0.5
32,2006,229.0,1.0
32,2006,320.0,0.78125
32,2006,510.0,1.0
32,2006,420.0,1.0
32,2006,220.0,1.0
32,2006,325.0,1.0
32,2006,530.0,1.0
32,2006,315.0,0.25396827
32,2006,90.0,1.0
32,2006,20.0,1.0
32,2006,360.0,1.0
32,2006,635.0,1.0
32,2006,75.0,0.60000002
32,2006,305.0,0.98360658
32,2006,610.0,1.0
32,2006,600.0,1.0
32,2006,425.0,1.0
32,2006,20.0,1.0
32,2006,150.0,1.0
32,2006,290.0,1.0
32,2006,390.0,1.0
32,2006,330.0,1.0
32,2006,610.0,1.0
32,2006,590.0,0.89830506
32,2006,60.0,1.0
32,2006,70.0,1.0
32,2006,140.0,0.35714287
32,2006,260.0,1.0
32,2006,190.0,0.31578946
32,2006,240.0,1.0
32,2006,290.0,1.0
32,2006,220.0,0.0
32,2006,320.0,1.0
32,2006,270.0,1.0
32,2006,250.0,1.0
32,2006,185.0,1.0
32,2006,510.0,0.96078432
32,2006,300.0,1.0
32,2006,490.0,1.0
32,2006,415.0,1.0
32,2006,125.0,0.60000002
32,2006,60.0,0.0
32,2006,420.0,1.0
32,2006,650.0,0.84615386
32,2006,290.0,1.0
32,2006,290.0,0.58620691
32,2006,480.0,0.20833333
32,2006,110.0,1.0
32,2006,180.0,0.0
32,2006,100.0,1.0
32,2006,85.0,0.70588237
32,2006,800.0,1.0
32,2006,100.0,1.0
32,2006,510.0,0.82352942
32,2006,630.0,0.92063493
32,2006,330.0,0.78787881
32,2006,1200.0,0.61666667
32,2006,375.0,0.88
32,2006,280.0,0.78571427
32,2006,90.0,0.6111111
32,2006,530.0,1.0
32,2006,280.0,1.0
32,2006,270.0,1.0
32,2006,70.0,1.0
32,2006,50.0,1.0
32,2006,76.0,1.0
32,2006,140.0,1.0
32,2006,50.0,1.0
32,2006,820.0,1.0
32,2006,220.0,1.0
32,2006,355.0,0.52112675
32,2006,90.0,1.0
32,2006,735.0,1.0
32,2006,330.0,0.57575756
32,2006,25.0,1.0
32,2006,200.0,1.0
32,2006,100.0,1.0
32,2006,260.0,0.88461536
32,2006,240.0,1.0
32,2006,150.0,0.66666669
32,2006,300.0,0.60000002
32,2006,125.0,1.0
32,2006,284.0,1.0
32,2006,526.0,1.0
32,2006,150.0,0.66666669
32,2006,460.0,0.93478262
32,2006,540.0,0.85185188
32,2006,100.0,1.0
32,2006,90.0,1.0
32,2006,960.0,1.0
32,2006,420.0,1.0
32,2006,280.0,1.0
32,2006,210.0,1.0
32,2006,125.0,0.0
32,2006,100.0,0.0
32,2006,330.0,1.0
32,2006,630.0,0.79365081
32,2006,95.0,1.0
