food_group10,term,estimate
G07_牛羊肉,mean_y_easi_hh,0.0388233221023707
G07_牛羊肉,z_cpi_yoy_prev_year_100,-0.0345828814459109
G07_牛羊肉,z_covid_log,-0.0435035902812948
G07_牛羊肉,z_holiday_days,0.00100286243355617
G07_牛羊肉,z_temp_avg_c_mean,-0.00599466502112467
G07_牛羊肉,z_precip_log,0.0263397829870415
G07_牛羊肉,z_wholesale_agri_200_mean,-0.065055433693003
G07_牛羊肉,factor(month)02,-0.166317830061336
G07_牛羊肉,factor(month)03,-0.191517457726694
G07_牛羊肉,factor(month)04,-0.217785628086647
G07_牛羊肉,factor(month)05,-0.266426039991962
G07_牛羊肉,factor(month)06,-0.281907288423302
G07_牛羊肉,factor(month)07,-0.24117362234698
G07_牛羊肉,factor(month)08,-0.198696598657394
G07_牛羊肉,factor(month)09,-0.148660349675435
G07_牛羊肉,factor(month)10,-0.00251907575341724
G07_牛羊肉,factor(month)11,0.0503945299683899
G07_牛羊肉,factor(month)12,0.166629233653334
G07_牛羊肉,factor(year)2021,0.092914628755466
G07_牛羊肉,factor(year)2022,0.22722561321073
G08_海鲜,(Intercept),-3.9222135497101
G08_海鲜,y_easi,0.518849802806673
G08_海鲜,r_G01,-0.0899958504614031
G08_海鲜,r_G02,0.456157186279051
G08_海鲜,r_G03,0.643301957474189
G08_海鲜,r_G04,0.630942943259801
G08_海鲜,r_G05,0.113816277681047
G08_海鲜,r_G06,-0.502955493974482
G08_海鲜,r_G07,1.45347225308755
G08_海鲜,r_G08,-0.379515616750358
G08_海鲜,r_G09,-1.05980080028477
G08_海鲜,low_income,-0.115216162280966
G08_海鲜,elderly_household,-0.227254446440288
G08_海鲜,large_family,0.459525474126365
G08_海鲜,mean_y_easi_hh,0.241823977964308
G08_海鲜,z_cpi_yoy_prev_year_100,-0.0189988261932102
G08_海鲜,z_covid_log,-0.0513930376862489
G08_海鲜,z_holiday_days,0.0381836492911398
G08_海鲜,z_temp_avg_c_mean,0.0629333007855062
G08_海鲜,z_precip_log,0.0544283896807844
G08_海鲜,z_wholesale_agri_200_mean,-0.126291704553026
G08_海鲜,factor(month)02,-0.0546815431910006
G08_海鲜,factor(month)03,0.0459228779339694
G08_海鲜,factor(month)04,-0.0281677346465214
G08_海鲜,factor(month)05,-0.115360449825551
G08_海鲜,factor(month)06,-0.162525834246245
G08_海鲜,factor(month)07,-0.0632169146264808
G08_海鲜,factor(month)08,-0.00507319335605717
G08_海鲜,factor(month)09,0.020070887485176
G08_海鲜,factor(month)10,0.0466733136812354
G08_海鲜,factor(month)11,0.131227603927868
G08_海鲜,factor(month)12,0.241365171784609
G08_海鲜,factor(year)2021,0.252617949427529
G08_海鲜,factor(year)2022,0.379325916778168
G09_乳制品,(Intercept),-0.904262942396116
G09_乳制品,y_easi,0.356286910064395
G09_乳制品,r_G01,-0.412091853881401
G09_乳制品,r_G02,0.148807285223752
