model,term,estimate
constrained_sy_easi_fast,sym_price__p_3_6,-0.200338450273531
constrained_sy_easi_fast,sym_price__p_4_6,-0.268240172718981
constrained_sy_easi_fast,sym_price__p_5_6,0.00967344808258184
constrained_sy_easi_fast,sym_price__p_6_6,0.237989088000837
constrained_sy_easi_fast,sym_price__p_1_7,-0.178436926434938
constrained_sy_easi_fast,sym_price__p_2_7,0.193473934717792
constrained_sy_easi_fast,sym_price__p_3_7,-0.229207911332169
constrained_sy_easi_fast,sym_price__p_4_7,0.0303829547879563
constrained_sy_easi_fast,sym_price__p_5_7,-0.170144631380998
constrained_sy_easi_fast,sym_price__p_6_7,0.0457415784519917
constrained_sy_easi_fast,sym_price__p_7_7,0.837988838258675
constrained_sy_easi_fast,sym_price__p_1_8,0.111063312093132
constrained_sy_easi_fast,sym_price__p_2_8,0.0323027748961409
constrained_sy_easi_fast,sym_price__p_3_8,0.0147408005108272
constrained_sy_easi_fast,sym_price__p_4_8,-0.0599650403843008
constrained_sy_easi_fast,sym_price__p_5_8,-0.0993839928940884
constrained_sy_easi_fast,sym_price__p_6_8,-0.00673283572440179
constrained_sy_easi_fast,sym_price__p_7_8,-0.218318439619727
constrained_sy_easi_fast,sym_price__p_8_8,-0.0739583071550711
constrained_sy_easi_fast,sym_price__p_1_9,4.93596877184452e-05
constrained_sy_easi_fast,sym_price__p_2_9,-0.308767603387965
constrained_sy_easi_fast,sym_price__p_3_9,0.0223276143844298
constrained_sy_easi_fast,sym_price__p_4_9,0.0388528077683099
constrained_sy_easi_fast,sym_price__p_5_9,0.00784137719603824
constrained_sy_easi_fast,sym_price__p_6_9,-0.123970231245363
constrained_sy_easi_fast,sym_price__p_7_9,-0.107438297625925
constrained_sy_easi_fast,sym_price__p_8_9,0.213283457785972
constrained_sy_easi_fast,sym_price__p_9_9,0.402091717374467
constrained_sy_easi_fast,sym_y_price__p_1_1,-0.0328853527222834
constrained_sy_easi_fast,sym_y_price__p_1_2,-0.0313609805168638
constrained_sy_easi_fast,sym_y_price__p_2_2,0.0885975393986563
constrained_sy_easi_fast,sym_y_price__p_1_3,0.00176306459426178
constrained_sy_easi_fast,sym_y_price__p_2_3,0.0261483917740475
constrained_sy_easi_fast,sym_y_price__p_3_3,-0.031754194295595
constrained_sy_easi_fast,sym_y_price__p_1_4,-0.00021100349240713
constrained_sy_easi_fast,sym_y_price__p_2_4,-0.0444063756977396
constrained_sy_easi_fast,sym_y_price__p_3_4,0.00370658158303959
constrained_sy_easi_fast,sym_y_price__p_4_4,-0.0471896609757699
constrained_sy_easi_fast,sym_y_price__p_1_5,-0.0060561946076153
constrained_sy_easi_fast,sym_y_price__p_2_5,-0.00520128283248557
constrained_sy_easi_fast,sym_y_price__p_3_5,-0.00802488094875674
constrained_sy_easi_fast,sym_y_price__p_4_5,0.0130844600353111
constrained_sy_easi_fast,sym_y_price__p_5_5,-0.0239967969169437
constrained_sy_easi_fast,sym_y_price__p_1_6,0.0107575428802706
constrained_sy_easi_fast,sym_y_price__p_2_6,-0.00368746991461565
constrained_sy_easi_fast,sym_y_price__p_3_6,0.0394478079322834
constrained_sy_easi_fast,sym_y_price__p_4_6,0.0357357468805659
constrained_sy_easi_fast,sym_y_price__p_5_6,-0.00235698780666227
constrained_sy_easi_fast,sym_y_price__p_6_6,-0.00769912955148979
constrained_sy_easi_fast,sym_y_price__p_1_7,0.0397858485475575
constrained_sy_easi_fast,sym_y_price__p_2_7,-0.0116625295439634
constrained_sy_easi_fast,sym_y_price__p_3_7,0.0263377580167431
constrained_sy_easi_fast,sym_y_price__p_4_7,-0.00139516254329325
constrained_sy_easi_fast,sym_y_price__p_5_7,0.0250519725518317
constrained_sy_easi_fast,sym_y_price__p_6_7,-0.0162352343957379
constrained_sy_easi_fast,sym_y_price__p_7_7,-0.146919500091644
constrained_sy_easi_fast,sym_y_price__p_1_8,-0.0242538665605229
constrained_sy_easi_fast,sym_y_price__p_2_8,-0.00475061337438828
constrained_sy_easi_fast,sym_y_price__p_3_8,0.000345574538051157
constrained_sy_easi_fast,sym_y_price__p_4_8,0.0115960033087774
constrained_sy_easi_fast,sym_y_price__p_5_8,0.0183989943592632
constrained_sy_easi_fast,sym_y_price__p_6_8,-0.0111348165694558
constrained_sy_easi_fast,sym_y_price__p_7_8,0.0359956017475014
constrained_sy_easi_fast,sym_y_price__p_8_8,0.0271191340775806
constrained_sy_easi_fast,sym_y_price__p_1_9,-0.0186966356324866
constrained_sy_easi_fast,sym_y_price__p_2_9,0.05519522972664
constrained_sy_easi_fast,sym_y_price__p_3_9,-0.00148579544398663
constrained_sy_easi_fast,sym_y_price__p_4_9,-0.0155488136801184
constrained_sy_easi_fast,sym_y_price__p_5_9,-0.00598374609387667
constrained_sy_easi_fast,sym_y_price__p_6_9,0.0225581536683816
constrained_sy_easi_fast,sym_y_price__p_7_9,0.0167719156237455
constrained_sy_easi_fast,sym_y_price__p_8_9,-0.035486925611974
constrained_sy_easi_fast,sym_y_price__p_9_9,-0.0301146356760841
constrained_sy_easi_fast,sigma__G01,-0.147609616513458
constrained_sy_easi_fast,sigma__G02,-0.238110855399385
constrained_sy_easi_fast,sigma__G03,-0.215078092930363
constrained_sy_easi_fast,sigma__G04,0.0176362507552539
constrained_sy_easi_fast,sigma__G05,-0.00743290789051481
constrained_sy_easi_fast,sigma__G06,-0.0388897096131905
constrained_sy_easi_fast,sigma__G07,-0.00742378229560287
constrained_sy_easi_fast,sigma__G08,-0.0622690401519096
constrained_sy_easi_fast,sigma__G09,-0.223137103305975
constrained_sy_quaids_fast,G01__const,1.06583284276026
constrained_sy_quaids_fast,G02__const,-0.24091021886707
constrained_sy_quaids_fast,G03__const,0.01525141445298
constrained_sy_quaids_fast,G04__const,0.00652700795801975
constrained_sy_quaids_fast,G05__const,0.025458633186672
constrained_sy_quaids_fast,G06__const,-0.0571161193151243
constrained_sy_quaids_fast,G07__const,0.000174803446950965
constrained_sy_quaids_fast,G08__const,0.00257224268519965
constrained_sy_quaids_fast,G09__const,0.000732519023025472
constrained_sy_quaids_fast,G01__y_easi,0.000714917239613976
constrained_sy_quaids_fast,G02__y_easi,-0.00030950539031355
constrained_sy_quaids_fast,G03__y_easi,0.00106938942518595
constrained_sy_quaids_fast,G04__y_easi,1.6043052528293
constrained_sy_quaids_fast,G05__y_easi,-0.270270712231486
constrained_sy_quaids_fast,G06__y_easi,0.0103062894771518
constrained_sy_quaids_fast,G07__y_easi,0.0129775415487907
constrained_sy_quaids_fast,G08__y_easi,0.0405299461000473
